auto	aol	fuel_economy
2000	1845	1845	155
0000	1	27 City / 36 Hwy
0001	1	28 City / 34 Hwy
0002	1	28 City / 34 Hwy
0003	1	26 City / 31 Hwy
0004	1	24 City / 32 Hwy
0005	1	26 City / 31 Hwy
0006	1	28 City / 34 Hwy
0007	1	26 City / 34 Hwy
0008	1	26 City / 34 Hwy
0009	1	26 City / 31 Hwy
0010	1	28 City / 34 Hwy
0011	1	28 City / 34 Hwy
0012	1	28 City / 34 Hwy
0013	1	27 City / 35 Hwy
0014	1	27 City / 35 Hwy
0015	1	27 City / 35 Hwy
0016	1	27 City / 35 Hwy
0017	1	27 City / 35 Hwy
0018	1	27 City / 35 Hwy
0019	1	27 City / 35 Hwy
0020	1	27 City / 35 Hwy
0021	1	27 City / 35 Hwy
0022	1	33 City / 41 Hwy
0023	1	33 City / 41 Hwy
0024	1	33 City / 41 Hwy
0025	1	28 City / 34 Hwy
0026	1	27 City / 36 Hwy
0027	1	29 City / 36 Hwy
0028	1	29 City / 36 Hwy
0029	1	29 City / 36 Hwy
0030	1	26 City / 31 Hwy
0031	1	24 City / 30 Hwy
0032	1	24 City / 30 Hwy
0033	1	26 City / 31 Hwy
0034	1	24 City / 30 Hwy
0035	1	24 City / 30 Hwy
0036	1	28 City / 37 Hwy
0037	1	28 City / 37 Hwy
0038	1	28 City / 37 Hwy
0039	1	28 City / 37 Hwy
0040	1	22 City / 30 Hwy
0041	1	23 City / 29 Hwy
0042	1	23 City / 29 Hwy
0043	1	25 City / 32 Hwy
0044	1	23 City / 33 Hwy
0045	1	25 City / 32 Hwy
0046	1	22 City / 30 Hwy
0047	1	23 City / 30 Hwy
0048	1	23 City / 33 Hwy
0049	1	23 City / 29 Hwy
0050	1	25 City / 32 Hwy
0051	1	23 City / 33 Hwy
0052	1	25 City / 32 Hwy
0053	1	25 City / 32 Hwy
0054	1	23 City / 32 Hwy
0055	1	23 City / 32 Hwy
0056	1	28 City / 34 Hwy
0057	1	25 City / 30 Hwy
0058	1	27 City / 31 Hwy
0059	1	27 City / 31 Hwy
0060	1	26 City / 34 Hwy
0061	1	26 City / 34 Hwy
0062	1	22 City / 35 Hwy
0063	1	19 City / 26 Hwy
0064	1	19 City / 25 Hwy
0065	1	19 City / 25 Hwy
0066	1	19 City / 23 Hwy
0067	1	19 City / 23 Hwy
0068	1	31 City / 37 Hwy
0069	1	22 City / 33 Hwy
0070	1	22 City / 32 Hwy
0071	1	22 City / 33 Hwy
0072	1	19 City / 28 Hwy
0073	1	19 City / 28 Hwy
0074	1	27 City / 35 Hwy
0075	1	22 City / 31 Hwy
0076	1	22 City / 29 Hwy
0077	1	22 City / 31 Hwy
0078	1	18 City / 27 Hwy
0079	1	18 City / 25 Hwy
0080	1	17 City / 24 Hwy
0081	1	22 City / 29 Hwy
0082	1	23 City / 33 Hwy
0083	1	18 City / 26 Hwy
0084	1	17 City / 24 Hwy
0085	1	22 City / 33 Hwy
0086	1	22 City / 33 Hwy
0087	1	22 City / 32 Hwy
0088	1	22 City / 33 Hwy
0089	1	20 City / 29 Hwy
0090	1	20 City / 29 Hwy
0091	1	20 City / 29 Hwy
0092	1	40 City / 43 Hwy
0093	1	23 City / 32 Hwy
0094	1	23 City / 32 Hwy
0095	1	20 City / 27 Hwy
0096	1	23 City / 31 Hwy
0097	1	18 City / 27 Hwy
0098	1	23 City / 32 Hwy
0099	1	23 City / 32 Hwy
0100	1	23 City / 31 Hwy
0101	1	18 City / 27 Hwy
0102	1	22 City / 31 Hwy
0103	1	22 City / 31 Hwy
0104	1	22 City / 31 Hwy
0105	1	18 City / 27 Hwy
0106	1	18 City / 27 Hwy
0107	1	20 City / 27 Hwy
0108	1	23 City / 31 Hwy
0109	1	18 City / 25 Hwy
0110	1	18 City / 25 Hwy
0111	1	18 City / 25 Hwy
0112	1	18 City / 25 Hwy
0113	1	20 City / 27 Hwy
0114	1	19 City / 27 Hwy
0115	1	19 City / 27 Hwy
0116	1	23 City / 31 Hwy
0117	1	18 City / 25 Hwy
0118	1	18 City / 25 Hwy
0119	1	18 City / 25 Hwy
0120	1	18 City / 25 Hwy
0121	1	21 City / 30 Hwy
0122	1	20 City / 29 Hwy
0123	1	18 City / 26 Hwy
0124	1	16 City / 27 Hwy
0125	1	21 City / 30 Hwy
0126	1	20 City / 27 Hwy
0127	1	20 City / 26 Hwy
0128	1	19 City / 24 Hwy
0129	1	19 City / 24 Hwy
0130	1	21 City / 28 Hwy
0131	1	21 City / 28 Hwy
0132	1	19 City / 25 Hwy
0133	1	20 City / 26 Hwy
0134	1	18 City / 23 Hwy
0135	1	22 City / 27 Hwy
0136	1	22 City / 27 Hwy
0137	1	22 City / 27 Hwy
0138	1	21 City / 26 Hwy
0139	1	21 City / 26 Hwy
0140	1	21 City / 27 Hwy
0141	1	21 City / 27 Hwy
0142	1	19 City / 24 Hwy
0143	1	20 City / 25 Hwy
0144	1	19 City / 24 Hwy
0145	1	21 City / 28 Hwy
0146	1	20 City / 26 Hwy
0147	1	20 City / 26 Hwy
0148	1	18 City / 23 Hwy
0149	1	14 City / 20 Hwy
0150	1	14 City / 20 Hwy
0151	1	14 City / 19 Hwy
0152	1	14 City / 19 Hwy
0153	1	14 City / 20 Hwy
0154	1	13 City / 18 Hwy
0155	1	13 City / 19 Hwy
0156	1	13 City / 18 Hwy
0157	1	13 City / 18 Hwy
0158	1	13 City / 18 Hwy
0159	1	13 City / 18 Hwy
0160	1	13 City / 19 Hwy
0161	1	13 City / 19 Hwy
0162	1	14 City / 19 Hwy
0163	1	14 City / 19 Hwy
0164	1	14 City / 20 Hwy
0165	1	14 City / 20 Hwy
0166	1	13 City / 19 Hwy
0167	1	13 City / 19 Hwy
0168	1	14 City / 20 Hwy
0169	1	14 City / 19 Hwy
0170	1	14 City / 20 Hwy
0171	1	14 City / 19 Hwy
0172	1	13 City / 18 Hwy
0173	1	13 City / 18 Hwy
0174	1	13 City / 18 Hwy
0175	1	13 City / 18 Hwy
0176	1	14 City / 19 Hwy
0177	1	14 City / 19 Hwy
0178	1	14 City / 20 Hwy
0179	1	13 City / 18 Hwy
0180	1	13 City / 18 Hwy
0181	1	20 City / 28 Hwy
0182	1	22 City / 28 Hwy
0183	1	22 City / 28 Hwy
0184	1	22 City / 26 Hwy
0185	1	22 City / 26 Hwy
0186	1	20 City / 25 Hwy
0187	1	19 City / 24 Hwy
0188	1	19 City / 24 Hwy
0189	1	21 City / 27 Hwy
0190	1	19 City / 25 Hwy
0191	1	21 City / 25 Hwy
