auto	aol	price
2000	2000	2000	1632
0000	1	$9,970
0001	1	$11,995
0002	1	$13,645
0003	1	$13,570
0004	1	$16,470
0005	1	$13,520
0006	1	$16,900
0007	1	$9,990
0008	1	$11,090
0009	1	$13,400
0010	1	$16,780
0011	1	$11,695
0012	1	$13,795
0013	1	$11,965
0014	1	$15,365
0015	1	$14,250
0016	1	$15,365
0017	1	$14,100
0018	1	$15,365
0019	1	$12,115
0020	1	$14,250
0021	1	$15,365
0022	1	$13,990
0023	1	$17,990
0024	1	$20,990
0025	1	$12,295
0026	1	$16,095
0027	1	$13,365
0028	1	$12,905
0029	1	$13,155
0030	1	$13,300
0031	1	$18,495
0032	1	$18,495
0033	1	$13,300
0034	1	$17,195
0035	1	$17,195
0036	1	$14,320
0037	1	$16,320
0038	1	$15,120
0039	1	$17,120
0040	1	$16,899
0041	1	$18,749
0042	1	$19,999
0043	1	$16,549
0044	1	$16,199
0045	1	$18,899
0046	1	$15,899
0047	1	$17,749
0048	1	$13,499
0049	1	$18,499
0050	1	$16,999
0051	1	$16,379
0052	1	$17,749
0053	1	$18,899
0054	1	$16,499
0055	1	$16,999
0056	1	$15,195
0057	1	$15,350
0058	1	$17,450
0059	1	$20,440
0060	1	$16,895
0061	1	$17,845
0062	1	$25,295
0063	1	$19,199
0064	1	$20,999
0065	1	$23,199
0066	1	$22,449
0067	1	$24,849
0068	1	$19,200
0069	1	$20,850
0070	1	$25,925
0071	1	$22,165
0072	1	$25,840
0073	1	$24,565
0074	1	$24,850
0075	1	$19,695
0076	1	$21,225
0077	1	$24,655
0078	1	$26,505
0079	1	$28,115
0080	1	$28,355
0081	1	$21,515
0082	1	$24,945
0083	1	$28,405
0084	1	$28,645
0085	1	$19,720
0086	1	$21,175
0087	1	$26,250
0088	1	$22,490
0089	1	$26,165
0090	1	$24,890
0091	1	$29,370
0092	1	$21,300
0093	1	$19,900
0094	1	$22,060
0095	1	$24,740
0096	1	$22,940
0097	1	$30,100
0098	1	$19,900
0099	1	$21,840
0100	1	$22,940
0101	1	$30,100
0102	1	$22,635
0103	1	$24,240
0104	1	$26,820
0105	1	$27,080
0106	1	$29,320
0107	1	$19,995
0108	1	$25,295
0109	1	$31,395
0110	1	$24,995
0111	1	$25,995
0112	1	$28,295
0113	1	$19,995
0114	1	$19,995
0115	1	$20,995
0116	1	$24,995
0117	1	$27,995
0118	1	$29,995
0119	1	$24,995
0120	1	$25,995
0121	1	$20,120
0122	1	$27,850
0123	1	$29,210
0124	1	$32,710
0125	1	$22,115
0126	1	$22,795
0127	1	$25,995
0128	1	$26,495
0129	1	$28,495
0130	1	$23,590
0131	1	$25,550
0132	1	$27,165
0133	1	$27,305
0134	1	$28,915
0135	1	$20,460
0136	1	$22,050
0137	1	$24,060
0138	1	$21,710
0139	1	$25,310
0140	1	$20,495
0141	1	$27,995
0142	1	$26,995
0143	1	$24,320
0144	1	$23,885
0145	1	$23,740
0146	1	$24,350
0147	1	$25,495
0148	1	$29,065
0149	1	$20,610
0150	1	$30,540
0151	1	$25,155
0152	1	$28,935
0153	1	$33,900
0154	1	$28,425
0155	1	$33,460
0156	1	$25,365
0157	1	$28,725
0158	1	$29,075
0159	1	$32,155
0160	1	$39,430
0161	1	$37,120
0162	1	$29,010
0163	1	$31,590
0164	1	$38,440
0165	1	$36,055
0166	1	$41,585
0167	1	$39,275
0168	1	$20,610
0169	1	$25,155
0170	1	$24,665
0171	1	$28,865
0172	1	$25,065
0173	1	$25,365
0174	1	$29,075
0175	1	$40,495
0176	1	$28,510
0177	1	$31,020
0178	1	$39,035
0179	1	$31,730
0180	1	$34,240
0181	1	$20,699
0182	1	$23,220
0183	1	$24,410
0184	1	$22,060
0185	1	$25,660
0186	1	$22,935
0187	1	$22,075
0188	1	$24,185
0189	1	$22,540
0190	1	$24,990
0191	1	$22,240
0192	1	$23,940
0193	1	$26,390
0194	1	$29,250
0195	1	$26,795
0196	1	$26,480
0197	1	$28,545
0198	1	$26,810
0199	1	$21,240
0200	1	$25,395
0201	1	$30,235
0202	1	$27,435
0203	1	$38,430
0204	1	$31,290
0205	1	$33,380
0206	1	$31,465
0207	1	$38,625
0208	1	$29,375
0209	1	$34,615
0210	1	$41,775
0211	1	$32,525
0212	1	$33,510
0213	1	$20,850
0214	1	$27,225
0215	1	$27,345
0216	1	$29,595
0217	1	$25,395
0218	1	$28,340
0219	1	$24,390
0220	1	$38,930
0221	1	$29,475
0222	1	$30,645
0223	1	$36,080
0224	1	$27,435
0225	1	$33,795
0226	1	$39,230
0227	1	$30,585
0228	1	$29,375
0229	1	$30,565
0230	1	$35,025
0231	1	$42,275
0232	1	$46,645
0233	1	$21,240
0234	1	$35,280
0235	1	$25,395
0236	1	$28,140
0237	1	$30,235
0238	1	$35,580
0239	1	$27,435
0240	1	$24,090
0241	1	$24,390
0242	1	$38,430
0243	1	$31,290
0244	1	$38,730
0245	1	$31,465
0246	1	$33,225
0247	1	$34,615
0248	1	$41,775
0249	1	$32,525
0250	1	$33,510
0251	1	$20,850
0252	1	$27,225
0253	1	$27,345
0254	1	$29,595
0255	1	$35,780
0256	1	$25,395
0257	1	$24,090
0258	1	$30,495
0259	1	$24,390
0260	1	$32,685
0261	1	$38,930
0262	1	$30,645
0263	1	$36,080
0264	1	$27,435
0265	1	$33,795
0266	1	$30,585
0267	1	$31,835
0268	1	$39,125
0269	1	$43,285
0270	1	$30,565
0271	1	$33,595
0272	1	$35,025
0273	1	$42,275
0274	1	$32,525
0275	1	$33,715
0276	1	$20,995
0277	1	$27,395
0278	1	$25,395
0279	1	$24,295
0280	1	$26,695
0281	1	$29,095
0282	1	$27,095
0283	1	$33,895
0284	1	$21,020
0285	1	$24,045
0286	1	$25,625
0287	1	$21,055
0288	1	$26,030
0289	1	$26,805
0290	1	$22,555
0291	1	$23,880
0292	1	$26,080
0293	1	$21,100
0294	1	$21,165
0295	1	$28,775
0296	1	$22,980
0297	1	$23,730
0298	1	$24,105
0299	1	$27,355
0300	1	$24,455
0301	1	$27,105
0302	1	$21,185
0303	1	$21,540
0304	1	$22,755
0305	1	$21,200
0306	1	$22,260
0307	1	$23,050
0308	1	$23,200
0309	1	$21,215
0310	1	$24,215
0311	1	$25,815
0312	1	$22,965
0313	1	$27,565
0314	1	$21,275
0315	1	$23,800
0316	1	$26,600
0317	1	$21,545
0318	1	$23,845
0319	1	$26,495
0320	1	$22,795
0321	1	$25,095
0322	1	$27,745
0323	1	$21,590
0324	1	$23,235
0325	1	$21,590
0326	1	$25,750
0327	1	$26,750
0328	1	$23,340
0329	1	$24,985
0330	1	$23,340
0331	1	$27,500
0332	1	$21,599
0333	1	$21,599
0334	1	$21,650
0335	1	$23,050
0336	1	$28,320
0337	1	$24,665
0338	1	$23,710
0339	1	$25,305
0340	1	$26,585
0341	1	$23,075
0342	1	$27,985
0343	1	$21,695
0344	1	$22,395
0345	1	$23,995
0346	1	$26,645
0347	1	$22,945
0348	1	$25,245
0349	1	$21,695
0350	1	$25,995
0351	1	$27,045
0352	1	$28,995
0353	1	$27,895
0354	1	$21,695
0355	1	$25,995
0356	1	$26,645
0357	1	$28,595
0358	1	$22,490
0359	1	$25,950
0360	1	$27,650
0361	1	$33,035
0362	1	$24,995
0363	1	$25,995
0364	1	$28,695
0365	1	$21,800
