auto	autobytel	engine
2000	2000	2000	63
0000	1	1.5L I-4 engine
0001	1	1.5L I-4 engine
0002	1	1.5L I-4 engine
0003	1	1.5L I-4 engine
0004	1	1.5L I-4 engine
0005	1	1.5L I-4 engine
0006	1	1.5L I-4 engine
0007	1	1.3L I-4 engine
0008	1	1.3L I-4 engine
0009	1	3.5L V-6 engine
0010	1	3.5L V-6 engine
0011	1	3.5L V-6 engine
0012	1	3.5L V-6 engine
0013	1	3.5L V-6 engine
0014	1	3.5L V-6 engine
0015	1	3.5L V-6 engine
0016	1	3.5L V-6 engine
0017	1	3.5L V-6 engine
0018	1	3.5L V-6 engine
0019	1	3.5L V-6 engine
0020	1	3.5L V-6 engine
0021	1	3.5L V-6 engine
0022	1	3.5L V-6 engine
0023	1	3.5L V-6 engine
0024	1	3.5L V-6 engine
0025	1	3.5L V-6 engine
0026	1	3.5L V-6 engine
0027	1	3.5L V-6 engine
0028	1	3.5L V-6 engine
0029	1	3.5L V-6 engine
0030	1	3.5L V-6 engine
0031	1	3.5L V-6 engine
0032	1	1.6L I-4 engine
0033	1	1.6L I-4 engine
0034	1	1.6L I-4 engine
0035	1	1.6L I-4 engine
0036	1	1.6L I-4 engine
0037	1	1.6L I-4 engine
0038	1	3.3L V-6 engine
0039	1	3.8L V-6 engine
0040	1	1.8L I-4 engine
0041	1	1.8L I-4 engine
0042	1	2.0L I-4 engine
0043	1	2.0L I-4 engine
0044	1	2.0L I-4 engine
0045	1	2.0L I-4 engine
0046	1	2.0L I-4 engine
0047	1	2.0L I-4 engine
0048	1	4.6L V-8 engine
0049	1	3.8L V-6 engine
0050	1	2.0L I-4 engine
0051	1	2.0L I-4 engine
0052	1	3.8L V-6 engine
0053	1	2.0L I-4 engine
0054	1	2.0L I-4 engine
0055	1	2.0L I-4 engine
0056	1	3.8L V-6 engine
0057	1	3.8L V-6 engine
0058	1	2.4L I-4 engine
0059	1	2.4L I-4 engine
0060	1	2.4L I-4 engine
0061	1	3.5L V-6 engine
0062	1	3.5L V-6 engine
0063	1	2.4L I-4 engine
0064	1	3.5L V-6 engine
0065	1	2.4L I-4 engine
0066	1	2.0L I-4 engine
0067	1	2.0L I-4 engine
0068	1	2.4L I-4 engine
0069	1	2.4L I-4 engine
0070	1	2.4L I-4 engine
0071	1	2.4L I-4 engine
0072	1	2.4L I-4 engine
0073	1	2.4L I-4 engine
0074	1	3.3L V-6 engine
0075	1	2.4L I-4 engine
0076	1	2.0L I-4 engine
0077	1	2.0L I-4 engine
0078	1	2.4L I-4 engine
0079	1	2.4L I-4 engine
0080	1	2.4L I-4 engine
0081	1	2.4L I-4 engine
0082	1	2.4L I-4 engine
0083	1	2.4L I-4 engine
0084	1	2.4L I-4 engine
0085	1	2.4L I-4 engine
0086	1	2.4L I-4 engine
0087	1	3.8L V-6 engine
0088	1	3.8L V-6 engine
0089	1	3.5L V-6 engine
0090	1	3.5L V-6 engine
0091	1	3.5L V-6 engine
0092	1	3.5L V-6 engine
0093	1	3.5L V-6 engine
0094	1	3.7L V-6 engine
0095	1	3.7L V-6 engine
0096	1	3.7L V-6 engine
0097	1	3.7L V-6 engine
0098	1	3.7L V-6 engine
0099	1	3.7L V-6 engine
0100	1	3.7L V-6 engine
0101	1	3.7L V-6 engine
0102	1	3.7L V-6 engine
0103	1	3.7L V-6 engine
0104	1	3.7L V-6 engine
0105	1	3.7L V-6 engine
0106	1	3.7L V-6 engine
0107	1	3.7L V-6 engine
0108	1	5.6L V-8 engine
0109	1	5.6L V-8 engine
0110	1	5.6L V-8 engine
0111	1	5.0L V-8 engine
0112	1	5.0L V-8 engine
0113	1	5.0L V-8 engine
0114	1	5.0L V-8 engine
0115	1	5.0L V-8 engine
0116	1	5.0L V-8 engine
0117	1	5.0L V-8 engine
0118	1	5.0L V-8 engine
0119	1	5.0L V-8 engine
0120	1	5.0L V-8 engine
0121	1	5.0L V-8 engine
0122	1	5.0L V-8 engine
0123	1	5.0L V-8 engine
0124	1	5.0L V-8 engine
0125	1	5.0L V-8 engine
0126	1	5.0L V-8 engine
0127	1	5.7L V-8 engine
0128	1	3.7L V-6 engine
0129	1	3.7L V-6 engine
0130	1	2.4L I-4 engine
0131	1	2.4L I-4 engine
0132	1	2.0L I-4 engine
0133	1	2.4L I-4 engine
0134	1	2.0L I-4 engine
0135	1	2.4L I-4 engine
0136	1	3.6L V-6 engine
0137	1	3.6L V-6 engine
0138	1	3.6L V-6 engine
0139	1	3.7L V-6 engine
0140	1	3.7L V-6 engine
0141	1	3.7L V-6 engine
0142	1	3.7L V-6 engine
0143	1	6.1L V-8 engine
0144	1	3.7L V-6 engine
0145	1	3.7L V-6 engine
0146	1	3.7L V-6 engine
0147	1	2.4L I-4 engine
0148	1	2.4L I-4 engine
0149	1	2.4L I-4 engine
0150	1	2.4L I-4 engine
0151	1	2.0L I-4 engine
0152	1	2.4L I-4 engine
0153	1	3.8L V-6 engine
0154	1	3.8L V-6 engine
0155	1	3.8L V-6 engine
0156	1	3.8L V-6 engine
0157	1	3.8L V-6 engine
0158	1	3.8L V-6 engine
0159	1	3.8L V-6 engine
0160	1	3.8L V-6 engine
0161	1	3.8L V-6 engine
0162	1	3.8L V-6 engine
0163	1	3.8L V-6 engine
0164	1	2.0L I-4 engine
0165	1	2.0L I-4 engine
0166	1	2.0L I-4 engine
0167	1	2.4L I-4 engine
0168	1	2.0L I-4 engine
0169	1	2.0L I-4 engine
0170	1	2.0L I-4 engine
0171	1	2.0L I-4 engine
0172	1	2.0L I-4 engine
0173	1	2.4L I-4 engine
0174	1	2.0L I-4 engine
0175	1	2.4L I-4 engine
0176	1	2.4L I-4 engine
0177	1	2.4L I-4 engine
0178	1	2.4L I-4 engine
0179	1	2.4L I-4 engine
0180	1	2.4L I-4 engine
0181	1	2.7L V-6 engine
0182	1	2.4L I-4 engine
0183	1	2.4L I-4 engine
0184	1	2.7L V-6 engine
0185	1	1.6L I-4 engine
0186	1	1.6L I-4 engine
0187	1	1.6L I-4 engine
0188	1	1.6L I-4 engine
0189	1	1.6L I-4 engine
0190	1	1.6L I-4 engine
0191	1	1.6L I-4 engine
0192	1	3.5L V-6 engine
0193	1	3.8L V-6 engine
0194	1	3.8L V-6 engine
0195	1	2.4L I-4 engine
0196	1	3.5L V-6 engine
0197	1	2.4L I-4 engine
0198	1	3.5L V-6 engine
0199	1	2.0L I-4 engine
0200	1	1.6L I-4 engine
0201	1	2.0L I-4 engine
0202	1	2.0L I-4 engine
0203	1	2.0L I-4 engine
0204	1	1.6L I-4 engine
0205	1	2.0L I-4 engine
0206	1	2.0L I-4 engine
0207	1	2.4L I-4 engine
0208	1	2.4L I-4 engine
0209	1	2.4L I-4 engine
0210	1	2.7L V-6 engine
0211	1	2.0L I-4 engine
0212	1	2.7L V-6 engine
0213	1	5.2L V-10 engine
0214	1	5.2L V-10 engine
0215	1	5.2L V-10 engine
0216	1	5.2L V-10 engine
0217	1	6.5L V-12 engine
0218	1	2.0L I-4 engine
0219	1	2.0L I-4 engine
0220	1	2.0L I-4 engine
0221	1	2.0L I-4 engine
0222	1	2.0L I-4 engine
0223	1	2.0L I-4 engine
0224	1	2.0L I-4 engine
0225	1	2.0L I-4 engine
0226	1	2.0L I-4 engine
0227	1	2.0L I-4 engine
0228	1	2.0L I-4 engine
0229	1	2.0L I-4 engine
0230	1	2.0L I-4 engine
0231	1	2.0L I-4 engine
0232	1	3.2L V-6 engine
0233	1	2.0L I-4 engine
0234	1	3.0L V-6 engine
0235	1	3.2L V-6 engine
0236	1	4.2L V-8 engine
0237	1	2.0L I-4 engine
0238	1	3.2L V-6 engine
0239	1	3.2L V-6 engine
0240	1	3.0L V-6 engine
0241	1	3.0L V-6 engine
0242	1	3.6L V-6 engine
0243	1	4.2L V-8 engine
0244	1	4.2L V-8 engine
0245	1	4.2L V-8 engine
0246	1	5.2L V-10 engine
0247	1	5.2L V-10 engine
0248	1	4.2L V-8 engine
0249	1	5.2L V-10 engine
0250	1	5.2L V-10 engine
0251	1	3.0L V-6 engine
0252	1	3.0L V-6 engine
0253	1	3.0L V-6 engine
0254	1	4.2L V-8 engine
0255	1	3.0L V-6 engine
0256	1	3.0L V-6 engine
0257	1	2.0L I-4 engine
0258	1	2.0L I-4 engine
0259	1	2.0L I-4 engine
0260	1	2.0L I-4 engine
0261	1	2.0L I-4 engine
0262	1	3.2L I-6 engine
0263	1	3.2L I-6 engine
0264	1	5.0L V-8 engine
0265	1	5.0L V-8 engine
0266	1	5.0L V-8 engine
0267	1	5.0L V-8 engine
0268	1	5.0L V-8 engine
0269	1	5.0L V-8 engine
0270	1	3.5L V-6 engine
0271	1	3.5L V-6 engine
0272	1	3.5L V-6 engine
0273	1	4.6L V-8 engine
0274	1	4.6L V-8 engine
0275	1	4.6L V-8 engine
0276	1	2.4L I-4 engine
0277	1	2.4L I-4 engine
0278	1	2.4L I-4 engine
0279	1	2.4L I-4 engine
0280	1	2.5L V-6 engine
0281	1	2.5L V-6 engine
0282	1	2.5L V-6 engine
0283	1	2.5L V-6 engine
0284	1	2.5L V-6 engine
0285	1	2.5L V-6 engine
0286	1	2.5L V-6 engine
0287	1	3.5L V-6 engine
0288	1	3.5L V-6 engine
0289	1	3.5L V-6 engine
0290	1	3.5L V-6 engine
0291	1	5.0L V-8 engine
0292	1	4.6L V-8 engine
0293	1	4.6L V-8 engine
0294	1	4.6L V-8 engine
0295	1	4.6L V-8 engine
0296	1	4.6L V-8 engine
0297	1	4.6L V-8 engine
0298	1	5.0L V-8 engine
0299	1	5.7L V-8 engine
0300	1	3.5L V-6 engine
0301	1	3.5L V-6 engine
0302	1	3.5L V-6 engine
0303	1	3.5L V-6 engine
0304	1	3.5L V-6 engine
0305	1	3.5L V-6 engine
0306	1	3.5L V-6 engine
0307	1	3.7L V-6 engine
0308	1	3.7L V-6 engine
0309	1	3.7L V-6 engine
0310	1	3.5L V-6 engine
0311	1	3.7L V-6 engine
0312	1	3.7L V-6 engine
0313	1	3.5L V-6 engine
0314	1	3.5L V-6 engine
0315	1	3.5L V-6 engine
0316	1	3.5L V-6 engine
0317	1	5.4L V-8 engine
0318	1	5.4L V-8 engine
0319	1	5.4L V-8 engine
0320	1	4.6L V-8 engine
0321	1	4.6L V-8 engine
0322	1	1.8L I-4 engine
0323	1	4.7L V-8 engine
0324	1	4.7L V-8 engine
0325	1	4.7L V-8 engine
0326	1	4.7L V-8 engine
0327	1	6.0L V-12 engine
0328	1	6.0L V-12 engine
0329	1	6.0L V-12 engine
0330	1	6.0L V-12 engine
0331	1	2.5L I-4 engine
0332	1	2.3L I-4 engine
0333	1	2.3L I-4 engine
0334	1	2.5L I-4 engine
0335	1	3.7L V-6 engine
0336	1	3.7L V-6 engine
0337	1	3.7L V-6 engine
0338	1	3.7L V-6 engine
0339	1	3.7L V-6 engine
0340	1	3.7L V-6 engine
0341	1	3.7L V-6 engine
0342	1	3.7L V-6 engine
0343	1	3.7L V-6 engine
0344	1	3.7L V-6 engine
0345	1	1.5L I-4 engine
0346	1	1.5L I-4 engine
0347	1	2.5L I-4 engine
0348	1	2.5L I-4 engine
0349	1	2.0L I-4 engine
0350	1	2.5L I-4 engine
0351	1	2.0L I-4 engine
0352	1	2.0L I-4 engine
0353	1	2.0L I-4 engine
0354	1	2.5L I-4 engine
0355	1	2.5L I-4 engine
0356	1	2.5L I-4 engine
0357	1	2.5L I-4 engine
0358	1	2.5L I-4 engine
0359	1	2.3L I-4 engine
0360	1	2.3L I-4 engine
0361	1	2.3L I-4 engine
0362	1	2.3L I-4 engine
0363	1	2.5L I-4 engine
0364	1	2.5L I-4 engine
0365	1	2.5L I-4 engine
0366	1	3.7L V-6 engine
0367	1	2.5L I-4 engine
0368	1	2.5L I-4 engine
0369	1	2.5L I-4 engine
0370	1	2.5L I-4 engine
0371	1	3.7L V-6 engine
0372	1	3.7L V-6 engine
0373	1	2.3L I-4 engine
0374	1	2.3L I-4 engine
0375	1	2.0L I-4 engine
0376	1	2.0L I-4 engine
0377	1	2.0L I-4 engine
0378	1	2.0L I-4 engine
0379	1	2.0L I-4 engine
0380	1	2.0L I-4 engine
0381	1	2.0L I-4 engine
0382	1	1.3L Rotary engine
0383	1	1.3L Rotary engine
0384	1	1.3L Rotary engine
0385	1	1.3L Rotary engine
0386	1	1.3L Rotary engine
0387	1	1.3L Rotary engine
0388	1	2.5L I-4 engine
0389	1	2.5L I-4 engine
0390	1	2.5L I-4 engine
0391	1	3.0L V-6 engine
0392	1	2.5L I-4 engine
0393	1	2.5L I-4 engine
0394	1	2.5L I-4 engine
0395	1	2.5L I-4 engine
0396	1	3.0L V-6 engine
0397	1	2.5L I-4 engine
0398	1	2.5L I-4 engine
0399	1	3.5L V-6 engine
0400	1	6.2L V-8 engine
0401	1	3.0L V-6 engine
0402	1	3.0L V-6 engine
0403	1	3.0L V-6 engine
0404	1	3.0L V-6 engine
0405	1	3.5L V-6 engine
0406	1	6.2L V-8 engine
0407	1	3.0L V-6 engine
