auto	autobytel	fuel_economy
2000	1816	1816	156
0000	1	28 MPG City / 35 MPG Hwy
0001	1	27 MPG City / 33 MPG Hwy
0002	1	27 MPG City / 33 MPG Hwy
0003	1	28 MPG City / 35 MPG Hwy
0004	1	27 MPG City / 33 MPG Hwy
0005	1	27 MPG City / 33 MPG Hwy
0006	1	27 MPG City / 33 MPG Hwy
0007	1	40 MPG City / 43 MPG Hwy
0008	1	40 MPG City / 43 MPG Hwy
0009	1	18 MPG City / 27 MPG Hwy
0010	1	18 MPG City / 27 MPG Hwy
0011	1	18 MPG City / 27 MPG Hwy
0012	1	16 MPG City / 23 MPG Hwy
0013	1	17 MPG City / 25 MPG Hwy
0014	1	16 MPG City / 23 MPG Hwy
0015	1	17 MPG City / 25 MPG Hwy
0016	1	16 MPG City / 22 MPG Hwy
0017	1	16 MPG City / 22 MPG Hwy
0018	1	17 MPG City / 23 MPG Hwy
0019	1	17 MPG City / 23 MPG Hwy
0020	1	16 MPG City / 22 MPG Hwy
0021	1	17 MPG City / 23 MPG Hwy
0022	1	16 MPG City / 22 MPG Hwy
0023	1	17 MPG City / 23 MPG Hwy
0024	1	17 MPG City / 23 MPG Hwy
0025	1	16 MPG City / 22 MPG Hwy
0026	1	17 MPG City / 23 MPG Hwy
0027	1	15 MPG City / 20 MPG Hwy
0028	1	15 MPG City / 20 MPG Hwy
0029	1	15 MPG City / 20 MPG Hwy
0030	1	15 MPG City / 20 MPG Hwy
0031	1	15 MPG City / 20 MPG Hwy
0032	1	27 MPG City / 36 MPG Hwy
0033	1	28 MPG City / 34 MPG Hwy
0034	1	27 MPG City / 36 MPG Hwy
0035	1	28 MPG City / 34 MPG Hwy
0036	1	27 MPG City / 36 MPG Hwy
0037	1	28 MPG City / 34 MPG Hwy
0038	1	20 MPG City / 28 MPG Hwy
0039	1	17 MPG City / 26 MPG Hwy
0040	1	29 MPG City / 40 MPG Hwy
0041	1	29 MPG City / 40 MPG Hwy
0042	1	25 MPG City / 34 MPG Hwy
0043	1	26 MPG City / 34 MPG Hwy
0044	1	23 MPG City / 30 MPG Hwy
0045	1	23 MPG City / 31 MPG Hwy
0046	1	23 MPG City / 31 MPG Hwy
0047	1	23 MPG City / 31 MPG Hwy
0048	1	17 MPG City / 25 MPG Hwy
0049	1	18 MPG City / 27 MPG Hwy
0050	1	20 MPG City / 30 MPG Hwy
0051	1	21 MPG City / 30 MPG Hwy
0052	1	17 MPG City / 27 MPG Hwy
0053	1	20 MPG City / 30 MPG Hwy
0054	1	21 MPG City / 30 MPG Hwy
0055	1	21 MPG City / 30 MPG Hwy
0056	1	17 MPG City / 26 MPG Hwy
0057	1	17 MPG City / 27 MPG Hwy
0058	1	20 MPG City / 28 MPG Hwy
0059	1	19 MPG City / 26 MPG Hwy
0060	1	20 MPG City / 25 MPG Hwy
0061	1	20 MPG City / 26 MPG Hwy
0062	1	20 MPG City / 26 MPG Hwy
0063	1	20 MPG City / 28 MPG Hwy
0064	1	20 MPG City / 26 MPG Hwy
0065	1	22 MPG City / 35 MPG Hwy
0066	1	22 MPG City / 33 MPG Hwy
0067	1	22 MPG City / 33 MPG Hwy
0068	1	22 MPG City / 35 MPG Hwy
0069	1	22 MPG City / 35 MPG Hwy
0070	1	22 MPG City / 35 MPG Hwy
0071	1	22 MPG City / 32 MPG Hwy
0072	1	21 MPG City / 32 MPG Hwy
0073	1	22 MPG City / 32 MPG Hwy
0074	1	19 MPG City / 29 MPG Hwy
0075	1	22 MPG City / 32 MPG Hwy
0076	1	23 MPG City / 31 MPG Hwy
0077	1	20 MPG City / 27 MPG Hwy
0078	1	22 MPG City / 31 MPG Hwy
0079	1	22 MPG City / 31 MPG Hwy
0080	1	21 MPG City / 28 MPG Hwy
0081	1	21 MPG City / 28 MPG Hwy
0082	1	23 MPG City / 31 MPG Hwy
0083	1	22 MPG City / 30 MPG Hwy
0084	1	21 MPG City / 28 MPG Hwy
0085	1	23 MPG City / 31 MPG Hwy
0086	1	21 MPG City / 28 MPG Hwy
0087	1	16 MPG City / 22 MPG Hwy
0088	1	17 MPG City / 23 MPG Hwy
0089	1	17 MPG City / 24 MPG Hwy
0090	1	17 MPG City / 24 MPG Hwy
0091	1	16 MPG City / 21 MPG Hwy
0092	1	16 MPG City / 23 MPG Hwy
0093	1	16 MPG City / 21 MPG Hwy
0094	1	19 MPG City / 27 MPG Hwy
0095	1	17 MPG City / 25 MPG Hwy
0096	1	19 MPG City / 27 MPG Hwy
0097	1	19 MPG City / 27 MPG Hwy
0098	1	17 MPG City / 25 MPG Hwy
0099	1	19 MPG City / 27 MPG Hwy
0100	1	17 MPG City / 25 MPG Hwy
0101	1	19 MPG City / 27 MPG Hwy
0102	1	19 MPG City / 27 MPG Hwy
0103	1	19 MPG City / 27 MPG Hwy
0104	1	16 MPG City / 24 MPG Hwy
0105	1	17 MPG City / 25 MPG Hwy
0106	1	18 MPG City / 25 MPG Hwy
0107	1	18 MPG City / 25 MPG Hwy
0108	1	14 MPG City / 20 MPG Hwy
0109	1	12 MPG City / 18 MPG Hwy
0110	1	12 MPG City / 17 MPG Hwy
0111	1	16 MPG City / 23 MPG Hwy
0112	1	16 MPG City / 23 MPG Hwy
0113	1	15 MPG City / 21 MPG Hwy
0114	1	15 MPG City / 21 MPG Hwy
