auto	autobytel	model
2000	2000	3998	2568
0000	2	2011 Honda Fit	2011 Honda Fit Base (A5)
0001	2	2011 Honda Fit	2011 Honda Fit Base (M5)
0002	2	2011 Honda Fit	2011 Honda Fit Sport (A5)
0003	2	2010 Honda Fit	2010 Honda Fit Base (A5)
0004	2	2010 Honda Fit	2010 Honda Fit Sport (A5)
0005	2	2010 Honda Fit	2010 Honda Fit Sport (M5)
0006	2	2010 Honda Fit	2010 Honda Fit Sport w/VSA/Navi (M5)
0007	2	2010 Honda Insight	2010 Honda Insight EX With Navigation
0008	2	2010 Honda Insight	2010 Honda Insight LX
0009	2	2011 Honda Odyssey	2011 Honda Odyssey EX-L (A5)
0010	2	2011 Honda Odyssey	2011 Honda Odyssey EX-L With Navigation (A5)
0011	2	2011 Honda Odyssey	2011 Honda Odyssey LX (A5)
0012	2	2010 Honda Odyssey	2010 Honda Odyssey EX w/Rear Entertainment
0013	2	2010 Honda Odyssey	2010 Honda Odyssey EX-L w/Rear Entertainment
0014	2	2010 Honda Odyssey	2010 Honda Odyssey LX
0015	2	2010 Honda Odyssey	2010 Honda Odyssey Touring w/Rear Entertainment/Navi
0016	2	2011 Honda Pilot	2011 Honda Pilot EX-L w/Rear Entertainment 4x4
0017	2	2011 Honda Pilot	2011 Honda Pilot EX-L With Navigation 4x4
0018	2	2011 Honda Pilot	2011 Honda Pilot EX-L With Navigation FWD
0019	2	2011 Honda Pilot	2011 Honda Pilot LX FWD
0020	2	2010 Honda Pilot	2010 Honda Pilot EX 4x4
0021	2	2010 Honda Pilot	2010 Honda Pilot EX FWD
0022	2	2010 Honda Pilot	2010 Honda Pilot EX-L 4x4
0023	2	2010 Honda Pilot	2010 Honda Pilot EX-L FWD
0024	2	2010 Honda Pilot	2010 Honda Pilot LX FWD
0025	2	2010 Honda Pilot	2010 Honda Pilot Touring With Navigation 4x4
0026	2	2010 Honda Pilot	2010 Honda Pilot Touring With Navigation/RES FWD
0027	2	2011 Honda Ridgeline	2011 Honda Ridgeline RTL w/Leather
0028	2	2011 Honda Ridgeline	2011 Honda Ridgeline RTS
0029	2	2010 Honda Ridgeline	2010 Honda Ridgeline RT
0030	2	2010 Honda Ridgeline	2010 Honda Ridgeline RTL w/Leather/Navi
0031	2	2010 Honda Ridgeline	2010 Honda Ridgeline RTS
0032	2	2011 Hyundai Accent	2011 Hyundai Accent GS (A4) Hatchback
0033	2	2011 Hyundai Accent	2011 Hyundai Accent GS (M5) Hatchback
0034	2	2011 Hyundai Accent	2011 Hyundai Accent SE (A4) Hatchback
0035	2	2011 Hyundai Accent	2011 Hyundai Accent SE (M5) Hatchback
0036	2	2010 Hyundai Accent	2010 Hyundai Accent GS (A4) Hatchback
0037	2	2010 Hyundai Accent	2010 Hyundai Accent GS (M5) Hatchback
0038	2	2011 Hyundai Azera	2011 Hyundai Azera GLS
0039	2	2010 Hyundai Azera	2010 Hyundai Azera Limited
0040	2	2011 Hyundai Elantra	2011 Hyundai Elantra GLS (M6)
0041	2	2011 Hyundai Elantra	2011 Hyundai Elantra Limited (A6)
0042	2	2010 Hyundai Elantra	2010 Hyundai Elantra Blue (M5)
0043	2	2010 Hyundai Elantra	2010 Hyundai Elantra SE (A4)
0044	2	2011 Hyundai Elantra Touring	2011 Hyundai Elantra Touring GLS (A4)
0045	2	2011 Hyundai Elantra Touring	2011 Hyundai Elantra Touring SE (M5)
0046	2	2010 Hyundai Elantra Touring	2010 Hyundai Elantra Touring GLS (M5)
0047	2	2010 Hyundai Elantra Touring	2010 Hyundai Elantra Touring SE (M5)
0048	2	2011 Hyundai Genesis	2011 Hyundai Genesis 4.6
0049	2	2010 Hyundai Genesis	2010 Hyundai Genesis 3.8
0050	2	2011 Hyundai Genesis Coupe	2011 Hyundai Genesis Coupe 2.0T (A5)
0051	2	2011 Hyundai Genesis Coupe	2011 Hyundai Genesis Coupe 2.0T R-Spec (M6)
0052	2	2011 Hyundai Genesis Coupe	2011 Hyundai Genesis Coupe 3.8 Grand Touring w/Black Leather (A6)
0053	2	2010 Hyundai Genesis Coupe	2010 Hyundai Genesis Coupe 2.0T (A5)
0054	2	2010 Hyundai Genesis Coupe	2010 Hyundai Genesis Coupe 2.0T Premium (M6)
0055	2	2010 Hyundai Genesis Coupe	2010 Hyundai Genesis Coupe 2.0T R-Spec (M6)
0056	2	2010 Hyundai Genesis Coupe	2010 Hyundai Genesis Coupe 3.8 Grand Touring With Navigation (M6)
0057	2	2010 Hyundai Genesis Coupe	2010 Hyundai Genesis Coupe 3.8 Track With Navigation (A6)
0058	2	2011 Hyundai Santa Fe	2011 Hyundai Santa Fe GLS (A6) FWD
0059	2	2011 Hyundai Santa Fe	2011 Hyundai Santa Fe GLS (M6) FWD
0060	2	2011 Hyundai Santa Fe	2011 Hyundai Santa Fe GLS AWD
