auto	autobytel	price
2000	1994	1994	1615
0000	1	$ 15,900
0001	1	$ 15,100
0002	1	$ 17,710
0003	1	$ 15,700
0004	1	$ 17,260
0005	1	$ 16,410
0006	1	$ 18,260
0007	1	$ 23,100
0008	1	$ 19,800
0009	1	$ 34,450
0010	1	$ 36,450
0011	1	$ 27,800
0012	1	$ 31,505
0013	1	$ 35,005
0014	1	$ 26,805
0015	1	$ 40,755
0016	1	$ 37,195
0017	1	$ 37,595
0018	1	$ 35,995
0019	1	$ 28,045
0020	1	$ 32,345
0021	1	$ 30,745
0022	1	$ 35,445
0023	1	$ 33,845
0024	1	$ 27,895
0025	1	$ 38,645
0026	1	$ 38,645
0027	1	$ 34,480
0028	1	$ 31,605
0029	1	$ 28,450
0030	1	$ 36,780
0031	1	$ 31,555
0032	1	$ 13,695
0033	1	$ 12,695
0034	1	$ 16,145
0035	1	$ 15,345
0036	1	$ 12,995
0037	1	$ 11,995
0038	1	$ 25,495
0039	1	$ 29,570
0040	1	$ 14,830
0041	1	$ 19,980
0042	1	$ 14,145
0043	1	$ 17,845
0044	1	$ 17,195
0045	1	$ 19,495
0046	1	$ 15,995
0047	1	$ 18,995
0048	1	$ 43,000
0049	1	$ 33,000
0050	1	$ 23,500
0051	1	$ 24,500
0052	1	$ 29,750
0053	1	$ 23,250
0054	1	$ 24,250
0055	1	$ 23,750
0056	1	$ 28,500
0057	1	$ 32,000
0058	1	$ 22,995
0059	1	$ 21,695
0060	1	$ 24,695
0061	1	$ 28,995
0062	1	$ 27,895
0063	1	$ 22,995
0064	1	$ 28,595
0065	1	$ 20,195
0066	1	$ 27,045
0067	1	$ 27,045
0068	1	$ 25,295
0069	1	$ 25,295
0070	1	$ 22,595
0071	1	$ 19,900
0072	1	$ 18,700
0073	1	$ 24,550
0074	1	$ 26,550
0075	1	$ 24,550
0076	1	$ 19,745
0077	1	$ 18,745
0078	1	$ 21,845
0079	1	$ 24,695
0080	1	$ 26,195
0081	1	$ 26,195
0082	1	$ 19,995
0083	1	$ 18,995
0084	1	$ 21,495
0085	1	$ 19,995
0086	1	$ 25,845
0087	1	$ 30,045
0088	1	$ 34,195
0089	1	$ 35,550
0090	1	$ 37,750
0091	1	$ 43,050
0092	1	$ 42,850
0093	1	$ 44,300
0094	1	$ 36,200
0095	0	<NULL>
0096	1	$ 37,650
0097	1	$ 43,400
