auto	automotive	engine
1999	1999	1999	76
0000	1	3.4L H6
0001	1	2.9L H6
0002	1	3.4L H6
0003	1	4.8L V8
0004	1	4.8L V8
0005	1	4.8L V8
0006	1	3.6L V6
0007	1	4.8L V8
0008	1	3.0L V6
0009	1	4.8L V8
0010	1	3.6L V6
0011	1	4.8L V8
0012	1	4.8L V8
0013	1	4.8L V8
0014	1	4.8L V8
0015	1	3.6L V6
0016	1	3.6L V6
0017	1	3.6L V6
0018	1	3.6L V6
0019	1	3.9L V6
0020	1	3.9L V6
0021	1	3.9L V6
0022	1	4.6L V8
0023	1	3.9L V6
0024	1	4.6L V8
0025	1	3.9L V6
0026	1	2.4L L4
0027	1	3.6L V6
0028	1	3.6L V6
0029	1	3.0L V6
0030	1	3.6L V6
0031	1	3.0L V6
0032	1	2.4L L4
0033	1	2.0L L4
0034	1	5.2L V10
0035	1	5.2L V10
0036	1	6.5L V12
0037	1	6.5L V12
0038	1	6.5L V12
0039	1	3.6L V6
0040	1	3.0L V6
0041	1	3.0L V6
0042	1	3.0L V6
0043	1	3.0L V6
0044	1	3.6L V6
0045	1	3.0L V6
0046	1	3.6L V6
0047	1	3.0L V6
0048	1	3.6L V6
0049	1	3.6L V6
0050	1	3.0L V6
0051	1	3.0L V6
0052	1	3.0L V6
0053	1	3.0L V6
0054	1	3.0L V6
0055	1	3.6L V6
0056	1	3.0L V6
0057	1	3.6L V6
0058	1	3.0L V6
0059	1	3.0L V6
0060	1	3.0L V6
0061	1	3.0L V6
0062	1	3.0L V6
0063	1	3.0L V6
0064	1	3.0L V6
0065	1	3.0L V6
0066	1	6.2L V8
0067	1	6.2L V8
0068	1	6.2L V8
0069	1	6.2L V8
0070	1	3.6L V6
0071	1	3.6L V6
0072	1	3.6L V6
0073	1	4.6L V8
0074	1	4.6L V8
0075	1	4.6L V8
0076	1	4.6L V8
0077	1	4.6L V8
0078	1	4.6L V8
0079	1	4.6L V8
0080	1	4.6L V8
0081	1	4.6L V8
0082	1	4.4L V8
0083	1	6.2L V8
0084	1	6.0L V8
0085	1	6.2L V8
0086	1	6.2L V8
0087	1	6.0L V8
0088	1	6.2L V8
0089	1	4.6L V8
0090	1	6.2L V8
0091	1	6.2L V8
0092	1	4.4L V8
0093	1	3.2L L6
0094	1	3.2L L6
0095	1	5.0L V8
0096	1	5.0L V8
0097	1	5.0L V8
0098	1	5.0L V8
0099	1	5.0L V8
0100	1	5.0L V8
0101	1	5.0L V8
0102	1	5.0L V8
0103	1	5.0L V8
0104	1	5.0L V8
0105	1	1.6L L4
0106	1	1.6L L4
0107	1	1.6L L4
0108	1	1.6L L4
0109	1	1.6L L4
0110	1	1.6L L4
0111	1	1.6L L4
0112	1	1.6L L4
0113	1	1.6L L4
0114	1	1.6L L4
0115	1	1.6L L4
0116	1	1.6L L4
0117	1	1.6L L4
0118	1	1.6L L4
0119	1	1.6L L4
0120	1	1.6L L4
0121	1	1.6L L4
0122	1	1.6L L4
0123	1	2.0L L4
0124	1	2.0L L4
0125	1	2.0L L4
0126	1	2.0L L4
0127	1	2.0L L4
0128	1	2.0L L4
0129	1	2.0L L4
0130	1	2.8L V6
0131	1	2.0L L4
0132	1	2.8L V6
0133	1	2.0L L4
0134	1	2.8L V6
0135	1	2.8L V6
0136	1	2.8L V6
0137	1	2.0L L4
0138	1	2.8L V6
0139	1	2.3L L4
0140	1	2.3L L4
0141	1	2.3L L4
0142	1	2.3L L4
0143	1	2.0L L4
0144	1	4.2L L6
0145	1	6.0L V8
0146	1	5.3L V8
0147	1	5.3L V8
0148	1	5.3L V8
0149	1	5.3L V8
0150	1	5.3L V8
0151	1	5.3L V8
0152	1	5.3L V8
0153	1	2.2L L4
0154	1	2.2L L4
0155	1	2.2L L4
0156	1	2.2L L4
0157	1	2.2L L4
0158	1	2.2L L4
0159	1	2.0L L4
0160	1	2.2L L4
0161	1	1.6L L4
0162	1	1.6L L4
0163	1	1.6L L4
