auto	automotive	fuel_economy
1999	1999	1999	164
0000	1	19 MPG city / 27 MPG highway
0001	1	19 MPG city / 27 MPG highway
0002	1	19 MPG city / 26 MPG highway
0003	1	16 MPG city / 24 MPG highway
0004	1	15 MPG city / 23 MPG highway
0005	1	16 MPG city / 24 MPG highway
0006	1	15 MPG city / 22 MPG highway
0007	1	16 MPG city / 22 MPG highway
0008	1	21 MPG city / 25 MPG highway
0009	1	15 MPG city / 22 MPG highway
0010	1	14 MPG city / 20 MPG highway
0011	1	12 MPG city / 19 MPG highway
0012	1	13 MPG city / 18 MPG highway
0013	1	12 MPG city / 19 MPG highway
0014	1	13 MPG city / 19 MPG highway
0015	1	16 MPG city / 22 MPG highway
0016	1	16 MPG city / 22 MPG highway
0017	1	16 MPG city / 22 MPG highway
0018	1	16 MPG city / 22 MPG highway
0019	1	13 MPG city / 20 MPG highway
0020	1	13 MPG city / 20 MPG highway
0021	1	13 MPG city / 20 MPG highway
0022	1	15 MPG city / 23 MPG highway
0023	1	13 MPG city / 20 MPG highway
0024	1	15 MPG city / 22 MPG highway
0025	1	13 MPG city / 20 MPG highway
0026	1	19 MPG city / 30 MPG highway
0027	1	17 MPG city / 27 MPG highway
0028	1	16 MPG city / 26 MPG highway
0029	1	17 MPG city / 26 MPG highway
0030	1	17 MPG city / 27 MPG highway
0031	1	16 MPG city / 25 MPG highway
0032	1	19 MPG city / 30 MPG highway
0033	1	N/A MPG city / N/A MPG highway
0034	1	12 MPG city / 20 MPG highway
0035	1	12 MPG city / 20 MPG highway
0036	1	8 MPG city / 13 MPG highway
0037	1	9 MPG city / 14 MPG highway
0038	1	8 MPG city / 13 MPG highway
0039	1	17 MPG city / 26 MPG highway
0040	1	18 MPG city / 26 MPG highway
0041	1	18 MPG city / 26 MPG highway
0042	1	18 MPG city / 26 MPG highway
0043	1	18 MPG city / 26 MPG highway
0044	1	17 MPG city / 26 MPG highway
0045	1	18 MPG city / 26 MPG highway
0046	1	18 MPG city / 27 MPG highway
0047	1	18 MPG city / 26 MPG highway
0048	1	18 MPG city / 26 MPG highway
0049	1	17 MPG city / 26 MPG highway
0050	1	18 MPG city / 26 MPG highway
0051	1	18 MPG city / 26 MPG highway
0052	1	18 MPG city / 26 MPG highway
0053	1	18 MPG city / 26 MPG highway
0054	1	18 MPG city / 26 MPG highway
0055	1	18 MPG city / 27 MPG highway
0056	1	18 MPG city / 26 MPG highway
0057	1	18 MPG city / 26 MPG highway
0058	1	18 MPG city / 25 MPG highway
0059	1	17 MPG city / 23 MPG highway
0060	1	17 MPG city / 23 MPG highway
0061	1	17 MPG city / 23 MPG highway
0062	1	18 MPG city / 25 MPG highway
0063	1	17 MPG city / 23 MPG highway
0064	1	17 MPG city / 23 MPG highway
0065	1	17 MPG city / 23 MPG highway
0066	1	17 MPG city / 25 MPG highway
0067	1	N/A MPG city / N/A MPG highway
0068	1	14 MPG city / 19 MPG highway
0069	1	14 MPG city / 19 MPG highway
0070	1	18 MPG city / 27 MPG highway
0071	1	18 MPG city / 27 MPG highway
0072	1	18 MPG city / 27 MPG highway
0073	1	15 MPG city / 22 MPG highway
0074	1	15 MPG city / 23 MPG highway
0075	1	15 MPG city / 22 MPG highway
0076	1	15 MPG city / 23 MPG highway
0077	1	15 MPG city / 23 MPG highway
0078	1	15 MPG city / 23 MPG highway
0079	1	15 MPG city / 22 MPG highway
0080	1	15 MPG city / 23 MPG highway
0081	1	15 MPG city / 23 MPG highway
0082	1	13 MPG city / 19 MPG highway
0083	1	10 MPG city / 16 MPG highway
0084	1	20 MPG city / 23 MPG highway
0085	1	10 MPG city / 16 MPG highway
0086	1	N/A MPG city / N/A MPG highway
0087	1	20 MPG city / 21 MPG highway
0088	1	N/A MPG city / N/A MPG highway
0089	1	15 MPG city / 24 MPG highway
0090	1	9 MPG city / 13 MPG highway
0091	1	N/A MPG city / N/A MPG highway
0092	1	14 MPG city / 23 MPG highway
0093	1	15 MPG city / 22 MPG highway
0094	1	15 MPG city / 22 MPG highway
0095	1	12 MPG city / 18 MPG highway
0096	1	12 MPG city / 18 MPG highway
0097	1	N/A MPG city / N/A MPG highway
0098	1	N/A MPG city / N/A MPG highway
0099	1	12 MPG city / 17 MPG highway
0100	1	12 MPG city / 17 MPG highway
0101	1	13 MPG city / 18 MPG highway
