auto	automotive	model
1999	1999	1999	1915
0000	1	2011 Porsche Boxster Spyder
0001	1	2010 Porsche Boxster Base Convertible
0002	1	2010 Porsche Boxster S Convertible
0003	1	2010 Porsche Panamera 4S Hatchback
0004	1	2010 Porsche Panamera Turbo Hatchback
0005	1	2010 Porsche Panamera S Hatchback
0006	1	2011 Porsche Cayenne SUV
0007	1	2011 Porsche Cayenne S SUV
0008	1	2011 Porsche Cayenne S Hybrid SUV
0009	1	2011 Porsche Cayenne Turbo SUV
0010	1	2010 Porsche Cayenne SUV
0011	1	2010 Porsche Cayenne Turbo S SUV
0012	1	2010 Porsche Cayenne GTS SUV
0013	1	2010 Porsche Cayenne Turbo SUV
0014	1	2010 Porsche Cayenne S SUV
0015	1	2011 Buick Enclave CX SUV
0016	1	2011 Buick Enclave CXL SUV
0017	1	2010 Buick Enclave CX Sport Utility
0018	1	2010 Buick Enclave CXL Sport Utility
0019	1	2011 Buick Lucerne CX
0020	1	2011 Buick Lucerne CXL
0021	1	2011 Buick Lucerne CXL Premium
0022	1	2011 Buick Lucerne Super
0023	1	2010 Buick Lucerne CX Sedan
0024	1	2010 Buick Lucerne Super Sedan
0025	1	2010 Buick Lucerne CXL Sedan
0026	1	2011 Buick LaCrosse CX
0027	1	2011 Buick LaCrosse CXS
0028	1	2011 Buick LaCrosse CXL
0029	1	2010 Buick LaCrosse CX Sedan
0030	1	2010 Buick LaCrosse CXS Sedan
0031	1	2010 Buick LaCrosse CXL Sedan
0032	1	2011 Buick Regal CXL Sedan
0033	1	2011 Buick Regal CXL Turbo Sedan
0034	1	2010 Lamborghini Gallardo LP 560 4
0035	1	2010 Lamborghini Gallardo Spyder
0036	1	2010 Lamborghini Murcielago LP 640
0037	1	2010 Lamborghini Murcielago LP 670 4 SV
0038	1	2010 Lamborghini Murcielago LP 640
0039	1	2011 Cadillac CTS Coupe
0040	1	2011 Cadillac CTS Performance
0041	1	2011 Cadillac CTS Sedan
0042	1	2011 Cadillac CTS Performance
0043	1	2011 Cadillac CTS Wagon
0044	1	2011 Cadillac CTS Premium
0045	1	2011 Cadillac CTS Luxury
0046	1	2011 Cadillac CTS Premium
0047	1	2011 Cadillac CTS Luxury
0048	1	2011 Cadillac CTS Premium
0049	1	2011 Cadillac CTS Performance
0050	1	2010 Cadillac CTS Base Sedan
0051	1	2010 Cadillac CTS Performance Sedan
0052	1	2010 Cadillac CTS Base Wagon
0053	1	2010 Cadillac CTS Performance Wagon
0054	1	2010 Cadillac CTS Luxury Sedan
0055	1	2010 Cadillac CTS Premium Sedan
0056	1	2010 Cadillac CTS Luxury Wagon
0057	1	2010 Cadillac CTS Premium Wagon
0058	1	2011 Cadillac SRX SUV
0059	1	2011 Cadillac SRX Performance Collection SUV
0060	1	2011 Cadillac SRX Luxury Collection SUV
0061	1	2011 Cadillac SRX Premium Collection SUV
0062	1	2010 Cadillac SRX HSE Sport Utility
0063	1	2010 Cadillac SRX Performance Collection Sport Utility
0064	1	2010 Cadillac SRX Luxury Collection Sport Utility
0065	1	2010 Cadillac SRX Premium Collection Sport Utility
0066	1	2011 Cadillac CTS-V Coupe
0067	1	2011 Cadillac CTS-V Base Wagon
0068	1	2011 Cadillac CTS-V Sedan
0069	1	2010 Cadillac CTS-V Sedan
0070	1	2011 Cadillac STS Luxury
0071	1	2011 Cadillac STS Premium
0072	1	2011 Cadillac STS Luxury Sport
0073	1	2010 Cadillac STS Base Sedan
0074	1	2011 Cadillac DTS Sedan
0075	1	2011 Cadillac DTS Platinum
0076	1	2011 Cadillac DTS Luxury
0077	1	2011 Cadillac DTS Premium
0078	1	2010 Cadillac DTS Base Sedan
0079	1	2010 Cadillac DTS Platinum Sedan
0080	1	2010 Cadillac DTS Luxury Sedan
0081	1	2010 Cadillac DTS Premium Sedan
0082	1	2009 Cadillac STS-V Sedan
0083	1	2011 Cadillac Escalade SUV
0084	1	2011 Cadillac Escalade Hybrid SUV
0085	1	2011 Cadillac Escalade ESV SUV
0086	1	2010 Cadillac Escalade Base Sport Utility
0087	1	2010 Cadillac Escalade Hybrid Sport Utility
0088	1	2010 Cadillac Escalade ESV Sport Utility
0089	1	2009 Cadillac XLR Roadster
0090	1	2011 Cadillac Escalade EXT CrewCab Truck
0091	1	2010 Cadillac Escalade EXT CrewCab Truck
0092	1	2009 Cadillac XLR-V Roadster
0093	1	2011 Land Rover LR2 SUV
0094	1	2010 Land Rover LR2 HSE SUV
