auto	automotive	price
1999	1999	1999	1620
0000	1	$61,200 |
0001	1	$47,600 |
0002	1	$58,000 |
0003	1	$93,800 |
0004	1	$132,600 |
0005	1	$89,800 |
0006	1	$46,700 |
0007	1	$63,700 |
0008	1	$67,700 |
0009	1	$104,800 |
0010	1	$48,500 |
0011	1	$126,300 |
0012	1	$75,400 |
0013	1	$99,900 |
0014	1	$60,700 |
0015	1	$37,615 |
0016	1	$40,730 |
0017	1	$37,165 |
0018	1	$40,330 |
0019	1	$29,730 |
0020	1	$33,130 |
0021	1	$35,675 |
0022	1	$44,460 |
0023	1	$30,930 |
0024	1	$39,230 |
0025	1	$35,730 |
0026	1	$26,495 |
0027	1	$33,265 |
0028	1	$32,570 |
0029	1	$27,085 |
0030	1	$33,015 |
0031	1	$31,820 |
0032	1	$26,245 |
0033	1	$28,745 |
0034	1	$198,000 |
0035	1	$221,000 |
0036	1	$354,000 |
0037	1	$450,000 |
0038	1	$382,400 |
0039	1	$40,065 |
0040	1	$41,665 |
0041	1	$38,365 |
0042	1	$43,465 |
0043	1	$40,165 |
0044	1	$48,910 |
0045	1	$41,420 |
0046	1	$49,520 |
0047	1	$43,220 |
0048	1	$50,965 |
0049	1	$44,505 |
0050	1	$38,365 |
0051	1	$41,665 |
0052	1	$40,165 |
0053	1	$43,465 |
0054	1	$41,065 |
0055	1	$48,765 |
0056	1	$42,865 |
0057	1	$50,565 |
0058	1	$33,830 |
0059	1	$46,095 |
0060	1	$40,755 |
0061	1	$48,540 |
0062	1	$33,330 |
0063	1	$44,995 |
0064	1	$39,405 |
0065	1	$47,540 |
0066	1	$62,165 |
0067	1	$62,165 |
0068	1	$62,165 |
0069	1	$60,720 |
0070	1	$52,720 |
0071	1	$56,380 |
0072	1	$49,180 |
0073	1	$70,335 |
0074	1	$46,680 |
0075	1	$59,875 |
0076	1	$51,925 |
0077	1	$54,825 |
0078	1	$46,280 |
0079	1	$59,475 |
0080	1	$51,525 |
0081	1	$54,425 |
0082	1	$81,795 |
0083	1	$71,665 |
0084	1	$85,640 |
0085	1	$74,870 |
0086	1	$62,495 |
0087	1	$73,425 |
0088	1	$65,100 |
0089	1	$86,215 |
0090	1	$69,465 |
0091	1	$61,420 |
0092	1	$104,215 |
0093	1	$35,700 |
0094	1	$36,350 |
0095	1	$78,835 |
0096	1	$94,615 |
0097	1	$78,425 |
0098	1	$94,275 |
0099	1	$47,650 |
