auto	autoweb	engine
2000	1998	1998	421
0000	1	1.6L I-4 16V DOHC
0001	1	1.6L I-4 16V DOHC
0002	1	1.6L I-4 16V DOHC
0003	1	1.6L I-4 16V DOHC Turbocharged
0004	1	1.6L I-4 16V DOHC Turbocharged
0005	1	1.6L I-4 16V DOHC Turbocharged
0006	1	1.6L I-4 16V DOHC Turbocharged
0007	1	1.6L I-4 16V DOHC Turbocharged
0008	1	1.6L I-4 16V DOHC Turbocharged
0009	1	1.6L I-4 16V DOHC Turbocharged
0010	1	2.5L 4 Cylinder 16-Valve DOHC
0011	1	4.0L 6 Cylinder 24-Valve DOHC
0012	1	4.0L 6 Cylinder 24-Valve DOHC
0013	1	2.5L 4 Cylinder 16-Valve DOHC
0014	1	2.5L 4 Cylinder 16-Valve DOHC
0015	1	4.0L 6 Cylinder 24-Valve DOHC
0016	1	2.4L 16V I4 MPI DOHC
0017	1	2.4L 16V I4 MPI DOHC
0018	1	2.4L 16V I4 MPI DOHC
0019	1	2.4L 16V I4 MPI DOHC
0020	1	2.4L 16V I4 MPI DOHC
0021	1	2.4L 16V I4 MPI DOHC
0022	1	2.4L 16V I4 MPI DOHC
0023	1	3.2L 24V V6 MPI DOHC
0024	1	2.4L DOHC 16-Valve 4-Cylinder (180HP)
0025	1	2.4L DOHC 16-Valve 4-Cylinder (180HP)
0026	1	2.4L DOHC 16-Valve 4-Cylinder (180HP)
0027	1	2.4L DOHC 16-Valve 4-Cylinder (185HP)
0028	1	2.4L DOHC 16-Valve 4-Cylinder (180HP)
0029	1	2.4L DOHC 16-Valve 4-Cylinder (185HP)
0030	1	2.4L DOHC 16-Valve 4-Cylinder (180HP)
0031	1	2.4L DOHC 16-Valve 4-Cylinder (185HP)
0032	1	2.4L DOHC 16-Valve 4-Cylinder (180HP)
0033	1	2.4L DOHC 16-Valve 4-Cylinder (180HP)
0034	1	2.0L I-4 DOHC 16-Valve
0035	1	2.0L I-4 DOHC 16-Valve
0036	1	2.0L I-4 DOHC 16-Valve
0037	1	2.0L I-4 DOHC 16-Valve
0038	1	2.0L I-4 DOHC 16-Valve
0039	1	2.0L I-4 DOHC 16-Valve
0040	1	2.0L I-4 DOHC 16-Valve (148HP)
0041	1	2.0L I-4 DOHC 16-Valve (148HP)
0042	1	2.0L I-4 DOHC 16-Valve
0043	1	2.0L I-4 DOHC 16-Valve
0044	1	2.0L I-4 DOHC 16-Valve
0045	1	2.0L I-4 DOHC 16-Valve
0046	1	2.0L I-4 DOHC 16-Valve (148HP)
0047	1	2.0L I-4 DOHC 16-Valve
0048	1	2.0L I-4 DOHC 16-Valve
0049	1	2.0L I-4 DOHC 16-Valve
0050	1	2.0L I-4 DOHC 16-Valve
0051	1	Twin-Turbocharged 6.0L W12
0052	1	Twin-Turbocharged 6.0L W12
0053	1	Twin-Turbocharged 6.0L W12
0054	1	Twin-Turbocharged 6.0L W12
0055	1	Twin-Turbocharged 6.0L W12
0056	1	Twin-Turbocharged 6.0L W12
0057	1	3.6L SIDI V6
0058	1	3.6L SIDI V6
0059	1	3.6L SIDI V6
0060	1	3.6L SIDI V6
0061	1	3.6L SIDI V6
0062	1	3.6L SIDI V6
0063	1	3.6L SIDI V6
0064	1	3.6L SIDI V6
0065	1	3.6L SIDI V6
0066	1	3.6L SIDI V6
0067	1	2.9L DOHC 4-Cylinder SFI
0068	1	3.7L DOHC 5-Cylinder SFI
0069	1	3.7L DOHC 5-Cylinder SFI
0070	1	2.9L DOHC 4-Cylinder SFI
0071	1	2.9L DOHC 4-Cylinder SFI
0072	1	2.9L DOHC 4-Cylinder SFI
0073	1	2.9L DOHC 4-Cylinder SFI
0074	1	3.7L DOHC 5-Cylinder SFI
0075	1	3.7L DOHC 5-Cylinder SFI
0076	1	3.7L DOHC 5-Cylinder SFI
0077	1	2.9L DOHC 4-Cylinder SFI
0078	1	2.9L DOHC 4-Cylinder SFI
0079	1	Vortec 5.3L V8 SFI FlexFuel
0080	1	Vortec 5.3L V8 SFI FlexFuel
0081	1	Vortec 5.3L V8 SFI FlexFuel
0082	1	Vortec 4.3L V6 MFI
0083	1	Vortec 5.3L V8 SFI FlexFuel
