auto	autoweb	fuel_economy
2000	2000	4000	302
0000	2	28/36	28 MPG City / 36 MPG Hwy
0001	2	28/37	28 MPG City / 37 MPG Hwy
0002	2	27/35	27 MPG City / 35 MPG Hwy
0003	2	27/36	27 MPG City / 36 MPG Hwy
0004	2	27/36	27 MPG City / 36 MPG Hwy
0005	2	26/34	26 MPG City / 34 MPG Hwy
0006	2	27/36	27 MPG City / 36 MPG Hwy
0007	2	25/33	25 MPG City / 33 MPG Hwy
0008	2	25/33	25 MPG City / 33 MPG Hwy
0009	2	25/33	25 MPG City / 33 MPG Hwy
0010	2	19/23	19 MPG City / 23 MPG Hwy
0011	2	15/19	15 MPG City / 19 MPG Hwy
0012	2	15/19	15 MPG City / 19 MPG Hwy
0013	2	19/23	19 MPG City / 23 MPG Hwy
0014	2	19/23	19 MPG City / 23 MPG Hwy
0015	2	15/20	15 MPG City / 20 MPG Hwy
0016	2	19/25	19 MPG City / 25 MPG Hwy
0017	2	19/25	19 MPG City / 25 MPG Hwy
0018	2	19/23	19 MPG City / 23 MPG Hwy
0019	2	19/23	19 MPG City / 23 MPG Hwy
0020	2	19/26	19 MPG City / 26 MPG Hwy
0021	2	19/23	19 MPG City / 23 MPG Hwy
0022	2	19/25	19 MPG City / 25 MPG Hwy
0023	2	17/23	17 MPG City / 23 MPG Hwy
0024	2	22/29	22 MPG City / 29 MPG Hwy
0025	2	22/29	22 MPG City / 29 MPG Hwy
0026	2	23/30	23 MPG City / 30 MPG Hwy
0027	2	20/29	20 MPG City / 29 MPG Hwy
0028	2	22/29	22 MPG City / 29 MPG Hwy
0029	2	20/29	20 MPG City / 29 MPG Hwy
0030	2	23/30	23 MPG City / 30 MPG Hwy
0031	2	20/29	20 MPG City / 29 MPG Hwy
0032	2	22/29	22 MPG City / 29 MPG Hwy
0033	2	22/29	22 MPG City / 29 MPG Hwy
0034	2	23/32	23 MPG City / 32 MPG Hwy
0035	2	23/33	23 MPG City / 33 MPG Hwy
0036	2	23/29	23 MPG City / 29 MPG Hwy
0037	2	25/32	25 MPG City / 32 MPG Hwy
0038	2	23/33	23 MPG City / 33 MPG Hwy
0039	2	23/32	23 MPG City / 32 MPG Hwy
0040	2	23/30	23 MPG City / 30 MPG Hwy
0041	2	23/29	23 MPG City / 29 MPG Hwy
0042	2	22/30	22 MPG City / 30 MPG Hwy
0043	2	23/32	23 MPG City / 32 MPG Hwy
0044	2	23/33	23 MPG City / 33 MPG Hwy
0045	2	25/32	25 MPG City / 32 MPG Hwy
0046	2	25/32	25 MPG City / 32 MPG Hwy
0047	2	23/33	23 MPG City / 33 MPG Hwy
0048	2	23/29	23 MPG City / 29 MPG Hwy
0049	2	23/30	23 MPG City / 30 MPG Hwy
0050	2	23/29	23 MPG City / 29 MPG Hwy
0051	2	11/18	11 MPG City / 18 MPG Hwy
0052	2	10/17	10 MPG City / 17 MPG Hwy
0053	2	11/18	11 MPG City / 18 MPG Hwy
0054	2	10/17	10 MPG City / 17 MPG Hwy
0055	2	10/17	10 MPG City / 17 MPG Hwy
0056	2	13/23.8	13 MPG City / 23.8 MPG Hwy
0057	2	17/24	17 MPG City / 24 MPG Hwy
