auto	autoweb	model
2000	2000	4000	2563
0000	2	2010 MINI COOPER TECH SPECS	2010 MINI Cooper Convertible
0001	2	2010 MINI COOPER TECH SPECS	2010 MINI Cooper Hatchback
0002	2	2011 MINI COOPER CLUBMAN TECH SPECS	2011 MINI Cooper Clubman Base
0003	2	2011 MINI COOPER S TECH SPECS	2011 MINI Cooper S Convertible
0004	2	2011 MINI COOPER S TECH SPECS	2011 MINI Cooper S Hatchback
0005	2	2010 MINI COOPER S TECH SPECS	2010 MINI Cooper S Hatchback
0006	2	2011 MINI COOPER S CLUBMAN TECH SPECS	2011 MINI Cooper S Clubman Base
0007	2	2011 MINI JOHN COOPER WORKS TECH SPECS	2011 MINI John Cooper Works Convertible
0008	2	2010 MINI JOHN COOPER WORKS TECH SPECS	2010 MINI John Cooper Works Convertible
0009	2	2010 MINI JOHN COOPER WORKS CLUBMAN TECH SPECS	2010 MINI John Cooper Works Clubman Base
0010	2	2011 SUZUKI EQUATOR TECH SPECS	2011 Suzuki Equator Base w/Comfort Package (M5) 4x2 Extended Cab
0011	2	2010 SUZUKI EQUATOR TECH SPECS	2010 Suzuki Equator 4x4 Crew Cab Long Box
0012	2	2010 SUZUKI EQUATOR TECH SPECS	2010 Suzuki Equator 4x4 Crew Cab Short Box
0013	2	2010 SUZUKI EQUATOR TECH SPECS	2010 Suzuki Equator Base (M5) 4x2 Extended Cab
0014	2	2010 SUZUKI EQUATOR TECH SPECS	2010 Suzuki Equator Base w/Comfort Package (M5) 4x2 Extended Cab
0015	2	2010 SUZUKI EQUATOR TECH SPECS	2010 Suzuki Equator Sport (A5) 4x2 Extended Cab
0016	2	2011 SUZUKI GRAND VITARA TECH SPECS	2011 Suzuki Grand Vitara Limited (A4) 4x2
0017	2	2011 SUZUKI GRAND VITARA TECH SPECS	2011 Suzuki Grand Vitara Premium (A4) 4x2
0018	2	2011 SUZUKI GRAND VITARA TECH SPECS	2011 Suzuki Grand Vitara Premium 4x4
0019	2	2011 SUZUKI GRAND VITARA TECH SPECS	2011 Suzuki Grand Vitara Premium w/Alloy Wheels 4x4
0020	2	2010 SUZUKI GRAND VITARA TECH SPECS	2010 Suzuki Grand Vitara Base (M5) 4x2
0021	2	2010 SUZUKI GRAND VITARA TECH SPECS	2010 Suzuki Grand Vitara Premium (A4) 4x4
0022	2	2010 SUZUKI GRAND VITARA TECH SPECS	2010 Suzuki Grand Vitara XSport (A4) 4x2
0023	2	2010 SUZUKI GRAND VITARA TECH SPECS	2010 Suzuki Grand Vitara XSport V6 (A5) 4x4
0024	2	2011 SUZUKI KIZASHI TECH SPECS	2011 Suzuki Kizashi S AWD
0025	2	2011 SUZUKI KIZASHI TECH SPECS	2011 Suzuki Kizashi SE AWD
0026	2	2011 SUZUKI KIZASHI TECH SPECS	2011 Suzuki Kizashi SLS (CVT) FWD
0027	2	2011 SUZUKI KIZASHI TECH SPECS	2011 Suzuki Kizashi SLS (M6) FWD
0028	2	2011 SUZUKI KIZASHI TECH SPECS	2011 Suzuki Kizashi Sport GTS AWD
0029	2	2010 SUZUKI KIZASHI TECH SPECS	2010 Suzuki Kizashi GTS (M6) FWD
0030	2	2010 SUZUKI KIZASHI TECH SPECS	2010 Suzuki Kizashi S (CVT) FWD
0031	2	2010 SUZUKI KIZASHI TECH SPECS	2010 Suzuki Kizashi S (M6) FWD
0032	2	2010 SUZUKI KIZASHI TECH SPECS	2010 Suzuki Kizashi SE AWD
0033	2	2010 SUZUKI KIZASHI TECH SPECS	2010 Suzuki Kizashi SLS AWD
0034	2	2011 SUZUKI SX4 TECH SPECS	2011 Suzuki SX4 Base (M6) FWD Hatchback
0035	2	2011 SUZUKI SX4 TECH SPECS	2011 Suzuki SX4 LE (M6) FWD Sedan
0036	2	2011 SUZUKI SX4 TECH SPECS	2011 Suzuki SX4 Premium (CVT) AWD Hatchback
0037	2	2011 SUZUKI SX4 TECH SPECS	2011 Suzuki SX4 Sport GTS (CVT) FWD Sedan
0038	2	2011 SUZUKI SX4 TECH SPECS	2011 Suzuki SX4 Standard (M6) FWD Sedan
0039	2	2011 SUZUKI SX4 TECH SPECS	2011 Suzuki SX4 Technology (NAV) FWD Hatchback
0040	2	2011 SUZUKI SX4 TECH SPECS	2011 Suzuki SX4 Technology (NAV) FWD Hatchback
0041	2	2010 SUZUKI SX4 TECH SPECS	2010 Suzuki SX4 Base (CVT) AWD Hatchback
0042	2	2010 SUZUKI SX4 TECH SPECS	2010 Suzuki SX4 Base (M6) FWD Hatchback
0043	2	2010 SUZUKI SX4 TECH SPECS	2010 Suzuki SX4 Base (M6) FWD Hatchback
0044	2	2010 SUZUKI SX4 TECH SPECS	2010 Suzuki SX4 LE (M6) FWD Sedan
0045	2	2010 SUZUKI SX4 TECH SPECS	2010 Suzuki SX4 Sport GTS (CVT) FWD Sedan
0046	2	2010 SUZUKI SX4 TECH SPECS	2010 Suzuki SX4 Sport S (CVT) FWD Sedan
0047	2	2010 SUZUKI SX4 TECH SPECS	2010 Suzuki SX4 Standard (M6) FWD Sedan
0048	2	2010 SUZUKI SX4 TECH SPECS	2010 Suzuki SX4 Technology (CVT) AWD Hatchback
0049	2	2010 SUZUKI SX4 TECH SPECS	2010 Suzuki SX4 Technology (CVT) FWD Hatchback
0050	2	2010 SUZUKI SX4 TECH SPECS	2010 Suzuki SX4 Touring (CVT) AWD Hatchback
0051	2	2011 BENTLEY CONTINENTAL FLYING SPUR TECH SPECS	2011 Bentley Continental Flying Spur Base
0052	2	2011 BENTLEY CONTINENTAL FLYING SPUR TECH SPECS	2011 Bentley Continental Flying Spur Speed
0053	2	2010 BENTLEY CONTINENTAL FLYING SPUR TECH SPECS	2010 Bentley Continental Flying Spur Base
0054	2	2010 BENTLEY CONTINENTAL FLYING SPUR TECH SPECS	2010 Bentley Continental Flying Spur Speed
0055	2	2010 BENTLEY CONTINENTAL GTC TECH SPECS	2010 Bentley Continental GTC Speed
0056	2	2010 BENTLEY CONTINENTAL SUPERSPORTS TECH SPECS	2010 Bentley Continental Supersports Base
0057	2	2011 GMC ACADIA TECH SPECS	2011 GMC Acadia Denali FWD
0058	2	2011 GMC ACADIA TECH SPECS	2011 GMC Acadia SL AWD
0059	2	2011 GMC ACADIA TECH SPECS	2011 GMC Acadia SLT-1 AWD w/4SB
0060	2	2011 GMC ACADIA TECH SPECS	2011 GMC Acadia SLT-2 AWD
0061	2	2010 GMC ACADIA TECH SPECS	2010 GMC Acadia SL FWD
0062	2	2010 GMC ACADIA TECH SPECS	2010 GMC Acadia SLE AWD
0063	2	2010 GMC ACADIA TECH SPECS	2010 GMC Acadia SLE FWD
0064	2	2010 GMC ACADIA TECH SPECS	2010 GMC Acadia SLT-1 FWD
0065	2	2010 GMC ACADIA TECH SPECS	2010 GMC Acadia SLT-2 AWD
0066	2	2010 GMC ACADIA TECH SPECS	2010 GMC Acadia SLT-2 FWD
0067	2	2011 GMC CANYON TECH SPECS	2011 GMC Canyon SLE1 4x4 Standard Cab
0068	2	2011 GMC CANYON TECH SPECS	2011 GMC Canyon SLT 4x2 Crew Cab 1SC Heavy-Duty
0069	2	2011 GMC CANYON TECH SPECS	2011 GMC Canyon SLT 4x2 Extended Cab
0070	2	2011 GMC CANYON TECH SPECS	2011 GMC Canyon Work Truck 4x2 Standard Cab
0071	2	2011 GMC CANYON TECH SPECS	2011 GMC Canyon Work Truck 4x4 Extended Cab
0072	2	2010 GMC CANYON TECH SPECS	2010 GMC Canyon SLE1 4x2 Standard Cab
0073	2	2010 GMC CANYON TECH SPECS	2010 GMC Canyon SLE1 4x4 Standard Cab
0074	2	2010 GMC CANYON TECH SPECS	2010 GMC Canyon SLT 4x2 Crew Cab 1SC Heavy-Duty
0075	2	2010 GMC CANYON TECH SPECS	2010 GMC Canyon SLT 4x4 Crew Cab 1SC Heavy-Duty
0076	2	2010 GMC CANYON TECH SPECS	2010 GMC Canyon SLT 4x4 Extended Cab
0077	2	2010 GMC CANYON TECH SPECS	2010 GMC Canyon Work Truck 4x2 Extended Cab
0078	2	2010 GMC CANYON TECH SPECS	2010 GMC Canyon Work Truck 4x2 Standard Cab
0079	2	2011 GMC SAVANA 1500 TECH SPECS	2011 GMC Savana 1500 LT RWD Passenger
