auto	autoweb	price
2000	2000	2000	1621
0000	1	$ 24,250
0001	1	$ 18,800
0002	1	$ 21,100
0003	1	$ 27,850
0004	1	$ 23,000
0005	1	$ 22,300
0006	1	$ 24,800
0007	1	$ 34,300
0008	1	$ 34,000
0009	1	$ 31,000
0010	1	$ 18,999
0011	1	$ 27,825
0012	1	$ 28,850
0013	1	$ 17,520
0014	1	$ 18,825
0015	1	$ 23,245
0016	1	$ 23,199
0017	1	$ 20,999
0018	1	$ 22,449
0019	1	$ 22,799
0020	1	$ 19,099
0021	1	$ 22,199
0022	1	$ 22,649
0023	1	$ 25,699
0024	1	$ 21,999
0025	1	$ 23,249
0026	1	$ 25,799
0027	1	$ 24,699
0028	1	$ 25,349
0029	1	$ 22,599
0030	1	$ 20,599
0031	1	$ 18,999
0032	1	$ 22,899
0033	1	$ 26,899
0034	1	$ 16,499
0035	1	$ 15,195
0036	1	$ 18,499
0037	1	$ 18,899
0038	1	$ 13,499
0039	1	$ 16,999
0040	1	$ 18,199
0041	1	$ 17,999
0042	1	$ 15,899
0043	1	$ 17,999
0044	1	$ 14,999
0045	1	$ 18,899
0046	1	$ 17,299
0047	1	$ 13,359
0048	1	$ 18,749
0049	1	$ 17,749
0050	1	$ 19,999
0051	1	$177,600
0052	1	$202,500
0053	1	$177,600
0054	1	$202,500
0055	1	$231,400
0056	1	$267,000
0057	1	$ 43,220
0058	1	$ 33,840
0059	1	$ 40,185
0060	1	$ 41,090
0061	1	$ 31,740
0062	1	$ 36,365
0063	1	$ 34,365
0064	1	$ 38,085
0065	1	$ 42,185
0066	1	$ 40,185
0067	1	$ 21,795
0068	1	$ 27,240
0069	1	$ 25,690
0070	1	$ 17,045
0071	1	$ 22,590
0072	1	$ 18,180
0073	1	$ 21,735
0074	1	$ 27,180
0075	1	$ 29,835
0076	1	$ 28,780
0077	1	$ 19,230
0078	1	$ 16,985
0079	1	$ 28,710
0080	1	$ 32,970
0081	1	$ 29,910
0082	1	$ 24,860
0083	1	$ 32,070
0084	1	$ 28,515
0085	1	$ 32,070
0086	1	$ 28,515
0087	1	$ 31,970
0088	1	$ 32,195
0089	1	$ 27,840
0090	1	$ 37,770
0091	1	$ 39,630
