auto	carquotes	engine
2000	2000	2000	386
0000	1	3.0L Gas I6, 335 HP
0001	1	3.0L Gas I6, 230 HP
0002	1	3.0L Turbo Gas I6, 300 HP
0003	1	3.0L Gas I6, 230 HP
0004	1	3.0L Gas I6, 230 HP
0005	1	3.0L Diesel I6, 265 HP
0006	1	3.0L Gas I6, 230 HP
0007	1	3.0L Turbo Gas I6, 300 HP
0008	1	4.8L Gas V8, 360 HP
0009	1	4.4L Turbo Gas V8, 400 HP
0010	1	3.0L Turbo Gas I6, 300 HP
0011	1	- TBD -L Turbo Gas V8
0012	1	4.4L Turbo Gas V8, 400 HP
0013	1	4.4L Turbo Gas V8, 400 HP
0014	1	4.4L Turbo Gas V8, 400 HP
0015	1	4.0L Gas V8, 414 HP
0016	1	5.0L Gas V10, 500 HP
0017	1	3.0L Gas I6, 260 HP
0018	1	4.8L Gas V8, 350 HP
0019	1	4.4L Gas V8, 400 HP
0020	1	4.4L Hybrid V8, 400 HP
0021	1	4.4L Turbo Gas V8, 555 HP
0022	1	3.0L Gas I6, 255 HP
0023	1	2.4L Gas I4, 190 HP
0024	1	2.4L Gas I4, 190 HP
0025	1	2.4L Gas I4, 190 HP
0026	1	3.5L Gas V6, 271 HP
0027	1	3.5L Gas V6, 271 HP
0028	1	2.4L Gas I4, 177 HP
0029	1	2.4L Gas I4, 177 HP
0030	1	2.4L Gas I4, 190 HP
0031	1	2.4L Gas I4, 190 HP
0032	1	3.5L Gas V6, 271 HP
0033	1	3.5L Gas V6, 271 HP
0034	1	1.8L Gas I4, 140 HP
0035	1	1.8L Gas I4, 140 HP
0036	1	1.8L Gas I4, 140 HP
0037	1	1.8L Gas I4, 140 HP
0038	1	2.0L Gas I4, 197 HP
0039	1	2.0L Gas I4, 197 HP
0040	1	1.3L Hybrid I4, 110 HP
0041	1	1.3L Hybrid I4, 110 HP
0042	1	1.8L Gas I4, 140 HP
0043	1	1.8L Gas I4, 140 HP
0044	1	1.8L Gas I4, 140 HP
0045	1	1.8L Gas I4, 140 HP
0046	1	1.8L Gas I4, 140 HP
0047	1	2.0L Gas I4, 197 HP
0048	1	2.0L Gas I4, 197 HP
0049	1	2.4L Gas I4, 180 HP
0050	1	2.4L Gas I4, 180 HP
0051	1	2.4L Gas I4, 180 HP
0052	1	2.4L Gas I4, 180 HP
0053	1	2.4L Gas I4, 180 HP
0054	1	1.5L Hybrid I4, 122 HP
0055	1	1.5L Hybrid I4, 122 HP
0056	1	1.5L Hybrid I4, 122 HP
0057	1	1.5L Hybrid I4, 122 HP
0058	1	- TBD -L - TBD -
0059	1	- TBD -L - TBD -
0060	1	- TBD -L - TBD -
0061	1	1.5L Gas I4, 117 HP
0062	1	1.5L Gas I4, 117 HP
0063	1	1.3L Hybrid I4, 98 HP
0064	1	1.3L Hybrid I4, 98 HP
0065	1	3.5L Gas V6, 248 HP
0066	1	3.5L Gas V6, 248 HP
0067	1	3.5L Gas V6, 250 HP
0068	1	3.5L Gas V6, 250 HP
0069	1	3.5L Gas V6, 250 HP
0070	1	3.5L Gas V6, 250 HP
0071	1	3.5L Gas V6, 250 HP
0072	1	3.5L Gas V6, 250 HP
0073	1	3.5L Gas V6, 250 HP
0074	1	3.5L Gas V6, 250 HP
0075	1	2.4L Gas I4, 190 HP
0076	1	2.4L Gas I4, 190 HP
0077	1	2.4L Gas I4, 190 HP
0078	1	2.4L Gas I4, 190 HP
0079	1	3.5L Gas V6, 271 HP
0080	1	3.5L Gas V6, 271 HP
0081	1	3.5L Gas V6, 271 HP
0082	1	3.5L Gas V6, 271 HP
0083	1	3.5L Gas V6, 271 HP
0084	1	3.5L Gas V6, 271 HP
0085	1	2.4L Gas I4, 190 HP
0086	1	2.4L Gas I4, 190 HP
0087	1	2.4L Gas I4, 190 HP
0088	1	3.5L Gas V6, 271 HP
0089	1	3.5L Gas V6, 271 HP
