auto	carquotes	fuel_economy
2000	2000	2000	157
0000	1	17 mpg City, 24 mpg Hwy
0001	1	18 mpg City, 28 mpg Hwy
0002	1	18 mpg City, 25 mpg Hwy
0003	1	18 mpg City, 28 mpg Hwy
0004	1	17 mpg City, 25 mpg Hwy
0005	1	23 mpg City, 36 mpg Hwy
0006	1	17 mpg City, 25 mpg Hwy
0007	1	17 mpg City, 26 mpg Hwy
0008	1	15 mpg City, 22 mpg Hwy
0009	1	15 mpg City, 21 mpg Hwy
0010	1	19 mpg City, 28 mpg Hwy
0011	1	-
0012	1	15 mpg City, 22 mpg Hwy
0013	1	14 mpg City, 20 mpg Hwy
0014	1	14 mpg City, 20 mpg Hwy
0015	1	13 mpg City, 20 mpg Hwy
0016	1	11 mpg City, 17 mpg Hwy
0017	1	15 mpg City, 21 mpg Hwy
0018	1	14 mpg City, 19 mpg Hwy
0019	1	12 mpg City, 18 mpg Hwy
0020	1	17 mpg City, 19 mpg Hwy
0021	1	12 mpg City, 17 mpg Hwy
0022	1	18 mpg City, 28 mpg Hwy
0023	1	23 mpg City, 32 mpg Hwy
0024	1	22 mpg City, 33 mpg Hwy
0025	1	22 mpg City, 33 mpg Hwy
0026	1	17 mpg City, 26 mpg Hwy
0027	1	18 mpg City, 27 mpg Hwy
0028	1	23 mpg City, 34 mpg Hwy
0029	1	23 mpg City, 34 mpg Hwy
0030	1	23 mpg City, 33 mpg Hwy
0031	1	23 mpg City, 34 mpg Hwy
0032	1	20 mpg City, 30 mpg Hwy
0033	1	20 mpg City, 30 mpg Hwy
0034	1	26 mpg City, 34 mpg Hwy
0035	1	25 mpg City, 36 mpg Hwy
0036	1	26 mpg City, 34 mpg Hwy
0037	1	25 mpg City, 36 mpg Hwy
0038	1	21 mpg City, 29 mpg Hwy
0039	1	21 mpg City, 29 mpg Hwy
0040	1	40 mpg City, 43 mpg Hwy
0041	1	40 mpg City, 43 mpg Hwy
0042	1	26 mpg City, 34 mpg Hwy
0043	1	25 mpg City, 36 mpg Hwy
0044	1	26 mpg City, 34 mpg Hwy
0045	1	25 mpg City, 36 mpg Hwy
0046	1	25 mpg City, 36 mpg Hwy
0047	1	21 mpg City, 29 mpg Hwy
0048	1	21 mpg City, 29 mpg Hwy
0049	1	21 mpg City, 28 mpg Hwy
0050	1	21 mpg City, 28 mpg Hwy
0051	1	21 mpg City, 27 mpg Hwy
0052	1	21 mpg City, 27 mpg Hwy
0053	1	21 mpg City, 27 mpg Hwy
0054	1	31 mpg City, 37 mpg Hwy
0055	1	35 mpg City, 39 mpg Hwy
0056	1	35 mpg City, 39 mpg Hwy
0057	1	35 mpg City, 39 mpg Hwy
0058	1	-
0059	1	-
0060	1	-
0061	1	-
0062	1	-
0063	1	-
0064	1	-
0065	1	19 mpg City, 28 mpg Hwy
0066	1	19 mpg City, 28 mpg Hwy
0067	1	16 mpg City, 22 mpg Hwy
0068	1	16 mpg City, 22 mpg Hwy
0069	1	17 mpg City, 23 mpg Hwy
0070	1	17 mpg City, 23 mpg Hwy
0071	1	16 mpg City, 22 mpg Hwy
0072	1	17 mpg City, 23 mpg Hwy
0073	1	15 mpg City, 20 mpg Hwy
0074	1	15 mpg City, 20 mpg Hwy
0075	1	22 mpg City, 31 mpg Hwy
0076	1	22 mpg City, 31 mpg Hwy
0077	1	21 mpg City, 31 mpg Hwy
0078	1	21 mpg City, 31 mpg Hwy
0079	1	19 mpg City, 28 mpg Hwy
0080	1	18 mpg City, 27 mpg Hwy
0081	1	18 mpg City, 27 mpg Hwy
0082	1	18 mpg City, 27 mpg Hwy
0083	1	17 mpg City, 25 mpg Hwy
0084	1	17 mpg City, 25 mpg Hwy
0085	1	22 mpg City, 31 mpg Hwy
0086	1	21 mpg City, 31 mpg Hwy
0087	1	22 mpg City, 31 mpg Hwy
0088	1	19 mpg City, 29 mpg Hwy
0089	1	19 mpg City, 29 mpg Hwy
0090	1	25 mpg City, 36 mpg Hwy
0091	1	26 mpg City, 34 mpg Hwy
0092	1	26 mpg City, 34 mpg Hwy
0093	1	25 mpg City, 36 mpg Hwy
0094	1	26 mpg City, 34 mpg Hwy
0095	1	21 mpg City, 29 mpg Hwy
0096	1	25 mpg City, 36 mpg Hwy
0097	1	26 mpg City, 34 mpg Hwy
0098	1	26 mpg City, 34 mpg Hwy
0099	1	25 mpg City, 36 mpg Hwy
0100	1	26 mpg City, 34 mpg Hwy
0101	1	25 mpg City, 36 mpg Hwy
0102	1	26 mpg City, 34 mpg Hwy
0103	1	26 mpg City, 34 mpg Hwy
0104	1	25 mpg City, 36 mpg Hwy
0105	1	26 mpg City, 34 mpg Hwy
0106	1	21 mpg City, 29 mpg Hwy
0107	1	21 mpg City, 29 mpg Hwy
0108	1	21 mpg City, 29 mpg Hwy
0109	1	21 mpg City, 28 mpg Hwy
0110	1	21 mpg City, 28 mpg Hwy
0111	1	21 mpg City, 28 mpg Hwy
0112	1	21 mpg City, 27 mpg Hwy
0113	1	21 mpg City, 27 mpg Hwy
0114	1	21 mpg City, 27 mpg Hwy
0115	1	20 mpg City, 25 mpg Hwy
0116	1	27 mpg City, 33 mpg Hwy
0117	1	27 mpg City, 33 mpg Hwy
0118	1	27 mpg City, 33 mpg Hwy
0119	1	40 mpg City, 43 mpg Hwy
0120	1	40 mpg City, 43 mpg Hwy
0121	1	16 mpg City, 23 mpg Hwy
0122	1	16 mpg City, 23 mpg Hwy
0123	1	17 mpg City, 25 mpg Hwy
0124	1	16 mpg City, 22 mpg Hwy
0125	1	16 mpg City, 22 mpg Hwy
0126	1	16 mpg City, 22 mpg Hwy
0127	1	16 mpg City, 22 mpg Hwy
0128	1	17 mpg City, 23 mpg Hwy
0129	1	17 mpg City, 23 mpg Hwy
0130	1	17 mpg City, 23 mpg Hwy
0131	1	15 mpg City, 20 mpg Hwy
0132	1	15 mpg City, 20 mpg Hwy
0133	1	15 mpg City, 20 mpg Hwy
0134	1	15 mpg City, 20 mpg Hwy
0135	1	15 mpg City, 22 mpg Hwy
0136	1	12 mpg City, 17 mpg Hwy
0137	1	12 mpg City, 17 mpg Hwy
