auto	carquotes	price
2000	2000	2000	1554
0000	1	MSRP: $61,550
0001	1	MSRP: $34,200
0002	1	MSRP: $36,050
0003	1	MSRP: $36,200
0004	1	MSRP: $35,150
0005	1	MSRP: $43,950
0006	1	MSRP: $37,700
0007	1	MSRP: $51,250
0008	1	MSRP: $60,600
0009	1	MSRP: $63,900
0010	1	MSRP: $56,000
0011	1	MSRP: $66,200
0012	1	MSRP: $82,000
0013	1	MSRP: $85,000
0014	1	MSRP: $88,900
0015	1	MSRP: $67,050
0016	1	MSRP: $108,150
0017	1	MSRP: $47,600
0018	1	MSRP: $56,300
0019	1	MSRP: $67,200
0020	1	MSRP: $88,900
0021	1	MSRP: $89,000
0022	1	MSRP: $46,000
0023	1	MSRP: $22,780
0024	1	MSRP: $25,255
0025	1	MSRP: $27,105
0026	1	MSRP: $29,730
0027	1	MSRP: $34,890
0028	1	MSRP: $22,980
0029	1	MSRP: $23,730
0030	1	MSRP: $24,105
0031	1	MSRP: $24,905
0032	1	MSRP: $29,430
0033	1	MSRP: $31,630
0034	1	MSRP: $15,605
0035	1	MSRP: $16,405
0036	1	MSRP: $19,605
0037	1	MSRP: $22,405
0038	1	MSRP: $22,205
0039	1	MSRP: $24,205
0040	1	MSRP: $25,950
0041	1	MSRP: $25,150
0042	1	MSRP: $15,805
0043	1	MSRP: $16,605
0044	1	MSRP: $17,755
0045	1	MSRP: $18,555
0046	1	MSRP: $19,155
0047	1	MSRP: $22,405
0048	1	MSRP: $24,405
0049	1	MSRP: $23,995
0050	1	MSRP: $26,645
0051	1	MSRP: $22,945
0052	1	MSRP: $27,895
0053	1	MSRP: $23,645
0054	1	MSRP: $19,200
0055	1	MSRP: $19,850
0056	1	MSRP: $21,410
0057	1	MSRP: $23,210
0058	1	MSRP: $20,825
0059	1	MSRP: $22,075
0060	1	MSRP: $24,185
0061	1	MSRP: $15,100
0062	1	MSRP: $16,860
0063	1	MSRP: $21,490
0064	1	MSRP: $23,265
0065	1	MSRP: $40,755
0066	1	MSRP: $43,250
0067	1	MSRP: $35,595
0068	1	MSRP: $40,395
0069	1	MSRP: $38,795
0070	1	MSRP: $28,045
0071	1	MSRP: $32,495
0072	1	MSRP: $35,995
0073	1	MSRP: $28,900
0074	1	MSRP: $36,830
0075	1	MSRP: $22,555
0076	1	MSRP: $23,880
0077	1	MSRP: $26,880
0078	1	MSRP: $28,880
0079	1	MSRP: $31,305
0080	1	MSRP: $29,670
0081	1	MSRP: $32,570
0082	1	MSRP: $34,770
0083	1	MSRP: $34,020
0084	1	MSRP: $36,220
0085	1	MSRP: $23,830
0086	1	MSRP: $26,830
0087	1	MSRP: $28,030
0088	1	MSRP: $26,805
0089	1	MSRP: $29,105
0090	1	MSRP: $16,255
0091	1	MSRP: $17,405
0092	1	MSRP: $21,455
0093	1	MSRP: $22,255
0094	1	MSRP: $23,005
0095	1	MSRP: $24,255
0096	1	MSRP: $16,455
0097	1	MSRP: $17,605
0098	1	MSRP: $18,205
0099	1	MSRP: $19,005
0100	1	MSRP: $19,455
0101	1	MSRP: $20,255
0102	1	MSRP: $21,455
0103	1	MSRP: $21,005
0104	1	MSRP: $21,805
0105	1	MSRP: $23,005
0106	1	MSRP: $22,255
0107	1	MSRP: $24,255
0108	1	MSRP: $24,455
0109	1	MSRP: $21,545
0110	1	MSRP: $26,495
0111	1	MSRP: $28,495
0112	1	MSRP: $22,795
0113	1	MSRP: $25,095
0114	1	MSRP: $27,745
0115	1	MSRP: $22,635
0116	1	MSRP: $14,900
0117	1	MSRP: $17,260
0118	1	MSRP: $19,110
0119	1	MSRP: $21,300
0120	1	MSRP: $23,100
0121	1	MSRP: $26,805
0122	1	MSRP: $31,505
0123	1	MSRP: $37,205
0124	1	MSRP: $35,445
0125	1	MSRP: $40,245
0126	1	MSRP: $37,045
0127	1	MSRP: $29,495
0128	1	MSRP: $30,745
0129	1	MSRP: $37,045
0130	1	MSRP: $33,845
0131	1	MSRP: $28,450
0132	1	MSRP: $31,555
0133	1	MSRP: $34,430
0134	1	MSRP: $36,780
0135	1	MSRP: $38,150
0136	1	MSRP: $47,650
0137	1	MSRP: $47,650
0138	1	MSRP: $59,645
0139	1	MSRP: $74,545
0140	1	MSRP: $47,250
