auto	cars	fuel_economy
657	607	607	355
0000	1	City: 16 &nbsp;&nbsp;Highway: 23
0001	1	City: 17 &#150; 19 &nbsp;&nbsp;Highway: 22 &#150; 24
0002	1	City: 18 &#150; 21 &nbsp;&nbsp;Highway: 27 &#150; 30
0003	1	City: 16 &nbsp;&nbsp;Highway: 21
0004	1	City: 16 &nbsp;&nbsp;Highway: 21
0005	1	City: 17 &#150; 19 &nbsp;&nbsp;Highway: 22 &#150; 24
0006	1	City: 16 &nbsp;&nbsp;Highway: 22
0007	1	City: 17 &#150; 18 &nbsp;&nbsp;Highway: 25 &#150; 26
0008	1	City: 17 &#150; 18 &nbsp;&nbsp;Highway: 25 &#150; 26
0009	1	City: 18 &#150; 21 &nbsp;&nbsp;Highway: 27 &#150; 30
0010	1	City: 13 &nbsp;&nbsp;Highway: 19
0011	1	City: 11 &#150; 13 &nbsp;&nbsp;Highway: 17 &#150; 20
0012	1	City: 11 &#150; 12 &nbsp;&nbsp;Highway: 17 &#150; 18
0013	1	City: 13 &nbsp;&nbsp;Highway: 19
0014	1	City: 12 &#150; 14 &nbsp;&nbsp;Highway: 19 &#150; 20
0015	1	City: 12 &nbsp;&nbsp;Highway: 18
0016	1	City: 13 &nbsp;&nbsp;Highway: 19
0017	1	City: 11 &nbsp;&nbsp;Highway: 15
0018	1	City: 28 &#150; 29 &nbsp;&nbsp;Highway: 37 &#150; 38
0019	1	City: 41 &nbsp;&nbsp;Highway: 36
0020	1	City: 22 &nbsp;&nbsp;Highway: 25
0021	1	City: 17 &#150; 19 &nbsp;&nbsp;Highway: 23 &#150; 26
0022	0	<NULL>
0023	0	<NULL>
0024	0	<NULL>
0025	0	<NULL>
0026	1	City: 17 &#150; 23 &nbsp;&nbsp;Highway: 24 &#150; 34
0027	1	City: 16 &#150; 18 &nbsp;&nbsp;Highway: 23 &#150; 26
0028	1	City: 17 &#150; 19 &nbsp;&nbsp;Highway: 25 &#150; 31
0029	1	City: 17 &#150; 18 &nbsp;&nbsp;Highway: 25 &#150; 28
0030	0	<NULL>
0031	1	City: 12 &#150; 13 &nbsp;&nbsp;Highway: 15 &#150; 17
0032	0	<NULL>
0033	1	City: 12 &#150; 13 &nbsp;&nbsp;Highway: 16 &#150; 17
0034	0	<NULL>
0035	1	City: 10 &#150; 12 &nbsp;&nbsp;Highway: 13 &#150; 15
0036	1	City: 17 &#150; 18 &nbsp;&nbsp;Highway: 23 &#150; 25
0037	1	City: 18 &#150; 22 &nbsp;&nbsp;Highway: 23 &#150; 28
0038	1	City: 18 &#150; 23 &nbsp;&nbsp;Highway: 23 &#150; 28
0039	1	City: 30 &#150; 34 &nbsp;&nbsp;Highway: 27 &#150; 31
0040	1	City: 30 &#150; 34 &nbsp;&nbsp;Highway: 27 &#150; 31
0041	1	City: 12 &#150; 14 &nbsp;&nbsp;Highway: 17 &#150; 20
0042	1	City: 13 &#150; 14 &nbsp;&nbsp;Highway: 18 &#150; 20
0043	1	City: 12 &#150; 14 &nbsp;&nbsp;Highway: 17 &#150; 20
0044	1	City: 13 &#150; 14 &nbsp;&nbsp;Highway: 18 &#150; 20
0045	1	City: 13 &#150; 15 &nbsp;&nbsp;Highway: 19 &#150; 21
0046	1	City: 13 &#150; 15 &nbsp;&nbsp;Highway: 19 &#150; 21
0047	1	City: 14 &#150; 15 &nbsp;&nbsp;Highway: 18 &#150; 21
0048	0	<NULL>
0049	0	<NULL>
