auto	cars	model
657	657	657	657
0000	1	2010 Acura ZDX
0001	1	2010 Acura RDX
0002	1	2011 Acura TSX
0003	1	2010 Acura MDX
0004	1	2011 Acura MDX
0005	1	2011 Acura RDX
0006	1	2010 Acura RL
0007	1	2010 Acura TL
0008	1	2011 Acura TL
0009	1	2010 Acura TSX
0010	1	2010 Aston Martin Rapide
0011	1	2010 Aston Martin DB9
0012	1	2010 Aston Martin DBS
0013	1	2011 Aston Martin Rapide
0014	1	2010 Aston Martin V8 Vantage
0015	1	2010 Ferrari 458 Italia
0016	1	2010 Ferrari California
0017	1	2010 Ferrari 599 GTB Fiorano
0018	1	2011 Ford Fiesta
0019	1	2010 Ford Fusion Hybrid
0020	1	2010 Ford Transit Connect
0021	1	2011 Ford Edge
0022	1	2011 Ford Explorer
0023	1	2011 Ford F-250
0024	1	2011 Ford F-350
0025	1	2011 Ford F-450
0026	1	2010 Ford Fusion
0027	1	2010 Ford Mustang
0028	1	2011 Ford Mustang
0029	1	2010 Ford Taurus
0030	1	2010 Ford E-150
0031	1	2011 Ford E-150
0032	1	2010 Ford E-250
0033	1	2011 Ford E-250
0034	1	2010 Ford E-350 Super Duty
0035	1	2011 Ford E-350 Super Duty
0036	1	2010 Ford Edge
0037	1	2010 Ford Escape
0038	1	2011 Ford Escape
0039	1	2010 Ford Escape Hybrid
0040	1	2011 Ford Escape Hybrid
0041	1	2010 Ford Expedition
0042	1	2011 Ford Expedition
0043	1	2010 Ford Expedition EL
0044	1	2011 Ford Expedition EL
0045	1	2010 Ford Explorer
0046	1	2010 Ford Explorer Sport Trac
0047	1	2010 Ford F-150
0048	1	2011 Ford F-150
0049	1	2010 Ford F-250
0050	1	2010 Ford F-350
0051	1	2010 Ford F-450
0052	1	2010 Ford Flex
0053	1	2011 Ford Flex
0054	1	2010 Ford Focus
0055	1	2011 Ford Focus
0056	1	2011 Ford Fusion
0057	1	2011 Ford Fusion Hybrid
0058	1	2010 Ford Ranger
0059	1	2011 Ford Ranger
0060	1	2011 Ford Taurus
0061	1	2011 Ford Transit Connect
0062	1	2010 GMC Terrain
0063	1	2011 GMC Sierra 2500HD
0064	1	2011 GMC Sierra 3500HD
0065	1	2010 GMC Acadia
0066	1	2011 GMC Acadia
0067	1	2010 GMC Canyon
0068	1	2011 GMC Canyon
0069	1	2010 GMC Savana 1500
0070	1	2011 GMC Savana 1500
0071	1	2010 GMC Savana 2500
0072	1	2011 GMC Savana 2500
0073	1	2010 GMC Savana 3500
0074	1	2011 GMC Savana 3500
0075	1	2010 GMC Sierra 1500
0076	1	2011 GMC Sierra 1500
0077	1	2010 GMC Sierra 1500 Hybrid
0078	1	2011 GMC Sierra 1500 Hybrid
0079	1	2010 GMC Sierra 2500HD
0080	1	2010 GMC Sierra 3500HD
0081	1	2011 GMC Terrain
0082	1	2010 GMC Yukon
0083	1	2011 GMC Yukon
0084	1	2010 GMC Yukon Hybrid
0085	1	2011 GMC Yukon Hybrid
0086	1	2010 GMC Yukon XL 1500
0087	1	2011 GMC Yukon XL 1500
0088	1	2010 Honda Accord Crosstour
0089	1	2011 Honda CR-Z
0090	1	2010 Honda Insight
0091	1	2011 Honda Odyssey
0092	1	2010 Honda Accord
0093	1	2011 Honda Accord
0094	1	2010 Honda Civic
0095	1	2011 Honda Civic
0096	1	2010 Honda Civic Hybrid
0097	1	2011 Honda Civic Hybrid
0098	1	2010 Honda CR-V
0099	1	2011 Honda CR-V
0100	1	2010 Honda Element
