auto	cars	price
657	647	647	614
0000	1	$45,495
0001	1	$32,520 &#150; $34,520
0002	1	$29,610 &#150; $35,150
0003	1	$42,230 &#150; $51,855
0004	1	$42,580 &#150; $52,205
0005	1	$32,620 &#150; $34,620
0006	1	$46,830 &#150; $54,250
0007	1	$35,105 &#150; $38,655
0008	1	$35,305 &#150; $38,855
0009	1	$29,310 &#150; $34,850
0010	1	$197,850
0011	1	$187,070 &#150; $200,570
0012	1	$273,000 &#150; $286,500
0013	1	$197,850
0014	1	$120,750 &#150; $133,750
0015	1	$225,325
0016	1	$192,000
0017	1	$326,730 &#150; $336,541
0018	1	$13,320 &#150; $17,120
0019	1	$27,950
0020	1	$21,185 &#150; $22,755
0021	1	$27,220 &#150; $38,070
0022	1	$28,190 &#150; $39,190
0023	1	$28,335 &#150; $44,605
0024	1	$29,055 &#150; $46,320
0025	1	$48,665 &#150; $57,710
0026	1	$19,695 &#150; $28,355
0027	1	$21,395 &#150; $36,395
0028	1	$22,145 &#150; $37,845
0029	1	$25,170 &#150; $37,770
0030	1	$25,510 &#150; $30,425
0031	1	$26,055 &#150; $30,640
0032	1	$26,510 &#150; $30,255
0033	1	$27,055 &#150; $30,470
0034	1	$29,440 &#150; $34,845
0035	1	$29,985 &#150; $35,060
0036	1	$27,420 &#150; $35,770
0037	1	$21,020 &#150; $27,375
0038	1	$21,215 &#150; $27,565
0039	1	$29,860 &#150; $34,120
0040	1	$29,935 &#150; $34,195
0041	1	$35,585 &#150; $48,590
0042	1	$35,830 &#150; $49,280
0043	1	$39,110 &#150; $51,240
0044	1	$39,355 &#150; $51,930
0045	1	$29,280 &#150; $38,600
0046	1	$28,210 &#150; $35,590
0047	1	$22,060 &#150; $39,915
0048	1	$22,415 &#150; $51,140
0049	1	$25,875 &#150; $42,855
0050	1	$26,595 &#150; $43,805
0051	1	$44,720 &#150; $55,660
0052	1	$28,950 &#150; $42,465
0053	1	$29,075 &#150; $45,185
0054	1	$16,290 &#150; $18,780
0055	1	$16,640 &#150; $19,670
0056	1	$19,720 &#150; $28,645
0057	1	$28,240
0058	1	$17,820 &#150; $25,800
0059	1	$17,935 &#150; $26,025
0060	1	$25,170 &#150; $37,770
0061	1	$21,200 &#150; $23,200
0062	1	$24,250 &#150; $31,300
0063	1	$27,965 &#150; $45,865
0064	1	$28,805 &#150; $46,750
0065	1	$31,740 &#150; $42,185
0066	1	$31,840 &#150; $45,220
0067	1	$16,985 &#150; $29,835
0068	1	$17,045 &#150; $29,895
0069	1	$24,655 &#150; $32,070
0070	1	$24,860 &#150; $32,970
0071	1	$25,775 &#150; $39,630
0072	1	$25,980 &#150; $39,835
0073	1	$29,095 &#150; $41,975
0074	1	$29,300 &#150; $46,375
0075	1	$20,850 &#150; $46,435
0076	1	$20,850 &#150; $46,645
0077	1	$38,710 &#150; $48,190
0078	1	$38,710 &#150; $48,190
0079	1	$27,465 &#150; $43,905
0080	1	$27,685 &#150; $44,420
0081	1	$24,250 &#150; $31,400
0082	1	$38,020 &#150; $55,995
0083	1	$38,535 &#150; $56,235
0084	1	$51,185 &#150; $61,345
0085	1	$51,200 &#150; $61,360
0086	1	$41,490 &#150; $58,750
0087	1	$42,005 &#150; $58,990
0088	1	$29,670 &#150; $34,020
0089	1	$19,200 &#150; $20,760
0090	1	$19,800 &#150; $21,300
0091	1	$27,800 &#150; $43,250
0092	1	$21,055 &#150; $29,305
0093	1	$21,180 &#150; $29,730
0094	1	$15,455 &#150; $25,340
0095	1	$15,605 &#150; $25,490
0096	1	$23,800
0097	1	$23,950
0098	1	$21,545 &#150; $27,745
0099	1	$21,695 &#150; $27,895
0100	1	$20,525 &#150; $24,320
0101	1	$20,825 &#150; $24,185
0102	1	$14,900 &#150; $16,410
0103	1	$26,805 &#150; $40,755
0104	1	$27,895 &#150; $38,645
0105	1	$28,045 &#150; $40,395
0106	1	$28,450 &#150; $34,430
0107	1	$28,900 &#150; $34,480
0108	1	$33,390 &#150; $41,705
0109	1	$30,915 &#150; $39,205
0110	0	<NULL>
0111	1	$22,000 &#150; $30,500
0112	0	<NULL>
0113	1	$25,495 &#150; $30,095
0114	1	$21,695 &#150; $30,295
0115	1	$19,195 &#150; $27,045
0116	1	$9,970 &#150; $16,195
0117	1	$9,985 &#150; $15,345
0118	1	$24,970 &#150; $29,570
0119	1	$14,145 &#150; $17,845
0120	1	$15,995 &#150; $18,995
0121	1	$15,995 &#150; $19,495
0122	1	$33,000 &#150; $39,500
0123	1	$33,000 &#150; $43,000
0124	1	$22,250 &#150; $30,750
0125	1	$21,695 &#150; $30,695
0126	1	$18,700 &#150; $26,550
0127	1	$18,995 &#150; $25,845
0128	1	$18,745 &#150; $26,195
0129	1	$28,145 &#150; $35,895
0130	1	$28,145 &#150; $35,895
0131	1	$30,950 &#150; $32,350
0132	1	$33,250 &#150; $54,900
0133	1	$46,500
0134	1	$57,900
0135	1	$57,200 &#150; $60,300
0136	1	$33,800 &#150; $37,400
0137	1	$34,150 &#150; $37,750
0138	1	$42,850 &#150; $44,300
0139	1	$41,600 &#150; $43,050
0140	1	$59,000
0141	1	$56,400
0142	1	$35,050 &#150; $56,750
0143	1	$45,800
0144	1	$52,150
0145	1	$56,700 &#150; $59,800
0146	1	$51,150 &#150; $79,150
0147	1	$71,650 &#150; $114,150
0148	1	$52,500 &#150; $79,600
0149	1	$72,700 &#150; $113,200
0150	1	$82,150 &#150; $101,150
0151	1	$83,000 &#150; $104,625
0152	1	$30,215 &#150; $41,910
0153	1	$31,575 &#150; $42,830
0154	1	$15,365 &#150; $25,135
0155	1	$30,710 &#150; $43,325
0156	1	$23,255 &#150; $28,735
0157	1	$23,250 &#150; $28,250
0158	1	$15,365 &#150; $24,550
0159	1	$15,995 &#150; $23,895
0160	1	$21,165 &#150; $28,775
0161	1	$22,045 &#150; $29,245
0162	1	$23,410 &#150; $32,050
0163	1	$25,545 &#150; $32,745
0164	1	$13,695 &#150; $17,495
0165	1	$16,595 &#150; $17,695
0166	1	$13,300 &#150; $17,195
0167	1	$18,995 &#150; $25,995
0168	1	$20,995 &#150; $33,895
0169	1	$18,295 &#150; $24,795
0170	1	$14,995 &#150; $18,895
0171	1	$16,995 &#150; $18,395
0172	1	$17,995 &#150; $22,795
0173	1	$11,695 &#150; $14,895
0174	1	$12,295 &#150; $16,095
0175	1	$13,895 &#150; $15,195
0176	1	$15,095 &#150; $16,395
0177	0	<NULL>
0178	1	$22,195 &#150; $28,695
0179	1	$24,595 &#150; $29,195
0180	1	$13,300 &#150; $18,495
0181	1	$16,995 &#150; $23,495
0182	1	$78,050 &#150; $84,000
0183	1	$46,900 &#150; $61,000
0184	1	$114,200 &#150; $161,000
0185	1	$45,900
0186	1	$38,300 &#150; $41,300
0187	1	$47,000 &#150; $50,000
0188	1	$27,270 &#150; $30,850
0189	1	$27,270 &#150; $30,850
0190	1	$31,450 &#150; $35,350
0191	1	$31,950 &#150; $35,940
0192	1	$36,000 &#150; $44,100
0193	1	$36,500 &#150; $44,190
0194	1	$45,200 &#150; $59,150
0195	1	$45,200 &#150; $50,200
0196	1	$76,000 &#150; $79,900
0197	1	$37,350
0198	1	$35,200 &#150; $42,500
0199	1	$45,700 &#150; $58,900
0200	1	$114,200 &#150; $146,000
0201	1	$46,600
0202	1	$52,400 &#150; $58,250
0203	1	$53,100 &#150; $58,450
0204	1	$76,100
0205	1	$NaN
0206	1	$37,800 &#150; $40,800
0207	1	$45,900 &#150; $48,900
0208	1	$198,000 &#150; $221,000
0209	1	$187,900 &#150; $237,600
0210	1	$354,000 &#150; $450,000
0211	1	$47,250
0212	1	$35,500
0213	1	$35,700
0214	1	$47,650
0215	1	$78,425 &#150; $94,275
0216	1	$79,685 &#150; $95,465
0217	1	$59,645 &#150; $73,345
0218	1	$59,645 &#150; $74,545
0219	0	<NULL>
0220	1	$34,650 &#150; $37,420
0221	1	$39,440
0222	1	$44,890
0223	1	$51,970 &#150; $56,765
0224	1	$37,625 &#150; $39,025
0225	1	$42,685 &#150; $44,275
0226	1	$35,175
0227	1	$36,025
0228	1	$45,600 &#150; $47,550
0229	1	$46,000 &#150; $47,950
0230	1	$57,450
0231	1	$58,050
0232	1	$54,070
0233	1	$54,470
0234	1	$52,345 &#150; $57,140
0235	1	$35,100 &#150; $37,870
0236	1	$32,145 &#150; $35,775
0237	1	$32,645 &#150; $36,275
0238	1	$39,890
0239	1	$37,595
0240	1	$39,070 &#150; $41,530
0241	1	$45,340
0242	1	$58,460
0243	1	$59,010
0244	1	$65,380 &#150; $74,450
0245	1	$65,380 &#150; $73,230
0246	1	$108,800
0247	1	$110,000
0248	1	$76,905
0249	1	$78,555
0250	1	$37,975 &#150; $39,375
0251	1	$43,235 &#150; $44,825
0252	1	$68,405
0253	1	$44,200 &#150; $49,200
0254	1	$34,330
0255	1	$39,145 &#150; $40,995
0256	1	$34,225 &#150; $36,115
0257	1	$34,330 &#150; $36,220
0258	1	$41,270 &#150; $48,160
0259	1	$41,270 &#150; $48,160
0260	1	$44,200 &#150; $49,200
0261	1	$38,845 &#150; $40,695
0262	1	$54,950 &#150; $57,850
0263	1	$57,155 &#150; $60,055
0264	1	$46,925 &#150; $52,595
0265	1	$46,925 &#150; $52,595
0266	1	$73,500
0267	1	$47,250 &#150; $54,990
0268	1	$65,690
0269	1	$118,000 &#150; $135,800
