auto	kbb	engine
2000	2000	2000	128
0000	1	V8, Flex Fuel, 5.3 Liter
0001	1	V8, Flex Fuel, 5.3 Liter
0002	1	V8, Hybrid, 6.0 Liter
0003	1	V8, Flexible Fuel, 6.2 Liter
0004	1	V8, Hybrid, 6.0 Liter
0005	1	V8, Hybrid, 6.0 Liter
0006	1	V8, Flex Fuel, 5.3 Liter
0007	1	V8, Flex Fuel, 5.3 Liter
0008	1	V8, Flex Fuel, 5.3 Liter
0009	1	V8, Flex Fuel, 5.3 Liter
0010	1	V8, Flexible Fuel, 6.2 Liter
0011	1	V8, Flexible Fuel, 6.2 Liter
0012	1	V8, 6.0 Liter
0013	1	V8, 6.0 Liter
0014	1	V8, 6.0 Liter
0015	1	V8, 6.0 Liter
0016	1	V8, 6.0 Liter
0017	1	V8, 6.0 Liter
0018	1	4-Cyl, VTEC, 2.4 Liter
0019	1	4-Cyl, VTEC, 2.4 Liter
0020	1	4-Cyl, VTEC, 2.4 Liter
0021	1	4-Cyl, VTEC, 2.4 Liter
0022	1	4-Cyl, VTEC, 2.4 Liter
0023	1	V6, VTEC, 3.5 Liter
0024	1	V6, VTEC, 3.5 Liter
0025	1	V6, VTEC, 3.5 Liter
0026	1	4-Cyl, VTEC, 2.4 Liter
0027	1	4-Cyl, VTEC, 2.4 Liter
0028	1	4-Cyl, VTEC, 2.4 Liter
0029	1	4-Cyl, VTEC, 2.4 Liter
0030	1	4-Cyl, VTEC, 2.4 Liter
0031	1	4-Cyl, VTEC, 2.4 Liter
0032	1	4-Cyl, VTEC, 2.4 Liter
0033	1	V6, VTEC, 3.5 Liter
0034	1	4-Cyl, VTEC, 2.4 Liter
0035	1	4-Cyl, VTEC, 2.4 Liter
0036	1	4-Cyl, VTEC, 2.4 Liter
0037	1	4-Cyl, VTEC, 2.4 Liter
0038	1	4-Cyl, VTEC, 2.4 Liter
0039	1	V6, VTEC, 3.5 Liter
0040	1	V6, VTEC, 3.5 Liter
0041	1	V6, VTEC, 3.5 Liter
0042	1	4-Cyl, VTEC, 2.4 Liter
0043	1	4-Cyl, VTEC, 2.4 Liter
0044	1	4-Cyl, VTEC, 2.4 Liter
0045	1	4-Cyl, VTEC, 2.4 Liter
0046	1	4-Cyl, VTEC, 2.4 Liter
0047	1	4-Cyl, VTEC, 2.4 Liter
0048	1	4-Cyl, VTEC, 2.4 Liter
0049	1	V6, VTEC, 3.5 Liter
0050	1	4-Cyl, VTEC, 1.8 Liter
0051	1	4-Cyl, VTEC, 1.8 Liter
0052	1	4-Cyl, VTEC, 1.8 Liter
0053	1	4-Cyl, VTEC, 1.8 Liter
0054	1	4-Cyl, VTEC, 1.8 Liter
0055	1	4-Cyl, VTEC, 1.8 Liter
0056	1	4-Cyl, VTEC, 1.8 Liter
0057	1	4-Cyl, VTEC, 2.0 Liter
0058	1	4-Cyl, VTEC, 1.8 Liter
0059	1	4-Cyl, VTEC, 1.8 Liter
0060	1	4-Cyl, VTEC, 1.8 Liter
0061	1	4-Cyl, VTEC, 1.8 Liter
0062	1	4-Cyl, VTEC, 1.8 Liter
0063	1	4-Cyl, VTEC, 1.8 Liter
0064	1	4-Cyl, VTEC, 1.8 Liter
0065	1	4-Cyl, VTEC, 1.8 Liter
0066	1	4-Cyl, VTEC, 2.0 Liter
0067	1	4-Cyl, VTEC, 2.0 Liter
0068	1	4-Cyl, VTEC, 2.0 Liter
0069	1	4-Cyl, Hybrid, 1.3 Liter
0070	1	4-Cyl, NGV, 1.8 Liter
0071	1	4-Cyl, VTEC, 1.8 Liter
0072	1	4-Cyl, VTEC, 1.8 Liter
0073	1	4-Cyl, VTEC, 1.8 Liter
0074	1	4-Cyl, VTEC, 1.8 Liter
0075	1	4-Cyl, VTEC, 2.0 Liter
0076	1	4-Cyl, VTEC, 2.0 Liter
0077	1	4-Cyl, VTEC, 2.0 Liter
0078	1	4-Cyl, VTEC, 1.8 Liter
0079	1	4-Cyl, VTEC, 1.8 Liter
0080	1	4-Cyl, VTEC, 1.8 Liter
0081	1	4-Cyl, VTEC, 1.8 Liter
0082	1	4-Cyl, VTEC, 2.0 Liter
0083	1	4-Cyl, Hybrid, 1.3 Liter
0084	1	4-Cyl, Hybrid, 1.3 Liter
0085	1	4-Cyl, Hybrid, 1.3 Liter
0086	1	4-Cyl, Hybrid, 1.3 Liter
0087	1	4-Cyl, NGV, 1.8 Liter
0088	1	4-Cyl, VTEC, 2.4 Liter
0089	1	4-Cyl, VTEC, 2.4 Liter
0090	1	4-Cyl, VTEC, 2.4 Liter
0091	1	4-Cyl, VTEC, 2.4 Liter
0092	1	4-Cyl, VTEC, 2.4 Liter
0093	1	4-Cyl, VTEC, 2.4 Liter
0094	1	4-Cyl, VTEC, 2.4 Liter
0095	1	4-Cyl, VTEC, 2.4 Liter
0096	1	4-Cyl, VTEC, 1.5 Liter
0097	1	4-Cyl, VTEC, 2.4 Liter
0098	1	4-Cyl, VTEC, 2.4 Liter
0099	1	4-Cyl, VTEC, 2.4 Liter
0100	1	4-Cyl, VTEC, 2.4 Liter
0101	1	4-Cyl, VTEC, 2.4 Liter
0102	1	4-Cyl, VTEC, 2.4 Liter
0103	1	4-Cyl, VTEC, 2.4 Liter
0104	1	4-Cyl, VTEC, 2.4 Liter
0105	1	4-Cyl, VTEC, 1.5 Liter
0106	1	4-Cyl, VTEC, 1.5 Liter
0107	1	4-Cyl, VTEC, 1.5 Liter
0108	1	4-Cyl, VTEC, 1.5 Liter
0109	1	4-Cyl, VTEC, 1.5 Liter
0110	1	4-Cyl, VTEC, 1.5 Liter
