auto	kbb	fuel_economy
2000	2000	2000	152
0000	1	15 mpg City / 21 mpg Hwy
0001	1	15 mpg City / 21 mpg Hwy
0002	1	20 mpg City / 23 mpg Hwy
0003	1	13 mpg City / 18 mpg Hwy
0004	1	20 mpg City / 23 mpg Hwy
0005	1	20 mpg City / 23 mpg Hwy
0006	1	15 mpg City / 21 mpg Hwy
0007	1	15 mpg City / 21 mpg Hwy
0008	1	15 mpg City / 21 mpg Hwy
0009	1	15 mpg City / 21 mpg Hwy
0010	1	14 mpg City / 18 mpg Hwy
0011	1	13 mpg City / 18 mpg Hwy
0012	1	-
0013	1	-
0014	1	10 mpg City / 16 mpg Hwy
0015	1	10 mpg City / 15 mpg Hwy
0016	1	10 mpg City / 16 mpg Hwy
0017	1	10 mpg City / 15 mpg Hwy
0018	1	22 mpg City / 31 mpg Hwy
0019	1	21 mpg City / 31 mpg Hwy
0020	1	21 mpg City / 31 mpg Hwy
0021	1	21 mpg City / 31 mpg Hwy
0022	1	21 mpg City / 31 mpg Hwy
0023	1	19 mpg City / 28 mpg Hwy
0024	1	17 mpg City / 25 mpg Hwy
0025	1	17 mpg City / 25 mpg Hwy
0026	1	22 mpg City / 31 mpg Hwy
0027	1	21 mpg City / 31 mpg Hwy
0028	1	21 mpg City / 31 mpg Hwy
0029	1	21 mpg City / 31 mpg Hwy
0030	1	21 mpg City / 31 mpg Hwy
0031	1	21 mpg City / 31 mpg Hwy
0032	1	22 mpg City / 31 mpg Hwy
0033	1	19 mpg City / 29 mpg Hwy
0034	1	22 mpg City / 33 mpg Hwy
0035	1	23 mpg City / 32 mpg Hwy
0036	1	22 mpg City / 33 mpg Hwy
0037	1	22 mpg City / 33 mpg Hwy
0038	1	22 mpg City / 33 mpg Hwy
0039	1	17 mpg City / 26 mpg Hwy
0040	1	17 mpg City / 26 mpg Hwy
0041	1	19 mpg City / 29 mpg Hwy
0042	1	23 mpg City / 34 mpg Hwy
0043	1	23 mpg City / 34 mpg Hwy
0044	1	23 mpg City / 34 mpg Hwy
0045	1	23 mpg City / 33 mpg Hwy
0046	1	23 mpg City / 34 mpg Hwy
0047	1	23 mpg City / 34 mpg Hwy
0048	1	23 mpg City / 34 mpg Hwy
0049	1	18 mpg City / 27 mpg Hwy
0050	1	26 mpg City / 34 mpg Hwy
0051	1	25 mpg City / 36 mpg Hwy
0052	1	26 mpg City / 34 mpg Hwy
0053	1	25 mpg City / 36 mpg Hwy
0054	1	26 mpg City / 34 mpg Hwy
0055	1	25 mpg City / 36 mpg Hwy
0056	1	26 mpg City / 34 mpg Hwy
0057	1	21 mpg City / 29 mpg Hwy
