auto	kbb	model
2000	2000	4000	1993
0000	2	2011 GMC Yukon Highlights	2011 GMC Yukon 4-door SLE Sport Utility
0001	2	2011 GMC Yukon Highlights	2011 GMC Yukon 4-door SLT Sport Utility
0002	2	2011 GMC Yukon Highlights	2011 GMC Yukon 4-door Hybrid Sport Utility
0003	2	2011 GMC Yukon Highlights	2011 GMC Yukon 4-door Denali Sport Utility
0004	2	2011 GMC Yukon Highlights	2011 GMC Yukon 4-door Denali Hybrid Sport Utility
0005	2	2011 GMC Yukon Highlights	2011 GMC Yukon 4-door Denali Hybrid Sport Utility
0006	2	2010 GMC Yukon XL 1500 Highlights	2010 GMC Yukon XL 1500 4-door SLE Sport Utility
0007	2	2010 GMC Yukon XL 1500 Highlights	2010 GMC Yukon XL 1500 4-door SLT Sport Utility
0008	2	2011 GMC Yukon XL 1500 Highlights	2011 GMC Yukon XL 1500 4-door SLE Sport Utility
0009	2	2011 GMC Yukon XL 1500 Highlights	2011 GMC Yukon XL 1500 4-door SLT Sport Utility
0010	2	2011 GMC Yukon XL 1500 Highlights	2011 GMC Yukon XL 1500 4-door Denali Sport Utility
0011	2	2011 GMC Yukon XL 1500 Highlights	2011 GMC Yukon XL 1500 4-door Denali Sport Utility
0012	2	2010 GMC Yukon XL 2500 Highlights	2010 GMC Yukon XL 2500 4-door SLE Sport Utility
0013	2	2010 GMC Yukon XL 2500 Highlights	2010 GMC Yukon XL 2500 4-door SLT Sport Utility
0014	2	2011 GMC Yukon XL 2500 Highlights	2011 GMC Yukon XL 2500 4-door SLE Sport Utility
0015	2	2011 GMC Yukon XL 2500 Highlights	2011 GMC Yukon XL 2500 4-door SLE Sport Utility
0016	2	2011 GMC Yukon XL 2500 Highlights	2011 GMC Yukon XL 2500 4-door SLT Sport Utility
0017	2	2011 GMC Yukon XL 2500 Highlights	2011 GMC Yukon XL 2500 4-door SLT Sport Utility
0018	2	2010 Honda Accord Highlights	2010 Honda Accord 2-door LX-S Coupe
0019	2	2010 Honda Accord Highlights	2010 Honda Accord 2-door LX-S Coupe
0020	2	2010 Honda Accord Highlights	2010 Honda Accord 2-door LX-S Coupe
0021	2	2010 Honda Accord Highlights	2010 Honda Accord 2-door EX-L Coupe
0022	2	2010 Honda Accord Highlights	2010 Honda Accord 2-door EX-L Coupe
0023	2	2010 Honda Accord Highlights	2010 Honda Accord 2-door EX-L Coupe
0024	2	2010 Honda Accord Highlights	2010 Honda Accord 2-door EX-L Coupe
0025	2	2010 Honda Accord Highlights	2010 Honda Accord 2-door EX-L Coupe
0026	2	2010 Honda Accord Highlights	2010 Honda Accord 4-door LX-P Sedan
0027	2	2010 Honda Accord Highlights	2010 Honda Accord 4-door LX-P Sedan
0028	2	2010 Honda Accord Highlights	2010 Honda Accord 4-door LX-P Sedan
0029	2	2010 Honda Accord Highlights	2010 Honda Accord 4-door EX Sedan
0030	2	2010 Honda Accord Highlights	2010 Honda Accord 4-door EX-L Sedan
0031	2	2010 Honda Accord Highlights	2010 Honda Accord 4-door EX-L Sedan
0032	2	2010 Honda Accord Highlights	2010 Honda Accord 4-door EX-L Sedan
0033	2	2010 Honda Accord Highlights	2010 Honda Accord 4-door EX-L Sedan
0034	2	2011 Honda Accord Highlights	2011 Honda Accord 2-door LX-S Coupe
