auto	kbb	price
2000	2000	2000	1675
0000	1	$39,485.00
0001	1	$47,855.00
0002	1	$52,150.00
0003	1	$57,185.00
0004	1	$59,465.00
0005	1	$62,310.00
0006	1	$42,440.00
0007	1	$49,715.00
0008	1	$45,795.00
0009	1	$47,220.00
0010	1	$56,855.00
0011	1	$59,940.00
0012	1	$46,900.00
0013	1	$48,460.00
0014	1	$44,725.00
0015	1	$47,565.00
0016	1	$48,850.00
0017	1	$51,695.00
0018	1	$23,305.00
0019	1	$24,105.00
0020	1	$24,105.00
0021	1	$27,630.00
0022	1	$27,630.00
0023	1	$30,055.00
0024	1	$30,055.00
0025	1	$32,055.00
0026	1	$22,805.00
0027	1	$23,605.00
0028	1	$23,605.00
0029	1	$25,380.00
0030	1	$27,580.00
0031	1	$27,580.00
0032	1	$28,780.00
0033	1	$31,855.00
0034	1	$24,330.00
0035	1	$25,205.00
0036	1	$26,005.00
0037	1	$27,855.00
0038	1	$27,855.00
0039	1	$30,480.00
0040	1	$32,480.00
0041	1	$32,480.00
0042	1	$22,730.00
0043	1	$23,730.00
0044	1	$24,480.00
0045	1	$24,855.00
0046	1	$25,655.00
0047	1	$30,305.00
0048	1	$30,305.00
0049	1	$33,350.00
0050	1	$16,205.00
0051	1	$17,005.00
0052	1	$20,205.00
0053	1	$21,005.00
0054	1	$21,755.00
0055	1	$22,555.00
0056	1	$23,755.00
0057	1	$24,805.00
0058	1	$17,205.00
0059	1	$17,955.00
0060	1	$18,955.00
0061	1	$19,755.00
0062	1	$20,205.00
0063	1	$22,205.00
0064	1	$22,555.00
0065	1	$23,005.00
0066	1	$23,005.00
0067	1	$25,005.00
0068	1	$25,205.00
0069	1	$24,550.00
0070	1	$26,090.00
0071	1	$17,155.00
0072	1	$20,355.00
0073	1	$23,155.00
0074	1	$24,705.00
0075	1	$22,955.00
0076	1	$23,155.00
0077	1	$24,955.00
0078	1	$16,555.00
0079	1	$18,105.00
0080	1	$19,105.00
0081	1	$23,155.00
0082	1	$23,355.00
0083	1	$24,700.00
0084	1	$25,900.00
0085	1	$26,700.00
0086	1	$27,900.00
0087	1	$26,240.00
0088	1	$23,575.00
0089	1	$24,625.00
0090	1	$28,525.00
0091	1	$29,275.00
0092	1	$22,475.00
0093	1	$28,675.00
0094	1	$29,425.00
0095	1	$30,675.00
0096	1	$19,950.00
0097	1	$23,415.00
0098	1	$24,665.00
0099	1	$24,300.00
0100	1	$25,100.00
0101	1	$26,800.00
0102	1	$21,605.00
0103	1	$22,855.00
0104	1	$24,965.00
0105	1	$15,650.00
0106	1	$16,450.00
0107	1	$18,010.00
0108	1	$16,650.00
0109	1	$18,460.00
0110	1	$19,990.00
0111	1	$20,550.00
0112	1	$22,050.00
0113	1	$23,850.00
0114	1	$27,585.00
0115	1	$30,685.00
0116	1	$34,185.00
0117	1	$37,985.00
0118	1	$31,730.00
0119	1	$35,230.00
0120	1	$36,830.00
0121	1	$37,230.00
0122	1	$41,535.00
0123	1	$44,030.00
0124	1	$28,675.00
0125	1	$30,275.00
0126	1	$31,525.00
0127	1	$33,125.00
0128	1	$34,625.00
0129	1	$36,225.00
0130	1	$39,425.00
0131	1	$39,425.00
0132	1	$41,025.00
0133	1	$30,425.00
0134	1	$31,675.00
0135	1	$33,275.00
0136	1	$36,375.00
0137	1	$36,375.00
0138	1	$29,230.00
0139	1	$37,610.00
0140	1	$34,170.00
0141	1	$31,695.00
0142	1	$13,715.00
0143	1	$14,265.00
0144	1	$16,915.00
0145	1	$17,715.00
0146	1	$14,365.00
0147	1	$15,365.00
0148	1	$10,705.00
