auto	motortrend	engine
1267	1267	1267	262
0000	1	Engine: 4.4L V-8 DOHC with variable valve timing and four valves per cylinder
0001	1	Engine: 4.4L V 8 double overhead cam with VVT ( 10.0 :1 compression ratio ; four valves per cylinder)
0002	1	Engine: 4.0L V 8 double overhead cam with VVT ( 12.0 :1 compression ratio ; four valves per cylinder)
0003	1	Engine: 4.0L V 8 double overhead cam with VVT ( 12.0 :1 compression ratio ; four valves per cylinder)
0004	1	Engine: 4.0L V 8 double overhead cam with VVT ( 12.0 :1 compression ratio ; four valves per cylinder)
0005	1	Engine: 3.0L in-line 6 double overhead cam with VVT ( 10.2 :1 compression ratio ; four valves per cylinder)
0006	1	Engine: 3.0L in-line 6 double overhead cam ( 17.0 :1 compression ratio ; four valves per cylinder)
0007	1	Engine: 4.4L V 8 double overhead cam with VVT ( 10.0 :1 compression ratio ; four valves per cylinder)
0008	1	Engine: 4.4L V 8 double overhead cam with VVT ( 9.3 :1 compression ratio ; four valves per cylinder)
0009	1	Engine: 3.0L in-line6 DOHC with variable valve timing and four valves per cylinder
0010	1	Engine: 4.4L V-8 DOHC with variable valve timing and four valves per cylinder
0011	1	Engine: 4.4L V-8 DOHC with variable valve timing and four valves per cylinder
0012	1	Engine: 3.0L in-line 6 double overhead cam with VVT ( 10.2 :1 compression ratio ; four valves per cylinder)
0013	1	Engine: 4.4L V 8 double overhead cam with VVT ( 10.0 :1 compression ratio ; four valves per cylinder)
0014	1	Engine: 4.4L V 8 double overhead cam with VVT ( 9.3 :1 compression ratio ; four valves per cylinder)
0015	1	Engine: 3.0L in-line 6 double overhead cam with VVT ( 10.7 :1 compression ratio ; four valves per cylinder)
0016	1	Engine: 3.0L in-line 6 double overhead cam with VVT ( 10.2 :1 compression ratio ; four valves per cylinder)
0017	1	Engine: 3.0L in-line 6 double overhead cam with VVT ( 10.2 :1 compression ratio ; four valves per cylinder)
0018	1	Engine: 2.0L in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0019	1	Engine: 2.4L in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0020	1	Engine: 2.7L V-6 DOHC with variable valve timing and four valves per cylinder
0021	1	Engine: 2.4L in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0022	1	Engine: 1.6L in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0023	1	Engine: 1.6L in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0024	1	Engine: 1.6L in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0025	1	Engine: 1.6L in-line 4 double overhead cam with VVT ( 10.0 :1 compression ratio ; four valves per cylinder)
0026	1	Engine: 1.6L in-line 4 double overhead cam with VVT ( 10.0 :1 compression ratio ; four valves per cylinder)
0027	1	Engine: 1.6L in-line 4 double overhead cam with VVT ( 10.0 :1 compression ratio ; four valves per cylinder)
0028	1	Engine: 1.6L in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0029	1	Engine: 1.6L in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0030	1	Engine: 1.6L in-line 4 double overhead cam with VVT ( 10.0 :1 compression ratio ; four valves per cylinder)
0031	1	Engine: 1.6L in-line 4 double overhead cam with VVT ( 10.0 :1 compression ratio ; four valves per cylinder)
0032	1	Engine: 3.5L V-6 DOHC with variable valve timing and four valves per cylinder
0033	1	Engine: 3.5L V-6 DOHC with variable valve timing and four valves per cylinder
0034	1	Engine: 3.8L V 6 double overhead cam with VVT ( 10.4 :1 compression ratio ; four valves per cylinder)
0035	1	Engine: 3.8L V 6 double overhead cam with VVT ( 10.4 :1 compression ratio ; four valves per cylinder)
0036	1	Engine: 3.8L V 6 double overhead cam with VVT ( 10.4 :1 compression ratio ; four valves per cylinder)
0037	1	Engine: 2.4L in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0038	1	Engine: 2.4L in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0039	1	Engine: 2.4L in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0040	1	Engine: 3.5L V-6 DOHC with variable valve timing and four valves per cylinder
0041	1	Engine: 1.6L in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0042	1	Engine: 2.0L in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0043	1	Engine: 2.0L in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0044	1	Engine: 2.0L in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0045	1	Engine: 1.6L in-line 4 double overhead cam with VVT ( 10.5 :1 compression ratio ; four valves per cylinder)
0046	1	Engine: 2.0L in-line 4 double overhead cam with VVT ( 10.1 :1 compression ratio ; four valves per cylinder)
0047	1	Engine: 2.0L in-line 4 double overhead cam with VVT ( 10.1 :1 compression ratio ; four valves per cylinder)
0048	1	Engine: 2.4L in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0049	1	Engine: 2.4L in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0050	1	Engine: 2.4L in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0051	1	Engine: 2.7L V 6 double overhead cam ( 10.0 :1 compression ratio ; four valves per cylinder)
0052	1	Engine: 2.7L V 6 double overhead cam ( 10.0 :1 compression ratio ; four valves per cylinder)
0053	1	Engine: 3.8L horizontal 6 double overhead cam with VVT ( 12.0 :1 compression ratio ; four valves per cylinder)
0054	1	Engine: 3.8L horizontal 6 double overhead cam with VVT ( 9.8 :1 compression ratio ; four valves per cylinder)
0055	1	Engine: 3.8L horizontal 6 double overhead cam with VVT ( 9.8 :1 compression ratio ; four valves per cylinder)
0056	1	Engine: 3.4L horizontally opposed6 DOHC with variable valve timing and four valves per cylinder
