auto	motortrend	fuel_economy
1267	1267	2534	752
0000	2	17 mpg	Fuel economy: EPA (08):, 17 MPG city, 19 MPG highway, 18 MPG combined and 405 mi. range
0001	2	17 mpg	Fuel consumption: city= 17 (mpg); highway= 19 (mpg); combined= 18 (mpg); vehicle range: 405 miles
0002	2	14 mpg	Fuel consumption: city= 14 (mpg); highway= 20 (mpg); combined= 16 (mpg); vehicle range: 265 miles
0003	2	14 mpg	Fuel consumption: city= 14 (mpg); highway= 20 (mpg); combined= 16 (mpg); vehicle range: 265 miles
0004	2	13 mpg	Fuel consumption: city= 13 (mpg); highway= 20 (mpg); combined= 16 (mpg); vehicle range: 265 miles
0005	2	17 mpg	Fuel consumption: city= 17 (mpg); highway= 25 (mpg); combined= 20 (mpg); vehicle range: 450 miles
0006	2	19 mpg	Fuel consumption: city= 19 (mpg); highway= 26 (mpg); combined= 22 (mpg); vehicle range: 495 miles
0007	2	14 mpg	Fuel consumption: city= 14 (mpg); highway= 20 (mpg); combined= 16 (mpg); vehicle range: 360 miles
0008	2	12 mpg	Fuel consumption: city= 12 (mpg); highway= 17 (mpg); combined= 14 (mpg); vehicle range: 315 miles
0009	2	17 mpg	Fuel economy: EPA (08):, 17 MPG city, 25 MPG highway, 20 MPG combined and 450 mi. range
0010	2	14 mpg	Fuel economy: EPA (08):, 14 MPG city, 20 MPG highway, 16 MPG combined and 360 mi. range
0011	2	12 mpg	Fuel economy: EPA (08):, 12 MPG city, 17 MPG highway, 14 MPG combined and 315 mi. range
0012	2	15 mpg	Fuel consumption: city= 15 (mpg); highway= 21 (mpg); combined= 17 (mpg); vehicle range: 383 miles
0013	2	13 mpg	Fuel consumption: city= 13 (mpg); highway= 18 (mpg); combined= 15 (mpg); vehicle range: 337 miles
0014	2	12 mpg	Fuel consumption: city= 12 (mpg); highway= 17 (mpg); combined= 14 (mpg); vehicle range: 315 miles
0015	2	18 mpg	Fuel consumption: city= 18 (mpg); highway= 28 (mpg); combined= 22 (mpg); vehicle range: 319 miles
0016	2	19 mpg	Fuel consumption: city= 19 (mpg); highway= 26 (mpg); combined= 21 (mpg); vehicle range: 305 miles
0017	2	17 mpg	Fuel consumption: city= 17 (mpg); highway= 24 (mpg); combined= 19 (mpg); vehicle range: 276 miles
