auto	motortrend	model
1267	1267	1267	1267
0000	1	2011 BMW ActiveHybrid X6 Base Sport Utility
0001	1	2010 BMW ActiveHybrid X6 Base Sport Utility
0002	1	2011 BMW M3 Base Sedan
0003	1	2011 BMW M3 Base Coupe
0004	1	2011 BMW M3 Base Convertible
0005	1	2011 BMW X5 xDrive35i Sport Utility
0006	1	2011 BMW X5 xDrive35d Sport Utility
0007	1	2011 BMW X5 xDrive50i Sport Utility
0008	1	2011 BMW X5 M Sport Utility
0009	1	2011 BMW X6 xDrive35i Sport Utility
0010	1	2011 BMW X6 xDrive50i Sport Utility
0011	1	2011 BMW X6 M Sport Utility
0012	1	2010 BMW X6 xDrive 35i Sport Utility
0013	1	2010 BMW X6 xDrive 50i Sport Utility
0014	1	2010 BMW X6 M Sport Utility
0015	1	2011 BMW Z4 sDrive30i Convertible
0016	1	2011 BMW Z4 sDrive35i Convertible
0017	1	2011 BMW Z4 sDrive35is Convertible
0018	1	2010 Kia Forte LX Sedan
0019	1	2010 Kia Optima LX Sedan
0020	1	2010 Kia Optima EX Sedan
0021	1	2010 Kia Optima SX Sedan
0022	1	2011 Kia Rio Base Sedan
0023	1	2011 Kia Rio LX Sedan
0024	1	2011 Kia Rio SX Sedan
0025	1	2010 Kia Rio Base Sedan
0026	1	2010 Kia Rio LX Sedan
0027	1	2010 Kia Rio SX Sedan
0028	1	2011 Kia Rio5 LX Hatchback
0029	1	2011 Kia Rio5 SX Hatchback
0030	1	2010 Kia Rio5 LX Hatchback
0031	1	2010 Kia Rio5 SX Hatchback
0032	1	2011 Kia Sedona LX Passenger Minivan
0033	1	2011 Kia Sedona EX Passenger Minivan
0034	1	2010 Kia Sedona Base Passenger Minivan
0035	1	2010 Kia Sedona LX Passenger Minivan
0036	1	2010 Kia Sedona EX Passenger Minivan
0037	1	2011 Kia Sorento Base Sport Utility
0038	1	2011 Kia Sorento LX Sport Utility
0039	1	2011 Kia Sorento EX Sport Utility
0040	1	2011 Kia Sorento SX Sport Utility
0041	1	2011 Kia Soul Base Hatchback
0042	1	2011 Kia Soul Plus Hatchback
0043	1	2011 Kia Soul Sport Hatchback
0044	1	2011 Kia Soul Exclaim Hatchback
0045	1	2010 Kia Soul Base Hatchback
0046	1	2010 Kia Soul Exclaim Hatchback
0047	1	2010 Kia Soul Sport Hatchback
0048	1	2011 Kia Sportage Base Sport Utility
0049	1	2011 Kia Sportage LX Sport Utility
0050	1	2011 Kia Sportage EX Sport Utility
0051	1	2010 Kia Sportage LX Sport Utility
0052	1	2010 Kia Sportage EX Sport Utility
