auto	motortrend	price
1267	1267	1267	1100
0000	1	$88,900
0001	1	$88,900
0002	1	$55,400
0003	1	$58,400
0004	1	$67,050
0005	1	$45,800
0006	1	$51,300
0007	1	$58,400
0008	1	$85,500
0009	1	$57,000
0010	1	$67,700
0011	1	$89,200
0012	1	$56,500
0013	1	$67,200
0014	1	$89,000
0015	1	$46,000
0016	1	$51,900
0017	1	$61,050
0018	1	$14,695
0019	1	$19,195
0020	1	$21,995
0021	1	$21,795
0022	1	$12,295
0023	1	$14,995
0024	1	$16,095
0025	1	$11,695
0026	1	$14,695
0027	1	$15,795
0028	1	$15,095
0029	1	$16,395
0030	1	$14,795
0031	1	$16,095
0032	1	$24,595
0033	1	$29,195
0034	1	$22,195
0035	1	$24,195
0036	1	$28,695
0037	1	$19,995
0038	1	$22,395
0039	1	$24,795
0040	1	$33,895
0041	1	$13,300
0042	1	$16,495
0043	1	$18,495
0044	1	$18,495
0045	1	$13,300
0046	1	$17,195
0047	1	$18,195
0048	1	$18,295
0049	1	$21,795
0050	1	$24,795
0051	1	$20,995
0052	1	$21,995
0053	1	$112,200
0054	1	$132,800
0055	1	$143,800
0056	1	$61,200
0057	1	$46,700
0058	1	$63,700
0059	1	$67,700
0060	1	$104,800
0061	1	$48,500
0062	1	$60,700
0063	1	$75,400
0064	1	$99,900
0065	1	$126,300
0066	1	$89,800
0067	1	$93,800
0068	1	$132,600
0069	1	$35,615
0070	1	$38,730
0071	1	$26,495
0072	1	$32,570
0073	1	$33,265
0074	1	$27,085
0075	1	$29,645
0076	1	$33,015
0077	1	$29,730
0078	1	$33,130
0079	1	$35,675
0080	1	$44,460
0081	1	$26,245
0082	1	$198,000
0083	1	$221,000
0084	1	$354,000
0085	1	$382,400
0086	1	$450,000
0087	1	$245,000
0088	1	$380,000
0089	1	$408,000
0090	1	$443,000
0091	1	$450,000
0092	1	$35,165
0093	1	$38,165
0094	1	$41,420
0095	1	$40,165
0096	1	$41,665
0097	1	$43,220
0098	1	$43,465
0099	1	$44,505
0100	1	$48,910
0101	1	$47,620
0102	1	$50,965
0103	1	$41,665
0104	1	$46,865
0105	1	$62,165
0106	1	$62,165
0107	1	$60,720
0108	1	$46,680
0109	1	$51,925
0110	1	$54,825
0111	1	$59,875
0112	1	$71,665
0113	1	$77,370
0114	1	$85,640
0115	1	$69,465
0116	1	$33,830
0117	1	$40,755
0118	1	$46,095
0119	1	$48,540
0120	1	$47,280
0121	1	$52,720
0122	1	$56,380
0123	1	$35,700
0124	1	$36,350
0125	1	$47,650
0126	1	$47,250
0127	1	$78,835
0128	1	$94,615
0129	1	$59,645
0130	1	$74,545
0131	1	$59,645
0132	1	$19,400
0133	1	$21,100
0134	1	$23,000
0135	1	$24,800
0136	1	$24,850
0137	1	$27,850
0138	1	$29,100
0139	1	$31,300
0140	1	$34,300
0141	1	$18,800
0142	1	$20,450
0143	1	$22,300
0144	1	$24,050
0145	1	$24,250
0146	1	$27,150
0147	1	$28,800
0148	1	$31,000
0149	1	$34,000
0150	1	$28,900
0151	1	$30,330
0152	1	$38,115
0153	1	$37,020
0154	1	$39,990
0155	1	$45,080
0156	1	$51,330
0157	1	$36,975
0158	1	$38,525
0159	1	$48,030
0160	1	$49,565
0161	1	$47,565
0162	1	$36,110
0163	1	$39,215
0164	1	$46,005
0165	1	$35,725
0166	1	$38,830
0167	1	$45,815
0168	1	$11,965
0169	1	$14,100
0170	1	$12,115
0171	1	$14,250
0172	1	$22,680
0173	1	$26,875
0174	1	$33,945
0175	1	$18,170
0176	1	$20,745
0177	1	$26,415
0178	1	$48,950
0179	1	$53,600
0180	1	$54,790
0181	1	$58,600
0182	1	$74,305
0183	1	$109,800
0184	1	$16,275
0185	1	$18,175
0186	1	$20,675
0187	1	$21,975
0188	1	$24,495
0189	1	$23,910
0190	1	$30,070
0191	1	$24,365
0192	1	$25,620
0193	1	$29,970
0194	1	$32,265
0195	1	$29,220
0196	1	$18,720
0197	1	$19,030
0198	1	$19,720
0199	1	$18,720
0200	1	$19,030
0201	1	$19,720
0202	1	$20,030
0203	1	$26,255
0204	1	$24,390
0205	1	$25,605
0206	1	$29,930
0207	1	$21,975
0208	1	$22,825
0209	1	$27,015
0210	1	$21,825
0211	1	$22,715
0212	1	$26,955
0213	1	$26,810
0214	1	$21,240
0215	1	$35,280
0216	1	$30,235
0217	1	$38,340
0218	1	$41,775
0219	1	$26,810
0220	1	$35,580
0221	1	$38,340
0222	1	$43,770
0223	1	$47,280
0224	1	$56,170
0225	1	$35,525
0226	1	$35,175
0227	1	$46,000
0228	1	$45,600
0229	1	$57,950
0230	1	$57,450
0231	1	$54,470
0232	1	$54,070
0233	1	$52,345
0234	1	$57,140
0235	1	$51,970
0236	1	$35,100
0237	1	$37,870
0238	1	$34,650
0239	1	$59,010
0240	1	$58,460
0241	1	$32,145
0242	1	$41,060
0243	1	$32,145
0244	1	$40,610
0245	1	$38,570
0246	1	$45,340
0247	1	$37,595
0248	1	$44,890
0249	1	$65,380
0250	1	$73,230
0251	1	$65,380
0252	1	$74,450
0253	1	$110,000
0254	1	$108,800
0255	1	$77,755
0256	1	$76,905
0257	1	$39,375
0258	1	$39,025
0259	1	$44,825
0260	1	$44,275
0261	1	$68,405
0262	1	$28,350
0263	1	$28,350
0264	1	$38,010
0265	1	$35,925
0266	1	$38,010
0267	1	$44,865
0268	1	$45,270
0269	1	$18,275
0270	1	$20,120
0271	1	$22,115
0272	1	$27,850
0273	1	$29,210
0274	1	$32,710
0275	1	$26,935
0276	1	$30,160
0277	1	$32,160
0278	1	$38,660
0279	1	$26,025
0280	1	$28,625
0281	1	$32,660
0282	1	$35,875
0283	1	$41,270
0284	1	$48,160
0285	1	$49,200
0286	1	$40,995
0287	1	$34,330
0288	1	$34,330
0289	1	$46,925
0290	1	$52,595
0291	1	$19,275
0292	1	$16,950
0293	1	$15,845
0294	1	$19,245
0295	1	$21,245
0296	1	$23,545
0297	1	$20,230
0298	1	$21,230
0299	1	$21,730
0300	1	$16,880
0301	1	$18,085
0302	1	$18,240
0303	1	$20,085
0304	1	$20,085
0305	1	$16,880
0306	1	$17,995
0307	1	$18,060
0308	1	$19,995
0309	1	$19,995
0310	1	$25,305
0311	1	$32,770
0312	1	$43,100
0313	1	$22,735
0314	1	$30,860
0315	1	$41,230
0316	1	$25,170
0317	1	$30,170
0318	1	$24,390
0319	1	$26,150
0320	1	$32,005
0321	1	$32,345
0322	1	$38,180
0323	1	$27,360
0324	1	$28,235
0325	1	$29,630
0326	1	$33,535
0327	1	$31,720
0328	1	$29,195
0329	1	$33,195
0330	1	$41,795
0331	1	$28,130
0332	1	$34,545
0333	1	$45,040
0334	1	$21,800
0335	1	$23,175
0336	1	$24,855
0337	1	$26,730
0338	1	$27,975
0339	1	$20,490
