auto	msn	engine
2000	2000	2000	341
0000	1	3.0L 300 hp V6
0001	1	4.2L 354 hp V8
0002	1	5.2L 435 hp V10
0003	1	4.2L 420 hp V8
0004	1	4.2L 420 hp V8
0005	1	5.2L 525 hp V10
0006	1	5.2L 525 hp V10
0007	1	3.6L 280 hp V6
0008	1	4.2L 350 hp V8
0009	1	2.4L 173 hp I4
0010	1	3.5L 235 hp V6
0011	1	2.4L 173 hp I4
0012	1	2.7L 178 hp V6
0013	1	3.5L 250 hp V6
0014	1	3.5L 250 hp V6
0015	1	3.5L 250 hp V6
0016	1	3.5L 250 hp V6
0017	1	3.5L 250 hp V6
0018	1	3.5L 250 hp V6
0019	1	5.7L 360 hp V8
0020	1	3.5L 250 hp V6
0021	1	5.7L 360 hp V8
0022	1	6.1L 425 hp V8
0023	1	4.7L 303 hp V8
0024	1	4.7L 303 hp V8
0025	1	5.7L V8
0026	1	3.8L 197 hp V6
0027	1	4.0L 251 hp V6
0028	1	3.7L 239 hp I5
0029	1	6.2L 393 hp V8
0030	1	6.2L 393 hp V8
0031	1	3.7L 239 hp I5
0032	1	3.7L 239 hp I5
0033	1	3.7L 239 hp I5
0034	1	5.3L 300 hp V8
0035	1	1.6L 110 hp I4
0036	1	1.6L 110 hp I4
0037	1	2.0L 142 hp I4
0038	1	2.0L 142 hp I4
0039	1	2.4L 173 hp I4
0040	1	1.6L 110 hp I4
0041	1	2.0L 156 hp I4
0042	1	2.4L 173 hp I4
0043	1	2.4L 200 hp I4
0044	1	2.4L 200 hp I4
0045	1	2.4L 175 hp I4
0046	1	2.4L 175 hp I4
0047	1	2.7L 198 hp V6
0048	1	2.4L 175 hp I4
0049	1	2.4L 176 hp I4
0050	1	2.4L 176 hp I4
0051	1	2.4L 176 hp I4
0052	1	2.4L 175 hp I4
0053	1	2.4L 175 hp I4
0054	1	3.5L 276 hp V6
0055	1	3.5L 276 hp V6
0056	1	3.5L 276 hp V6
0057	1	3.8L 276 hp V6
0058	1	3.8L 276 hp V6
0059	1	4.6L 337 hp V8
0060	1	4.6L 337 hp V8
0061	1	4.6L 337 hp V8
0062	1	3.8L 276 hp V6
0063	1	4.6L 337 hp V8
0064	1	4.6L 337 hp V8
0065	1	3.5L 271 hp V6
0066	1	2.4L 182 hp I4
0067	1	2.4L 182 hp I4
0068	1	4.2L 285 hp I6
0069	1	4.2L 285 hp I6
0070	1	4.2L 285 hp I6
0071	1	4.2L 285 hp I6
0072	1	4.2L 285 hp I6
0073	1	5.3L 300 hp V8
0074	1	3.6L 288 hp V6
