auto	msn	price
2000	2000	3901	2074
0000	1	$53,310
0001	2	$52,400	$52,400&nbsp;- $58,250
0002	1	$76,100
0003	2	$114,200	$114,200&nbsp;- $155,100
0004	2	$123,300	$114,200&nbsp;- $155,100
0005	2	$146,000	$114,200&nbsp;- $155,100
0006	2	$155,100	$114,200&nbsp;- $155,100
0007	2	$46,900	$46,900&nbsp;- $61,000
0008	2	$61,000	$46,900&nbsp;- $61,000
0009	2	$27,850	$20,120&nbsp;- $32,710
0010	2	$32,710	$20,120&nbsp;- $32,710
0011	2	$20,120	$20,120&nbsp;- $32,710
0012	2	$27,260	$27,260&nbsp;- $44,865
0013	2	$28,350	$27,260&nbsp;- $44,865
0014	2	$31,045	$27,260&nbsp;- $44,865
0015	2	$31,885	$27,260&nbsp;- $44,865
0016	2	$31,885	$27,260&nbsp;- $44,865
0017	2	$32,640	$27,260&nbsp;- $44,865
0018	2	$35,925	$27,260&nbsp;- $44,865
0019	2	$38,010	$27,260&nbsp;- $44,865
0020	2	$38,230	$27,260&nbsp;- $44,865
0021	2	$40,050	$27,260&nbsp;- $44,865
0022	2	$44,865	$27,260&nbsp;- $44,865
0023	2	$34,730	$34,730&nbsp;- $37,115
0024	2	$37,115	$34,730&nbsp;- $37,115
0025	1	$45,270
0026	2	$26,025	$26,025&nbsp;- $35,875
0027	2	$35,875	$26,025&nbsp;- $35,875
0028	2	$38,365	$33,390&nbsp;- $43,130
0029	2	$64,855	$61,585&nbsp;- $70,765
0030	2	$68,400	$61,585&nbsp;- $70,765
0031	2	$30,750	$30,750&nbsp;- $39,040
0032	2	$33,320	$30,750&nbsp;- $39,040
0033	2	$36,190	$30,750&nbsp;- $39,040
0034	2	$39,040	$30,750&nbsp;- $39,040
0035	2	$14,995	$12,295&nbsp;- $16,095
0036	2	$16,095	$12,295&nbsp;- $16,095
0037	2	$15,495	$13,300&nbsp;- $18,495
0038	2	$18,495	$13,300&nbsp;- $18,495
0039	2	$17,495	$13,695&nbsp;- $17,495
0040	2	$15,095	$15,095&nbsp;- $16,395
0041	2	$16,595	$16,595&nbsp;- $17,695
0042	2	$17,695	$16,595&nbsp;- $17,695
0043	2	$20,495	$18,995&nbsp;- $22,495
0044	2	$22,495	$18,995&nbsp;- $22,495
0045	2	$17,495	$17,495&nbsp;- $22,295
0046	2	$18,495	$17,495&nbsp;- $22,295
0047	2	$19,495	$17,495&nbsp;- $22,295
0048	2	$21,295	$17,495&nbsp;- $22,295
0049	2	$20,295	$18,295&nbsp;- $24,795
0050	2	$21,795	$18,295&nbsp;- $24,795
0051	2	$24,795	$18,295&nbsp;- $24,795
0052	2	$22,395	$19,995&nbsp;- $33,895
0053	2	$26,495	$19,995&nbsp;- $33,895
0054	2	$27,395	$19,995&nbsp;- $33,895
0055	2	$29,095	$19,995&nbsp;- $33,895
0056	2	$33,895	$19,995&nbsp;- $33,895
0057	2	$28,295	$26,245&nbsp;- $39,995
0058	2	$29,995	$26,245&nbsp;- $39,995
0059	2	$30,995	$26,245&nbsp;- $39,995
0060	2	$32,995	$26,245&nbsp;- $39,995
0061	2	$39,995	$26,245&nbsp;- $39,995
0062	2	$26,245	$26,245&nbsp;- $39,995
0063	2	$30,995	$26,245&nbsp;- $39,995
0064	2	$37,995	$26,245&nbsp;- $39,995
0065	2	$29,195	$24,595&nbsp;- $29,195
0066	2	$24,250	$24,250&nbsp;- $31,400
0067	2	$27,850	$24,250&nbsp;- $31,400
0068	2	N/A	$30,625&nbsp;- $38,670
0069	2	N/A	$30,625&nbsp;- $38,670
0070	2	$30,625	$30,625&nbsp;- $38,670
0071	2	$32,760	$30,625&nbsp;- $38,670
0072	2	$33,480	$30,625&nbsp;- $38,670
0073	2	$38,670	$30,625&nbsp;- $38,670
0074	2	$36,465	$31,840&nbsp;- $45,220
0075	2	$38,185	$31,840&nbsp;- $45,220
0076	2	$39,090	$31,840&nbsp;- $45,220
0077	2	$41,090	$31,840&nbsp;- $45,220
0078	2	$45,220	$31,840&nbsp;- $45,220
0079	2	$38,535	$38,535&nbsp;- $46,905
0080	2	$46,905	$38,535&nbsp;- $46,905
0081	2	$46,615	$42,005&nbsp;- $50,745
0082	2	$49,005	$42,005&nbsp;- $50,745
0083	2	$42,005	$42,005&nbsp;- $50,745
0084	2	$43,775	$42,005&nbsp;- $50,745
0085	2	$46,270	$42,005&nbsp;- $50,745
0086	2	$47,900	$42,005&nbsp;- $50,745
0087	2	$51,200	$51,200&nbsp;- $61,360
0088	2	$58,515	$51,200&nbsp;- $61,360
0089	2	$61,360	$51,200&nbsp;- $61,360
0090	2	$58,990	$53,240&nbsp;- $58,990
0091	2	$53,240	$53,240&nbsp;- $58,990
0092	2	$55,905	$53,240&nbsp;- $58,990
0093	2	$24,860	$24,860&nbsp;- $42,180
0094	2	$25,980	$24,860&nbsp;- $42,180
0095	2	$27,840	$24,860&nbsp;- $42,180
0096	2	$29,910	$24,860&nbsp;- $42,180
0097	2	$30,185	$24,860&nbsp;- $42,180
0098	2	$37,975	$24,860&nbsp;- $42,180
0099	2	$39,835	$24,860&nbsp;- $42,180
0100	2	$41,295	$24,860&nbsp;- $42,180
0101	2	$42,180	$24,860&nbsp;- $42,180
0102	2	$29,220	$28,710&nbsp;- $46,745
0103	2	$30,560	$28,710&nbsp;- $46,745
0104	2	$32,265	$28,710&nbsp;- $46,745
0105	2	$33,965	$28,710&nbsp;- $46,745
0106	2	$34,115	$28,710&nbsp;- $46,745
0107	2	$34,380	$28,710&nbsp;- $46,745
0108	2	$44,505	$28,710&nbsp;- $46,745
0109	2	$45,960	$28,710&nbsp;- $46,745
0110	2	$46,375	$28,710&nbsp;- $46,745
0111	2	$20,550	$17,045&nbsp;- $29,895
0112	2	$22,590	$17,045&nbsp;- $29,895
0113	2	$27,590	$17,045&nbsp;- $29,895
0114	2	$18,240	$17,045&nbsp;- $29,895
0115	2	$19,290	$17,045&nbsp;- $29,895
0116	2	$23,935	$17,045&nbsp;- $29,895
0117	2	$25,690	$17,045&nbsp;- $29,895
0118	2	$27,240	$17,045&nbsp;- $29,895
0119	2	$24,090	$20,850&nbsp;- $46,645
0120	2	$29,475	$20,850&nbsp;- $46,645
0121	2	$30,495	$20,850&nbsp;- $46,645
0122	2	$31,490	$20,850&nbsp;- $46,645
0123	2	$32,525	$20,850&nbsp;- $46,645
0124	2	$33,715	$20,850&nbsp;- $46,645
0125	2	$38,930	$20,850&nbsp;- $46,645
0126	2	$39,230	$20,850&nbsp;- $46,645
0127	2	$20,850	$20,850&nbsp;- $46,645
0128	2	$21,240	$20,850&nbsp;- $46,645
0129	2	$27,225	$20,850&nbsp;- $46,645
0130	2	$27,345	$20,850&nbsp;- $46,645
0131	2	$27,435	$20,850&nbsp;- $46,645
0132	2	$28,340	$20,850&nbsp;- $46,645
0133	2	$29,375	$20,850&nbsp;- $46,645
0134	2	$29,595	$20,850&nbsp;- $46,645
0135	2	$30,565	$20,850&nbsp;- $46,645
0136	2	$31,835	$20,850&nbsp;- $46,645
0137	2	$33,595	$20,850&nbsp;- $46,645
0138	2	$35,780	$20,850&nbsp;- $46,645
0139	2	$36,080	$20,850&nbsp;- $46,645
0140	2	$39,125	$20,850&nbsp;- $46,645
0141	2	$33,100	$27,965&nbsp;- $45,865
0142	2	$33,295	$27,965&nbsp;- $45,865
0143	2	$35,195	$27,965&nbsp;- $45,865
0144	2	$37,020	$27,965&nbsp;- $45,865
0145	2	$37,215	$27,965&nbsp;- $45,865
0146	2	$39,275	$27,965&nbsp;- $45,865
0147	2	$42,035	$27,965&nbsp;- $45,865
0148	2	$44,560	$27,965&nbsp;- $45,865
0149	2	$27,965	$27,965&nbsp;- $45,865
0150	2	$30,145	$27,965&nbsp;- $45,865
0151	2	$30,340	$27,965&nbsp;- $45,865
0152	2	$32,045	$27,965&nbsp;- $45,865
0153	2	$32,240	$27,965&nbsp;- $45,865
0154	2	$34,065	$27,965&nbsp;- $45,865
0155	2	$36,120	$27,965&nbsp;- $45,865
0156	2	$41,605	$27,965&nbsp;- $45,865
0157	2	$31,760	$31,760&nbsp;- $46,750
0158	2	$32,215	$31,760&nbsp;- $46,750
0159	2	$34,985	$31,760&nbsp;- $46,750
0160	2	$35,360	$31,760&nbsp;- $46,750
0161	2	$36,520	$31,760&nbsp;- $46,750
0162	2	$38,790	$31,760&nbsp;- $46,750
0163	2	$40,485	$31,760&nbsp;- $46,750
0164	2	$41,905	$31,760&nbsp;- $46,750
0165	2	$43,015	$31,760&nbsp;- $46,750
0166	2	$45,260	$31,760&nbsp;- $46,750
0167	2	$46,750	$31,760&nbsp;- $46,750
0168	2	$33,565	$31,760&nbsp;- $46,750
0169	2	$33,760	$31,760&nbsp;- $46,750
0170	2	$37,335	$31,760&nbsp;- $46,750
0171	2	$37,530	$31,760&nbsp;- $46,750
0172	2	$39,865	$31,760&nbsp;- $46,750
0173	2	$42,305	$31,760&nbsp;- $46,750
0174	2	$43,415	$31,760&nbsp;- $46,750
0175	2	$43,600	$31,760&nbsp;- $46,750
0176	2	$41,860	$38,710&nbsp;- $48,190
0177	2	$122,300	$122,300&nbsp;- $127,550
0178	2	$127,550	$122,300&nbsp;- $127,550
0179	2	N/A	$117,500&nbsp;- $135,000
0180	2	$117,500	$117,500&nbsp;- $135,000
0181	2	$19,295	$14,995&nbsp;- $27,495
0182	2	$16,795	$16,795&nbsp;- $27,895
0183	2	$19,695	$16,795&nbsp;- $27,895
0184	2	$27,895	$16,795&nbsp;- $27,895
0185	2	$18,999	$18,999&nbsp;- $32,898
0186	2	$24,928	$18,999&nbsp;- $32,898
0187	2	$32,898	$18,999&nbsp;- $32,898
0188	2	$21,599	$21,599&nbsp;- $23,999
0189	2	$23,999	$21,599&nbsp;- $23,999
0190	2	$33,590	$33,590&nbsp;- $40,990
0191	2	$22,995	$18,495&nbsp;- $22,995
0192	2	$22,540	$20,840&nbsp;- $29,250
0193	2	$23,190	$20,840&nbsp;- $29,250
0194	2	$23,940	$20,840&nbsp;- $29,250
0195	2	$24,990	$20,840&nbsp;- $29,250
0196	2	$26,390	$20,840&nbsp;- $29,250
0197	2	$32,099	$28,299&nbsp;- $33,599
0198	2	$33,599	$28,299&nbsp;- $33,599
0199	2	$21,135	$21,135&nbsp;- $29,425
0200	2	$24,235	$21,135&nbsp;- $29,425
0201	2	$29,425	$21,135&nbsp;- $29,425
0202	2	$17,045	$17,045&nbsp;- $19,545
0203	2	$19,545	$17,045&nbsp;- $19,545
0204	2	$27,250	$22,655&nbsp;- $27,250
0205	2	$33,110	$27,595&nbsp;- $33,680
0206	2	$23,280	$23,280&nbsp;- $30,935
0207	2	$25,395	$23,280&nbsp;- $30,935
0208	2	$25,955	$23,280&nbsp;- $30,935
0209	2	$26,435	$23,280&nbsp;- $30,935
0210	1	$28,160
0211	2	$32,625	$30,625&nbsp;- $36,450
0212	2	$34,450	$30,625&nbsp;- $36,450
0213	2	$36,450	$30,625&nbsp;- $36,450
0214	2	$13,615	$12,855&nbsp;- $14,415
0215	2	$13,655	$12,855&nbsp;- $14,415
0216	2	$14,415	$12,855&nbsp;- $14,415
0217	2	$16,850	$15,450&nbsp;- $20,150
0218	2	$17,350	$15,450&nbsp;- $20,150
0219	2	$17,750	$15,450&nbsp;- $20,150
0220	2	$18,960	$15,450&nbsp;- $20,150
0221	2	$16,700	$16,700&nbsp;- $22,110
0222	2	$18,610	$16,700&nbsp;- $22,110
0223	2	$20,910	$16,700&nbsp;- $22,110
0224	2	$20,920	$16,700&nbsp;- $22,110
0225	2	$19,720	$19,720&nbsp;- $29,370
0226	2	$21,175	$19,720&nbsp;- $29,370
0227	2	$22,225	$19,720&nbsp;- $29,370
0228	2	$23,490	$19,720&nbsp;- $29,370
0229	2	$24,890	$19,720&nbsp;- $29,370
0230	2	$26,250	$19,720&nbsp;- $29,370
0231	2	$29,370	$19,720&nbsp;- $29,370
0232	2	$22,800	$22,800&nbsp;- $28,070
0233	2	$23,800	$22,800&nbsp;- $28,070
0234	2	$26,600	$22,800&nbsp;- $28,070
0235	2	$27,925	$26,475&nbsp;- $29,750
0236	2	$29,750	$26,475&nbsp;- $29,750
0237	2	$35,685	$32,445&nbsp;- $35,685
0238	2	$25,025	$21,925&nbsp;- $28,235
0239	2	$25,360	$21,925&nbsp;- $28,235
0240	2	$26,305	$21,925&nbsp;- $28,235
0241	2	$21,925	$21,925&nbsp;- $28,235
0242	2	$23,625	$21,925&nbsp;- $28,235
0243	2	$24,915	$21,925&nbsp;- $28,235
0244	2	$26,835	$21,925&nbsp;- $28,235
0245	2	$24,180	$24,180&nbsp;- $25,770
0246	2	$25,360	$24,180&nbsp;- $25,770
0247	2	$29,995	$27,390&nbsp;- $36,345
0248	2	$31,995	$27,390&nbsp;- $36,345
0249	2	$33,150	$27,390&nbsp;- $36,345
0250	2	$34,600	$27,390&nbsp;- $36,345
0251	2	$29,525	$29,525&nbsp;- $39,685
0252	2	$37,650	$29,525&nbsp;- $39,685
0253	2	$37,290	$37,290&nbsp;- $42,945
0254	2	$42,945	$37,290&nbsp;- $42,945
0255	2	$43,430	$39,580&nbsp;- $59,955
0256	2	$43,430	$39,580&nbsp;- $59,955
0257	2	$52,915	$39,580&nbsp;- $59,955
0258	2	$52,915	$39,580&nbsp;- $59,955
0259	2	$59,955	$39,580&nbsp;- $59,955
0260	2	$59,955	$39,580&nbsp;- $59,955
0261	2	$40,205	$39,580&nbsp;- $59,955
0262	2	$49,690	$39,580&nbsp;- $59,955
0263	2	$56,730	$39,580&nbsp;- $59,955
0264	2	$39,970	$24,460&nbsp;- $39,970
0265	2	$25,545	$24,460&nbsp;- $39,970
0266	2	$29,100	$24,460&nbsp;- $39,970
0267	2	$35,335	$24,460&nbsp;- $39,970
0268	2	$39,645	$24,460&nbsp;- $39,970
0269	2	$23,490	$16,365&nbsp;- $27,525
0270	2	$24,390	$16,365&nbsp;- $27,525
0271	2	$25,925	$16,365&nbsp;- $27,525
0272	2	$27,025	$16,365&nbsp;- $27,525
0273	2	$16,365	$16,365&nbsp;- $27,525
0274	2	$19,655	$16,365&nbsp;- $27,525
0275	2	$22,515	$16,365&nbsp;- $27,525
0276	2	$22,750	$16,365&nbsp;- $27,525
0277	2	$23,950	$16,365&nbsp;- $27,525
0278	2	$24,450	$16,365&nbsp;- $27,525
0279	2	$25,735	$16,365&nbsp;- $27,525
0280	2	$29,130	$23,935&nbsp;- $42,455
0281	2	$29,460	$23,935&nbsp;- $42,455
