auto	yahoo	engine
2000	2000	2000	370
0000	1	1.6L I4, 16 valves, 110 hp @ 6000 rpm
0001	1	1.6L I4, 16 valves, 110 hp @ 6000 rpm
0002	1	1.6L I4, 16 valves, 110 hp @ 6000 rpm
0003	1	1.6L I4, 16 valves, 110 hp @ 6000 rpm
0004	1	1.6L I4, 16 valves, 110 hp @ 6000 rpm
0005	1	1.6L I4, 16 valves, 110 hp @ 6000 rpm
0006	1	1.6L I4, 16 valves, 110 hp @ 6000 rpm
0007	1	1.8L I4, 16 valves, 122 hp @ 5200 rpm
0008	1	1.6L I4, 16 valves, 107 hp @ 6000 rpm
0009	1	1.6L I4, 16 valves, 108 hp @ 6400 rpm
0010	1	1.6L I4, 16 valves, 108 hp @ 6400 rpm
0011	1	1.6L I4, 16 valves, 110 hp @ 6000 rpm
0012	1	1.6L I4, 16 valves, 110 hp @ 6000 rpm
0013	1	1.5L I4, 16 valves, 106 hp @ 6000 rpm
0014	1	1.5L I4, 16 valves, 106 hp @ 6000 rpm
0015	1	1.5L I4, 16 valves, 106 hp @ 6000 rpm
0016	1	1.5L I4, 16 valves, 106 hp @ 6000 rpm
0017	1	1.5L I4, 16 valves, 106 hp @ 6000 rpm
0018	1	1.5L I4, 16 valves, 106 hp @ 6000 rpm
0019	1	2.0L I4, 16 valves, 150 hp @ 6200 rpm
0020	1	2.0L I4, 16 valves, 150 hp @ 6200 rpm
0021	1	2.0L I4, 16 valves, 150 hp @ 6200 rpm
0022	1	2.0L I4, 16 valves, 148 hp @ 6000 rpm
0023	1	1.8L I4, 16 valves, 122 hp @ 5200 rpm
0024	1	1.8L I4, 16 valves, 122 hp @ 5200 rpm
0025	1	2.0L I4, 16 valves, 156 hp @ 6200 rpm
0026	1	2.0L I4, 16 valves, 156 hp @ 6200 rpm
0027	1	2.0L I4, 16 valves, 138 hp @ 6000 rpm
0028	1	2.0L I4, 16 valves, 138 hp @ 6000 rpm
0029	1	2.0L I4, 16 valves, 138 hp @ 6000 rpm
0030	1	1.5L I4, 16 valves, 100 hp @ 6000 rpm
0031	1	1.5L I4, 16 valves, 100 hp @ 6000 rpm
0032	1	1.6L I4, 16 valves, 110 hp @ 6000 rpm
0033	1	1.6L I4, 16 valves, 108 hp @ 6400 rpm
0034	1	1.6L I4, 16 valves, 108 hp @ 6400 rpm
0035	1	1.6L I4, 16 valves, 108 hp @ 6400 rpm
0036	1	1.6L I4, 16 valves, 108 hp @ 6400 rpm
0037	1	1.6L I4, 16 valves, 119 hp @ 6000 rpm
0038	1	1.6L I4, 16 valves, 110 hp @ 6000 rpm
0039	1	1.6L I4, 16 valves, 110 hp @ 6000 rpm
0040	1	1.8L I4, 16 valves, 128 hp @ 6000 rpm
0041	1	1.8L I4, 16 valves, 128 hp @ 6000 rpm
0042	1	2.2L I4, 16 valves, 155 hp @ 6100 rpm
0043	1	2.2L I4, 16 valves, 155 hp @ 6100 rpm
0044	1	2.2L I4, 16 valves, 155 hp @ 6100 rpm
0045	1	2.0L I4, 16 valves, 148 hp @ 6000 rpm
0046	1	2.4L I4, 16 valves, 168 hp @ 6000 rpm
0047	1	2.0L I4, 16 valves, 237 hp @ 6000 rpm
0048	1	1.6L I4, 16 valves, 110 hp @ 6000 rpm
0049	1	2.0L I4, 16 valves, 158 hp @ 6400 rpm
0050	1	2.4L I4, 16 valves, 172 hp @ 6000 rpm
0051	1	2.4L I4, 16 valves, 172 hp @ 6000 rpm
0052	1	2.4L I4, 16 valves, 172 hp @ 6000 rpm
0053	1	2.0L I4, 16 valves, 158 hp @ 6400 rpm
0054	1	2.4L I4, 16 valves, 172 hp @ 6000 rpm
0055	1	2.4L I4, 16 valves, 172 hp @ 6000 rpm
0056	1	1.8L I4, 16 valves, 140 hp @ 6300 rpm
0057	1	1.8L I4, 16 valves, 140 hp @ 6300 rpm
0058	1	1.8L I4, 16 valves, 140 hp @ 6300 rpm
0059	1	1.8L I4, 16 valves, 140 hp @ 6300 rpm
0060	1	1.8L I4, 16 valves, 140 hp @ 6300 rpm
0061	1	1.8L I4, 16 valves, 140 hp @ 6300 rpm
0062	1	1.8L I4, 16 valves, 140 hp @ 6300 rpm
0063	1	2.0L I4, 16 valves, 148 hp @ 6500 rpm
0064	1	2.0L I4, 16 valves, 148 hp @ 6500 rpm
0065	1	2.0L I4, 16 valves, 148 hp @ 6500 rpm
0066	1	2.5L I4, 16 valves, 167 hp @ 6000 rpm
0067	1	2.5L I4, 16 valves, 167 hp @ 6000 rpm
0068	1	2.5L I4, 16 valves, 167 hp @ 6000 rpm
0069	1	2.0L I4, 16 valves, 138 hp @ 6000 rpm
0070	1	2.0L I4, 16 valves, 138 hp @ 6000 rpm
0071	1	2.0L I4, 16 valves, 138 hp @ 6000 rpm
0072	1	2.0L I4, 16 valves, 156 hp @ 6200 rpm
0073	1	2.4L I4, 16 valves, 162 hp @ 6000 rpm
0074	1	5.3L V8, 16 valves, 300 hp @ 5200 rpm
0075	1	2.7L I4, 16 valves, 159 hp @ 5200 rpm
0076	1	4.0L V6, 24 valves, 236 hp @ 5200 rpm
0077	1	4.0L V6, 24 valves, 236 hp @ 5200 rpm
0078	1	4.0L V6, 24 valves, 236 hp @ 5200 rpm
0079	1	4.0L V6, 24 valves, 236 hp @ 5200 rpm
0080	1	3.5L V6, 24 valves, 263 hp @ 6250 rpm
0081	1	2.5L I4, 16 valves, 156 hp @ 6000 rpm
0082	1	3.5L V6, 24 valves, 263 hp @ 6250 rpm
0083	1	2.5L I4, 16 valves, 169 hp @ 6000 rpm
0084	1	2.5L I4, 16 valves, 169 hp @ 6000 rpm
0085	1	2.5L I4, 16 valves, 179 hp @ 6000 rpm
0086	1	3.5L V6, 24 valves, 268 hp @ 6200 rpm
0087	1	3.5L V6, 24 valves, 268 hp @ 6200 rpm
0088	1	2.5L H4, 16 valves, 170 hp @ 5600 rpm
0089	1	2.5L H4, 16 valves, 170 hp @ 5600 rpm
0090	1	3.6L H6, 24 valves, 256 hp @ 6000 rpm
0091	1	3.6L H6, 24 valves, 256 hp @ 6000 rpm
0092	1	3.6L H6, 24 valves, 256 hp @ 6000 rpm
0093	1	2.4L I4, 16 valves, 175 hp @ 6000 rpm
0094	1	2.4L I4, 16 valves, 175 hp @ 6000 rpm
0095	1	2.4L I4, 16 valves, 175 hp @ 6000 rpm
0096	1	3.5L V6, 24 valves, 276 hp @ 6300 rpm
0097	1	3.5L V6, 24 valves, 276 hp @ 6300 rpm
0098	1	3.5L V6, 24 valves, 276 hp @ 6300 rpm
0099	1	2.0L I4, 16 valves, 197 hp @ 7800 rpm
0100	1	2.0L I4, 16 valves, 197 hp @ 7800 rpm
0101	1	2.0L I4, 16 valves, 197 hp @ 7800 rpm
0102	1	2.0L I4, 16 valves, 197 hp @ 7800 rpm
0103	1	4.0L V6, 24 valves, 261 hp @ 5600 rpm
0104	1	4.0L V6, 24 valves, 261 hp @ 5600 rpm
0105	1	4.0L V6, 24 valves, 261 hp @ 5600 rpm
0106	1	4.0L V6, 24 valves, 236 hp @ 5200 rpm
0107	1	4.6L V8, 32 valves, 310 hp @ 5600 rpm
0108	1	5.7L V8, 32 valves, 381 hp @ 5600 rpm
