auto	yahoo	fuel_economy
2000	2000	2000	155
0000	1	27 mpg city / 36 mpg hwy
0001	1	28 mpg city / 34 mpg hwy
0002	1	28 mpg city / 34 mpg hwy
0003	1	28 mpg city / 34 mpg hwy
0004	1	28 mpg city / 34 mpg hwy
0005	1	28 mpg city / 34 mpg hwy
0006	1	28 mpg city / 34 mpg hwy
0007	1	24 mpg city / 32 mpg hwy
0008	1	26 mpg city / 34 mpg hwy
0009	1	27 mpg city / 34 mpg hwy
0010	1	27 mpg city / 35 mpg hwy
0011	1	28 mpg city / 34 mpg hwy
0012	1	27 mpg city / 36 mpg hwy
0013	1	29 mpg city / 36 mpg hwy
0014	1	29 mpg city / 36 mpg hwy
0015	1	29 mpg city / 36 mpg hwy
0016	1	29 mpg city / 36 mpg hwy
0017	1	29 mpg city / 35 mpg hwy
0018	1	29 mpg city / 35 mpg hwy
0019	1	23 mpg city / 33 mpg hwy
0020	1	23 mpg city / 33 mpg hwy
0021	1	23 mpg city / 32 mpg hwy
0022	1	23 mpg city / 30 mpg hwy
0023	1	26 mpg city / 31 mpg hwy
0024	1	26 mpg city / 31 mpg hwy
0025	1	25 mpg city / 34 mpg hwy
0026	1	25 mpg city / 34 mpg hwy
0027	1	26 mpg city / 35 mpg hwy
0028	1	27 mpg city / 36 mpg hwy
0029	1	27 mpg city / 36 mpg hwy
0030	1	29 mpg city / 35 mpg hwy
0031	1	29 mpg city / 35 mpg hwy
0032	1	28 mpg city / 34 mpg hwy
0033	1	27 mpg city / 34 mpg hwy
0034	1	27 mpg city / 34 mpg hwy
0035	1	27 mpg city / 34 mpg hwy
0036	1	27 mpg city / 35 mpg hwy
0037	1	28 mpg city / 37 mpg hwy
0038	1	28 mpg city / 34 mpg hwy
0039	1	28 mpg city / 34 mpg hwy
0040	1	27 mpg city / 33 mpg hwy
0041	1	27 mpg city / 33 mpg hwy
0042	1	25 mpg city / 35 mpg hwy
0043	1	25 mpg city / 35 mpg hwy
0044	1	25 mpg city / 35 mpg hwy
0045	1	24 mpg city / 33 mpg hwy
0046	1	22 mpg city / 31 mpg hwy
0047	1	17 mpg city / 25 mpg hwy
0048	1	27 mpg city / 36 mpg hwy
0049	1	23 mpg city / 29 mpg hwy
0050	1	23 mpg city / 28 mpg hwy
0051	1	23 mpg city / 28 mpg hwy
0052	1	23 mpg city / 28 mpg hwy
0053	1	23 mpg city / 29 mpg hwy
0054	1	23 mpg city / 28 mpg hwy
0055	1	23 mpg city / 28 mpg hwy
0056	1	26 mpg city / 34 mpg hwy
0057	1	25 mpg city / 36 mpg hwy
0058	1	26 mpg city / 34 mpg hwy
0059	1	25 mpg city / 36 mpg hwy
0060	1	26 mpg city / 34 mpg hwy
0061	1	26 mpg city / 34 mpg hwy
0062	1	25 mpg city / 36 mpg hwy
0063	1	25 mpg city / 33 mpg hwy
0064	1	25 mpg city / 33 mpg hwy
0065	1	25 mpg city / 33 mpg hwy
0066	1	20 mpg city / 28 mpg hwy
0067	1	20 mpg city / 28 mpg hwy
0068	1	20 mpg city / 28 mpg hwy
0069	1	23 mpg city / 31 mpg hwy
0070	1	23 mpg city / 30 mpg hwy
0071	1	23 mpg city / 30 mpg hwy
0072	1	25 mpg city / 34 mpg hwy
0073	1	20 mpg city / 27 mpg hwy
0074	1	15 mpg city / 20 mpg hwy
0075	1	17 mpg city / 22 mpg hwy
0076	1	14 mpg city / 18 mpg hwy
0077	1	16 mpg city / 20 mpg hwy
0078	1	14 mpg city / 18 mpg hwy
0079	1	16 mpg city / 20 mpg hwy
0080	1	18 mpg city / 27 mpg hwy
0081	1	41 mpg city / 36 mpg hwy
0082	1	17 mpg city / 24 mpg hwy
0083	1	22 mpg city / 33 mpg hwy
0084	1	22 mpg city / 33 mpg hwy
0085	1	22 mpg city / 32 mpg hwy
0086	1	20 mpg city / 29 mpg hwy
0087	1	20 mpg city / 29 mpg hwy
0088	1	19 mpg city / 27 mpg hwy
0089	1	19 mpg city / 27 mpg hwy
0090	1	18 mpg city / 25 mpg hwy
0091	1	18 mpg city / 25 mpg hwy
0092	1	18 mpg city / 25 mpg hwy
0093	1	20 mpg city / 27 mpg hwy
0094	1	21 mpg city / 29 mpg hwy
0095	1	21 mpg city / 27 mpg hwy
0096	1	19 mpg city / 25 mpg hwy
0097	1	20 mpg city / 26 mpg hwy
0098	1	19 mpg city / 25 mpg hwy
0099	1	21 mpg city / 29 mpg hwy
0100	1	21 mpg city / 29 mpg hwy
0101	1	21 mpg city / 29 mpg hwy
0102	1	21 mpg city / 29 mpg hwy
0103	1	16 mpg city / 20 mpg hwy
0104	1	16 mpg city / 20 mpg hwy
0105	1	15 mpg city / 20 mpg hwy
0106	1	15 mpg city / 19 mpg hwy
0107	1	15 mpg city / 20 mpg hwy
0108	1	14 mpg city / 18 mpg hwy
0109	1	19 mpg city / 29 mpg hwy
0110	1	19 mpg city / 29 mpg hwy
0111	1	16 mpg city / 24 mpg hwy
0112	1	14 mpg city / 18 mpg hwy
0113	1	13 mpg city / 18 mpg hwy
0114	1	13 mpg city / 18 mpg hwy
0115	1	19 mpg city / 29 mpg hwy
0116	1	18 mpg city / 25 mpg hwy
0117	1	18 mpg city / 25 mpg hwy
0118	1	21 mpg city / 29 mpg hwy
0119	1	21 mpg city / 29 mpg hwy
0120	1	18 mpg city / 25 mpg hwy
0121	1	18 mpg city / 25 mpg hwy
0122	1	22 mpg city / 28 mpg hwy
0123	1	21 mpg city / 28 mpg hwy
0124	1	21 mpg city / 28 mpg hwy
0125	1	19 mpg city / 25 mpg hwy
0126	1	18 mpg city / 23 mpg hwy
0127	1	20 mpg city / 25 mpg hwy
0128	1	18 mpg city / 23 mpg hwy
0129	1	19 mpg city / 24 mpg hwy
0130	1	20 mpg city / 25 mpg hwy
0131	1	22 mpg city / 26 mpg hwy
0132	1	22 mpg city / 28 mpg hwy
0133	1	21 mpg city / 28 mpg hwy
0134	1	15 mpg city / 21 mpg hwy
0135	1	15 mpg city / 21 mpg hwy
0136	1	16 mpg city / 20 mpg hwy
0137	1	16 mpg city / 20 mpg hwy
0138	1	17 mpg city / 22 mpg hwy
0139	1	15 mpg city / 20 mpg hwy
0140	1	15 mpg city / 20 mpg hwy
0141	1	15 mpg city / 19 mpg hwy
0142	1	15 mpg city / 19 mpg hwy
0143	1	15 mpg city / 19 mpg hwy
0144	1	18 mpg city / 25 mpg hwy
0145	1	18 mpg city / 25 mpg hwy
0146	1	17 mpg city / 23 mpg hwy
0147	1	17 mpg city / 23 mpg hwy
0148	1	15 mpg city / 20 mpg hwy
0149	1	24 mpg city / 36 mpg hwy
0150	1	19 mpg city / 27 mpg hwy
0151	1	15 mpg city / 19 mpg hwy
0152	1	15 mpg city / 19 mpg hwy
0153	1	15 mpg city / 19 mpg hwy
0154	1	22 mpg city / 30 mpg hwy
0155	1	23 mpg city / 31 mpg hwy
0156	1	23 mpg city / 31 mpg hwy
0157	1	21 mpg city / 28 mpg hwy
0158	1	21 mpg city / 28 mpg hwy
0159	1	18 mpg city / 25 mpg hwy
0160	1	17 mpg city / 23 mpg hwy
0161	1	22 mpg city / 33 mpg hwy
0162	1	22 mpg city / 33 mpg hwy
0163	1	22 mpg city / 33 mpg hwy
0164	1	22 mpg city / 32 mpg hwy
0165	1	19 mpg city / 28 mpg hwy
0166	1	22 mpg city / 31 mpg hwy
0167	1	21 mpg city / 31 mpg hwy
0168	1	22 mpg city / 31 mpg hwy
0169	1	21 mpg city / 31 mpg hwy
0170	1	22 mpg city / 31 mpg hwy
0171	1	21 mpg city / 31 mpg hwy
0172	1	19 mpg city / 29 mpg hwy
0173	1	19 mpg city / 29 mpg hwy
0174	1	15 mpg city / 19 mpg hwy
0175	1	16 mpg city / 20 mpg hwy
0176	1	15 mpg city / 19 mpg hwy
0177	1	15 mpg city / 19 mpg hwy
0178	1	15 mpg city / 19 mpg hwy
0179	1	15 mpg city / 19 mpg hwy
0180	1	NA mpg city / NA mpg hwy
0181	1	14 mpg city / 19 mpg hwy
0182	1	14 mpg city / 19 mpg hwy
0183	1	14 mpg city / 19 mpg hwy
0184	1	15 mpg city / 20 mpg hwy
0185	1	14 mpg city / 20 mpg hwy
0186	1	33 mpg city / 34 mpg hwy
0187	1	21 mpg city / 29 mpg hwy
0188	1	20 mpg city / 28 mpg hwy
0189	1	18 mpg city / 25 mpg hwy
0190	1	21 mpg city / 27 mpg hwy
0191	1	19 mpg city / 26 mpg hwy
0192	1	31 mpg city / 35 mpg hwy
0193	1	21 mpg city / 27 mpg hwy
0194	1	21 mpg city / 27 mpg hwy
0195	1	19 mpg city / 24 mpg hwy
0196	1	21 mpg city / 27 mpg hwy
0197	1	14 mpg city / 19 mpg hwy
0198	1	14 mpg city / 19 mpg hwy
0199	1	15 mpg city / 20 mpg hwy
0200	1	14 mpg city / 19 mpg hwy
0201	1	22 mpg city / 28 mpg hwy
0202	1	21 mpg city / 27 mpg hwy
0203	1	19 mpg city / 27 mpg hwy
0204	1	21 mpg city / 27 mpg hwy
0205	1	19 mpg city / 26 mpg hwy
0206	1	19 mpg city / 27 mpg hwy
0207	1	19 mpg city / 27 mpg hwy
0208	1	19 mpg city / 26 mpg hwy
0209	1	22 mpg city / 30 mpg hwy
0210	1	22 mpg city / 33 mpg hwy
0211	1	22 mpg city / 33 mpg hwy
0212	1	22 mpg city / 33 mpg hwy
0213	1	22 mpg city / 28 mpg hwy
0214	1	19 mpg city / 27 mpg hwy
0215	1	19 mpg city / 26 mpg hwy
0216	1	19 mpg city / 27 mpg hwy
0217	1	21 mpg city / 27 mpg hwy
0218	1	19 mpg city / 27 mpg hwy
0219	1	19 mpg city / 26 mpg hwy
0220	1	19 mpg city / 26 mpg hwy
0221	1	22 mpg city / 33 mpg hwy
0222	1	22 mpg city / 33 mpg hwy
0223	1	22 mpg city / 33 mpg hwy
0224	1	NL mpg city / NL mpg hwy
0225	1	NL mpg city / NL mpg hwy
0226	1	NL mpg city / NL mpg hwy
0227	1	51 mpg city / 48 mpg hwy
0228	1	21 mpg city / 28 mpg hwy
0229	1	17 mpg city / 24 mpg hwy
0230	1	17 mpg city / 23 mpg hwy
0231	1	35 mpg city / 33 mpg hwy
0232	1	NL mpg city / NL mpg hwy
0233	1	NL mpg city / NL mpg hwy
0234	1	NL mpg city / NL mpg hwy
0235	1	22 mpg city / 31 mpg hwy
0236	1	20 mpg city / 28 mpg hwy
0237	1	17 mpg city / 25 mpg hwy
0238	1	14 mpg city / 19 mpg hwy
0239	1	14 mpg city / 19 mpg hwy
0240	1	15 mpg city / 19 mpg hwy
0241	1	15 mpg city / 19 mpg hwy
0242	1	21 mpg city / 31 mpg hwy
0243	1	21 mpg city / 31 mpg hwy
0244	1	21 mpg city / 31 mpg hwy
0245	1	17 mpg city / 25 mpg hwy
0246	1	15 mpg city / 20 mpg hwy
0247	1	14 mpg city / 19 mpg hwy
0248	1	20 mpg city / 28 mpg hwy
0249	1	20 mpg city / 28 mpg hwy
0250	1	22 mpg city / 28 mpg hwy
0251	1	30 mpg city / 42 mpg hwy
0252	1	21 mpg city / 30 mpg hwy
0253	1	22 mpg city / 28 mpg hwy
0254	1	30 mpg city / 42 mpg hwy
0255	1	21 mpg city / 28 mpg hwy
0256	1	14 mpg city / 18 mpg hwy
0257	1	20 mpg city / 25 mpg hwy
0258	1	18 mpg city / 24 mpg hwy
0259	1	20 mpg city / 25 mpg hwy
0260	1	18 mpg city / 24 mpg hwy
0261	1	18 mpg city / 24 mpg hwy
0262	1	17 mpg city / 22 mpg hwy
0263	1	18 mpg city / 25 mpg hwy
0264	1	18 mpg city / 25 mpg hwy
0265	1	18 mpg city / 25 mpg hwy
0266	1	17 mpg city / 23 mpg hwy
0267	1	NA mpg city / NA mpg hwy
0268	1	16 mpg city / 21 mpg hwy
0269	1	16 mpg city / 21 mpg hwy
0270	1	24 mpg city / 32 mpg hwy
0271	1	19 mpg city / 23 mpg hwy
0272	1	19 mpg city / 23 mpg hwy
0273	1	21 mpg city / 28 mpg hwy
0274	1	21 mpg city / 28 mpg hwy
0275	1	21 mpg city / 27 mpg hwy
0276	1	23 mpg city / 31 mpg hwy
0277	1	23 mpg city / 32 mpg hwy
0278	1	20 mpg city / 27 mpg hwy
0279	1	18 mpg city / 27 mpg hwy
0280	1	20 mpg city / 27 mpg hwy
0281	1	18 mpg city / 27 mpg hwy
0282	1	16 mpg city / 22 mpg hwy
0283	1	15 mpg city / 21 mpg hwy
0284	1	15 mpg city / 21 mpg hwy
0285	1	18 mpg city / 25 mpg hwy
0286	1	15 mpg city / 20 mpg hwy
0287	1	NL mpg city / NL mpg hwy
0288	1	14 mpg city / 18 mpg hwy
0289	1	16 mpg city / 21 mpg hwy
0290	1	21 mpg city / 31 mpg hwy
0291	1	21 mpg city / 31 mpg hwy
0292	1	22 mpg city / 31 mpg hwy
0293	1	22 mpg city / 31 mpg hwy
0294	1	18 mpg city / 27 mpg hwy
0295	1	16 mpg city / 24 mpg hwy
0296	1	16 mpg city / 27 mpg hwy
0297	1	22 mpg city / 31 mpg hwy
0298	1	22 mpg city / 31 mpg hwy
0299	1	22 mpg city / 31 mpg hwy
0300	1	22 mpg city / 31 mpg hwy
0301	1	18 mpg city / 27 mpg hwy
0302	1	17 mpg city / 24 mpg hwy
0303	1	19 mpg city / 25 mpg hwy
0304	1	16 mpg city / 24 mpg hwy
0305	1	15 mpg city / 23 mpg hwy
0306	1	16 mpg city / 24 mpg hwy
0307	1	16 mpg city / 24 mpg hwy
0308	1	15 mpg city / 23 mpg hwy
0309	1	15 mpg city / 23 mpg hwy
0310	1	16 mpg city / 20 mpg hwy
0311	1	16 mpg city / 20 mpg hwy
0312	1	16 mpg city / 20 mpg hwy
0313	1	15 mpg city / 19 mpg hwy
0314	1	15 mpg city / 19 mpg hwy
0315	1	15 mpg city / 20 mpg hwy
0316	1	15 mpg city / 19 mpg hwy
0317	1	14 mpg city / 19 mpg hwy
0318	1	18 mpg city / 25 mpg hwy
0319	1	22 mpg city / 29 mpg hwy
0320	1	18 mpg city / 24 mpg hwy
0321	1	18 mpg city / 24 mpg hwy
0322	1	17 mpg city / 23 mpg hwy
0323	1	22 mpg city / 32 mpg hwy
0324	1	22 mpg city / 32 mpg hwy
0325	1	20 mpg city / 29 mpg hwy
0326	1	19 mpg city / 27 mpg hwy
0327	1	19 mpg city / 27 mpg hwy
0328	1	18 mpg city / 25 mpg hwy
0329	1	16 mpg city / 22 mpg hwy
0330	1	16 mpg city / 22 mpg hwy
0331	1	19 mpg city / 25 mpg hwy
0332	1	19 mpg city / 25 mpg hwy
0333	1	17 mpg city / 23 mpg hwy
0334	1	17 mpg city / 23 mpg hwy
0335	1	NA mpg city / NA mpg hwy
0336	1	15 mpg city / 21 mpg hwy
0337	1	16 mpg city / 22 mpg hwy
0338	1	17 mpg city / 23 mpg hwy
0339	1	16 mpg city / 22 mpg hwy
0340	1	16 mpg city / 22 mpg hwy
0341	1	17 mpg city / 23 mpg hwy
0342	1	41 mpg city / 36 mpg hwy
0343	1	17 mpg city / 23 mpg hwy
0344	1	16 mpg city / 22 mpg hwy
0345	1	15 mpg city / 21 mpg hwy
0346	1	16 mpg city / 21 mpg hwy
0347	1	16 mpg city / 21 mpg hwy
0348	1	16 mpg city / 21 mpg hwy
0349	1	22 mpg city / 31 mpg hwy
0350	1	21 mpg city / 31 mpg hwy
0351	1	22 mpg city / 31 mpg hwy
0352	1	22 mpg city / 31 mpg hwy
0353	1	19 mpg city / 28 mpg hwy
0354	1	19 mpg city / 28 mpg hwy
0355	1	17 mpg city / 25 mpg hwy
0356	1	19 mpg city / 26 mpg hwy
0357	1	18 mpg city / 24 mpg hwy
0358	1	18 mpg city / 24 mpg hwy
0359	1	18 mpg city / 24 mpg hwy
0360	1	18 mpg city / 24 mpg hwy
0361	1	18 mpg city / 24 mpg hwy
0362	1	18 mpg city / 24 mpg hwy
0363	1	17 mpg city / 23 mpg hwy
0364	1	17 mpg city / 23 mpg hwy
0365	1	17 mpg city / 23 mpg hwy
0366	1	16 mpg city / 21 mpg hwy
0367	1	16 mpg city / 21 mpg hwy
0368	1	16 mpg city / 21 mpg hwy
0369	1	14 mpg city / 19 mpg hwy
0370	1	13 mpg city / 17 mpg hwy
0371	1	20 mpg city / 31 mpg hwy
0372	1	20 mpg city / 26 mpg hwy
0373	1	22 mpg city / 31 mpg hwy
0374	1	21 mpg city / 31 mpg hwy
