auto	yahoo	model
2000	2000	2000	705
0000	1	2010 Hyundai Accent
0001	1	2010 Hyundai Accent
0002	1	2010 Hyundai Accent
0003	1	2010 Hyundai Accent
0004	1	2011 Hyundai Accent
0005	1	2011 Hyundai Accent
0006	1	2011 Hyundai Accent
0007	1	2010 Nissan Versa Sedan
0008	1	2011 Nissan Versa Sedan
0009	1	2010 Chevrolet Aveo
0010	1	2011 Chevrolet Aveo
0011	1	2011 Kia Rio
0012	1	2011 Kia Rio
0013	1	2010 Toyota Yaris
0014	1	2010 Toyota Yaris
0015	1	2010 Toyota Yaris
0016	1	2011 Toyota Yaris
0017	1	2011 Toyota Yaris
0018	1	2011 Toyota Yaris
0019	1	2010 Suzuki SX4
0020	1	2010 Suzuki SX4
0021	1	2010 Suzuki SX4
0022	1	2010 Suzuki SX4
0023	1	2010 Nissan Versa Hatchback
0024	1	2011 Nissan Versa Hatchback
0025	1	2010 Kia Forte
0026	1	2010 Kia Forte
0027	1	2010 Hyundai Elantra
0028	1	2010 Hyundai Elantra
0029	1	2010 Hyundai Elantra
0030	1	2011 Mazda MAZDA2
0031	1	2011 Mazda MAZDA2
0032	1	2010 Kia Rio
0033	1	2010 Chevrolet Aveo5
0034	1	2010 Chevrolet Aveo5
0035	1	2010 Chevrolet Aveo5
0036	1	2011 Chevrolet Aveo5
0037	1	2011 Ford Fiesta
0038	1	2010 Kia Rio5
0039	1	2010 Kia Rio5
0040	1	2010 Scion xD
0041	1	2010 Scion xD
0042	1	2010 Chevrolet Cobalt
0043	1	2010 Chevrolet Cobalt
0044	1	2010 Chevrolet Cobalt
0045	1	2011 Mitsubishi Lancer
0046	1	2011 Mitsubishi Lancer
0047	1	2011 Mitsubishi Lancer
0048	1	2011 Kia Rio5
0049	1	2010 Jeep Compass
0050	1	2010 Jeep Compass
0051	1	2010 Jeep Compass
0052	1	2010 Jeep Compass
0053	1	2010 Jeep Patriot
0054	1	2010 Jeep Patriot
0055	1	2010 Jeep Patriot
0056	1	2010 Honda Civic Sedan
0057	1	2010 Honda Civic Sedan
0058	1	2010 Honda Civic Sedan
0059	1	2010 Honda Civic Sedan
0060	1	2010 Honda Civic Sedan
0061	1	2010 Honda Civic Sedan
0062	1	2010 Honda Civic Sedan
0063	1	2011 Mazda MAZDA3
0064	1	2011 Mazda MAZDA3
0065	1	2011 Mazda MAZDA3
0066	1	2011 Mazda MAZDA3
0067	1	2011 Mazda MAZDA3
0068	1	2011 Mazda MAZDA3
0069	1	2011 Hyundai Elantra Touring
0070	1	2011 Hyundai Elantra Touring
0071	1	2011 Hyundai Elantra Touring
0072	1	2010 Kia Forte Koup
0073	1	2011 Mitsubishi Eclipse
0074	1	2010 Chevrolet Colorado Extended Cab 2WD
0075	1	2010 Toyota Tacoma 4X4
0076	1	2010 Toyota Tacoma 4X4
0077	1	2010 Toyota Tacoma 4X4
0078	1	2010 Toyota Tacoma 4X4
0079	1	2010 Toyota Tacoma 4X4
0080	1	2011 Ford Fusion
0081	1	2011 Ford Fusion
0082	1	2011 Ford Fusion
0083	1	2011 Toyota Camry
0084	1	2011 Toyota Camry
0085	1	2011 Toyota Camry
0086	1	2011 Toyota Camry
0087	1	2011 Toyota Camry
0088	1	2011 Subaru Legacy
0089	1	2011 Subaru Legacy
0090	1	2011 Subaru Legacy
0091	1	2011 Subaru Legacy
0092	1	2011 Subaru Legacy
0093	1	2011 Kia Sorento
0094	1	2011 Kia Sorento
0095	1	2011 Kia Sorento
0096	1	2011 Kia Sorento
0097	1	2011 Kia Sorento
0098	1	2011 Kia Sorento
0099	1	2010 Honda Civic Si Sedan
0100	1	2010 Honda Civic Si Sedan
0101	1	2010 Honda Civic Si Sedan
0102	1	2010 Honda Civic Si Sedan
0103	1	2010 Nissan Frontier Crew Cab
0104	1	2010 Nissan Frontier Crew Cab
0105	1	2010 Nissan Frontier Crew Cab
0106	1	2010 Toyota Tundra Regular Cab 4X2
0107	1	2010 Toyota Tundra Regular Cab 4X2
0108	1	2010 Toyota Tundra Regular Cab 4X2
0109	1	2010 Chevrolet Impala
0110	1	2010 Chevrolet Impala
0111	1	2010 Chevrolet Impala
0112	1	2010 GMC Sierra 1500 Regular Cab 4WD
0113	1	2010 GMC Sierra 1500 Regular Cab 4WD
0114	1	2010 GMC Sierra 1500 Regular Cab 4WD
0115	1	2011 Chevrolet Impala
0116	1	2011 Kia Sedona
0117	1	2011 Kia Sedona
0118	1	2011 Volvo C30
0119	1	2011 Volvo C30
0120	1	2010 GMC Canyon Extended Cab 2WD
0121	1	2010 GMC Canyon Extended Cab 2WD
0122	1	2010 Mazda Tribute
0123	1	2010 Mazda Tribute
0124	1	2010 Mazda Tribute
0125	1	2010 Mazda Tribute
0126	1	2010 Mazda Tribute
0127	1	2010 Honda Element
0128	1	2010 Honda Element
0129	1	2010 Honda Element
0130	1	2010 Honda Element
0131	1	2011 Nissan Rogue
0132	1	2011 Mazda MX-5 Miata
0133	1	2011 Mazda MX-5 Miata
0134	1	2011 Nissan Xterra
0135	1	2011 Nissan Xterra
0136	1	2011 Nissan Xterra
0137	1	2011 Nissan Xterra
0138	1	2010 Toyota FJ Cruiser
0139	1	2010 Suzuki Equator Crew Cab
0140	1	2010 Suzuki Equator Crew Cab
0141	1	2010 Suzuki Equator Crew Cab
0142	1	2010 Ford Ranger SuperCab 4X4
0143	1	2010 Ford Ranger SuperCab 4X4
0144	1	2010 Subaru Impreza WRX
0145	1	2010 Subaru Impreza WRX
0146	1	2010 Subaru Impreza WRX
0147	1	2010 Subaru Impreza WRX
0148	1	2010 Dodge Dakota Crew Cab 4X2
0149	1	2010 Honda Civic GX
0150	1	2011 Hyundai Azera
0151	1	2011 Jeep Wrangler Unlimited
