auto	yahoo	price
2000	2000	2000	1624
0000	1	$9,970
0001	1	$11,995
0002	1	$13,645
0003	1	$16,195
0004	1	$12,695
0005	1	$13,695
0006	1	$15,345
0007	1	$16,350
0008	1	$9,990
0009	1	$15,365
0010	1	$15,365
0011	1	$12,295
0012	1	$14,995
0013	1	$12,605
0014	1	$12,905
0015	1	$13,365
0016	1	$13,155
0017	1	$13,655
0018	1	$13,955
0019	1	$13,359
0020	1	$14,949
0021	1	$16,149
0022	1	$17,699
0023	1	$13,400
0024	1	$13,520
0025	1	$13,695
0026	1	$15,995
0027	1	$14,145
0028	1	$16,895
0029	1	$17,845
0030	1	$14,180
0031	1	$15,635
0032	1	$13,795
0033	1	$12,115
0034	1	$14,250
0035	1	$15,365
0036	1	$12,115
0037	1	$15,120
0038	1	$13,895
0039	1	$15,195
0040	1	$14,900
0041	1	$15,700
0042	1	$16,470
0043	1	$16,470
0044	1	$17,840
0045	1	$16,395
0046	1	$19,295
0047	1	$27,495
0048	1	$16,395
0049	1	$15,365
0050	1	$18,720
0051	1	$20,470
0052	1	$23,385
0053	1	$15,365
0054	1	$17,795
0055	1	$24,550
0056	1	$16,405
0057	1	$17,205
0058	1	$18,205
0059	1	$18,405
0060	1	$21,005
0061	1	$21,455
0062	1	$22,255
0063	1	$15,800
0064	1	$16,705
0065	1	$18,100
0066	1	$19,545
0067	1	$20,045
0068	1	$23,010
0069	1	$15,995
0070	1	$17,195
0071	1	$20,295
0072	1	$16,595
0073	1	$24,928
0074	1	$26,215
0075	1	$23,215
0076	1	$24,770
0077	1	$25,650
0078	1	$25,870
0079	1	$26,750
0080	1	$26,795
0081	1	$28,240
0082	1	$28,645
0083	1	$19,720
0084	1	$21,175
0085	1	$23,490
0086	1	$24,890
0087	1	$26,165
0088	1	$19,995
0089	1	$20,995
0090	1	$24,995
0091	1	$25,995
0092	1	$28,295
0093	1	$19,995
0094	1	$22,395
0095	1	$26,495
0096	1	$27,095
0097	1	$27,395
0098	1	$33,895
0099	1	$22,255
0100	1	$22,455
0101	1	$24,255
0102	1	$24,455
0103	1	$22,290
0104	1	$23,090
0105	1	$26,360
0106	1	$23,455
0107	1	$24,655
0108	1	$25,985
0109	1	$23,890
0110	1	$25,055
0111	1	$29,630
0112	1	$24,090
0113	1	$30,195
0114	1	$30,495
0115	1	$25,605
0116	1	$24,595
0117	1	$29,195
0118	1	$24,600
0119	1	$26,950
0120	1	$19,230
0121	1	$20,775
0122	1	$20,405
0123	1	$23,590
0124	1	$25,550
0125	1	$27,165
0126	1	$28,915
0127	1	$20,525
0128	1	$23,520
0129	1	$25,585
0130	1	$26,020
0131	1	$22,060
0132	1	$23,110
0133	1	$26,710
0134	1	$23,850
0135	1	$25,840
0136	1	$26,840
0137	1	$29,050
0138	1	$24,180
0139	1	$24,725
0140	1	$25,075
0141	1	$28,850
0142	1	$24,905
0143	1	$25,800
0144	1	$27,495
0145	1	$28,995
0146	1	$32,995
0147	1	$34,995
0148	1	$25,305
0149	1	$25,340
0150	1	$30,095
0151	1	$25,545
0152	1	$29,945
0153	1	$32,745
0154	1	$18,995
0155	1	$19,995
0156	1	$19,995
0157	1	$25,845
0158	1	$25,845
0159	1	$19,290
0160	1	$25,085
0161	1	$19,395
0162	1	$20,850
0163	1	$22,165
0164	1	$23,165
0165	1	$29,045
0166	1	$21,055
0167	1	$21,855
0168	1	$22,055
0169	1	$24,630
0170	1	$28,030
0171	1	$28,830
0172	1	$29,105
0173	1	$31,105
0174	1	$21,165
0175	1	$24,265
0176	1	$25,015
0177	1	$26,025
0178	1	$25,510
0179	1	$26,510
0180	1	$29,440
0181	1	$25,885
0182	1	$26,185
0183	1	$27,685
0184	1	$30,095
0185	1	$34,005
0186	1	$26,150
0187	1	$26,275
0188	1	$27,725
0189	1	$29,550
0190	1	$26,475
0191	1	$28,300
0192	1	$26,575
0193	1	$20,495
0194	1	$26,495
0195	1	$26,995
0196	1	$27,995
0197	1	$26,810
0198	1	$26,935
0199	1	$20,850
0200	1	$26,935
0201	1	$21,675
0202	1	$23,075
0203	1	$23,710
0204	1	$24,775
0205	1	$25,110
0206	1	$25,305
0207	1	$26,585
0208	1	$26,705
0209	1	$21,825
0210	1	$22,715
0211	1	$25,175
0212	1	$26,605
0213	1	$23,625
0214	1	$23,960
0215	1	$25,360
0216	1	$25,555
0217	1	$26,305
0218	1	$26,835
0219	1	$26,955
0220	1	$28,235
0221	1	$22,825
0222	1	$25,235
0223	1	$27,015
0224	1	$22,715
0225	1	$26,245
0226	1	$26,865
0227	1	$23,800
0228	1	$26,560
0229	1	$23,660
0230	1	$27,180
0231	1	$26,780
0232	1	$26,785
0233	1	$29,390
0234	1	$30,010
0235	1	$16,990
0236	1	$18,990
0237	1	$27,190
0238	1	$27,225
0239	1	$27,345
0240	1	$27,245
0241	1	$29,245
0242	1	$24,290
0243	1	$29,005
0244	1	$29,605
0245	1	$29,220
0246	1	$25,395
0247	1	$28,340
0248	1	$27,390
0249	1	$27,390
0250	1	$28,750
0251	1	$29,950
0252	1	$27,270
0253	1	$28,750
0254	1	$30,250
0255	1	$30,850
0256	1	$27,360
0257	1	$27,390
0258	1	$28,545
0259	1	$31,995
0260	1	$33,150
0261	1	$34,895
0262	1	$36,345
0263	1	$27,420
0264	1	$30,420
0265	1	$33,920
0266	1	$35,770
0267	1	$30,675
0268	1	$27,530
0269	1	$29,835
0270	1	$16,795
0271	1	$17,750
0272	1	$20,930
0273	1	$21,695
0274	1	$22,395
0275	1	$22,945
0276	1	$22,940
0277	1	$23,440
0278	1	$27,770
0279	1	$30,100
0280	1	$27,770
0281	1	$30,100
0282	1	$23,255
0283	1	$24,865
0284	1	$27,860
0285	1	$23,845
0286	1	$24,860
0287	1	$37,975
0288	1	$27,880
0289	1	$27,590
0290	1	$27,760
0291	1	$27,760
0292	1	$33,080
0293	1	$33,080
0294	1	$39,310
0295	1	$32,828
0296	1	$32,710
0297	1	$27,915
0298	1	$27,915
0299	1	$19,695
0300	1	$24,655
0301	1	$26,505
0302	1	$28,355
0303	1	$20,845
0304	1	$23,990
0305	1	$26,480
0306	1	$26,795
0307	1	$27,995
0308	1	$28,545
0309	1	$29,745
0310	1	$21,760
0311	1	$22,770
0312	1	$24,240
0313	1	$25,470
0314	1	$26,940
0315	1	$28,430
0316	1	$28,560
0317	1	$31,630
0318	1	$28,480
0319	1	$22,025
0320	1	$22,590
0321	1	$23,845
0322	1	$28,135
0323	1	$22,745
0324	1	$28,320
0325	1	$30,070
0326	1	$22,995
0327	1	$24,295
0328	1	$30,995
0329	1	$23,250
0330	1	$26,650
0331	1	$28,995
0332	1	$28,995
0333	1	$35,995
0334	1	$37,345
0335	1	$28,570
0336	1	$27,999
0337	1	$32,495
0338	1	$33,995
0339	1	$35,595
0340	1	$37,595
0341	1	$38,795
0342	1	$28,180
0343	1	$24,195
0344	1	$22,245
0345	1	$23,995
0346	1	$26,245
0347	1	$27,995
0348	1	$28,995
0349	1	$22,555
0350	1	$24,680
0351	1	$26,080
0352	1	$28,080
0353	1	$29,305
0354	1	$31,305
0355	1	$31,305
0356	1	$23,200
0357	1	$27,405
0358	1	$27,750
0359	1	$29,355
0360	1	$29,700
0361	1	$30,715
0362	1	$33,500
0363	1	$24,540
0364	1	$24,690
0365	1	$29,725
0366	1	$37,865
0367	1	$27,395
0368	1	$28,915
0369	1	$28,035
0370	1	$29,035
0371	1	$28,700
0372	1	$33,050
0373	1	$28,755
0374	1	$28,900
0375	1	$32,395
0376	1	$38,115
0377	1	$28,900
0378	1	$31,605
0379	1	$36,830
0380	1	$20,610
0381	1	$24,855
0382	1	$25,155
0383	1	$25,705
0384	1	$29,740
0385	1	$21,395
0386	1	$24,395
0387	1	$26,395
0388	1	$28,395
0389	1	$31,395
0390	1	$36,395
0391	1	$24,800
0392	1	$25,720
0393	1	$27,770
0394	1	$29,500
0395	1	$30,700
0396	1	$25,950
0397	1	$26,000
0398	1	$29,500
0399	1	$29,550
0400	1	$31,300
0401	1	$24,250
0402	1	$26,050
0403	1	$27,850
0404	1	$29,600
0405	1	$24,655
0406	1	$29,095
0407	1	$29,705
0408	1	$29,980
0409	1	$39,630
0410	1	$26,430
0411	1	$28,230
0412	1	$29,700
0413	1	$28,820
0414	1	$31,670
0415	1	$34,550
0416	1	$29,130
0417	1	$29,130
0418	1	$29,460
0419	1	$29,460
0420	1	$31,020
0421	1	$33,870
0422	1	$34,350
0423	1	$36,750
0424	1	$36,920
0425	1	$29,375
0426	1	$33,595
0427	1	$29,630
0428	1	$32,570
0429	1	$34,020
0430	1	$34,770
0431	1	$36,220
0432	1	$29,810
0433	1	$22,000
0434	1	$23,250
0435	1	$23,750
0436	1	$25,000
0437	1	$25,500
0438	1	$26,500
0439	1	$26,750
0440	1	$27,500
0441	1	$29,500
0442	1	$30,500
0443	1	$31,000
0444	1	$23,485
0445	1	$27,945
0446	1	$30,135
0447	1	$32,090
0448	1	$33,965
0449	1	$34,775
0450	1	$24,090
0451	1	$24,390
0452	1	$30,085
0453	1	$24,860
0454	1	$29,300
0455	1	$30,185
0456	1	$37,975
0457	1	$42,180
0458	1	$25,855
0459	1	$30,200
0460	1	$32,480
0461	1	$33,220
0462	1	$33,930
0463	1	$34,670
0464	1	$30,360
0465	1	$30,260
0466	1	$30,190
0467	1	$31,190
0468	1	$39,190
0469	1	$29,055
0470	1	$30,150
0471	1	$32,670
0472	1	$28,765
0473	1	$30,065
0474	1	$38,105
0475	1	$39,395
0476	1	$28,990
0477	1	$30,290
0478	1	$30,290
0479	1	$31,280
0480	1	$38,620
0481	1	$39,920
0482	1	$29,935
0483	1	$30,190
