book	abebooks	isbn_13
2000	2000	2000	2000
0000	1	9780805087444
0001	1	9780669499506
0002	1	9781580175890
0003	1	9780316067928
0004	1	9781847670946
0005	1	9781592400874
0006	1	9780807071243
0007	1	9781594201530
0008	1	9781904233886
0009	1	9780471684961
0010	1	9781416594857
0011	1	9780887307287
0012	1	9780785274353
0013	1	9780385340991
0014	1	9780307265432
0015	1	9781582701707
0016	1	9780142001745
0017	1	9780061374227
0018	1	9780099282556
0019	1	9780805061765
0020	1	9781860467899
0021	1	9780198508298
0022	1	9780671027360
0023	1	9780882706207
0024	1	9780375425028
0025	1	9780590413398
0026	1	9781576753170
0027	1	9780670899241
0028	1	9780590353427
0029	1	9780671796600
0030	1	9780380773381
0031	1	9780743222242
0032	1	9781570710193
0033	1	9781892714008
0034	1	9780842335683
0035	1	9781888375886
0036	1	9780892740611
0037	1	9780385484510
0038	1	9780385509510
0039	1	9781556432330
0040	1	9781576851555
0041	1	9780679748250
0042	1	9780132287852
0043	1	9780316154055
0044	1	9780871921901
0045	1	9781892714145
0046	1	9780393041576
0047	1	9780060168483
0048	1	9780446531337
0049	1	9780073381251
0050	1	9780440212560
0051	1	9780671558680
0052	1	9780679415596
0053	1	9780060554736
0054	1	9780446515047
0055	1	9780151446476
0056	1	9780316316965
0057	1	9780941405065
0058	1	9781904233657
0059	1	9781571202550
0060	1	9780061474095
0061	1	9780679732259
0062	1	9781577941699
0063	1	9780875960661
0064	1	9781564767547
0065	1	9780393027501
0066	1	9780679403777
0067	1	9781594868511
0068	1	9781577942627
0069	1	9780671755058
0070	1	9780671023171
0071	1	9780820319162
0072	1	9780761117193
0073	1	9780962936005
0074	1	9780743250689
0075	1	9780840763563
0076	1	9781905026357
0077	1	9780767928823
0078	1	9780767902052
0079	1	9780895770868
0080	1	9780743228152
0081	1	9780887842092
0082	1	9780029253601
0083	1	9780563364771
0084	1	9780805075816
0085	1	9780061171000
0086	1	9780553258479
0087	1	9780465042951
0088	1	9780688163167
0089	1	9780446515061
0090	1	9780964385610
0091	1	9780870210204
0092	1	9780446513050
0093	1	9780752821306
0094	1	9780465068012
0095	1	9780800750541
0096	1	9780520236998
0097	1	9780099464464
0098	1	9780060914653
0099	1	9780684837987
0100	1	9780849912979
0101	1	9781586481988
0102	1	9780099387916
0103	1	9780375501029
0104	1	9780140044508
0105	1	9780099741008
0106	1	9780440204992
0107	1	9780374299101
0108	1	9780316920049
0109	1	9781559703567
0110	1	9781591797937
0111	1	9780060587246
0112	1	9780060520755
0113	1	9781555974985
0114	1	9780373483884
0115	1	9780330021357
0116	1	9781558501331
0117	1	9780310270553
0118	1	9780930852276
0119	1	9780805071450
0120	1	9780876120798
0121	1	9781878379733
0122	1	9781571741035
0123	1	9781570361647
0124	1	9781929229147
0125	1	9780060193638
0126	1	9781886769083
0127	1	9780312384395
0128	1	9780136009986
0129	1	9780940069015
0130	1	9780316693288
0131	1	9781434332738
0132	1	9781594201363
0133	1	9780937382004
0134	1	9780316693257
0135	1	9781860467851
0136	1	9780935302257
0137	1	9780975991473
0138	1	9781594489587
0139	1	9780316734936
0140	1	9781558702356
0141	1	9780891096177
