book	abebooks	publication_date
2000	1993	1993	48
0000	1	2008
0001	1	2002
0002	1	2005
0003	1	2008
0004	1	2008
0005	1	2004
0006	1	2001
0007	1	2008
0008	1	2007
0009	1	2007
0010	1	2008
0011	1	1995
0012	1	2002
0013	1	2008
0014	1	2006
0015	1	2006
0016	1	2003
0017	1	2008
0018	1	2000
0019	1	1999
0020	1	2001
0021	1	2001
0022	1	2001
0023	1	1986
0024	1	2008
0025	1	1988
0026	1	2005
0027	1	2001
0028	1	1999
0029	1	1993
0030	1	1994
0031	1	2003
0032	1	1994
0033	1	1999
0034	1	1996
0035	1	2008
0036	1	1976
0037	1	1997
0038	1	2003
0039	1	1997
0040	1	1998
0041	1	1993
0042	1	2006
0043	1	2002
0044	1	1988
0045	1	2001
0046	1	2001
0047	1	1992
0048	1	2002
0049	1	2007
0050	1	1996
0051	1	1996
0052	1	1993
0053	1	2005
0054	1	1990
0055	1	1983
0056	1	2000
0057	1	1988
0058	1	2007
0059	1	2004
0060	1	2008
0061	1	1990
0062	1	1999
0063	1	1976
0064	1	1999
0065	1	1989
0066	1	1997
0067	1	2008
0068	1	2000
0069	1	1992
0070	1	1998
0071	1	1997
0072	1	1999
0073	1	1991
0074	1	2002
0075	1	1994
0076	1	2007
0077	1	2008
0078	1	1998
0079	1	1981
0080	1	2004
0081	1	2008
0082	1	1980
0083	1	1995
0084	1	2005
0085	1	2007
0086	1	1989
0087	1	1996
0088	1	2001
0089	1	1997
0090	1	1999
0091	1	1989
0092	1	1988
0093	1	2001
0094	1	2006
0095	1	1980
0096	1	2002
0097	1	2005
0098	1	1987
0099	1	1996
0100	1	2001
0101	1	2003
0102	1	1994
0103	1	1999
0104	1	1977
0105	1	1991
0106	1	1995
0107	1	2008
0108	1	1996
0109	1	1996
0110	1	2008
0111	1	2005
0112	1	2004
0113	1	2008-05-13
0114	1	1998
0115	1	2001
0116	1	1992
0117	1	2007
0118	1	1990
0119	1	2004
0120	1	1979
0121	1	1998
0122	1	1998
0123	1	1995
0124	1	2001
0125	1	2002
0126	1	1997
0127	1	2008
0128	1	2008
0129	1	1990
0130	1	1999
0131	1	2007
0132	1	2008
0133	1	1980
0134	1	2000
0135	1	2000
0136	1	2000
0137	1	2005
0138	1	2007
0139	1	2005
0140	1	1992
0141	1	1990
0142	1	1981
0143	1	2008
0144	1	2004
0145	1	2005
0146	1	2003
0147	1	2000
0148	1	2001
0149	1	1993
0150	1	2005
0151	1	1989
0152	1	1996
0153	1	2007
0154	1	2006
0155	1	2002
0156	1	1998
0157	1	2005
0158	1	1994
0159	1	1999
0160	1	2003
0161	1	2001
0162	1	2004
0163	1	1981
0164	1	2008
0165	1	1998
0166	1	1997
0167	1	2004
0168	1	2007
0169	1	1994
0170	1	2001
0171	1	1985
0172	1	1998
0173	1	1998
0174	1	1988
0175	1	2005
0176	1	2008
0177	1	2007
0178	1	1992
0179	1	1992
0180	1	1996
0181	1	1992
0182	1	2003
0183	1	2005
0184	1	2008
0185	1	2005
0186	1	1991
0187	1	1999
0188	1	1997
0189	1	1995
0190	1	2001
0191	1	2001
0192	1	2001
0193	1	1987
0194	1	1995
0195	1	1997
0196	1	2004
0197	1	1997
0198	1	2004
0199	1	2001
0200	1	1988
0201	1	2008
0202	1	2006
0203	1	1998
0204	1	1997
0205	1	2005
0206	1	1994
0207	1	2000
0208	1	1996
0209	1	1985
0210	1	1995
0211	1	2007
0212	1	2002
0213	1	2006
0214	1	1996
0215	1	1988
0216	1	1991
0217	1	1983
0218	1	2006
0219	1	2007
0220	1	1980
0221	1	1992
0222	1	1997
0223	1	2007
0224	1	2000
0225	1	2003
0226	1	2008
0227	1	1996
0228	1	1994
0229	1	2006
0230	1	2008
0231	1	1997
0232	1	2001
0233	1	2003
0234	1	1992
0235	1	2001
0236	1	2002
0237	1	2005
0238	1	1983
0239	1	2005
0240	1	1978
0241	1	1999
0242	1	1986
0243	1	1980
0244	1	2000
0245	1	2005
0246	1	1997
0247	1	1990
0248	1	1972
0249	1	1988
0250	1	1998
0251	1	1987
0252	1	1998
0253	1	2005
0254	1	1994
0255	1	2000
0256	1	1995
0257	1	1991
0258	1	2001
0259	1	1995
0260	1	1994
0261	1	2004
0262	1	1986
0263	1	2005
0264	1	1994
0265	1	1998
0266	1	2005
0267	1	1997
0268	1	2001
0269	1	2006
0270	1	1994
0271	1	1964
0272	1	2005
0273	1	2004
0274	1	1999
0275	1	1993
0276	1	1997
0277	1	1990
0278	1	1983
0279	1	1993
0280	1	2007
0281	1	1999
0282	1	2001
0283	1	2000
0284	1	1994
0285	1	1995
0286	1	2004
0287	1	1972
0288	1	1991
0289	1	2004
0290	1	1977
0291	1	1998
0292	1	1974
0293	1	2000
0294	1	1993
0295	1	1994
0296	1	1994
0297	1	1981
0298	1	1999
0299	1	1996
0300	1	1993
0301	1	2004
0302	1	1994
0303	1	1975
0304	1	2007
0305	1	1993
0306	1	2006
0307	1	1999
0308	1	2000
0309	1	1997
0310	1	1987
0311	1	2008
0312	1	1999
0313	1	2006
0314	1	1986
0315	1	1999
0316	1	1991
0317	1	2008
0318	1	1993
0319	1	1998
0320	1	1997
0321	1	2005
0322	1	1994
0323	1	2004
0324	1	2006
0325	1	1989
0326	1	1992
0327	1	1993
0328	1	1990
0329	1	1997
0330	1	1988
0331	1	2003
0332	1	1987
0333	1	1990
0334	1	2003
0335	1	2000
0336	1	1984
0337	1	2004
0338	1	1992
0339	1	1993
0340	1	2004
0341	1	2007
0342	1	1994
0343	1	2003
0344	1	1980
0345	1	1996
0346	1	1996
0347	1	2007
0348	1	2007
0349	1	2008
0350	1	2008
0351	1	1984
0352	1	1991
0353	1	1987
0354	1	1983
0355	1	1995
0356	1	1980
0357	1	2001
0358	1	2003
0359	1	1985
0360	1	2005
0361	1	1999
0362	1	2002
0363	1	2001
0364	1	2005
0365	1	1998
0366	1	1986
0367	1	1980
0368	1	2001
0369	1	1972
0370	1	1999
0371	1	1995
0372	1	2006
0373	1	2006
0374	1	2007
0375	1	1999
0376	1	1993
0377	1	1996
0378	1	1975
0379	1	1997
0380	1	2000
0381	1	1998
0382	1	1998
0383	1	1997
0384	1	2003
0385	1	2000
0386	1	2005
0387	1	1992
0388	1	2001
0389	1	1988
0390	1	2007
0391	1	1994
0392	1	1989
0393	1	1997
0394	1	1995
0395	1	1982
0396	1	1992
0397	1	1999
0398	1	2008
0399	1	2007
0400	1	1992
0401	1	1993
0402	1	1998
0403	1	1991
0404	1	1995
0405	1	1988
0406	1	2001
0407	1	2001
0408	1	2004
0409	1	1993
0410	1	2005
0411	1	2006
0412	1	1996
0413	1	1995
0414	1	2008
0415	1	1988
0416	1	2008
0417	1	1989
0418	1	2007
0419	1	1989
0420	1	1987
0421	1	2005
0422	1	1977
0423	1	2001
0424	1	2005
0425	1	1994
0426	1	1994
0427	1	1998
0428	1	1990
0429	1	2002
0430	1	1989
0431	1	2005
0432	1	2000
0433	1	1983
0434	1	1997
0435	1	1993
0436	1	1992
0437	1	2007
0438	1	1993
0439	1	1999
0440	1	1995
0441	1	1996
0442	1	1995
0443	1	1985
0444	1	2003
0445	1	1994
0446	1	1980
0447	1	1983
0448	1	1986
0449	1	2004
0450	1	1997
0451	0	<NULL>
0452	1	1991
0453	1	2002
0454	1	1979
0455	1	2003
0456	1	2004
0457	1	1970
0458	1	1991
0459	1	1977
0460	1	1998
0461	1	1997
0462	1	1978
0463	1	2004
0464	1	1988
0465	1	2008
0466	1	1978
0467	1	2001
0468	1	1970
0469	1	1991
0470	1	1987
0471	1	1983
0472	1	2003
0473	1	1975
0474	1	1999
0475	1	1979
0476	1	1997
0477	1	1996
0478	1	1983
0479	1	1989
0480	1	2002
0481	1	1993
0482	1	1991
0483	1	1989
0484	1	2008
0485	1	1999
0486	1	2004
0487	1	1997
0488	1	2002
0489	1	1995
0490	1	1988
0491	1	2003
0492	1	1994
0493	1	1991
0494	1	2001
0495	1	1977
0496	1	1991
0497	1	2003
0498	1	2006
0499	1	1995
0500	1	2006
0501	1	2003
0502	1	2004
0503	1	1999
0504	1	2004
0505	1	1985
0506	1	2001
0507	1	2004
0508	1	2001
0509	1	1994
0510	1	1997
0511	1	1996
0512	1	2006
0513	1	2004
0514	1	2004
0515	1	1994
0516	1	1998
0517	1	1998
0518	1	2003
0519	1	1985
0520	1	1996
0521	1	2004
0522	1	2003
0523	1	2006
0524	1	2001
0525	1	2005
0526	1	2007
0527	1	2000
0528	1	1995
0529	1	2006
0530	1	2008
0531	1	2003
0532	1	2006
0533	1	2008
0534	1	2001
0535	1	2008
0536	1	2005
0537	1	2008
0538	1	2005
0539	1	2003
0540	1	2008
0541	1	2008
0542	1	2003
0543	1	2007
0544	1	2005
0545	1	2005
0546	1	2003
0547	1	2005
0548	1	1995
0549	1	1995
0550	1	2003
0551	1	2002
0552	1	2007
0553	1	1998
0554	1	2001
0555	1	2008
0556	1	2000
0557	1	1994
0558	1	2008
0559	1	2000
0560	1	1999
0561	1	2005
0562	1	1996
0563	1	1992
0564	1	2003
0565	1	1996
0566	1	1988
0567	1	1996
0568	1	1998
0569	1	1993
0570	1	1979
0571	1	2003
0572	1	1992
0573	1	1992
0574	1	1994
0575	1	1999
0576	1	1998
0577	1	2003
0578	1	1986
0579	1	1984
0580	1	1990
0581	1	1992
0582	1	2000
0583	1	1990
0584	1	1981
0585	1	2002
0586	1	2000
0587	1	1997
0588	1	1995
0589	1	1995
0590	1	1987
0591	1	1999
0592	1	1988
0593	1	1989
0594	1	1976
0595	1	2008
0596	1	1983
0597	1	2003
0598	1	2001
0599	1	2000
0600	1	2005
0601	1	1987
0602	1	1994
0603	1	2005
0604	1	1997
0605	1	2006
0606	1	1991
0607	1	1980
0608	1	1984
0609	1	1996
0610	1	1996
0611	1	1998
0612	1	1991
0613	1	1989
0614	1	1994
0615	1	2006
0616	1	1997
0617	1	2001
0618	1	2006
0619	1	2000
0620	1	2005
0621	1	1996
0622	1	2000
0623	1	1977
0624	1	2000
0625	1	1986
0626	1	1996
0627	1	2005
0628	1	1987
0629	1	1984
0630	1	1977
0631	1	2007
0632	1	2005
0633	1	1980
0634	1	1984
0635	1	2003
0636	1	1998
0637	1	1998
0638	1	2006
0639	1	2003
0640	1	1989
0641	1	1994
0642	1	2006
0643	1	2001
0644	1	2007
0645	1	2004
0646	1	2008
0647	1	1988
0648	1	1997
0649	1	1998
0650	1	1998
0651	1	1998
0652	1	2001
0653	1	1997
0654	1	1989
0655	1	2002
0656	1	1989
0657	1	2004
0658	1	1993
0659	1	2008
0660	1	1999
0661	1	1997
0662	1	1995
0663	1	1989
0664	1	2008
0665	1	2005
0666	1	1995
0667	1	1993
0668	1	1998
0669	1	1994
0670	1	1989
0671	1	1992
0672	1	1997
0673	1	2008
0674	0	<NULL>
0675	1	2008
0676	1	2006
0677	1	1996
0678	1	1993
0679	1	1990
0680	1	1993
0681	1	1990
0682	1	1983
0683	1	1995
0684	1	2004
0685	1	2003
0686	1	1965
0687	1	2006
0688	1	2003
0689	1	1989
0690	1	1977
0691	1	1987
0692	1	1990
0693	1	2008
0694	1	1991
0695	1	1994
0696	1	2006
0697	1	2000
0698	1	1996
0699	1	1997
0700	1	2003
0701	1	1999
0702	1	2000
0703	1	1985
0704	1	2008
0705	1	2006
0706	1	1988
0707	1	1986
0708	1	1999
0709	1	2003
0710	1	1994
0711	1	2002
0712	1	1991
0713	1	1995
0714	1	1997
0715	1	1982
0716	1	1988
0717	1	1983
0718	1	1996
0719	1	1975
0720	1	1995
0721	1	1993
0722	1	1995
0723	1	1997
0724	1	1978
0725	1	2006
0726	1	1983
0727	1	1997
0728	1	2005
0729	1	2002
0730	1	1994
0731	1	2006
0732	1	2006
0733	1	2006
0734	1	2003
0735	1	1974
0736	1	1996
0737	1	1993
0738	1	2007
0739	1	2002
0740	1	1987
0741	1	1987
0742	1	2006
0743	1	1973
0744	1	2002
0745	1	1994
0746	1	1988
0747	1	2003
0748	1	2007
0749	1	1989
0750	1	2005
0751	1	1999
0752	1	2003
0753	1	2004
0754	1	2005
0755	1	2005
0756	1	2003
0757	1	2004
0758	1	1992
0759	1	2001
0760	1	1991
0761	1	2007
0762	1	2005
0763	1	2005
0764	1	2005
0765	1	2004
0766	1	2007
0767	1	1994
0768	1	2001
0769	1	1994
0770	1	2004
0771	1	1995
0772	1	1999
0773	1	1986
0774	1	1982
0775	1	1971
0776	1	1993
0777	1	2001
0778	1	1985
0779	1	2003
0780	1	1991
0781	1	1994
0782	1	1987
0783	1	1992
0784	1	1974
0785	1	1972
0786	1	2008
0787	1	1995
0788	1	1972
0789	1	1981
0790	1	1981
0791	1	1992
0792	1	1981
0793	1	1981
0794	1	1984
0795	1	2002
0796	1	1978
0797	1	1986
