book	abebooks	publisher
2000	1850	1850	725
0000	1	Metropolitan Books
0001	1	Great Source Education Group Inc
0002	1	Storey Books
0003	1	Little Brown & Co
0004	0	<NULL>
0005	1	Gotham Books
0006	1	Beacon Pr
0007	1	Penguin Pr
0008	0	<NULL>
0009	1	John Wiley & Sons Inc
0010	1	Threshold Editions
0011	1	Harperbusiness
0012	1	Thomas Nelson Inc
0013	1	Dial Pr
0014	1	Alfred a Knopf Inc
0015	1	Beyond Words Pub Co
0016	1	Penguin Group USA
0017	1	Ecco Pr
0018	1	Vintage
0019	1	Owl Books
0020	0	<NULL>
0021	1	Oxford Univ Pr on Demand
0022	1	Pocket Star
0023	1	Bridge Logos Fndtn
0024	1	Pantheon Books
0025	1	Scholastic
0026	1	Berrett-Koehler Pub
0027	1	Viking Pr
0028	1	Scholastic Paperbacks
0029	1	Fireside
0030	1	Avon Books
0031	1	Simon & Schuster
0032	1	Sourcebooks Inc
0033	1	Onjinjinkta Distribution
0034	1	Tyndale House Pub
0035	1	Parallax Pr
0036	1	Harrison House Inc
0037	1	Doubleday
0038	1	Doubleday
0039	1	North Atlantic Books
0040	1	Learning Express Llc
0041	1	Vintage Books
0042	1	Prentice Hall
0043	1	Little Brown & Co
0044	1	Davis Pubns
0045	1	Onjinjinkta Distribution
0046	1	W W Norton & Co Inc
0047	1	Harpercollins
0048	1	Warner Books Inc
0049	1	Irwin Professional Pub
0050	1	Dell Pub Co
0051	1	Pocket Books
0052	1	Villard Books
0053	1	Regan Books
0054	1	Grand Central Pub
0055	1	Harcourt
0056	1	Little Brown & Co
0057	1	Recovery Publications
0058	0	<NULL>
0059	1	C & T Pub
0060	1	William Morrow & Co
0061	1	Alfred a Knopf Inc
0062	1	Harrison House Inc
0063	1	Rodale Pr
0064	1	Chariot Victor Pub
0065	1	W W Norton & Co Inc
0066	1	Random House Inc
0067	1	Rodale Pr
0068	1	Harrison House Inc
0069	1	Pocket Books
0070	1	Pocket Books
0071	1	Univ of Georgia Pr
0072	1	Workman Pub Co
0073	1	Harry K Wong Pubn
0074	1	Simon & Schuster
0075	1	Thomas Nelson Inc
0076	0	<NULL>
0077	1	Broadway Books
0078	1	Bantam Dell Pub Group
0079	1	Readers Digest
0080	1	Simon & Schuster
0081	1	House of Anansi Pr
0082	1	Free Pr
0083	0	<NULL>
0084	1	Henry Holt & Co
0085	1	Harpercollins
0086	1	Bantam Books
0087	1	Basic Books
0088	1	William Morrow & Co
0089	1	Grand Central Pub
0090	1	Techpress Inc
0091	1	Naval Inst Pr
