book	amazon	isbn_13
2000	2000	2000	1963
0000	1	978-0307269997
0001	1	978-0307454546
0002	1	978-1442305243
0003	1	978-0307387820
0004	1	978-0312383305
0005	1	978-0345504968
0006	1	978-1596061460
0007	1	978-0739468715
0008	1	978-0310247531
0009	1	978-0307746818
0010	1	978-1453605738
0011	1	978-0141439518
0012	1	978-1607882206
0013	1	978-1607882183
0014	1	978-0786291700
0015	1	978-0553818130
0016	1	978-0446562423
0017	1	978-0978605261
0018	1	978-0143038412
0019	1	978-0545091022
0020	1	978-0312554163
0021	1	978-0316087360
0022	1	978-1616644307
0023	1	978-0749953041
0024	1	978-1441747747
0025	1	978-1607882244
0026	1	978-1934137123
0027	1	978-1934137192
0028	1	978-1573222457
0029	1	978-1594481772
0030	1	978-0755352562
0031	1	978-0316068048
0032	1	978-1406931174
0033	1	978-0451231550
0034	1	978-1451608212
0035	1	978-0812973815
0036	1	978-1400063512
0037	1	978-0099450252
0038	1	978-0375751516
0039	1	978-0441019335
0040	1	978-0307387943
0041	1	978-0307399069
0042	1	978-0340977002
0043	1	978-0394838472
0044	1	978-1439187715
0045	1	978-0310266273
0046	1	978-0385528757
0047	1	978-0739376966
0048	1	978-1595143662
0049	1	978-0060850524
0050	1	978-0060929879
0051	1	978-0310318859
0052	1	978-0142000663
0053	1	978-0771041105
0054	1	978-1932100662
0055	1	978-0761150794
0056	1	978-0761148579
0057	1	978-0151008117
0058	1	978-1409119975
0059	1	978-0330449601
0060	1	978-0307594778
0061	1	978-0330449762
0062	1	978-0307735058
0063	1	978-1453600887
0064	1	978-0385486804
0065	1	978-0671708634
0066	1	978-0470580462
0067	1	978-0143114963
0068	1	978-1401927189
0069	1	978-1434622891
0070	1	978-0743294294
0071	1	978-0764179495
0072	1	978-0554216577
0073	1	978-0262720472
0074	1	978-1441737595
0075	1	978-0312383299
0076	1	978-1423342458
0077	1	978-0307463746
0078	1	978-0316057554
0079	1	978-0470550472
0080	1	978-0316053631
0081	1	978-0137144174
0082	1	978-1427209887
0083	1	978-0446676441
0084	1	978-0718154547
0085	1	978-1575666075
0086	1	978-0061926525
0087	1	978-0007230181
0088	1	978-0515142242
0089	1	978-1594488849
0090	1	978-0143145080
0091	1	978-0609608449
0092	1	978-1592405527
0093	1	978-1423376644
0094	1	978-0739376195
0095	1	978-1889140162
0096	1	978-0963386199
0097	1	978-0743572200
0098	1	978-0451225245
0099	1	978-1421982243
0100	1	978-1150505959
0101	1	978-0316044691
0102	1	978-0553807233
0103	1	978-1409103561
0104	1	978-0312321185
0105	1	978-0849919107
0106	1	978-0060555665
0107	1	978-0316018760
0108	1	978-0374105235
0109	1	978-0061728914
0110	1	978-0142000670
0111	1	978-0060934910
0112	1	978-0061562846
0113	1	978-1594864575
0114	1	978-0307461292
0115	1	978-0307461308
0116	1	978-0967089737
0117	1	978-0800730987
0118	1	978-0140280197
0119	1	978-0452287587
0120	1	978-0807014264
0121	1	978-1404316324
0122	1	978-1416586289
0123	1	978-1416586296
0124	1	978-0099911708
0125	1	978-0060838584
