book	amazon	publication_date
2000	1994	1994	1920
0000	1	Knopf; First Edition/First Printing edition (May 25, 2010)
0001	1	Vintage (June 23, 2009)
0002	1	Simon & Schuster Audio; Unabridged edition (June 15, 2010)
0003	1	Anchor (May 19, 2009)
0004	1	St. Martin's Press; 1 edition (June 22, 2010)
0005	1	Ballantine Books; First Edition edition (June 8, 2010)
0006	1	Subterranean (March 15, 2007)
0007	1	Random House; Book Club edition (January 1, 2006)
0008	1	Zondervan; 1st pb ptg edition (February 7, 2006)
0009	1	Listening Library (Audio); Unabridged edition (June 5, 2010)
0010	1	CreateSpace (June 2, 2010)
0011	1	Penguin Books (December 31, 2002)
0012	1	Hachette Audio; Unabridged edition (June 8, 2010)
0013	1	Hachette Audio; Abridged edition (June 8, 2010)
0014	1	Thorndike Press (December 13, 2006)
0015	0	<NULL>
0016	1	Grand Central Publishing; 1 edition (May 4, 2010)
0017	1	Providence Forum Press; 1st edition (July 24, 2006)
0018	1	Penguin (Non-Classics); Later Printing edition (January 30, 2007)
0019	1	Scholastic Audio Books; Unabridged edition (October 1, 2008)
0020	1	St. Martin's Press; 1 edition (May 11, 2010)
0021	1	Little, Brown Books for Young Readers; 1 Pap/Pstr edition (May 25, 2010)
0022	1	St. Martin; Book Club edition (2010)
0023	1	St. Martin's Paperbacks (2010)
0024	1	Blackstone Audio, Inc.; Unabridged edition (May 4, 2010)
0025	1	Hachette Audio; Abridged edition (June 1, 2010)
0026	1	Bellevue Literary Press; First Edition/ First Printing edition (January 1, 2009)
0027	1	Bellevue Literary Press; First Edition edition (January 1, 2009)
0028	1	Riverhead (May 29, 2003)
0029	1	Riverhead Trade; Tra edition (September 6, 2005)
0030	1	Unknown (2010)
0031	1	Little, Brown and Company; 1 edition (May 6, 2008)
0032	1	Hard Press (November 3, 2006)
0033	1	Signet (November 30, 2010)
0034	1	Unknown (May 25, 2010)
0035	1	Random House Trade Paperbacks; 2 edition (May 11, 2010)
0036	1	Random House; 1 edition (April 17, 2007)
0037	1	Vintage; Later Printing edition (April 1, 2004)
0038	1	Modern Library; Modern Library edition (June 1, 1998)
0039	1	Ace Trade (March 2, 2010)
0040	1	Vintage; 1 edition (June 15, 2010)
0041	1	Vintage Canada (June 8, 2010)
0042	1	Hyperion; Later Printing edition (2008)
0043	1	Random House Books for Young Readers (August 26, 1989)
0044	1	Gallery; 1 edition (June 15, 2010)
0045	1	Zondervan (June 22, 2010)
0046	1	Broadway Business; 1 edition (February 16, 2010)
0047	1	Random House Audio; Unabridged edition (February 16, 2010)
0048	1	Razorbill (April 19, 2011)
0049	1	Harper Perennial Modern Classics (October 17, 2006)
0050	1	Harper Perennial Modern Classics; Reprint edition (September 1, 1998)
0051	1	Zondervan (August 7, 2009)
0052	1	Penguin (Non-Classics) (January 3, 2002)
0053	1	McClelland & Stewart (June 1, 2010)
0054	1	Benbella Books; 1 edition (June 1, 2006)
0055	1	Workman Publishing Company; 4 edition (April 25, 2008)
0056	1	Workman Publishing Company; 4th edition (April 10, 2008)
0057	1	Houghton Mifflin Harcourt; lst U.S. ed edition (June 4, 2002)
0058	1	Orion Publishing Ome (December 2, 2010)
0059	1	Pan Publishing (June 2008)
0060	1	Knopf; 1 edition (May 25, 2010)
0061	1	Picador (July 2, 2010)
0062	1	Random House Audio; Unabridged edition (June 15, 2010)
0063	1	CreateSpace (May 30, 2010)
0064	1	Anchor; 1 edition (January 20, 1997)
0065	1	Free Press; 1st edition (September 15, 1990)
0066	1	John Wiley & Sons (May 7, 2009)
0067	1	Penguin (Non-Classics); 1 edition (April 28, 2009)
0068	1	Hay House; 1st edition (December 29, 2009)
0069	1	BiblioBazaar (June 2, 2007)
0070	1	Atria; First edition (July 14, 2009)
0071	1	Barron's Educational Series; 17 edition (August 1, 2007)
0072	1	BiblioLife; Large type edition edition (August 18, 2008)
0073	1	The MIT Press (April 1, 2006)
0074	1	Blackstone Audio, Inc.; MP3CD Expanded, Updated, Unabridged edition (December 15, 2009)
0075	1	St. Martin's Paperbacks (June 22, 2010)
0076	1	Brilliance Audio on CD; Abridged edition (June 22, 2010)
0077	1	Crown Business (March 9, 2010)
0078	1	Little, Brown and Company (August 7, 2006)
0079	1	Jossey-Bass (April 5, 2010)
0080	1	Little, Brown and Company; First Edition edition (June 9, 2010)
0081	1	FT Press; Upd Exp edition (November 27, 2008)
0082	1	Macmillan Young Listeners; Unabridged edition (June 22, 2010)
0083	1	Grand Central Publishing (December 1, 2000)
0084	1	Imprint unknown (June 1, 2010)
0085	1	Kensington; Reprint edition (October 1, 2000)
0086	1	Harper (January 25, 2011)
0087	1	FOURTH ESTATE (2009)
0088	1	Jove (November 28, 2006)
0089	1	Riverhead Hardcover; 1 edition (December 29, 2009)
0090	1	Penguin Audio; Unabridged edition (January 21, 2010)
0091	1	Crown; 1st edition (February 11, 2003)
0092	1	Gotham (May 4, 2010)
0093	1	Brilliance Audio on CD Unabridged; Unabridged edition (June 15, 2010)
0094	1	Random House Audio; Unabridged edition (October 26, 2010)
0095	1	ParentMagic, Inc.; 3rd edition (February 1, 2004)
0096	1	Child Management; 2nd edition (March 1996)
0097	1	Simon & Schuster Audio; Unabridged edition (March 24, 2009)
0098	1	NAL Trade; 1st ptg deluxe edition (November 14, 2007)
0099	1	IndyPublish.com (January 30, 2006)
0100	1	General Books LLC (December 20, 2009)
0101	1	Little, Brown and Company; Reprint edition (May 1, 2009)
0102	1	Bantam; First Edition edition (June 16, 2009)
0103	1	Orion Publishing Ome (March 4, 2010)
0104	1	St. Martin's Press; 1st edition (June 1, 2004)
0105	1	Thomas Nelson (March 11, 2008)
0106	1	Collins Business; Revised edition (July 8, 2003)
0107	1	Little, Brown and Company; 1st edition (April 27, 2009)
0108	1	Farrar, Straus and Giroux; 1st edition (February 13, 2007)
0109	1	Balzer + Bray (April 27, 2010)
0110	1	Penguin (January 3, 2002)
0111	1	Harper Perennial; 1st Ecco Ed edition (May 8, 2001)
0112	1	Harper; 1 edition (June 15, 2010)
0113	1	Rodale Books; First Edition edition (April 28, 2008)
0114	1	Harmony; 1 edition (October 6, 2009)
0115	1	Three Rivers Press (September 14, 2010)
0116	1	NewTrends Publishing; Revised and Updated 2nd edition (October 1, 1999)
0117	1	Revell (May 1, 2006)
0118	1	Penguin (Non-Classics) (September 5, 2000)
0119	1	Plume; 1st Thus. edition (August 29, 2006)
0120	1	Beacon Press; 4th edition (March 30, 2000)
0121	1	IndyPublish (July 21, 2002)
0122	1	Scribner; First Edition edition (October 6, 2009)
0123	1	Scribner (September 7, 2010)
0124	1	Arrow Books Ltd (March 3, 1994)
0125	1	Harper Perennial (July 5, 2005)
0126	1	Sentinel HC (June 1, 2010)
0127	1	FT Press; 1 edition (September 30, 2007)
0128	1	Ace Hardcover; Reprint edition (March 2, 2010)
0129	1	Avon (January 25, 2011)
0130	1	HarperLuxe; Lrg edition (June 8, 2010)
0131	1	Harper Perennial; 1 edition (August 25, 2009)
0132	1	Broadway (October 8, 2002)
0133	1	Grand Central Publishing (August 7, 2007)
0134	1	Random House; 1ST edition (May 26, 2009)
0135	1	HarperTeen; Reprint edition (November 25, 2008)
0136	1	Jove (May 29, 2007)
0137	1	Berkley Trade (July 5, 2005)
0138	1	WallBuilder Press; 5th edition (March 21, 2000)
0139	1	W. W. Norton & Company; Reprint edition (March 15, 2010)
0140	1	W. W. Norton & Company; Later Printing edition (October 17, 1989)
0141	1	William Morrow (June 8, 2010)
0142	1	Grand Central Publishing (January 2002)
0143	1	Integrity Publishers (June 2005)
0144	1	Mariner Books (October 1, 2010)
0145	1	Harmony; First Edition ~1st Printing edition (April 6, 2010)
0146	1	Random House; 1 edition (September 9, 2003)
0147	1	Ballantine Books (October 4, 2005)
0148	1	Twelve; X edition (September 3, 2009)
0149	1	Harper Perennial; Reprint edition (July 20, 2010)
0150	1	Wiley; 12th edition (March 23, 2009)
0151	1	Amistad; First Edition edition (January 27, 2009)
0152	1	Thorndike Press; Lrg edition (July 28, 2010)
0153	1	Razorbill; 1st edition (October 18, 2007)
0154	1	Vintage (February 5, 2002)
0155	1	Faber and Faber; 1ST edition (February 4, 2002)
0156	1	Tantor Media; Unabridged,MP3 - Unabridged CD edition (June 15, 2010)
0157	1	General Books LLC (March 6, 2010)
0158	1	BiblioLife (August 18, 2008)
0159	1	Broadway; 1 edition (May 6, 2003)
0160	1	Windsor Peak Press; 7 edition (April 25, 2007)
0161	1	Penguin Classics Hardcover (March 10, 2010)
0162	1	Riverhead Hardcover; Book Club (BCE/BOMC) edition (April 29, 2010)
0163	1	Penguin Audio; Unabridged edition (April 29, 2010)
0164	1	General Books LLC (March 7, 2010)
0165	1	Aegypan (February 1, 2007)
0166	1	San Val (February 2003)
0167	1	Thomas Nelson (October 12, 2004)
0168	1	Workman Publishing; 2 Rev Upd edition (August 30, 2009)
0169	1	Wiley; 2 edition (January 12, 2010)
0170	1	Hyperion (March 22, 2011)
0171	1	Dutton Adult (October 30, 2008)
0172	1	Free Press (2008)
0173	1	Hachette usa (January 1, 2010)
0174	1	Simon & Schuster (2010)
0175	1	HarperLuxe; Lgr edition (January 26, 2010)
0176	1	General Books LLC (March 7, 2010)
0177	1	Aegypan (September 1, 2006)
0178	1	Jove (May 25, 2010)
0179	1	Griffin (February 9, 2010)
0180	1	Little, Brown Young Readers (October 15, 2008)
0181	1	Gallup Press; 1 edition (January 6, 2009)
0182	1	BiblioLife (February 11, 2009)
0183	1	BiblioLife; Large type edition edition (August 18, 2008)
0184	1	Gallicbooks (2008)
0185	1	HighBridge Company; Unabridged; 9 hours edition (June 17, 2009)
0186	1	Mira (April 27, 2010)
0187	1	Mira; Library ed edition (April 28, 2009)
0188	1	Mira Books (2009)
0189	1	Delacorte Press; First Edition edition (April 28, 2009)
0190	1	BiblioBazaar (January 7, 2008)
0191	1	Intermedia Publishing Group; First edition (March 29, 2010)
0192	1	Revell (September 1, 2004)
0193	1	Penguin Classics (March 25, 2003)
0194	1	Profile Books Ltd (January 28, 2010)
0195	1	BiblioLife; Large type edition edition (August 18, 2008)
0196	1	Ace; Original edition (April 27, 2010)
0197	1	Brilliance Audio on CD Unabridged; Unabridged edition (April 27, 2010)
0198	1	Scholastic Inc.; Rei/Crds edition (May 25, 2010)
0199	1	BBC Audio; Unabridged edition (June 8, 2010)
0200	1	Listen & Live Audio; Unabridged edition (May 15, 2010)
0201	1	Riverhead Hardcover; First Edition ~1st Printing edition (September 6, 2007)
0202	1	Farrar Straus & Giroux (September 30, 1998)
0203	1	General Books LLC (March 6, 2010)
0204	1	Tyndale Audio; Unabridged edition (April 13, 2010)
0205	1	Tyndale House Publishers, Inc.; Abridged edition (April 13, 2010)
0206	1	Viking Adult; First Edition, First Printing edition (January 5, 2010)
0207	1	Harvard Business Press; 1 edition (September 18, 2003)
0208	1	Brilliance Audio on CD; Abridged edition (July 20, 2010)
0209	1	Harvard Common Press; Revised edition (April 1, 2003)
0210	1	Putnam Adult; 1St Edition edition (July 13, 2000)
0211	1	Tantor Media; Unabridged,MP3 - Unabridged CD edition (June 7, 2010)
0212	1	St. Martin's Press (September 14, 2010)
0213	1	Macmillan Audio; Unabridged edition (September 14, 2010)
0214	1	BiblioLife; Large type edition edition (August 18, 2008)
0215	1	Anchor (May 18, 2010)
0216	1	Doubleday; First US Edition edition (June 16, 2009)
0217	1	Anchor; 1 edition (August 25, 2009)
0218	1	Grand Central Publishing; First Edition edition (September 21, 2010)
0219	1	Workman Publishing Company (September 25, 2007)
0220	1	Ulysses Press; Original edition (April 7, 2009)
0221	1	Random House Audio; Unabridged edition (April 13, 2010)
0222	1	Viking Adult; 1 edition (March 15, 2007)
0223	1	Penguin Books Ltd (2008)
0224	1	Minotaur Books; 1 edition (June 22, 2010)
0225	1	Broadway; 1 edition (May 4, 2010)
0226	1	Broadway Books; First Edition edition (September 23, 2008)
0227	1	Steck-Vaughn; Abridged edition (September 2000)
0228	1	Scribner; First Edition edition (August 26, 1994)
0229	1	Penguin Books Ltd; Repack edition (February 1, 1996)
0230	1	Baen; Har/Cdr edition (June 22, 2010)
0231	1	Putnam Adult; First Edition edition (June 21, 2001)
0232	1	HarperCollins; 1ST edition (May 1, 2007)
0233	1	Harper Perennial; Trade Paperback Edition edition (January 1, 2008)
0234	1	Recorded Books (December 2003)
0235	1	Signet (January 1, 2007)
0236	1	Semiotext(e); 1 edition (August 31, 2009)
0237	1	Ballantine Books; First Edition first Printing edition (March 30, 2010)
0238	1	Minotaur Books; 1 edition (March 3, 2009)
0239	1	Minotaur Books; 1ST edition (January 1, 2009)
0240	1	Random House Audio; Unabridged edition (September 12, 2006)
0241	1	CreateSpace (March 25, 2009)
0242	1	HarperSanFrancisco (March 6, 2001)
0243	1	Little, Brown and Company; 1st edition (June 1, 2002)
0244	1	Pocket Books (August 1, 2005)
0245	1	Crown; 1 edition (October 20, 2009)
0246	1	Mira (May 25, 2010)
0247	1	Simon & Schuster; 1St Edition edition (October 25, 2005)
0248	1	New Harbinger Publications; 4 edition (May 2005)
0249	1	New Harbinger Publications; 3nd edition (November 15, 2000)
0250	1	Arrow Books Ltd (January 3, 1998)
0251	1	Pantheon Books; 1st edition (September 6, 1994)
0252	1	University Of Chicago Press; 2 edition (September 15, 1982)
0253	1	Harper (May 18, 2010)
0254	1	1//19 (June 1, 2010)
0255	1	Rodale Books; Upd Exp edition (October 6, 2009)
0256	1	Doubleday Books; Book Club edition (July 1997)
0257	1	ReadHowYouWant; Lrg edition (January 19, 2010)
0258	1	Zondervan Books; New Ed edition (1997)
0259	1	Broadway; 1st ed edition (May 4, 1998)
0260	1	Broadway (May 4, 1999)
0261	1	CreateSpace (May 16, 2010)
0262	1	Gower Publishing Ltd (November 6, 1986)
0263	1	Highbridge Audio; 3rd edition (September 7, 2006)
0264	1	Crown (May 18, 2010)
0265	1	Signet (May 7, 1991)
0266	1	Hodder & Stoughton; Complete ed edition (September 1999)
0267	1	Tantor Media; Unabridged,Unabridged CD edition (October 29, 2009)
0268	1	Success Co. (September 30, 2009)
0269	1	Hodder & Stoughton (January 1, 2009)
0270	1	Brilliance Audio on CD Value Priced; Abridged edition (September 21, 2010)
0271	1	Portfolio Trade (May 25, 2010)
0272	1	Portfolio Hardcover; 1 edition (October 16, 2008)
0273	1	Del Rey; later printing edition (July 12, 1988)
0274	1	Pear Press; Com/DVD edition (February 26, 2008)
0275	1	Hay House; illustrated edition edition (September 15, 2008)
0276	1	Hill and Wang; Revised edition (January 16, 2006)
0277	1	Atria Books; 1 edition (June 29, 2010)
0278	1	Simon & Schuster Audio; Unabridged edition (June 29, 2010)
0279	1	CreateSpace (May 9, 2010)
0280	1	Delacorte Press; First Edition ~1st Printing edition (July 1, 1992)
0281	1	Running Press Miniature Editions; Min edition (September 7, 2004)
0282	1	Zondervan (April 1, 1992)
0283	1	IndyPublish (October 10, 2008)
0284	1	Thorndike Press; 1 edition (November 12, 2004)
0285	1	HarperCollins; 1 edition (September 28, 2010)
0286	1	HarperCollins Publishers (2008)
0287	1	Samhain Publishing (April 6, 2010)
0288	1	Viking Adult; 1st edition (December 1, 2009)
0289	1	Arthur A. Levine Books; Reprint edition (July 7, 2009)
0290	1	Wheatmark (February 15, 2010)
0291	1	St. Martin's Griffin; 1ST edition (October 27, 2009)
0292	1	Pocket (May 25, 2010)
0293	1	Hay House; First Edition edition (February 15, 2006)
0294	1	Scribner; First Thus edition (October 17, 2006)
0295	1	Tantor Media; Unabridged,MP3 - Unabridged CD edition (July 12, 2010)
0296	1	ARROW BOOKS LTD (2008)
0297	1	Tyndale House Pub (September 2004)
0298	1	Mantra Lingua (September 1994)
0299	1	Scribner (October 1, 1996)
0300	1	Scribner; 1 Reprint edition (March 2, 2010)
0301	1	Adams Media; 6 edition (October 1, 2002)
0302	1	ReadHowYouWant; Lrg edition (April 15, 2010)
0303	1	Dover Publications; Unabridged edition (April 13, 1995)
0304	1	Pocket; 1 edition (May 18, 2010)
0305	1	Thomas Nelson; Revised edition (May 4, 2010)
0306	1	Thomas Nelson (January 3, 2006)
0307	1	William Morrow Cookbooks (October 28, 2008)
0308	1	Picador (July 24, 2007)
0309	1	Penguin Classics; Revised edition (December 31, 2002)
0310	1	Knopf Canada (May 18, 2010)
0311	1	Atria (October 12, 2010)
0312	1	Square Fish (May 1, 2007)
0313	1	Simon & Schuster Audio; Unabridged edition (April 28, 2009)
0314	1	Little, Brown and Company; Trade Paperback Edition edition (June 1, 1993)
0315	1	Little, Brown and Company; 1st edition (April 30, 1992)
0316	1	Free Press (February 5, 2008)
0317	1	Random House Audio; Unabridged edition (May 4, 2010)
0318	1	Brilliance Audio on CD Unabridged; Unabridged edition (September 22, 2009)
0319	1	It Books (June 15, 2010)
0320	1	Workman Publishing Company; 1 edition (November 1, 2005)
0321	1	Wiley (June 8, 2010)
0322	1	Pocket Star (August 29, 2006)
0323	1	Atria; 1ST edition (October 11, 2005)
0324	1	Random House Large Print (October 11, 2005)
0325	1	HQN Books (May 25, 2010)
0326	1	Freemen Institute (1982)
0327	1	HarperOne; 1 edition (May 12, 2009)
0328	1	National Center for Constitutional Studies; 7th edition (January 1, 1981)
0329	1	National Center for Constitutional Studies; 7th edition (February 2, 2009)
0330	1	National Center for Constitutional Studies (January 1, 2009)
0331	1	William Morrow & Co; Int edition (2009)
0332	1	Century (August 3, 1995)
0333	1	Dell (2006)
0334	1	New York Jove; Book Club/BCE edition (1997)
0335	1	Jove (August 29, 2006)
0336	1	Ace; First Printing edition (March 27, 2007)
0337	1	Ace Hardcover; 1 edition (March 30, 2010)
0338	1	Readers Digest Assn (May 1980)
0339	1	Plume (April 26, 2005)
0340	1	W. W. Norton & Company; Reprint edition (November 17, 2008)
0341	1	Atheneum; 1 edition (August 1, 1982)
0342	1	Harper Perennial; Reprint edition (July 27, 2010)
0343	1	Barron's Educational Series; 2 edition (July 1, 2010)
0344	1	Tantor Media; Unabridged,MP3 - Unabridged CD edition (May 11, 2010)
0345	1	Zondervan (September 1, 1998)
0346	1	Orion Publishing Ome (April 1, 2010)
0347	1	Viking Adult (April 1, 1999)
0348	1	Revell; 15 Anv edition (April 1, 2001)
0349	1	Louisiana State University Press; 20th Anniversary Edition edition (February 1, 2000)
0350	1	Bantam Press (2008)
0351	1	Grand Central Publishing; Reprint edition (April 7, 2009)
0352	1	Orion (an Imprint of The Orion Publishing Group Ltd ) (October 21, 2004)
0353	1	Dell; 12th THUS edition (November 15, 1974)
0354	1	Three Rivers Press; 1st Pbk. Ed edition (January 22, 2008)
0355	1	Grand Central Publishing; Reprint edition (August 19, 2008)
0356	1	Sphere (January 1, 2008)
0357	1	Perigee Trade; Revised edition (April 4, 2006)
0358	1	Unknown; 1ST edition (January 1, 2009)
0359	1	Tantor Media; Unabridged,Unabridged CD edition (June 14, 2010)
0360	1	HarperLuxe; 1 Lrg edition (May 25, 2010)
0361	1	St. Martin's Paperbacks (June 29, 2010)
0362	1	Brilliance Audio on CD Unabridged; Unabridged edition (June 29, 2010)
0363	1	Amy Einhorn Books/Putnam; First Edition edition (February 9, 2010)
0364	1	Berkley Publishing Group (February 2011)
0365	1	Penguin Audio; Unabridged edition (February 9, 2010)
0366	1	William Morrow (May 1, 1974)
0367	1	Anchor; 1 Reprint edition (January 26, 2010)
0368	1	Doubleday; First Edition edition (January 27, 2009)
0369	1	Harper collins (2010)
0370	1	John Murray; ZZZ edition (June 16, 2008)
0371	1	Blackstone Audio, Inc.; Unabridged edition (May 11, 2010)
0372	1	Blackstone Audio, Inc.; Unabridged library edition (May 11, 2010)
0373	1	Jove; later printing edition (September 24, 2002)
0374	1	Rodale Press (October 27, 2008)
0375	1	Unknown (2009)
0376	1	Del Rey; First Printing edition (March 10, 2009)
0377	1	Del Rey (May 30, 2006)
0378	1	Knopf (June 15, 2010)
0379	1	Dell (August 30, 2005)
0380	1	St. Martin's Griffin (September 29, 2005)
0381	1	CreateSpace (May 22, 2010)
0382	1	Hyperion; 1 edition (March 8, 2000)
0383	1	Pocket Books; 1st edition (October 1, 2001)
0384	1	Pocket Books; SECOND PAPERBACK edition (October 2006)
0385	1	Portfolio Hardcover (October 29, 2009)
0386	1	Dell; Reissue edition (November 10, 1997)
0387	1	HarperCollins (June 2010)
0388	1	Pocket Star (March 28, 2006)
0389	1	Ace Hardcover; 1ST edition (February 3, 2009)
0390	1	Century / Souvenir Press (2009)
0391	1	IndoEuropeanPublishing.com (May 6, 2010)
0392	1	Overlook Hardcover (May 10, 2007)
0393	1	Delacorte Press; First Edition first Printing edition (July 14, 2009)
0394	1	William Morrow; First Edition edition (August 4, 2009)
0395	1	Citadel Press; Original edition (April 1, 2010)
0396	1	Puddledancer Press; 2nd edition (September 1, 2003)
0397	1	San Val (September 2003)
0398	1	aha Process, Inc.; 4 edition (May 15, 2005)
0399	1	Aha Process Inc; 3rd edition (October 15, 2003)
0400	1	Little, Brown Books for Young Readers; Reprint edition (April 1, 2009)
0401	1	Scribner; Rev Upd edition (November 16, 2004)
0402	1	Scribner; 1984 Printing edition (November 1, 1984)
0403	1	Washington Square Press (October 9, 2007)
0404	1	Atria; First Edition edition (September 12, 2006)
0405	1	Forgotten Books (October 16, 2008)
0406	1	Little, Brown Young Readers (August 5, 2010)
0407	1	Thomas Nelson (May 4, 2010)
0408	1	HarperCollins; First Edition edition (June 24, 2003)
0409	1	Ace (January 31, 2006)
0410	1	Houghton Mifflin Harcourt; 1ST edition (September 16, 2003)
0411	1	Mariner Books (September 1, 2004)
0412	1	St. Martin's Paperbacks (May 30, 2006)
0413	1	HarperCollins (October 17, 2006)
0414	1	Center Point Large Print; Lrg edition (October 2010)
0415	1	St. Martin's Paperbacks (September 30, 2008)
