book	barnesandnoble	isbn_13
2000	2000	2000	2000
0000	1	9780307474711
0001	1	9780373774616
0002	1	9781400081066
0003	1	9781615525485
0004	1	9781616826543
0005	1	9781615526208
0006	1	9781616806101
0007	1	9781616845476
0008	1	9780978605261
0009	1	9781616881016
0010	1	9780060009427
0011	1	9781615542406
0012	1	9780451524935
0013	1	9781615535392
0014	1	9781616880071
0015	1	9780385342469
0016	1	9781615564149
0017	1	9781616806071
0018	1	9780373774906
0019	1	9781933016443
0020	1	9781615582167
0021	1	9781616800109
0022	1	9780061566134
0023	1	9781616889111
0024	1	9781616830731
0025	1	9780446561365
0026	1	9781616875237
0027	1	9780345504968
0028	1	9780061992704
0029	1	9780385343169
0030	1	9780517580516
0031	1	9781423128205
0032	1	9780385501125
0033	1	9781616801137
0034	1	9781615522989
0035	1	9781616793586
0036	1	9781615543236
0037	1	9780641935268
0038	1	9781616794460
0039	1	9781616850586
0040	1	9780441018642
0041	1	9781616849368
0042	1	9780525423843
0043	1	9780743294270
0044	1	9780316017923
0045	1	9780393072235
0046	1	9780446556248
0047	1	9781616799182
0048	1	9781615553389
0049	1	9781616804572
0050	1	9781615554911
0051	1	9781616791384
0052	1	9780425233689
0053	1	9781615841707
0054	1	9781615538843
0055	1	9780641894473
0056	1	9781616849375
0057	1	9781616878184
0058	1	9781616889364
0059	1	9781616790615
0060	1	9781616800079
0061	1	9780787988319
0062	1	9781416550532
0063	1	9781416525677
0064	1	9781615551712
0065	1	9781616790905
0066	1	9781593081126
0067	1	9781616845384
0068	1	9781423113492
0069	1	9780641979378
0070	1	9781616848361
0071	1	9781416597988
0072	1	9780641773785
0073	1	9780140177398
0074	1	9781615520176
0075	1	9781616877279
0076	1	9780143038252
0077	1	9781416597995
0078	1	9781401308582
0079	1	9781434768513
0080	1	9780064440028
0081	1	9781615604821
0082	1	9781616854768
0083	1	9780142407325
0084	1	9781585426713
0085	1	9780310266273
0086	1	9780060887414
0087	1	9780316043908
0088	1	9781420106879
0089	1	9780375429828
0090	1	9780778328704
0091	1	9780743269513
0092	1	9780451191144
0093	1	9780316027656
0094	1	9781594481925
0095	1	9780143039433
0096	1	9780684801223
0097	1	9781616793579
0098	1	9781400052172
0099	1	9781439133613
0100	1	9781427994684
0101	1	9781616880316
0102	1	9781616795689
0103	1	9780312606169
0104	1	9781615520398
0105	1	9780385526272
0106	1	9780641988073
0107	1	9780399156434
0108	1	9780316031844
0109	1	9781615584260
0110	1	9781615526086
0111	1	9780385340588
0112	1	9781615608348
0113	1	9781615525195
0114	1	9781616850463
0115	1	9781439155202
0116	1	9780312595678
0117	1	9780307270702
0118	1	9781615594948
0119	1	9781616880750
0120	1	9780670021727
0121	1	9780345471017
0122	1	9781615542222
0123	1	9780545123280
0124	1	9781615554430
0125	1	9780312562779
0126	1	9780061974076
0127	1	9781595230324
0128	1	9780440414803
0129	1	9780060887322
0130	1	9780143038580
0131	1	9780684856094
0132	1	9781615515530
0133	1	9781616889319
0134	1	9781615582884
0135	1	9780679734772
0136	1	9781616875442
0137	1	9780205309023
0138	1	9781562476663
0139	1	9780425233207
0140	1	9781615573646
0141	1	9781616797294
0142	1	9781616876715
0143	1	9780156030205
0144	1	9780641828065
0145	1	9781616881597
0146	1	9780316024969
0147	1	9780679723110
0148	1	9781416968290
0149	1	9780385486804
0150	1	9781616790981
0151	1	9781616797577
0152	1	9781439152959
0153	1	9780812973990
0154	1	9781615540389
0155	1	9780689707490
0156	1	9781615568895
0157	1	9781615609024
0158	1	9781934137123
0159	1	9780375705243
0160	1	9781615521913
0161	1	9780316809061
0162	1	9781615566457
0163	1	9780679755333
0164	1	9781423121718
0165	1	9781616823917
0166	1	9781615563944
0167	1	9780670021659
0168	1	9780061668067
0169	1	9781615513666
0170	1	9781616877316
0171	1	9781616804596
0172	1	9781593081812
0173	1	9780760781487
0174	1	9780756655297
0175	1	9781935071877
0176	1	9781435117150
0177	1	9781423134541
0178	1	9781616845544
0179	1	9780805091748
0180	1	9780061728914
0181	1	9781606412381
0182	1	9781437659047
0183	1	9781615538591
0184	1	9780385737944
0185	1	9781594202551
0186	1	9780312558161
0187	1	9781616802745
0188	1	9781616795566
0189	1	9781591451884
0190	1	9780641957987
0191	1	9781437657593
0192	1	9780641870576
0193	1	9781437611274
0194	1	9780312591052
0195	1	9780982504888
0196	1	9780865479128
0197	1	9780316036191
0198	1	9780525951582
0199	1	9780446561334
0200	1	9780679885504
0201	1	9780375834875
0202	1	9780312605384
0203	1	9780316068055
0204	1	9781615583409
0205	1	9781616878146
0206	1	9780312367541
0207	1	9781602645165
0208	1	9781615579501
0209	1	9780380002450
0210	1	9781616875220
0211	1	9781401927189
0212	1	9781605295381
0213	1	9780446547550
0214	1	9780425227510
0215	1	9780545162074
0216	1	9780061703256
0217	1	9780393338386
0218	1	9781552100677
0219	1	9781878424310
0220	1	9780316013697
0221	1	9780316085274
0222	1	9780446610391
0223	1	9780689711732
0224	1	9780399156243
0225	1	9780759529434
0226	1	9781594488849
0227	1	9780307593528
0228	1	9780545060479
0229	1	9780061138034
0230	1	9780545060394
0231	1	9780399156199
0232	1	9780399144462
0233	1	9781595550781
0234	1	9780670021642
0235	1	9781416586289
0236	1	9780060254926
0237	1	9780061728976
0238	1	9781615594535
0239	1	9780810970687
0240	1	9780385343183
0241	1	9781552639405
0242	1	9781401323820
0243	1	9781401926458
0244	1	9780976990703
0245	1	9781435114944
0246	1	9781416547907
0247	1	9780307269751
0248	1	9780060256654
0249	1	9780312590444
0250	1	9780312380755
0251	1	9781615513550
0252	1	9780345500779
0253	1	9780316065788
0254	1	9781615513543
0255	1	9780061896439
0256	1	9781595141712
0257	1	9780670021475
