book	barnesandnoble	publication_date
2000	2000	2000	269
0000	1	Pub. Date: June 2010
0001	1	Pub. Date: June 2010
0002	1	Pub. Date: November 2009
0003	1	Pub. Date: July 2009
0004	1	Pub. Date: August 2008
0005	1	Pub. Date: September 2006
0006	1	Pub. Date: February 2010
0007	1	Pub. Date: May 2010
0008	1	Pub. Date: July 2006
0009	1	Pub. Date: May 2005
0010	1	Pub. Date: February 2003
0011	1	Pub. Date: October 2007
0012	1	Pub. Date: July 1950
0013	1	Pub. Date: February 2008
0014	1	Pub. Date: March 2009
0015	1	Pub. Date: June 2010
0016	1	Pub. Date: July 2009
0017	1	Pub. Date: February 2010
0018	1	Pub. Date: June 2010
0019	1	Pub. Date: June 2010
0020	1	Pub. Date: October 2008
0021	1	Pub. Date: December 2000
0022	1	Pub. Date: January 2010
0023	1	Pub. Date: May 2010
0024	1	Pub. Date: June 2010
0025	1	Pub. Date: June 2010
0026	1	Pub. Date: February 2008
0027	1	Pub. Date: June 2010
0028	1	Pub. Date: May 2010
0029	1	Pub. Date: June 2010
0030	1	Pub. Date: March 29, 2011
0031	1	Pub. Date: June 2010
0032	1	Pub. Date: June 2010
0033	1	Pub. Date: June 2009
0034	1	Pub. Date: September 2006
0035	1	Pub. Date: June 2008
0036	1	Pub. Date: September 2009
0037	1	Pub. Date: January 2007
0038	1	Pub. Date: April 2010
0039	1	Pub. Date: June 2010
0040	1	Pub. Date: May 2010
0041	1	Pub. Date: April 2008
0042	1	Pub. Date: May 2010
0043	1	Pub. Date: July 13, 2010
0044	1	Pub. Date: November 2008
0045	1	Pub. Date: March 2010
0046	1	Pub. Date: May 2010
0047	1	Pub. Date: January 2010
0048	1	Pub. Date: June 2008
0049	1	Pub. Date: April 2008
0050	1	Pub. Date: April 2008
0051	1	Pub. Date: September 2007
0052	1	Pub. Date: April 2010
0053	1	Pub. Date: July 2009
0054	1	Pub. Date: April 2003
0055	1	Pub. Date: May 2006
0056	1	Pub. Date: August 2006
0057	1	Pub. Date: May 2010
0058	1	Pub. Date: May 2010
0059	1	Pub. Date: May 2008
0060	1	Pub. Date: November 2006
0061	1	Pub. Date: September 2009
0062	1	Pub. Date: March 2009
0063	1	Pub. Date: June 2010
0064	1	Pub. Date: December 2009
0065	1	Pub. Date: March 2010
0066	1	Pub. Date: March 2008
0067	1	Pub. Date: May 2010
0068	1	Pub. Date: September 2008
0069	1	Pub. Date: August 2006
0070	1	Pub. Date: May 2010
0071	1	Pub. Date: March 2009
0072	1	Pub. Date: May 2005
0073	1	Pub. Date: January 1993
0074	1	Pub. Date: March 2010
0075	1	Pub. Date: September 2009
0076	1	Pub. Date: January 2007
0077	1	Pub. Date: December 2009
0078	1	Pub. Date: March 2006
0079	1	Pub. Date: May 2008
0080	1	Pub. Date: September 1992
0081	1	Pub. Date: February 2008
0082	1	Pub. Date: April 2008
0083	1	Pub. Date: April 2006
0084	1	Pub. Date: September 2008
0085	1	Pub. Date: June 2010
0086	1	Pub. Date: November 2008
0087	1	Pub. Date: June 2010
0088	1	Pub. Date: July 2010
0089	1	Pub. Date: June 2010
