book	barnesandnoble	publisher
2000	2000	2000	296
0000	1	Publisher: Knopf Doubleday Publishing Group
0001	1	Publisher: Harlequin
0002	1	Publisher: Crown Publishing Group
0003	1	Publisher: HarperCollins Publishers
0004	1	Publisher: Farrar, Straus and Giroux
0005	1	Publisher: Grand Central Publishing
0006	1	Publisher: Chronicle Books LLC
0007	1	Publisher: Reader's Digest Children's Publishing, Incorporated
0008	1	Publisher: Providence Forum Press
0009	1	Publisher: Houghton Mifflin Harcourt
0010	1	Publisher: HarperCollins Publishers
0011	1	Publisher: HarperCollins Publishers
0012	1	Publisher: Penguin Group (USA)
0013	1	Publisher: Bethany House Publishers
0014	1	Publisher: Marvel Enterprises, Inc.
0015	1	Publisher: Random House Publishing Group
0016	1	Publisher: Penguin Group (USA)
0017	1	Publisher: HarperCollins Publishers
0018	1	Publisher: Harlequin
0019	1	Publisher: Behler Publications, LLC
0020	1	Publisher: Penguin Group (USA) Incorporated
0021	1	Publisher: Little, Brown & Company
0022	1	Publisher: HarperCollins Publishers
0023	1	Publisher: Simon & Schuster Adult Publishing Group
0024	1	Publisher: Houghton Mifflin Harcourt
0025	1	Publisher: Grand Central Publishing
0026	1	Publisher: Bethany House Publishers
0027	1	Publisher: Random House Publishing Group
0028	1	Publisher: HarperCollins Publishers
0029	1	Publisher: Random House Publishing Group
0030	1	Publisher: Crown Publishing Group
0031	1	Publisher: Hyperion
0032	1	Publisher: Knopf Doubleday Publishing Group
0033	1	Publisher: St. Martin's Press
0034	1	Publisher: Little, Brown & Company
0035	1	Publisher: Little, Brown & Company
0036	1	Publisher: Hyperion Books for Children
0037	1	Publisher: St. Martin's Press
0038	1	Publisher: Disney Press
0039	1	Publisher: Bantam Dell
0040	1	Publisher: Penguin Group (USA)
0041	1	Publisher: HarperCollins Publishers
0042	1	Publisher: Penguin Young Readers Group
0043	1	Publisher: Simon & Schuster Adult Publishing Group
0044	1	Publisher: Little, Brown & Company
0045	1	Publisher: Norton, W. W. & Company, Inc.
0046	1	Publisher: Grand Central Publishing
0047	1	Publisher: Penguin Group (USA)
0048	1	Publisher: Grand Central Publishing
0049	1	Publisher: Penguin Group (USA) Incorporated
0050	1	Publisher: Knopf Doubleday Publishing Group
0051	1	Publisher: Crown Publishing Group
0052	1	Publisher: Penguin Group (USA)
0053	1	Publisher: Kirsch, David Inc.
0054	1	Publisher: Hyperion
0055	1	Publisher: HarperCollins Publishers
0056	1	Publisher: HarperCollins Publishers
0057	1	Publisher: Penguin Group (USA)
0058	1	Publisher: Simon & Schuster Adult Publishing Group
0059	1	Publisher: Penguin Group (USA)
0060	1	Publisher: Picador USA
0061	1	Publisher: Wiley, John & Sons, Incorporated
0062	1	Publisher: Simon & Schuster Adult Publishing Group
0063	1	Publisher: Simon & Schuster Adult Publishing Group
0064	1	Publisher: Penguin Group (USA) Incorporated
0065	1	Publisher: HarperCollins Publishers
0066	1	Publisher: Barnes & Noble
0067	1	Publisher: Penguin Group (USA)
0068	1	Publisher: Hyperion Books for Children
0069	1	Publisher: HarperCollins Publishers
0070	1	Publisher: Simon & Schuster Children's Publishing
0071	1	Publisher: Simon & Schuster Adult Publishing Group
0072	1	Publisher: HarperCollins Publishers
0073	1	Publisher: Penguin Group (USA) Incorporated
0074	1	Publisher: Simon & Schuster (UK)
0075	1	Publisher: Simon & Schuster Adult Publishing Group
0076	1	Publisher: Penguin Group (USA)
0077	1	Publisher: Simon & Schuster Adult Publishing Group
0078	1	Publisher: Hyperion
0079	1	Publisher: Cook, David C.
0080	1	Publisher: HarperCollins Publishers
0081	1	Publisher: Houghton Mifflin Harcourt
0082	1	Publisher: Barbour Publishing, Incorporated
0083	1	Publisher: Penguin Group (USA)
0084	1	Publisher: Penguin Group (USA) Incorporated
0085	1	Publisher: Zondervan
0086	1	Publisher: HarperCollins Publishers
0087	1	Publisher: Little, Brown & Company
0088	1	Publisher: Kensington Publishing Corporation
0089	1	Publisher: Random House Information Group
0090	1	Publisher: Mira
0091	1	Publisher: Simon & Schuster Adult Publishing Group
0092	1	Publisher: Penguin Group (USA)
0093	1	Publisher: Little, Brown Books for Young Readers
0094	1	Publisher: Penguin Group (USA)
0095	1	Publisher: Penguin Group (USA)
0096	1	Publisher: Simon & Schuster Adult Publishing Group
0097	1	Publisher: Grand Central Publishing
0098	1	Publisher: Crown Publishing Group
0099	1	Publisher: Baen Books
0100	1	Publisher: St. Martin's Press
0101	1	Publisher: Random House Publishing Group
0102	1	Publisher: HarperCollins Publishers
0103	1	Publisher: St. Martin's Press
0104	1	Publisher: Disney Press
0105	1	Publisher: Broadway Books
0106	1	Publisher: Penguin Group (USA) Incorporated
0107	1	Publisher: Penguin Group (USA) Incorporated
0108	1	Publisher: Little, Brown Books for Young Readers
0109	1	Publisher: Simon & Schuster Adult Publishing Group
0110	1	Publisher: Little, Brown & Company
0111	1	Publisher: Random House Publishing Group
0112	1	Publisher: Mira
0113	1	Publisher: Simon & Schuster Adult Publishing Group
0114	1	Publisher: Random House Publishing Group
0115	1	Publisher: Simon & Schuster Adult Publishing Group
0116	1	Publisher: St. Martin's Press
0117	1	Publisher: Knopf Doubleday Publishing Group
0118	1	Publisher: Penguin Group (USA)
0119	1	Publisher: Penguin Group (USA)
0120	1	Publisher: Penguin Group (USA) Incorporated
0121	1	Publisher: Random House Publishing Group
0122	1	Publisher: HarperCollins Publishers
0123	1	Publisher: Scholastic, Inc.
0124	1	Publisher: Random House Publishing Group
0125	1	Publisher: St. Martin's Press
0126	1	Publisher: HarperCollins Publishers
0127	1	Publisher: Penguin Group (USA)
0128	1	Publisher: Random House Children's Books
0129	1	Publisher: HarperCollins Publishers
0130	1	Publisher: Penguin Group (USA)
0131	1	Publisher: Simon & Schuster Adult Publishing Group
0132	1	Publisher: Penguin Group (USA)
0133	1	Publisher: Simon & Schuster Adult Publishing Group
0134	1	Publisher: Houghton Mifflin Harcourt
0135	1	Publisher: Knopf Doubleday Publishing Group
0136	1	Publisher: Penguin Group (USA)
0137	1	Publisher: Longman
0138	1	Publisher: American Girl Publishing
0139	1	Publisher: Penguin Group (USA)
0140	1	Publisher: HarperCollins Publishers
0141	1	Publisher: Houghton Mifflin Harcourt
0142	1	Publisher: Doherty, Tom Associates, LLC
0143	1	Publisher: Houghton Mifflin Harcourt
0144	1	Publisher: HarperCollins Publishers
0145	1	Publisher: Houghton Mifflin Harcourt
0146	1	Publisher: Little, Brown Books for Young Readers
0147	1	Publisher: Knopf Doubleday Publishing Group
0148	1	Publisher: Simon & Schuster Children's Publishing
0149	1	Publisher: Knopf Doubleday Publishing Group
0150	1	Publisher: HarperCollins Publishers
0151	1	Publisher: Simon & Schuster Adult Publishing Group
0152	1	Publisher: Simon & Schuster Adult Publishing Group
0153	1	Publisher: Random House Publishing Group
0154	1	Publisher: Picador USA
0155	1	Publisher: Simon & Schuster Children's Publishing
0156	1	Publisher: Random House Childrens Books
0157	1	Publisher: Penguin Group (USA) Incorporated
0158	1	Publisher: Bellevue Literary Press
0159	1	Publisher: Knopf Doubleday Publishing Group
0160	1	Publisher: Harvard Common Press, The
0161	1	Publisher: Little, Brown Books for Young Readers
0162	1	Publisher: St. Martin's Press
0163	1	Publisher: Knopf Doubleday Publishing Group
0164	1	Publisher: Hyperion Books for Children
