book	barnesandnoble	title
2000	2000	2000	1963
0000	1	One Day
0001	1	The Darkest Lie (Lords of the Underworld Series #6)
0002	1	Blacklisted by History
0003	1	The 5-Minute Face
0004	1	Long Way Gone
0005	1	Knitting Under the Influence
0006	1	The World Almanac for Kids Puzzler Deck
0007	1	Barbie in the Twelve Dancing Princesses
0008	1	George Washington's Sacred Fire
0009	1	Those Who Save Us
0010	1	How to Read Literature Like a Professor
0011	1	Bizarre Books
0012	1	1984
0013	1	The Shunning (Heritage of Lancaster County Series #1)
0014	1	Wolverine by Claremont and Miller
0015	1	An Echo in the Bone (Outlander Series #7)
0016	1	The Truth about Forever
0017	1	Alvin and the Chipmunks
0018	1	Almost Perfect (Fool's Gold Series #2)
0019	1	Jan's Story
0020	1	Blood Memories (Vampire Memories Series #1)
0021	1	Fortune's Rocks
0022	1	Killer (Pretty Little Liars Series #6)
0023	1	Daddy's Girls
0024	1	Curious George
0025	1	Swimsuit
0026	1	The Confession (Heritage of Lancaster County Series #2)
0027	1	The Passage
0028	1	Shit My Dad Says
0029	1	Family Ties
0030	1	The Land of Painted Caves
0031	1	Only the Good Spy Young (Gallagher Girls Series #4)
0032	1	The Particular Sadness of Lemon Cake
0033	1	Finger Lickin' Fifteen (Stephanie Plum Series #15)
0034	1	Writing Tools
0035	1	When You Are Engulfed in Flames
0036	1	The Demigod Files (Percy Jackson and the Olympians Series)
0037	1	Plum Lovin' (Stephanie Plum Series)
0038	1	Goodnight, Thumper!
0039	1	Delicious
0040	1	Dead in the Family (Sookie Stackhouse / Southern Vampire Series #10)
0041	1	America's Hidden History
0042	1	Theodore Boone
0043	1	Fly Away Home
0044	1	Outliers
0045	1	The Big Short
0046	1	War
0047	1	The Looking Glass Wars
0048	1	The Monster of Florence
0049	1	Armageddon in Retrospect
0050	1	Unaccustomed Earth
0051	1	My Lobotomy
0052	1	Savor the Moment (Nora Roberts' Bride Quartet Series #3)
0053	1	David Kirsch's Butt Book
0054	1	The Pirate Hunter
0055	1	The Last Anniversary
0056	1	My Heart May Be Broken, but My Hair Still Looks Great
0057	1	Lock and Key
0058	1	Overtime, Under Him
0059	1	The Courtesan's Secret
0060	1	Limitations
0061	1	The Big Book of Parenting Solutions
0062	1	The House at Riverton
0063	1	206 Bones (Temperance Brennan Series #12)
