book	bookdepository	publication_date
2000	1915	1915	1073
0000	1	30 September 2008
0001	1	01 November 2010
0002	0	<NULL>
0003	1	15 July 2009
0004	1	29 April 2010
0005	1	10 March 2009
0006	1	05 August 2010
0007	1	04 May 2010
0008	1	06 January 2011
0009	1	01 November 2010
0010	1	08 March 2011
0011	1	01 April 2009
0012	0	<NULL>
0013	1	06 April 2010
0014	1	28 September 2010
0015	1	01 November 2007
0016	1	07 March 2010
0017	1	25 June 2001
0018	1	27 June 2003
0019	1	25 March 2011
0020	1	22 September 1997
0021	1	28 September 2010
0022	1	01 February 2011
0023	1	27 April 2010
0024	1	16 January 2004
0025	1	31 October 1999
0026	1	02 March 2006
0027	1	05 January 2009
0028	1	28 April 1994
0029	1	02 September 2010
0030	1	03 August 2010
0031	1	28 July 2004
0032	1	01 July 2003
0033	1	27 April 2010
0034	1	25 June 1992
0035	1	03 March 2011
0036	1	01 February 2007
0037	1	01 January 2010
0038	1	26 October 2010
0039	1	02 September 2010
0040	1	02 November 2010
0041	1	14 May 2010
0042	1	21 November 2002
0043	1	01 April 2007
0044	1	01 February 2009
0045	1	04 June 2010
0046	1	21 June 2010
0047	1	20 October 1999
0048	1	03 June 2010
0049	1	03 November 2009
0050	1	03 December 2009
0051	1	01 October 1988
0052	1	26 August 2008
0053	1	01 December 2009
0054	1	19 March 2009
0055	1	23 August 2006
0056	1	12 November 2007
0057	1	05 March 2009
0058	1	01 July 1999
0059	1	01 September 2000
0060	1	25 February 2010
0061	1	01 January 2010
0062	1	25 January 2011
0063	1	04 January 2011
0064	1	01 June 2010
0065	1	09 July 2008
0066	1	15 August 2009
0067	1	14 November 2007
0068	1	06 January 2011
0069	1	01 October 2010
0070	1	01 March 1995
0071	1	01 January 2011
0072	1	25 January 2007
0073	1	12 July 2001
0074	1	16 February 2010
0075	1	06 May 2009
0076	1	04 February 2010
0077	1	01 January 2011
0078	1	15 December 2010
0079	1	08 September 2010
0080	1	01 May 2002
0081	1	07 December 2010
0082	1	01 January 2011
0083	1	01 March 2011
0084	1	13 July 2010
0085	1	28 September 2010
0086	1	16 February 2010
0087	1	06 September 2010
0088	1	01 June 1989
0089	1	01 May 2006
0090	1	18 September 2009
0091	1	17 November 2009
0092	1	29 July 2005
0093	1	02 September 2010
0094	1	24 July 2003
0095	1	01 May 2010
0096	1	16 September 2010
0097	1	31 October 2003
0098	1	13 May 2009
0099	1	04 December 2008
0100	1	29 May 2001
0101	1	15 February 2011
0102	1	25 September 2007
0103	0	<NULL>
0104	1	12 July 2011
0105	1	07 February 2011
0106	1	03 December 2010
0107	1	25 January 2008
0108	1	31 March 2011
0109	1	02 June 2009
0110	1	03 January 2011
0111	1	31 March 2011
0112	0	<NULL>
0113	1	01 December 2010
0114	1	03 September 2009
0115	1	06 August 2009
