book	bookdepository	publisher
2000	1976	1976	603
0000	1	St. Martin&#039;s Griffin
0001	1	Atria Books
0002	1	Atlantic Books
0003	1	American Psychological Association
0004	1	Cornerstone
0005	1	David C Cook Publishing Company
0006	1	Watson-Guptill Publications
0007	1	Penguin Books Ltd
0008	1	Ebury Press
0009	1	Simon &amp; Schuster
0010	1	Image Comics
0011	1	Modern Language Association of America
0012	1	NavPress Publishing Group
0013	1	Razorbill
0014	1	Little, Brown Book Group
0015	1	Hyperion Books
0016	1	Lucid Sea, LLC
0017	1	Pearson Education (US)
0018	1	Running Press
0019	1	Workman Publishing
0020	1	Walker Books Ltd
0021	1	Phaidon Press Ltd
0022	1	Roc
0023	1	Wellness Central
0024	1	WW Norton &amp; Co
0025	1	HarperCollins Publishers Inc
0026	1	Puffin Books
0027	1	Penguin Books Ltd
0028	1	Penguin Books Ltd
0029	1	HarperCollins Publishers
0030	1	Oni Press,US
0031	1	Oni Press,US
0032	1	Chelsea Green Publishing Co
0033	1	Little, Brown Book Group
0034	1	Little, Brown Book Group
0035	1	Little, Brown Book Group
0036	1	Gallup Press
0037	1	Peter Pauper Press
0038	1	Pocket Books
0039	1	Hachette Children&#039;s Books
0040	1	Free Press
0041	1	John Wiley and Sons Ltd
0042	1	Chronicle Books
0043	1	Abrams
0044	1	Broadman &amp; Holman Publishers
0045	1	Pan Macmillan
0046	1	Bloomsbury Publishing PLC
0047	1	Bloomsbury Publishing PLC
0048	1	CCV
0049	1	New American Library
0050	1	Little, Brown &amp; Company
0051	1	Grand Central Pub
0052	0	<NULL>
0053	1	WW Norton &amp; Co
0054	1	Hodder &amp; Stoughton General Division
0055	1	Pearson Education (US)
0056	1	Thomas Dunne Books,US
0057	1	Penguin Books Ltd
0058	1	Penguin Books Ltd
0059	1	Child&#039;s Play International Ltd
0060	1	Faber and Faber
0061	1	Random House USA Inc
0062	1	Hyperion Books
0063	1	Dial Press
0064	1	Harper Teen
0065	1	HarperCollins Publishers Inc
0066	1	VeloPress
0067	1	Oni Press,US
0068	1	Short Books Ltd
0069	1	Merrell Publishers Ltd
0070	1	Wordsworth Editions Ltd
0071	1	Apple Press
0072	1	Canongate Books Ltd
0073	1	Hachette Children&#039;s Books
0074	1	Experiment
0075	1	Image Comics
0076	1	Storey Publishing LLC
0077	1	Counterpoint LLC
0078	1	MerryMakers
0079	1	Artisan
0080	1	Harvard Business School Publishing
0081	1	Princeton Architectural Press
0082	0	<NULL>
0083	1	Simon &amp; Schuster
0084	1	Simon &amp; Schuster
0085	1	Gallery Press
0086	1	Washington Square Press
0087	1	Bloomsbury Publishing PLC
0088	1	Whitford Press,U.S.
0089	1	Self-Realization Fellowship,U.S.
0090	1	Mira Books
0091	1	Prima Games
0092	1	Workman Publishing
0093	1	Little, Brown Book Group
0094	1	Little, Brown Book Group
0095	1	Human Kinetics Publishers
0096	1	Penguin Books Ltd
0097	1	Penguin Putnam Inc
0098	1	Houghton Mifflin
0099	1	Transworld Publishers Ltd
0100	1	Bantam Doubleday Dell Publishing Group Inc
0101	1	Pocket Books
0102	1	Presidio Press
0103	1	Random House Inc.
0104	1	Scholastic Press
0105	1	Thames &amp; Hudson Ltd
0106	1	John Wiley and Sons Ltd
0107	1	John Wiley and Sons Ltd
0108	1	Penguin Putnam Inc
0109	1	Signet Book
0110	1	Random House USA Inc
0111	1	Penguin Putnam Inc
0112	1	Bantam Doubleday Dell Publishing Group Inc
0113	1	Silhouette Books
0114	1	Hachette Children&#039;s Books
0115	1	Hachette Children&#039;s Books
0116	1	Pearson Education (US)
0117	1	Bedford Books
0118	1	Picador USA
0119	1	Golden Books Publishing Company, Inc.
0120	1	Pearson Education Limited
0121	1	Pan Macmillan
0122	1	Oxford University Press
0123	1	Penguin Books Ltd
0124	1	Penguin Books Ltd
0125	1	CCV
0126	1	Cornerstone
0127	1	Ebury Press
0128	1	McGraw-Hill Education - Europe
0129	1	Harper Paperbacks
0130	1	HarperTorch
0131	1	Gallimard
0132	1	Peace Hill Press
0133	1	Autism Asperger Publishing Co,US
0134	1	Stacey International
0135	1	Amber-Allen Publishing,U.S.
0136	1	ACP Publishing Pty Ltd
0137	1	Laurence King Publishing
0138	1	Wordsworth Editions Ltd
0139	1	Random House Children&#039;s Books
0140	1	Penguin Books Ltd
0141	1	HarperCollins Publishers Inc
0142	1	Random House USA Inc
0143	1	Bantam Books
0144	1	Scholastic Paperbacks
0145	1	HarperCollins Publishers Inc
0146	1	Waverley Books Ltd
0147	1	Quercus Publishing Plc
0148	1	Quercus Publishing Plc
0149	1	Atlantic Books
0150	1	Canongate Books Ltd
0151	1	Canongate Books Ltd
0152	1	Alma Books Ltd
0153	1	Games Workshop
0154	1	Wordsworth Editions Ltd
0155	1	Murdoch Books
0156	1	Lonely Planet Publications Ltd
0157	1	Lonely Planet Publications Ltd
0158	1	Lonely Planet Publications Ltd
0159	1	Lonely Planet Publications Ltd
0160	1	Image Comics
0161	1	Rodale Press
0162	1	That Patchwork Place
0163	1	Wilder Publications, Limited
0164	1	Idea &amp; Design Works
0165	1	Razorbill
0166	1	Razorbill
0167	1	Penguin Putnam Inc
0168	1	Cengage Learning, Inc
0169	1	Dark Horse Comics,U.S.
0170	1	Portfolio
0171	1	Penguin Putnam Inc
0172	1	Storey Books
0173	1	Storey Books
0174	1	Ten Speed Press
0175	1	Robert Kennedy Publishing
0176	1	F&amp;W Publications Inc
0177	1	Free Press
0178	1	Simon &amp; Schuster
0179	1	Viz Media, Subs. of Shogakukan Inc
0180	1	Viz Media, Subs. of Shogakukan Inc
0181	1	Pocket Books
