book	booksamillion	isbn_13
2000	2000	2000	2000
0000	1	: 9780316125581
0001	1	: 9781420106879
0002	1	: 9781439184301
0003	1	: 9781416586593
0004	1	: 9780441018642
0005	1	: 9780758242662
0006	1	: 9781595142504
0007	1	: 9780515148145
0008	1	: 9780515148152
0009	1	: 9780778328704
0010	1	: 9780505528490
0011	1	: 9780316035439
0012	1	: 9780385504225
0013	1	: 9780446580830
0014	1	: 9780399156533
0015	1	: 9780778329626
0016	1	: 9780373285907
0017	1	: 9781595546890
0018	1	: 9780061474842
0019	1	: 9780778327929
0020	1	: 9781423379966
0021	1	: 9780425234334
0022	1	: 9780316056571
0023	1	: 9781439189856
0024	1	: 9780345497499
0025	1	: 9780316015844
0026	1	: 9780312599072
0027	1	: 9780061626913
0028	1	: 9780778327707
0029	1	: 9780316160193
0030	1	: 9780061728976
0031	1	: 9780143118428
0032	1	: 9781595620156
0033	1	: 9780385532457
0034	1	: 9780786022274
0035	1	: 9780312532598
0036	1	: 9780316036191
0037	1	: 9780451229731
0038	1	: 9780441017157
0039	1	: 9781595230621
0040	1	: 9781848325654
0041	1	: 9781844168750
0042	1	: 9781439133736
0043	1	: 9781439101070
0044	1	: 9780778327806
0045	1	: 9780767928823
0046	1	: 9781416594857
0047	1	: 9781416989400
0048	1	: 9780425235676
0049	1	: 9780312558161
0050	1	: 9780399156243
0051	1	: 9780143038252
0052	1	: 9780393072235
0053	1	: 9781423392071
0054	1	: 9780061728471
0055	1	: 9781441842312
0056	1	: 9780785145431
0057	1	: 9780441018932
0058	1	: 9780312374983
0059	1	: 9780061659225
0060	1	: 9780446570961
0061	1	: 9780786891320
0062	1	: 9780553591903
0063	1	: 9780399156250
0064	1	: 9780515147902
0065	1	: 9780743201148
0066	1	: 9780810993136
0067	1	: 9781605298382
0068	1	: 9780545060493
0069	1	: 9780670021796
0070	1	: 9780307406330
0071	1	: 9780310266266
0072	1	: 9780316018722
0073	1	: 9780441018529
0074	1	: 9780307463579
0075	1	: 9780425227510
0076	1	: 9781439145241
0077	1	: 9780385341653
0078	1	: 9781596981096
0079	1	: 9780312361983
0080	1	: 9780061702303
0081	1	: 9780446567329
0082	1	: 9781595142719
0083	1	: 9780399252051
