book	booksamillion	publisher
2000	2000	2000	450
0000	1	: Hachette Book Group
0001	1	: Zebra
0002	1	: Threshold Editions
0003	1	: Atria Books
0004	1	: Ace Books
0005	1	: Aphrodisia
0006	1	: Razorbill
0007	1	: Jove Books
0008	1	: Jove Books
0009	1	: Mira Books
0010	1	: Not Avail
0011	1	: Orbit
0012	1	: Doubleday
0013	1	: Grand Central Publishing
0014	1	: Putnam Adult
0015	1	: Mira Books
0016	1	: Silhouette Books
0017	1	: Thomas Nelson Publishers
0018	1	: Avon Books
0019	1	: Mira Books
0020	1	: Brilliance Corporation
0021	1	: Berkley Publishing Group
0022	1	: Orbit
0023	1	: Howard Books
0024	1	: Del Rey Books
0025	1	: Megan Tingley Books
0026	1	: St. Martin's Griffin
0027	1	: HarperCollins
0028	1	: Mira Books
0029	1	: Megan Tingley Books
0030	1	: Amistad Press
0031	1	: Penguin Books
0032	1	: Gallup Press
0033	1	: Doubleday Books
0034	1	: Pinnacle Books
0035	1	: St. Martin's Press
0036	1	: Little, Brown Books for Young Readers
0037	1	: Signet Book
0038	1	: Ace Books
0039	1	: Sentinel
0040	1	: Frontline Books
0041	1	: Games Workshop
0042	1	: Baen Books
0043	1	: Gallery Press
0044	1	: Mira Books
0045	1	: Broadway Books
0046	1	: Threshold Editions
0047	1	: Simon Pulse
0048	1	: Berkley Publishing Group
0049	1	: Thomas Dunne Books
0050	1	: Putnam Adult
0051	1	: Penguin Books
0052	1	: W. W. Norton & Company
0053	1	: Brilliance Corporation
0054	1	: Balzer & Bray/Harperteen
0055	1	: Brilliance Audio
0056	1	: Marvel Comics
0057	1	: Ace Books
0058	1	: Minotaur Books
0059	1	: HarperCollins
0060	1	: Grand Central Publishing
0061	1	: Hyperion Books
0062	1	: Bantam
0063	1	: Putnam Adult
0064	1	: Jove Books
0065	1	: Free Press
0066	1	: Amulet Books
0067	1	: Rodale Press
0068	1	: Scholastic Inc.
0069	1	: Viking Books
0070	1	: Crown Publishing Group (NY)
0071	1	: Zondervan
0072	1	: Little Brown and Company
0073	1	: Ace Books
0074	1	: Harmony Books
0075	1	: Berkley Publishing Group
0076	1	: Pocket Books
0077	1	: Delacorte Press
0078	1	: Regnery Publishing
0079	1	: St. Martin's Press
0080	1	: Harper
0081	1	: Grand Central Publishing
0082	1	: Razorbill
0083	1	: Philomel Books
0084	1	: John Wiley & Sons
0085	1	: Scribner Book Company
0086	1	: Artisan
0087	1	: Delacorte Press
0088	1	: Twelve
0089	1	: Pamela Dorman Books
0090	1	: Harper
0091	1	: Ace Books
0092	1	: Thomas Nelson Publishers
0093	1	: New American Library
0094	1	: Wendy Lamb Books
0095	1	: Ballantine Books
0096	1	: TokyoPop
0097	1	: Marvel Comics
0098	1	: Kensington Publishing Corporation
0099	1	: Dafina Books
0100	1	: Plume Books
0101	1	: Plume Books
0102	1	: Harlequin
0103	1	: Harper Perennial
0104	1	: Alfred A. Knopf Books for Young Readers
0105	1	: Putnam Adult
0106	1	: Faithwords
0107	1	: Putnam Adult
0108	1	: Scholastic Press
0109	1	: Delacorte Press
0110	1	: HarperCollins Publishers
0111	1	: Ballantine Books
0112	1	: Chicken House
0113	1	: Grand Central Publishing
0114	1	: Hyperion Books
0115	1	: Crown Publishing Group (NY)
0116	1	: Ace Books
0117	1	: Grand Central Publishing
0118	1	: Scholastic
0119	1	: Zebra
0120	1	: St. Martin's Griffin
0121	1	: Hachette
0122	1	: Philomel Books
0123	1	: Knopf Publishing Group
0124	1	: Grand Central Publishing
0125	1	: HarperCollins
0126	1	: John Wiley & Sons
0127	1	: Grand Central Publishing
0128	1	: Miramax Books
0129	1	: Simon Pulse
0130	1	: Laurel Leaf Library
0131	1	: Berkley Prime Crime
0132	1	: William Morrow & Company
0133	1	: Arthur A. Levine Books
0134	1	: Touchstone Books
0135	1	: Harlequin Books
0136	1	: Zondervan
0137	1	: Avon Books
0138	1	: Simon Spotlight Entertainment
0139	1	: Harper
0140	1	: Berkley
0141	1	: Little Brown & Co.
0142	1	: Katherine Tegen Books
0143	1	: St. Martin's Press
0144	1	: Thomas Nelson Publishers
0145	1	: Back Bay Books
0146	1	: Zondervan
0147	1	: Anchor Books
0148	1	: Shadow Mountain
0149	1	: McGraw-Hill
0150	1	: Random House Books for Young Readers
0151	1	: John Wiley & Sons
0152	1	: St. Martin's Press
0153	1	: Hyperion Books for Children
0154	1	: St. Martin's Press
0155	1	: DC Comics
0156	1	: Viking Children's Books
0157	1	: Warner Books
0158	1	: Behler Publications
0159	1	: Harper
0160	1	: Little Brown and Company
0161	1	: St. Martin's Press
0162	1	: St. Martin's Griffin
0163	1	: Jove Books
0164	1	: Berkley Publishing Group
0165	1	: Jove Books
0166	1	: St. Martin's Press
0167	1	: Tyndale House Publishers
0168	1	: ESPN Video
0169	1	: Little, Brown Books for Young Readers
0170	1	: Spectra Books
0171	1	: Ballantine Books
0172	1	: Stewart, Tabori, & Chang
0173	1	: Little, Brown Young Readers
0174	1	: Dial Press
0175	1	: St. Martin's Press
0176	1	: Square Fish
0177	1	: HarperCollins
0178	1	: St. Martin's Press
0179	1	: G. P. Putnam's Sons
0180	1	: Dell Publishing Company
0181	1	: Bantam
0182	1	: Wizards of the Coast
0183	1	: Compendium Publishing & Communications
0184	1	: Riverhead Books
0185	1	: Jove Books
0186	1	: Touchstone Books
0187	1	: Ballantine Books
0188	1	: Jove Books
0189	1	: Penguin Books
0190	1	: Listening Library
0191	1	: Atria Books
0192	1	: Dell Publishing Company
0193	1	: Eos
0194	1	: Sentinel
0195	1	: Bloomsbury Publishing PLC
0196	1	: Harlequin
0197	1	: Dutton Books
0198	1	: Orbit
0199	1	: Bantam
0200	1	: Avon Books
0201	1	: Penguin Books
0202	1	: Hyperion Books
0203	1	: Delacorte Press Books for Young Readers
0204	1	: Bantam Books
0205	1	: HarperFestival
0206	1	: Little Brown and Company
0207	1	: Mira Books
0208	1	: Simon & Schuster
0209	1	: William Morrow & Company
0210	1	: Penguin Audiobooks
0211	1	: Touchstone Books
0212	1	: Del Rey Books
0213	1	: St. Martin's Press
0214	1	: Sentinel
0215	1	: St. Martin's Press
0216	1	: HarperCollins Publishers
0217	1	: Avon Books
0218	1	: Zondervan
0219	1	: St. Martin's Press
0220	1	: St. Martin's Press
0221	1	: Grand Central Publishing
0222	1	: Tyndale House Publishers
0223	1	: Bantam
0224	1	: University of Chicago Press
0225	1	: Knopf Publishing Group
0226	1	: Harper
0227	1	: HarperCollins
0228	1	: Little Brown and Company
0229	1	: Penguin Books
0230	1	: Simon & Schuster Children's Publishing
0231	1	: HarperCollins
0232	1	: Little Brown and Company
0233	1	: Harper
0234	1	: Harper Paperbacks
0235	1	: St. Martin's Press
0236	1	: Speak
0237	1	: Mira Books
0238	1	: Workman Publishing
0239	1	: Vintage Books USA
0240	1	: Ballantine Books
0241	1	: St. Martin's Press
0242	1	: Harlequin Books
0243	1	: Pinnacle Books
0244	1	: Berrett-Koehler Publishers
0245	1	: Warner Vision
0246	1	: Multnomah Publishers
0247	1	: Signet Book
0248	1	: Obsidian Mysteries
0249	1	: Poppy Books
0250	1	: Avon Books
0251	1	: Razorbill
0252	1	: Jove Books
0253	1	: HarperCollins
0254	1	: Putnam Adult
0255	1	: St. Martin's Press
0256	1	: Threshold Editions
0257	1	: Onyx Books
0258	1	: National Geographic Society
0259	1	: Little Brown & Co.
0260	1	: Tor Books
0261	1	: Puffin Books
0262	1	: Jove Books
0263	1	: Kimani Press
0264	1	: Vintage Books USA
0265	1	: Avon Books
0266	1	: Ballantine Books
0267	1	: Charisma House
0268	1	: Farrar Straus Giroux
0269	1	: Penguin Books
0270	1	: Seven Seas
0271	1	: Jove Books
0272	1	: St. Martin's Press
0273	1	: ECW Press
0274	1	: Roc
0275	1	: Houghton Mifflin Harcourt (HMH)
0276	1	: Workman Publishing
0277	1	: Avon Books
0278	1	: St. Martin's Press
0279	1	: Dial Press
0280	1	: Tyndale House Publishers
0281	1	: Urban Books
0282	1	: Avon Books
0283	1	: St. Martin's Press
0284	1	: Bantam
0285	1	: Ballantine Books
0286	1	: Lucas Books
0287	1	: Hyperion Books
0288	1	: Jove Books
0289	1	: Dover Publications
0290	1	: Random House Children's Books
0291	1	: Heat
0292	1	: Viking Books
0293	1	: Penguin Books
0294	1	: Back Bay Books
0295	1	: Harper Perennial
0296	1	: Merriam-Webster
0297	1	: Springboard Press
0298	1	: Berkley Publishing Group
0299	1	: Puffin Books
0300	1	: Grand Central Publishing
0301	1	: Putnam Adult
0302	1	: Grand Central Publishing
0303	1	: Avon Books
0304	1	: Bantam
0305	1	: Nelson Business
0306	1	: HarperAudio
0307	1	: Simon & Schuster
0308	1	: Random House
0309	1	: Simon & Schuster
0310	1	: Tyndale House Publishers
0311	1	: W Publishing Group
0312	1	: Lafayette Publishing Co.
0313	1	: Baen Books
0314	1	: Obsidian Mysteries
0315	1	: Workman Publishing
0316	1	: St. Martin's Griffin
0317	1	: Ace Books
0318	1	: HarperCollins
0319	1	: Ballantine Books
0320	1	: Hyperion Books
0321	1	: Grand Central Publishing
0322	1	: Harper Perennial
0323	1	: Bantam Books
0324	1	: Springboard Press
0325	1	: St. Martin's Press
0326	1	: Mira Books
0327	1	: Jove Books
0328	1	: Mira Books
0329	1	: Houghton Mifflin Harcourt (HMH)
0330	1	: Margaret K. McElderry Books
0331	1	: Pocket Books
0332	1	: Harlequin Books
0333	1	: David Fickling Books
0334	1	: Eos
0335	1	: Greenwillow Books
0336	1	: Anchor Books
0337	1	: Scholastic
0338	1	: Harlequin Books
0339	1	: Jove Books
0340	1	: Berkley
0341	1	: Avon Books
0342	1	: Grand Central Publishing
0343	1	: Paraclete Press (MA)
0344	1	: Rodale Press
0345	1	: TokyoPop
0346	1	: Weinstein Books
0347	1	: Zebra
0348	1	: Barbour Publishing
0349	1	: William Morrow & Company
0350	1	: Tyndale House Publishers
0351	1	: Scholastic Paperbacks
0352	1	: Thomas Nelson Publishers
0353	1	: Yearling Books
0354	1	: Thomas Nelson Publishers
0355	1	: Vintage Books USA
0356	1	: Avon Books
0357	1	: Grand Central Publishing
0358	1	: Bethany House Publishers
0359	1	: Forever
0360	1	: Pocket Star Books
0361	1	: Grand Central Publishing
0362	1	: B&H Publishing Group
0363	1	: HarperCollins Publishers
0364	1	: St. Martin's Press
0365	1	: Pocket Star Books
0366	1	: Zondervan
0367	1	: Berkley
0368	1	: Tor Books
0369	1	: Avon Books
0370	1	: Running Press Book Publishers
0371	1	: Knopf Publishing Group
0372	1	: Little, Brown Books for Young Readers
0373	1	: Berkley
0374	1	: Charisma House
0375	1	: Pocket Star Books
0376	1	: Marvel Comics
0377	1	: Putnam Adult
0378	1	: Twelve
0379	1	: St. Martin's Press
0380	1	: Scholastic
0381	1	: Silhouette Books
0382	1	: Pocket Books
0383	1	: Sequoia Publishing
0384	1	: Simon & Schuster Children's Publishing
0385	1	: Siloam Press
0386	1	: St. Martin's Press
0387	1	: Roc
0388	1	: Berkley
0389	1	: Harper
0390	1	: Dell Publishing Company
0391	1	: Rodale Press
0392	1	: Multnomah Publishers
0393	1	: Adams Media Corporation
0394	1	: Berkley
0395	1	: Simon & Schuster Children's Publishing
0396	1	: Minotaur Books
0397	1	: Blue Book Publications
0398	1	: Wizards of the Coast
0399	1	: Dell Publishing Company
0400	1	: Thomas Nelson Publishers
0401	1	: Touchstone Books
0402	1	: Random House Books for Young Readers
0403	1	: Viking Books
0404	1	: Random House
0405	1	: Zebra Books
0406	1	: David C. Cook
0407	1	: Bantam Classics
0408	1	: Price Stern Sloan
0409	1	: Dutton Books
0410	1	: Mira Books
0411	1	: Houghton Mifflin Harcourt (HMH)
0412	1	: Simon Pulse
0413	1	: Collins Design
0414	1	: Bethany House Publishers
0415	1	: Random House (NY)
0416	1	: Putnam Adult
0417	1	: Roc
0418	1	: Dell Publishing Company
0419	1	: Harper
0420	1	: HarperTorch
0421	1	: Basic Books
0422	1	: Grand Central Publishing
0423	1	: Simon & Schuster Children's Publishing
0424	1	: Scholastic Paperbacks
0425	1	: Berkley
0426	1	: Hyperion Books
0427	1	: Bantam
0428	1	: Arthur A. Levine Books
0429	1	: W. W. Norton & Company
0430	1	: Dutton Books
0431	1	: Avery Publishing Group
0432	1	: Thomas Nelson Publishers
0433	1	: Zebra
0434	1	: Dell Publishing Company
0435	1	: Yearling Books
0436	1	: Heat
0437	1	: Bantam Books
0438	1	: Plume Books
0439	1	: Pocket Star Books
0440	1	: Good Books
0441	1	: Hyperion Books for Children
0442	1	: Harper Perennial
0443	1	: Scholastic Paperbacks
0444	1	: Thomas Nelson Publishers
0445	1	: Candlewick Press (MA)
0446	1	: Grand Central Publishing
0447	1	: Zondervan
0448	1	: Jove Books
0449	1	: Forever
0450	1	: Ace Books
0451	1	: Berkley
0452	1	: Harvard Business School Press
0453	1	: Signet Book
0454	1	: Simon & Schuster
0455	1	: Jove Books
0456	1	: Random House (NY)
0457	1	: St. Martin's Press
0458	1	: Aladdin Paperbacks
0459	1	: Harlequin Books
0460	1	: Mira Books
0461	1	: Random House Disney
0462	1	: Workman Publishing
0463	1	: Grand Central Publishing
0464	1	: Brilliance Audio
0465	1	: Signet Book
0466	1	: Harper Perennial
0467	1	: Tyndale House Publishers
0468	1	: Fawcett Books
0469	1	: Knopf Publishing Group
0470	1	: Disney Press
0471	1	: Crossway Books
0472	1	: Parent Magic
0473	1	: Back Bay Books
0474	1	: Berkley Publishing Group
0475	1	: Ballantine Books
0476	1	: G. P. Putnam's Sons
0477	1	: Putnam Publishing Group
0478	1	: Signet Book
0479	1	: Forever
0480	1	: Thomas Nelson Publishers
0481	1	: Fireside Books
0482	1	: Bantam Classics
0483	1	: Obsidian Mysteries
0484	1	: Abingdon Press
0485	1	: Workman Publishing
0486	1	: Zebra
0487	1	: Waterbrook Press
0488	1	: Razorbill
0489	1	: Center Street
0490	1	: HarperCollins
0491	1	: Harper
0492	1	: Free Press
0493	1	: Puffin Books
0494	1	: Yearling Books
0495	1	: Speak
0496	1	: Vanguard Press
0497	1	: Waterbrook Press
0498	1	: Hqn
0499	1	: Shadow Mountain
0500	1	: Dell Publishing Company
0501	1	: Berkley Trade Pub
0502	1	: Little, Brown Books for Young Readers
0503	1	: St. Martin's Press
0504	1	: Thomas Dunne Books
0505	1	: NavPress Publishing Group
0506	1	: Harper
0507	1	: Pocket Star Books
0508	1	: St. Martin's Press
0509	1	: HarperCollins Publishers
0510	1	: St. Martin's Griffin
0511	1	: Pocket Books
0512	1	: Pocket Star Books
0513	1	: Roc
0514	1	: Random House Children's Books
0515	1	: Pocket Books
0516	1	: Grand Central Publishing
0517	1	: Roc
0518	1	: W. W. Norton & Company
0519	1	: Puffin Books
0520	1	: Poppy Books
0521	1	: Tyndale House Publishers
0522	1	: Aladdin Paperbacks
0523	1	: Signet Classics
0524	1	: Hazelden Publishing & Educational Services
0525	1	: Poppy Books
0526	1	: Random House Audio
0527	1	: Harper
0528	1	: Mira Books
0529	1	: St. Martin's Griffin
0530	1	: St. Martin's Griffin
0531	1	: Katherine Tegen Books
0532	1	: Houghton Mifflin Harcourt (HMH)
0533	1	: Ballantine Books
0534	1	: Avon Books
0535	1	: MacMillan Audio
0536	1	: Marvel Comics
0537	1	: Broadway Business
0538	1	: Harlequin Books
0539	1	: HarperCollins
0540	1	: Arabesque
0541	1	: Dover Publications
0542	1	: Vintage Books USA
0543	1	: Dutton Books
0544	1	: Delacorte Press
0545	1	: Simon & Schuster
0546	1	: Prima Lifestyles
0547	1	: Zebra
0548	1	: Samhain Publishing
0549	1	: Gun Digest Books
0550	1	: Berkley Publishing Group
0551	1	: Alfred A. Knopf Books for Young Readers
0552	1	: HarperCollins Publishers
0553	1	: McGraw-Hill
0554	1	: NavPress Publishing Group
0555	1	: Del Rey Books
0556	1	: William Morrow Cookbooks
0557	1	: Harlequin Books
0558	1	: Urban Books
0559	1	: Power Press
0560	1	: Simon & Schuster
0561	1	: Don't Sweat Press
0562	1	: Vanguard Press
0563	1	: Sourcebooks Casablanca
0564	1	: Jove Books
0565	1	: Faithwords
0566	1	: Ballantine Books
0567	1	: Graphia Books
0568	1	: Random House
0569	1	: Del Rey Books
0570	1	: Speak
0571	1	: Doubleday Books
0572	1	: David Fickling Books
0573	1	: Dell Publishing Company
0574	1	: Bantam Doubleday Dell Publishing Group
0575	1	: Pocket Books
0576	1	: Philomel Books
0577	1	: Jossey-Bass
0578	1	: Hachette Audio
0579	1	: Urban Books
0580	1	: Avon a
0581	1	: Atria Books
0582	1	: Workman Publishing
0583	1	: Barbour Publishing
0584	1	: Heat
0585	1	: Sourcebooks
0586	1	: Workman Publishing
0587	1	: Vintage Books USA
0588	1	: Harper Perennial
0589	1	: Pocket Star Books
0590	1	: Warner Books
0591	1	: Knopf Publishing Group
0592	1	: William Morrow & Company
0593	1	: Joanna Cotler Books
0594	1	: Knopf Publishing Group
0595	1	: Knopf Publishing Group
0596	1	: Washington Square Press
0597	1	: St. Martin's Press
0598	1	: Zondervan Publishing Company
0599	1	: Mira Books
0600	1	: Dutton Books
0601	1	: Adams Media Corporation
0602	1	: Zondervan
0603	1	: Signet Book
0604	1	: Zebra
0605	1	: Crown Publishing Group (NY)
0606	1	: Penguin Books
0607	1	: St. Martin's Press
0608	1	: University of Chicago Press
0609	1	: Yearling Books
0610	1	: Thomas Nelson Publishers
0611	1	: New American Library
0612	1	: Dell Publishing Company
0613	1	: St. Martin's Press
0614	1	: Jove Books
0615	1	: Tyndale House Publishers
0616	1	: Plume Books
0617	1	: HarperTrophy
0618	1	: Berkley Prime Crime
0619	1	: Berkley Prime Crime
0620	1	: Hyperion Books
0621	1	: Brilliance Corporation
0622	1	: Harvest House Publishers
0623	1	: Touchstone Books
0624	1	: Ballantine Books
0625	1	: Pocket Books
0626	1	: Dell Publishing Company
0627	1	: Silhouette Books
0628	1	: Hay House
0629	1	: Random House Books for Young Readers
0630	1	: World Wrestling Entertainment Books
0631	1	: Regnery Publishing
0632	1	: HarperBusiness
0633	1	: New World Library
0634	1	: Vintage Books USA
0635	1	: Avon Books
0636	1	: Thomas Nelson Publishers
0637	1	: Pocket Star Books
0638	1	: Thomas Nelson Publishers
0639	1	: Zondervan Publishing Company
0640	1	: Hyperion Books for Children
0641	1	: Yearling Books
0642	1	: St. Martin's Press
0643	1	: Putnam Adult
0644	1	: HarperCollins
0645	1	: Business Plus
0646	1	: NavPress Publishing Group
0647	1	: Random House Books for Young Readers
0648	1	: Berkley Publishing Group
0649	1	: Sourcebooks Landmark
0650	1	: Ecco
0651	1	: Roc
0652	1	: Berkley
0653	1	: Miramax Books
0654	1	: HarperTrophy
0655	1	: Yearling Books
0656	1	: Fireside Books
0657	1	: St. Martin's Press
0658	1	: Zondervan
0659	1	: Mira Books
0660	1	: Simon & Schuster Audio
0661	1	: Doubleday Books
0662	1	: Puffin Books
0663	1	: Hay House
0664	1	: Baen Books
0665	1	: Riverhead Books
0666	1	: Games Workshop
0667	1	: HarperAudio
0668	1	: Nal Obsidian Mystery
0669	1	: Berkley
0670	1	: Thomas Nelson Publishers
0671	1	: New American Library
0672	1	: St. Martin's Press
0673	1	: Viking Books
0674	1	: Signet Book
0675	1	: Howard Books
0676	1	: Little, Brown Young Readers
0677	1	: Kimani Press
0678	1	: Berkley Publishing Group
0679	1	: Rodale Press
0680	1	: Tyndale House Publishers
0681	1	: Houghton Mifflin Harcourt (HMH)
0682	1	: Whitman Publishing
0683	1	: Scribner Book Company
0684	1	: Smart Publications
0685	1	: Grief Watch
0686	1	: Brilliance Corporation
0687	1	: Roc
0688	1	: Kimani Press
0689	1	: Kimani Press
0690	1	: Orbit
0691	1	: St. Martin's Press
0692	1	: Little Brown and Company
0693	1	: Signet Book
0694	1	: Speak
0695	1	: Berkley Publishing Group
0696	1	: Atria Books
0697	1	: Island
0698	1	: New Trends Publishing,
0699	1	: Random House Books for Young Readers
0700	1	: Jove Books
0701	1	: Mira Books
0702	1	: Clarkson N Potter Publishers
0703	1	: Forge
0704	1	: Dutton Books
0705	1	: Random House Children's Books
0706	1	: McGraw-Hill Companies
0707	1	: Harper Paperbacks
0708	1	: Delacorte Press
0709	1	: Vh1
0710	1	: Large Print Press
0711	1	: Avon Books
0712	1	: Bantam
0713	1	: B&H Publishing Group
0714	1	: HarperTrophy
0715	1	: Onyx Books
0716	1	: Clarkson N Potter Publishers
0717	1	: Pocket Star Books
0718	1	: FT Press
0719	1	: USCCB
0720	1	: Aladdin Paperbacks
0721	1	: Random House Children's Books
0722	1	: Luna Books
0723	1	: DC Comics
0724	1	: Hyperion Books for Children
0725	1	: Harvest House Publishers
0726	1	: Viking Books
0727	1	: Brilliance Corporation
0728	1	: Jove Books
0729	1	: Multnomah Publishers
0730	1	: Atlantic Monthly Press
0731	1	: Gold Eagle
0732	1	: Harlequin Books
0733	1	: Harper Teen
0734	1	: Harper Teen
0735	1	: Thomas Nelson Publishers
0736	1	: Scholastic Paperbacks
0737	1	: Random House Audio
0738	1	: Dutton Books
0739	1	: Jove Books
0740	1	: St. Martin's Press
0741	1	: Fireside Books
0742	1	: Random House Children's Books
0743	1	: Dutton Books
0744	1	: HarperCollins
0745	1	: Simon Spotlight Entertainment
0746	1	: Faithwords
0747	1	: Broadway Business
0748	1	: St. Martin's Press
0749	1	: Plume Books
0750	1	: Tyndale House Publishers
0751	1	: John Wiley & Sons
0752	1	: Bantam
0753	1	: St. Martin's Griffin
0754	1	: New American Library
0755	1	: Penguin Audiobooks
0756	1	: Mariner Books
0757	1	: St. Martin's Press
0758	1	: NorthSouth
0759	1	: DK Publishing (Dorling Kindersley)
0760	1	: Shadow Mountain
0761	1	: Pocket Books
0762	1	: Gallery Press
0763	1	: Daw Books
0764	1	: Avon Books
0765	1	: Ballantine Books
0766	1	: Silhouette Books
0767	1	: New American Library
0768	1	: Harlequin Books
0769	1	: Pocket Books
0770	1	: Zebra
0771	1	: Signet Book
0772	1	: Laurel Leaf Library
0773	1	: Quirk Books
0774	1	: Princeton Review
0775	1	: Pocket Star Books
0776	1	: John Wiley & Sons
0777	1	: Mira Books
0778	1	: Berkley Trade Pub
0779	1	: Vintage Books USA
0780	1	: Tyndale House Publishers
0781	1	: Fireside Books
0782	1	: Random House Children's Books
0783	1	: Rodale Press
0784	1	: Pocket Books
0785	1	: Pocket Books
0786	1	: Berkley Trade Pub
0787	1	: Voice
0788	1	: Collector Books
0789	1	: St. Martin's Griffin
0790	1	: Zondervan Publishing Company
0791	1	: Harvest Books
0792	1	: Warner Books
0793	1	: Waterbrook Press
0794	1	: Tyndale House Publishers
0795	1	: Harlequin
0796	1	: Multnomah Publishers
0797	1	: Orbit
0798	1	: Regnery Publishing
0799	1	: Random House Books for Young Readers
0800	1	: Warner Books
0801	1	: Eos
0802	1	: Kensington Publishing Corporation
0803	1	: Standard Pub
0804	1	: Bantam
0805	1	: Harlequin Books
0806	1	: Lippincott Williams & Wilkins
0807	1	: Berkley
0808	1	: HarperOne
0809	1	: HarperCollins
0810	1	: Portfolio
0811	1	: Ballantine Books
0812	1	: Pocket Books
0813	1	: Baen Books
0814	1	: MTV Books
0815	1	: Poppy Books
0816	1	: Knopf Publishing Group
0817	1	: Jossey-Bass
0818	1	: Atria Books
0819	1	: William Morrow & Company
0820	1	: St. Martin's Press
0821	1	: Tyndale House Publishers
0822	1	: Little Simon
0823	1	: One World
0824	1	: Marvel Comics
0825	1	: Oxmoor House
0826	1	: Alfred A. Knopf Books for Young Readers
0827	1	: Hachette Audio
0828	1	: Thomas Nelson Publishers
0829	1	: HarperCollins
0830	1	: Hyperion Books
0831	1	: Berkley Trade Pub
0832	1	: Puffin Books
0833	1	: Princeton Review
0834	1	: HarperCollins Publishers
0835	1	: Vintage Books USA
0836	1	: New Directions Publishing Corporation
0837	1	: Penguin Putnam Books for Young Readers
0838	1	: John Wiley & Sons
0839	1	: St. Martin's Griffin
0840	1	: Tyndale House Publishers
0841	1	: RDR Books
0842	1	: Harcourt Children's Books
0843	1	: Harperluxe
0844	1	: Inspirio
0845	1	: Tyndale House Publishers
0846	1	: Laurel Leaf Library
0847	1	: Harper
0848	1	: Random House Books for Young Readers
0849	1	: Zebra
0850	1	: Anchor Books
0851	1	: Plume Books
0852	1	: HarperCollins
0853	1	: Viz Media
0854	1	: Random House Trade
0855	1	: Viking Children's Books
0856	1	: Berkley Prime Crime
0857	1	: Simon & Schuster Children's Publishing
0858	1	: Regnery Publishing
0859	1	: Pocket Books
0860	1	: Puffin Books
0861	1	: HarperCollins
0862	1	: Dell Publishing Company
0863	1	: Golden Books
0864	1	: Del Rey Books
0865	1	: St. Martin's Press
0866	1	: Thomas Nelson Publishers
0867	1	: Harlequin Books
0868	1	: Berkley
0869	1	: Hyperion Books
0870	1	: Mira Books
0871	1	: Broadway Books
0872	1	: Zondervan Publishing Company
0873	1	: Berkley
0874	1	: Zebra
0875	1	: Jove Books
0876	1	: Thomas Nelson Publishers
0877	1	: Taschen
0878	1	: Viz Media
0879	1	: Hyperion Books
0880	1	: Headline Book Publishing
0881	1	: Harper
0882	1	: Old Farmer's Almanac
0883	1	: Mira Books
0884	1	: Brilliance Corporation
0885	1	: Eloquent Books
0886	1	: Thomas Nelson Publishers
0887	1	: Knopf Publishing Group
0888	1	: St. Martin's True Crime
0889	1	: Pocket Books
0890	1	: New American Library
0891	1	: St. Martin's Griffin
0892	1	: Tor Books
0893	1	: Faith Library Publications
0894	1	: Berkley Trade Pub
0895	1	: Little Brown and Company
0896	1	: Touchstone Books
0897	1	: Berkley Sensations
0898	1	: Kaplan Publishing
0899	1	: Bantam
0900	1	: Charisma House
0901	1	: Berkley Publishing Group
0902	1	: HarperTorch
0903	1	: Jove Books
0904	1	: Thomas Nelson Publishers
0905	1	: Jove Books
0906	1	: Zondervan
0907	1	: Knopf Publishing Group
0908	1	: DC Comics
0909	1	: Zebra
0910	1	: Signet Book
0911	1	: Portfolio
0912	1	: Barron's Educational Series
0913	1	: Bantam Classics
0914	1	: Philomel Books
0915	1	: Mira Books
0916	1	: Delacorte Press Books for Young Readers
0917	1	: Random House Audio
0918	1	: Wiley Publishing
0919	1	: Thomas Nelson Publishers
0920	1	: John Wiley & Sons
0921	1	: Zondervan Publishing Company
0922	1	: Workman Publishing
0923	1	: Warner Books
0924	1	: Ace Books
0925	1	: Feiwel & Friends
0926	1	: Anchor Books
0927	1	: William Morrow & Company
