book	borders	author
2000	2000	2229	1071
0000	1	Lisa Kleypas
0001	1	Stieg Larsson
0002	1	Stieg Larsson
0003	1	Stieg Larsson
0004	1	Elizabeth Gilbert
0005	1	Lisa Kleypas
0006	2	James Patterson	Maxine Paetro
0007	2	James Patterson	Maxine Paetro
0008	2	James Patterson	Maxine Paetro
0009	1	Rick Riordan
0010	1	Kathryn Stockett
0011	1	Linda Lael Miller
0012	1	Brad Thor
0013	1	Chris Cleave
0014	1	Stephanie Laurens
0015	1	Lev Grossman
0016	1	Rick Riordan
0017	1	Tess Gerritsen
0018	1	Janet Evanovich
0019	1	Carl Hiaasen
0020	1	Stephenie Meyer
0021	1	Elizabeth Gilbert
0022	1	Rick Riordan
0023	1	Nelson DeMille
0024	1	Nelson DeMille
0025	1	Sara Shepard
0026	1	Justin Halpern
0027	1	Geneen Roth
0028	1	Suzanne Collins
0029	1	Harper Lee
0030	1	Nora Roberts
0031	1	Sara Shepard
0032	1	Markus Zusak
0033	2	James Patterson	Richard DiLallo
0034	1	Charlaine Harris
0035	1	Stephenie Meyer
0036	1	John Grisham
0037	1	Sara Shepard
0038	1	Rachel Renée Russell
0039	1	Lisa Gardner
0040	1	Lisa Gardner
0041	1	Lisa Gardner
0042	1	Stephenie Meyer
0043	1	Stephenie Meyer
0044	1	Stephenie Meyer
0045	1	Danielle Steel
0046	1	Nicholas Sparks
0047	1	Nicholas Sparks
0048	1	Suzanne Collins
0049	1	Robert Goolrick
0050	1	Gary Paulsen
0051	1	Paul Harding
0052	1	Sara Shepard
0053	1	Yasmine Galenorn
0054	1	Nicholas Sparks
0055	1	Nicholas Sparks
0056	1	Nicholas Sparks
0057	1	Nicholas Sparks
0058	1	Diana Gabaldon
0059	2	Rory Freedman	Kim Barnouin
0060	1	Mark Haddon
0061	1	Beverly Cleary
0062	1	P. C. Cast
0063	2	P. C. Cast	Kristin Cast
0064	1	David Weber
0065	1	Kathy Reichs
0066	1	Jeannette Walls
0067	1	Jeannette Walls
0068	1	John Hart
0069	1	John Hart
0070	1	Catherine Coulter
0071	1	Jane Feather
0072	1	F. Scott Fitzgerald
0073	1	F. Scott Fitzgerald
0074	1	F. Scott Fitzgerald
0075	1	HarperCollins Publishers
0076	1	J. Courtney Sullivan
0077	1	Laura Bush
0078	1	Aldous Huxley
0079	1	Aldous Huxley
0080	1	Malcolm Gladwell
0081	1	Masashi Kishimoto
0082	1	Jeff Kinney
0083	1	John Steinbeck
0084	1	John Steinbeck
0085	1	Julie Anne Long
0086	1	David Mitchell
0087	1	Ian K. Smith
0088	1	Jamie Ford
0089	1	Jamie Ford
0090	1	Anthony Bourdain
0091	1	Michael Scott
0092	2	Clive Cussler	Justin Scott
0093	1	Nathaniel Philbrick
0094	1	Rick Riordan
0095	1	Richard Russo
0096	1	Gary Paulsen
0097	1	Gary Paulsen
0098	1	Malcolm Gladwell
0099	1	Malcolm Gladwell
0100	1	John Irving
0101	1	Charlaine Harris
0102	1	Charlaine Harris
0103	1	Nora Roberts
0104	1	Pseudonymous Bosch
0105	1	Pseudonymous Bosch
0106	1	Charlaine Harris
0107	1	Lois Lowry
0108	1	Marjorie Hart
0109	1	Orson Scott Card
0110	1	Orson Scott Card
0111	1	Orson Scott Card
0112	1	Paolo Bacigalupi
0113	2	Eric Lustbader	Robert Ludlum
0114	2	Eric Lustbader	Robert Ludlum
0115	1	Ayn Rand
0116	1	Ayn Rand
0117	1	Max Brooks
0118	1	Max Brooks
0119	1	Max Brooks
0120	1	Dee Davis
0121	1	Robin Cook
0122	1	Jim Benton
0123	1	Nora Roberts
0124	1	Daniel G. Amen
0125	2	Simon Kuper	Stefan Szymanski
0126	1	Margaret Wise Brown
0127	1	E. Lynn Harris
0128	1	Beverly Cleary
0129	1	Lisa See
0130	1	Lisa See
0131	1	Rick Riordan
0132	1	James Patterson
0133	1	Karin Slaughter
0134	1	Charlaine Harris
0135	1	Mary Karr
0136	1	Allan Borushek
0137	1	Philippa Gregory
0138	1	Jay Asher
0139	1	Jay Asher
0140	1	Yann Martel
0141	1	Alan Furst
0142	1	Jane Austen
0143	1	Jane Austen
0144	1	Jane Austen
0145	1	Jane Austen
0146	1	Jane Austen
0147	1	Jane Austen
0148	1	Jane Austen
0149	1	Jane Austen
0150	1	Jane Austen
0151	1	Jane Austen
0152	1	Jane Austen
0153	1	Jane Austen
0154	1	Jane Austen
0155	1	David Sedaris
0156	1	David Sedaris
0157	1	Madeleine L&#039;Engle
0158	1	Kathy Griffin
