book	borders	isbn_13
2000	2000	2000	2000
0000	1	9780312605391
0001	1	9780307454546
0002	1	9780307473479
0003	1	9780307269997
0004	1	9780143038412
0005	1	9781429922487
0006	1	9780446561365
0007	1	9781607882374
0008	1	9780316052641
0009	1	9781423113386
0010	1	9781594133886
0011	1	9780373774463
0012	1	9781416586593
0013	1	9781416589648
0014	1	9780061795176
0015	1	9780143144397
0016	1	9781423103349
0017	1	9780345515483
0018	1	9781429936606
0019	1	9780440419396
0020	1	9780316038379
0021	1	9780143118428
0022	1	9781423101499
0023	1	9780446580830
0024	1	9781607882183
0025	1	9780060887353
0026	1	9780062002945
0027	1	9781416543077
0028	1	9780439023498
0029	1	9780446310789
0030	1	9780373285907
0031	1	9780060887384
0032	1	9780739337271
0033	1	9781607881896
0034	1	9780441018642
0035	1	9780316027656
0036	1	9780525423843
0037	1	9780061566172
0038	1	9781416980087
0039	1	9780553591903
0040	1	9780553807233
0041	1	9780553906639
0042	1	9780316024969
0043	1	9780739337202
0044	1	9780316075633
0045	1	9780385343169
0046	1	9780446570978
0047	1	9780446549158
0048	1	9780439023511
0049	1	9781594133831
0050	1	9780385303880
0051	1	9781934137123
0052	1	9780060887414
0053	1	9780515148145
0054	1	9780446618328
0055	1	9780446542180
0056	1	9780446698344
0057	1	9781600243714
0058	1	9780385342469
0059	1	9780762424931
0060	1	9781400032716
0061	1	9780380709588
0062	1	9781429910958
0063	1	9781427208767
0064	1	9781439133613
0065	1	9781416525677
0066	1	9780743247542
0067	1	9781416550600
0068	1	9780312359324
0069	1	9781427206664
0070	1	9780399156533
0071	1	9781439155493
0072	1	9780743273565
0073	1	9780743246392
0074	1	9781602834125
0075	1	9780061919718
0076	1	9780307271983
0077	1	9781439155202
0078	1	9780060850524
0079	1	9781602833364
0080	1	9781586217198
0081	1	9781421534749
0082	1	9780810994737
0083	1	9780140177398
0084	1	9781565117709
0085	1	9780061885662
0086	1	9781400065455
0087	1	9780312605599
0088	1	9780345505347
0089	1	9780345512505
0090	1	9780060899226
0091	1	9780307710772
0092	1	9780142427781
0093	1	9780670021727
0094	1	9780545060394
0095	1	9780739318928
0096	1	9780689840920
0097	1	9780807204771
0098	1	9780316024976
0099	1	9781600243912
0100	1	9780345479730
0101	1	9780441012183
0102	1	9780441018284
0103	1	9780399155819
0104	1	9780316113694
0105	1	9780316039925
0106	1	9780441009237
0107	1	9780440237686
0108	1	9780061189531
0109	1	9780812550702
0110	1	9780765342294
0111	1	9781429963930
0112	1	9781597801584
0113	1	9780446539838
0114	1	9780446551489
0115	1	9780786102334
0116	1	9780786102327
0117	1	9780307346612
0118	1	9780307351937
0119	1	9780307346605
0120	1	9780446542043
0121	1	9780425235386
0122	1	9780545116145
0123	1	9780425233689
0124	1	9780307463579
0125	1	9781568584256
0126	1	9780694003617
0127	1	9780312541910
0128	1	9780380709540
0129	1	9781400067114
0130	1	9780739359334
0131	1	9781423113492
0132	1	9780759514188
0133	1	9780385341974
0134	1	9780441018321
0135	1	9780060596996
0136	1	9781930448278
0137	1	9781416563693
0138	1	9781595141712
0139	1	9781595141880
0140	1	9780156027328
0141	1	9781400066032
0142	1	9781419142901
0143	1	9780307386861
0144	1	9780786100576
0145	1	9780393976045
0146	1	9780143105428
0147	1	9781400136339
0148	1	9781904633013
0149	1	9780451530783
0150	1	9781551110288
0151	1	9781593083243
0152	1	9780099511151
0153	1	9780140860603
0154	1	9780812523362
0155	1	9780316032513
0156	1	9781600241826
0157	1	9781429915649
0158	1	9780345518569
0159	1	9780446566872
0160	1	9780446568210
0161	1	9780140230277
0162	1	9780061256691
0163	1	9780759568990
0164	1	9780446567329
0165	1	9781600242779
0166	1	9780385474542
0167	1	9781400062089
0168	1	9780743554435
0169	1	9781434768513
0170	1	9781400079148
0171	1	9780739319178
0172	1	9780553592450
0173	1	9780307476869
0174	1	9780613033572
0175	1	9781400111794
0176	1	9780345518729
0177	1	9780739376652
0178	1	9780743226714
0179	1	9781416542100
0180	1	9780743540070
0181	1	9780743544238
0182	1	9780310266273
0183	1	9780310325079
0184	1	9780545123280
0185	1	9780061898709
0186	1	9780767905923
0187	1	9780739311127
0188	1	9780143117490
0189	1	9780778327844
0190	1	9780385736008
0191	1	9780307266309
0192	1	9780307279187
0193	1	9780345498892
0194	1	9780345509666
0195	1	9780759527737
0196	1	9781600248429
0197	1	9780061702303
0198	1	9780061997372
0199	1	9781401323257
0200	1	9780441018291
0201	1	9780312321185
0202	1	9780312599072
0203	1	9781416995753
0204	1	9781442409781
0205	1	9780312348663
0206	1	9781427204219
0207	1	9781429937740
0208	1	9780767931113
0209	1	9781416914631
0210	1	9780545221764
0211	1	9780553210095
0212	1	9781400130603
0213	1	9780679417316
0214	1	9781551116365
0215	1	9781904633129
0216	1	9780451531353
0217	1	9780199537808
0218	1	9780679783381
0219	1	9781419181498
0220	1	9780312256937
0221	1	9780553897364
0222	1	9780835902625
0223	1	9780140280197
0224	1	9781598870923
0225	1	9780451230850
0226	1	9781400078455
0227	1	9781439152959
0228	1	9781586210663
0229	1	9780316040358
0230	1	9780312360269
0231	1	9780440180296
0232	1	9781607883678
0233	1	9780679734772
0234	1	9781594133725
0235	1	9780399155659
0236	1	9780060838676
0237	1	9780061120060
0238	1	9780060199494
0239	1	9780307718228
0240	1	9780307387097
0241	1	9780307267146
0242	1	9781439176283
0243	1	9780142408810
0244	1	9780800744366
0245	1	9780307589385
0246	1	9780307277473
0247	1	9780312374983
0248	1	9781101148945
0249	1	9780156029438
0250	1	9780345505101
0251	1	9781400136315
0252	1	9781593080006
0253	1	9780590433891
0254	1	9780786180370
0255	1	9780660189222
0256	1	9780743487573
0257	1	9780470152874
0258	1	9780804115711
0259	1	9780812504224
0260	1	9780486417806
0261	1	9780141321097
0262	1	9781595143105
0263	1	9781595141989
0264	1	9780143145592
0265	1	9780451163967
0266	1	9780141181226
0267	1	9781562476663
0268	1	9780316035439
0269	1	9781427206077
0270	1	9781594200823
0271	1	9781594132056
0272	1	9780451228321
0273	1	9780373285891
0274	1	9781442405967
0275	1	9781439163849
0276	1	9781416914297
0277	1	9780545060486
0278	1	9780805047905
0279	1	9781429984362
0280	1	9780140383515
0281	1	9780679417958
0282	1	9780688120504
0283	1	9780553211405
0284	1	9780679641186
0285	1	9781593080440
0286	1	9781551111803
0287	1	9781602835658
0288	1	9780786106486
0289	1	9780679783329
0290	1	9780743487641
0291	1	9780140366785
0292	1	9781400106356
0293	1	9780822071044
0294	1	9780764140082
0295	1	9781400136889
0296	1	9780307736536
0297	1	9780141439556
0298	1	9780099511595
0299	1	9780679640004
0300	1	9781419127243
0301	1	9781421535692
0302	1	9781427208408
0303	1	9780061892134
0304	1	9781594481925
0305	1	9781573220224
0306	1	9780525421030
