book	borders	publication_date
2000	2000	2000	737
0000	1	June 29, 2010
0001	1	June 23, 2009
0002	1	June 23, 2009
0003	1	May 25, 2010
0004	1	January 30, 2007
0005	1	July 02, 2010
0006	1	June 15, 2010
0007	1	June 15, 2010
0008	1	July 09, 2009
0009	1	May 04, 2010
0010	1	January 15, 2011
0011	1	June 29, 2010
0012	1	June 29, 2010
0013	1	February 16, 2010
0014	1	June 29, 2010
0015	1	August 11, 2009
0016	1	April 01, 2007
0017	1	June 29, 2010
0018	1	April 27, 2010
0019	1	December 01, 2005
0020	1	November 01, 2008
0021	1	June 29, 2010
0022	1	April 07, 2009
0023	1	June 08, 2010
0024	1	June 08, 2010
0025	1	March 01, 2008
0026	1	May 04, 2010
0027	1	March 02, 2010
0028	1	September 01, 2009
0029	1	October 01, 1988
0030	1	June 29, 2010
0031	1	June 01, 2008
0032	1	September 26, 2006
0033	1	April 06, 2010
0034	1	May 04, 2010
0035	1	August 04, 2009
0036	1	May 25, 2010
0037	1	June 08, 2010
0038	1	June 08, 2010
0039	1	June 22, 2010
0040	1	June 16, 2009
0041	1	July 09, 2009
0042	1	May 31, 2008
0043	1	September 12, 2006
0044	1	September 15, 2009
0045	1	June 22, 2010
0046	1	February 04, 2010
0047	1	September 08, 2009
0048	1	August 24, 2010
0049	1	January 26, 2010
0050	1	May 01, 1991
0051	1	January 01, 2009
0052	1	December 01, 2008
0053	1	June 29, 2010
0054	1	June 29, 2010
0055	1	February 26, 2009
0056	1	August 11, 2009
0057	1	September 30, 2008
0058	1	June 22, 2010
0059	1	December 26, 2005
0060	1	May 18, 2004
0061	1	August 01, 1994
0062	1	April 27, 2010
0063	1	April 27, 2010
0064	1	June 22, 2010
0065	1	June 22, 2010
0066	1	January 09, 2006
0067	1	March 17, 2010
0068	1	May 12, 2009
0069	1	May 12, 2009
0070	1	June 15, 2010
0071	1	June 22, 2010
0072	1	September 30, 2004
0073	1	March 21, 2010
0074	1	July 01, 2008
0075	1	July 14, 2009
0076	1	July 13, 2009
0077	1	May 04, 2010
0078	1	October 01, 2006
0079	1	January 16, 2008
0080	1	January 01, 2005
0081	1	June 01, 2010
0082	1	February 01, 2008
0083	1	September 01, 1993
0084	1	January 01, 2003
0085	1	June 29, 2010
0086	1	June 29, 2010
0087	1	December 22, 2009
0088	1	October 06, 2009
0089	1	February 26, 2009
0090	1	January 01, 2007
0091	1	May 25, 2010
0092	1	June 01, 2010
0093	1	May 04, 2010
0094	1	October 01, 2008
0095	1	August 04, 2009
0096	1	April 01, 1987
0097	1	April 01, 2004
0098	1	November 18, 2008
0099	1	November 18, 2008
0100	1	June 15, 2010
0101	1	May 01, 2005
0102	1	October 06, 2009
0103	1	July 07, 2009
0104	1	September 01, 2008
0105	1	February 26, 2009
0106	1	April 01, 2002
0107	1	September 01, 2002
0108	1	March 30, 2010
0109	1	July 01, 1994
0110	1	February 18, 2002
0111	1	April 27, 2010
0112	1	May 01, 2010
0113	1	May 25, 2010
0114	1	June 25, 2009
0115	1	December 01, 1991
0116	1	December 01, 1991
0117	1	October 16, 2007
0118	1	June 09, 2009
0119	1	September 12, 2006
0120	1	July 01, 2010
0121	1	June 29, 2010
0122	1	June 01, 2010
0123	1	April 27, 2010
0124	1	February 16, 2010
0125	1	October 27, 2009
0126	1	September 01, 1991
0127	1	June 22, 2010
0128	1	August 01, 1996
0129	1	May 26, 2009
0130	1	May 26, 2009
0131	1	September 16, 2008
0132	1	April 23, 2009
0133	1	June 22, 2010
0134	1	February 02, 2010
0135	1	June 29, 2010
0136	1	September 15, 2009
0137	1	April 06, 2010
0138	1	October 18, 2007
0139	1	October 01, 2010
0140	1	May 01, 2003
0141	1	June 15, 2010
0142	1	June 30, 2004
0143	1	September 04, 2007
0144	1	June 01, 1989
0145	1	October 01, 2000
0146	1	August 25, 2009
0147	1	March 01, 2008
0148	1	October 01, 2009
0149	1	January 02, 2008
0150	1	December 01, 2001
0151	1	October 30, 2004
0152	1	June 01, 2008
0153	1	July 01, 1995
0154	1	August 01, 1994
0155	1	June 24, 2009
0156	1	June 03, 2008
0157	1	April 27, 2010
0158	1	June 01, 2010
0159	1	May 04, 2010
0160	1	May 07, 2010
0161	1	April 01, 1995
0162	1	August 01, 2009
0163	1	February 26, 2009
0164	1	December 07, 2009
0165	1	July 01, 2008
0166	1	October 01, 1994
0167	1	March 25, 2008
0168	1	May 22, 2007
0169	1	May 01, 2008
0170	1	October 19, 2010
0171	1	September 15, 2009
0172	1	June 22, 2010
0173	1	September 22, 2009
0174	1	October 01, 1999
0175	1	April 27, 2009
0176	1	August 25, 2009
0177	1	August 18, 2009
0178	1	May 24, 2005
0179	1	October 02, 2007
0180	1	May 24, 2005
0181	1	May 24, 2005
0182	1	June 22, 2010
0183	1	June 22, 2010
0184	1	July 20, 2010
0185	1	June 29, 2010
0186	1	October 01, 2002
0187	1	June 01, 2004
0188	1	June 01, 2010
0189	1	June 29, 2010
0190	1	June 24, 2008
0191	1	May 05, 2009
0192	1	January 04, 2011
