book	borders	publisher
2000	2000	2000	206
0000	1	St. Martin&#039;s Press
0001	1	Knopf Doubleday Publishing Group
0002	1	Knopf Doubleday Publishing Group
0003	1	Knopf Doubleday Publishing Group
0004	1	Penguin Group (USA) Incorporated
0005	1	St. Martin&#039;s Press
0006	1	Grand Central Publishing
0007	1	Hachette Audio
0008	1	Little Brown &amp; Company
0009	1	Hyperion Books for Children
0010	1	Thorndike Press
0011	1	Harlequin Enterprises, Limited
0012	1	Simon &amp; Schuster
0013	1	Simon &amp; Schuster
0014	1	HarperCollins Publishers
0015	1	Penguin Group (USA) Incorporated
0016	1	Miramax Books
0017	1	Random House Publishing Group
0018	1	St. Martin&#039;s Press
0019	1	Random House Children&#039;s Books
0020	1	Little, Brown Books for Young Readers
0021	1	Penguin Group (USA) Incorporated
0022	1	Hyperion Press
0023	1	Grand Central Publishing
0024	1	Hachette Audio
0025	1	HarperCollins Publishers
0026	1	HarperCollins Publishers
0027	1	Simon &amp; Schuster
0028	1	Scholastic, Incorporated
0029	1	Grand Central Publishing
0030	1	Harlequin Enterprises, Limited
0031	1	HarperCollins Publishers
0032	1	Listening Library
0033	1	Hachette Audio
0034	1	Penguin Group (USA) Incorporated
0035	1	Little Brown &amp; Company
0036	1	Dutton Children&#039;s
0037	1	HarperCollins Publishers
0038	1	Simon &amp; Schuster Children&#039;s Publishing
0039	1	Random House Publishing Group
0040	1	Random House Publishing Group
0041	1	Bantam Books
0042	1	Little, Brown Books for Young Readers
0043	1	Listening Library
0044	1	Hachette Book Group
0045	1	Random House Publishing Group
0046	1	Grand Central Publishing
0047	1	Grand Central Publishing
0048	1	Scholastic
0049	1	Thorndike Press
0050	1	Random House Children&#039;s Books
0051	1	Bellevue Literary Press
0052	1	HarperCollins Publishers
0053	1	Penguin Group (USA) Incorporated
0054	1	Grand Central Publishing
0055	1	Grand Central Publishing
0056	1	Grand Central Publishing
0057	1	Hachette Audio
0058	1	Random House Publishing Group
0059	1	Running Press Book Publishers
0060	1	Knopf Doubleday Publishing Group
0061	1	HarperCollins Publishers
0062	1	St. Martin&#039;s Press
0063	1	St Martins Pr
0064	1	Baen Books
0065	1	Simon &amp; Schuster
0066	1	Simon &amp; Schuster
0067	1	Simon &amp; Schuster
0068	1	St. Martin&#039;s Press
0069	1	St Martins Pr
0070	1	Penguin Group (USA) Incorporated
0071	1	Simon &amp; Schuster
0072	1	Simon &amp; Schuster
0073	1	Simon &amp; Schuster
0074	1	Bbc Audiobooks Amer
0075	1	HarperCollins Publishers
0076	1	Knopf Doubleday Publishing Group
0077	1	Simon &amp; Schuster
0078	1	HarperCollins Publishers
0079	1	Bbc Audiobooks Amer
0080	1	Hachette Audio
0081	1	Viz Media
0082	1	Abrams
0083	1	Penguin Group (USA) Incorporated
0084	1	Workman Pub Co
0085	1	HarperCollins Publishers
0086	1	Random House Publishing Group
0087	1	St. Martin&#039;s Press
0088	1	Random House Publishing Group
0089	1	Random House Publishing Group
0090	1	HarperCollins Publishers
0091	1	Listening Library
0092	1	Penguin Group USA
0093	1	Penguin Group (USA) Incorporated
0094	1	Scholastic, Incorporated
0095	1	Random House
0096	1	Simon &amp; Schuster Children&#039;s Publishing
0097	1	Listening Library
0098	1	Little Brown &amp; Company
0099	1	Hachette Audio
0100	1	Random House Publishing Group
0101	1	Penguin Group (USA) Incorporated
0102	1	Penguin Group (USA) Incorporated
0103	1	Penguin Group (USA) Incorporated
0104	1	Little, Brown Books for Young Readers
0105	1	Little, Brown Books for Young Readers
0106	1	Penguin Group (USA) Incorporated
0107	1	Random House Children&#039;s Books
0108	1	HarperCollins Publishers
0109	1	Doherty, Tom Associates, LLC
0110	1	Doherty, Tom Associates, LLC
0111	1	Doherty, Tom Associates, LLC
0112	1	Night Shade Books
0113	1	Grand Central Publishing
0114	1	Grand Central Publishing
0115	1	Blackstone Audio Inc
0116	1	Blackstone Audio Inc
0117	1	Crown Publishing Group
0118	1	Crown Publishing Group
0119	1	Crown Publishing Group
0120	1	Grand Central Publishing
0121	1	Penguin Group (USA) Incorporated
0122	1	Scholastic, Incorporated
0123	1	Penguin Group (USA) Incorporated
0124	1	Crown Publishing Group
0125	1	Basic Books
0126	1	HarperCollins Publishers
0127	1	St. Martin&#039;s Press
0128	1	HarperCollins Publishers
0129	1	Random House Publishing Group
0130	1	Random House
0131	1	Hyperion Press
0132	1	Little, Brown Books for Young Readers
0133	1	Random House Publishing Group
0134	1	Penguin Group (USA) Incorporated
0135	1	HarperCollins Publishers
0136	1	Family Health Publications
0137	1	Simon &amp; Schuster
0138	1	Penguin Group (USA) Incorporated
0139	1	Penguin Group (USA) Incorporated
0140	1	Houghton Mifflin Harcourt Trade &amp; Reference Publis
0141	1	Random House Publishing Group
0142	1	Kessinger Publishing, LLC
0143	1	Knopf Doubleday Publishing Group
0144	1	Blackstone Audio Inc
0145	1	Norton, W. W. &amp; Company, Incorporated
0146	1	Penguin Group (USA) Incorporated
0147	1	Tantor Media, Incorporated
0148	1	CRW Publishing, Limited
0149	1	Penguin Group (USA) Incorporated
0150	1	Broadview Press
0151	1	Barnes &amp; Noble, Incorporated
0152	1	Random House
0153	1	Penguin Group USA
0154	1	Doherty, Tom Associates, LLC
0155	1	Little Brown &amp; Company
0156	1	Hachette Audio
0157	1	Square Fish
0158	1	Random House Publishing Group
0159	1	Grand Central Publishing
0160	1	Grand Central Publishing
0161	1	Penguin Group (USA) Incorporated
0162	1	HarperCollins Publishers
0163	1	Grand Central Publishing
0164	1	Grand Central Publishing
0165	1	Hachette Audio
0166	1	Knopf Doubleday Publishing Group
0167	1	Random House, Incorporated
0168	1	Simon &amp; Schuster
0169	1	Cook, David C. Publishing Company
0170	1	Random House
0171	1	Random House
0172	1	Random House Publishing Group
0173	1	Knopf Doubleday Publishing Group
0174	1	San Val, Incorporated
0175	1	Tantor Media Inc
0176	1	Random House Publishing Group
0177	1	Random House
0178	1	Simon &amp; Schuster, Incorporated
0179	1	Simon &amp; Schuster
0180	1	Simon &amp; Schuster
0181	1	Simon &amp; Schuster
0182	1	Zondervan
0183	1	Zondervan
0184	1	Scholastic, Incorporated
0185	1	HarperCollins Publishers
0186	1	Broadway Books
0187	1	Random House
0188	1	Penguin Group (USA) Incorporated
0189	1	Harlequin Enterprises, Limited
0190	1	Random House Children&#039;s Books
0191	1	Knopf Doubleday Publishing Group
0192	1	Knopf Doubleday Publishing Group
0193	1	Random House Publishing Group
0194	1	Random House Publishing Group
0195	1	Little Brown &amp; Company
0196	1	Hachette Audio
0197	1	HarperCollins Publishers
0198	1	HarperCollins Publishers
0199	1	Hyperion Press
0200	1	Penguin Group (USA) Incorporated
0201	1	St. Martin&#039;s Press
0202	1	St. Martin&#039;s Press
0203	1	Simon &amp; Schuster Children&#039;s Publishing
0204	1	Simon &amp; Schuster Children&#039;s Publishing
0205	1	St. Martin&#039;s Press
0206	1	St Martins Pr
0207	1	St. Martin&#039;s Press
0208	1	Knopf Doubleday Publishing Group
0209	1	Simon &amp; Schuster Children&#039;s Publishing
0210	1	Scholastic, Incorporated
0211	1	Random House Publishing Group
0212	1	Tantor Media Inc
0213	1	Knopf Doubleday Publishing Group
0214	1	Broadview Press
0215	1	CRW Publishing, Limited
0216	1	Penguin Group (USA) Incorporated
0217	1	Oxford University Press, Incorporated
0218	1	Random House Publishing Group
0219	1	Kessinger Publishing, LLC
0220	1	Bedford/ Saint Martin&#039;s
0221	1	Bantam Books
0222	1	Globe Fearon Educational Publishing
0223	1	Penguin Group (USA) Incorporated
0224	1	Workman Pub Co
0225	1	Penguin Group (USA) Incorporated
0226	1	Knopf Doubleday Publishing Group
0227	1	Simon &amp; Schuster
0228	1	Hachette Audio
0229	1	Little Brown &amp; Company
0230	1	St. Martin&#039;s Press
0231	1	Random House Publishing Group
0232	1	Hachette Audio
0233	1	Knopf Doubleday Publishing Group
0234	1	Thorndike Press
0235	1	Penguin Group (USA) Incorporated
0236	1	HarperCollins Publishers
0237	1	HarperCollins Publishers
0238	1	HarperCollins Publishers
0239	1	Crown Publishing Group
0240	1	Knopf Doubleday Publishing Group
0241	1	Knopf Doubleday Publishing Group
0242	1	Simon &amp; Schuster
0243	1	Penguin Group (USA) Incorporated
0244	1	Baker Pub Group
0245	1	Crown Publishing Group
0246	1	Knopf Doubleday Publishing Group
0247	1	St. Martin&#039;s Press
0248	1	Penguin Group (USA) Incorporated
0249	1	Houghton Mifflin Harcourt Trade &amp; Reference Publis
0250	1	Random House Publishing Group
0251	1	Tantor Media, Incorporated
0252	1	Barnes &amp; Noble, Incorporated
0253	1	Scholastic, Incorporated
0254	1	Blackstone Audio Inc
0255	1	Cbc Radio Canada
0256	1	Simon &amp; Schuster
0257	1	Wiley, John &amp; Sons, Incorporated
0258	1	Random House Publishing Group
0259	1	Doherty, Tom Associates, LLC
0260	1	Dover Publications, Incorporated
0261	1	Penguin Group (USA) Incorporated
0262	1	Penguin Group (USA) Incorporated
0263	1	Penguin Group (USA) Incorporated
0264	1	Penguin Group USA
0265	1	Penguin Group (USA) Incorporated
0266	1	Penguin Group (USA) Incorporated
0267	1	American Girl Publishing, Incorporated
0268	1	Little Brown &amp; Company
0269	1	Macmillan Audio
0270	1	Penguin Group (USA) Incorporated
0271	1	Thorndike Press
0272	1	Penguin Group (USA) Incorporated
0273	1	Harlequin Enterprises, Limited
0274	1	Simon &amp; Schuster Children&#039;s Publishing
0275	1	Simon &amp; Schuster, Incorporated
0276	1	Simon &amp; Schuster Children&#039;s Publishing
0277	1	Scholastic, Incorporated
0278	1	Holt, Henry &amp; Company
