book	buy	author
2000	1938	2024	1906
0000	1	Charlaine Harris
0001	1	Stephenie Meyer
0002	1	Jonathan Orsay
0003	1	Wendell Odom
0004	1	William R./ Gingrich Forstchen
0005	1	Steven D./ Dubner Levitt
0006	1	David M. Killoran
0007	1	Emmett/ Stewart Dulaney
0008	1	Project Management Institute (COR)
0009	1	Diana/ Shadrack Grenfell
0010	1	Kathleen Deska Pagana
0011	1	Michael R. Lindeburg
0012	1	Adobe Systems (COR)
0013	1	Steven (EDT) Ashe
0014	1	Lee Strobel
0015	1	Elizabeth/ Tyagi Warren
0016	1	Andreas Carl
0017	1	Sam Kean
0018	1	Jean Andrews
0019	1	Julia C. Carroll
0020	1	Joss/ Cassaday Whedon
0021	1	Jerry/ Krahulik Holkins
0022	1	Gabor Mate
0023	1	John Austin
0024	1	Mathew Patterson
0025	1	Frank Ching
0026	1	Jeffrey Zaslow
0027	1	Geoff/ Reis Johns
0028	1	Mike/ Mongeon De LA Flor
0029	1	Josh/ Keown Hamilton
0030	1	Learning Express (COR)
0031	1	Shawna (EDT) Gore
0032	1	Karen C. (EDT) Comerford
0033	1	Conrad Adobe Systems (COR)/ Chavez
0034	1	George M. Taber
0035	1	Vicki Iovine
0036	1	Janis A. Spring
0037	1	Sam/ Burchers Burchers
0038	1	Dan/ Rubenstein O'Hair
0039	1	Peter H./ Donovan Gott
0040	1	Robert B. Parker
0041	1	Ann Prevention Magazine Health Books (EDT)/ Fittante
0042	1	Khaled Hosseini
0043	1	Emerson Eggerichs
0044	0	<NULL>
0045	1	Christopher Isherwood
0046	1	Robert T./ Lechter Kiyosaki
0047	1	J. R. R. Tolkien
0048	1	Ray Raphael
0049	1	Erich Maria Remarque
0050	1	Joseph/ Newman Bak
0051	1	Ming/ Golden Chew
0052	1	Kenneth L./ Lampignano Bontrager
0053	1	Brian/ Sullivan Shields
0054	1	Debbie Diller
0055	1	Mari Okazaki
0056	1	Tim/ Timmis Chester
0057	1	Charles F. Stanley
0058	1	Erik/ Jones Oberg
0059	1	John L./ Conrad Viescas
0060	2	Zondervan Publishing	W. Phillip Keller
0061	1	Julie K./ Berg Briggs
0062	1	Sylvia/ Tunick Bursztyn
0063	1	Steven D./ Dubner Levitt
0064	1	Not Available (NA)
0065	1	Robin Robertson
0066	1	Aaron (COM) Peckham
0067	1	Bryan Lee O'Malley
0068	1	Hamilton B.
0069	1	Joyce McDonald
0070	1	Donald K. McKim
0071	1	Joseph C. Lisiewski
0072	1	Anna M. Curren
0073	1	M. Shaun Holt
0074	1	Anne Bogardus
0075	1	Jan Axelson
0076	1	John Bevere
0077	1	Barbara/ Stone London
0078	1	Josh/ Keown Hamilton
0079	1	Sharon Weiner/ Wolf Green
0080	1	Casey O'Brien/ Amagat Blondes
0081	1	Sacha Eminem/ Jenkins
0082	1	Maxine/ Pelzmann Rosenthal
0083	1	Patricia Ann/ Perry Potter
0084	1	Joe (ILT) Kubert
0085	1	Wadsworth (COR)
0086	1	Craig (EDT) Glenday
0087	1	Karen/ Pecsenye Lurie
0088	1	Selena (EDT)/ Leduc Princeton Review (COR)/ Coppock
0089	1	Princeton Review (COR)
0090	1	Kaplan Publishing (COR)
0091	1	David A. Ziser
0092	1	Reto Meier
0093	1	Ian/ Thomas McLean
0094	1	Linda Skidmore-Roth
0095	1	Mark/ Burton Salisbury
0096	1	Angela Elwell Hunt
0097	1	Cadillac Man
0098	1	Brendan Emmett Quigley
0099	1	Mike/ Cordell Mearls
0100	1	Jan/ Walker Beccaloni
0101	1	Iris Johansen
0102	1	Susan M. Ford
0103	1	Rand H./ Noel Morimoto
0104	1	Hazrat Inayat Khan
0105	1	Jennifer Weiner
0106	1	Dirty/ Chou Sanchez
0107	1	Tom Venuto
0108	1	Scott Lowe
0109	1	William/ Killiany Leisner
0110	1	A. Frederick Collins
0111	1	Kadri Malk
0112	1	Chester/ Collins Gould
0113	1	Harry Lorayne
0114	1	Lauren/ Cox Cox
0115	1	Michael Aziz
0116	1	Vicki Robin
0117	1	Duane/ Lacombe Swierczynski
0118	1	Hilary Mantel
0119	1	Mike/ Gross Carey
0120	1	Alex Bellos
0121	1	George A. Bonanno
0122	1	Sarina/ Brown Singh
0123	2	Emily/ Chochinov Pilloton	Emily Pilloton
0124	1	Robert Schmidt
0125	1	Sue Grafton
0126	1	Baker Publishing Group (COR)
0127	1	Jayne Anne Phillips
0128	1	Bram Stoker
0129	1	Jonathan/ Rubinstein Kellerman
0130	1	Joe (EDT) Healy
0131	1	Kathi Kellenberger
0132	1	William/ Mealer Kamkwamba
0133	1	Sophie Kinsella
0134	1	Brian/ Elliot Jacques
0135	1	J. D./ Nakata Lester
0136	1	Moyer V. Hubbard
0137	1	Murtagh McDermot
0138	1	Persida/ Himmele Himmele
0139	1	William R. Steele
0140	1	Eric Van Van Der Hope
0141	1	Michael Pollan
0142	1	Lynne Ewing
0143	1	Ben Patrick Johnson
0144	1	Helen Benedict
0145	1	Not Available (NA)
0146	1	John Harris/ Singh Dunning
0147	1	Richard Mckinley
0148	1	Manish Mehta
0149	1	Barbara Robinson
0150	1	Dean Graziosi
0151	1	James Duke
0152	1	Jennifer S. Wooddell
0153	1	Stephanie Manley
0154	1	Geronimo Stilton
0155	1	Lydia Brownback
0156	1	Walter/ Gotz Erhardt
0157	1	Peter/ Cartier-Bresson Galassi
0158	1	Black Belt Magazine (EDT)
0159	1	Timothy/ Porter Ferriss
0160	1	Suzanne Collins
0161	1	Bernard Kempinski
0162	1	Nat Fleischer
0163	1	Cherie Calbom
0164	1	Sarah Ruhl
0165	1	Edward Walter Maunder
0166	1	Kate Shoup
0167	0	<NULL>
0168	1	A. P. Herbert
0169	1	Eustace Hale Ball
0170	1	Luke Holter
0171	1	Laurie Fabiano
0172	1	David M./ Stein Killoran
0173	1	Kaplan Publishing (COR)
0174	1	William Leete Stone
0175	1	Poultry Ass American Poultry Assocation
0176	1	Kyo/ Mizuno Shirodaira
0177	1	Suzanne Brockmann
0178	1	Pamela C. Corley
0179	1	Gary L. Rose
0180	1	Geoff/ Robinson Johns
0181	1	Marta/ Eby Perry
0182	1	McGraw-Hill (COR)
0183	1	Amanda Howells
0184	1	Nic Pizzolatto
0185	1	Jorge Luis/ Kodama Borges
0186	1	Charles/ Schlesinger Peters
0187	1	Not Available (NA)
0188	1	Jean-Paul/ Turner Sartre
0189	1	Joe Daly
0190	1	Peter T. Deutermann
0191	1	Martin/ Anderson Anderson
0192	1	Jean Plaidy
0193	1	Kathy Griffin
0194	1	Teresa/ MacLean Giudice
0195	1	Melanie D. Bragg
0196	1	Lillian (PHT)/ Himmel Bassman
0197	1	Stephen Prothero
0198	1	Rob Sheffield
0199	1	Matt/ Land Fraction
0200	1	Fred (CRT) Sokolow
0201	1	Mike/ Dysart Mignola
0202	1	Helmut/ Steinmueller Kraus
0203	1	Stephenie Meyer
0204	1	Richard Abraham
0205	1	Adobe Systems (COR)
0206	3	Ellen/ Anon Anon	Ellen Anon	Josh Anon
0207	1	Katherine Murray
0208	1	Zig Ziglar
0209	1	Joseph Newton
0210	1	Gene Bedell
0211	1	Cheryl/ Passwater Garrison
0212	1	Alan/ Bolland Moore
0213	1	Amy Johnston
0214	1	Bob Horan
0215	1	Horatio Jr. Alger
0216	1	Lisa Ann/ Disney Storybook Artists (ILT) Marsoli
0217	1	Troy Taylor
0218	1	Klaus Heyne
0219	1	Patricia M./ Vitale Nugent
0220	1	Yoshiki Nakamura
0221	1	Lionel (TRN)/ Minford Sun-tzu/ Giles
0222	1	John/ Spears Klein
0223	1	Bob/ Baloche Kauflin
0224	1	Lydia Brownback
0225	1	DK Publishing
0226	1	Arthur Koestler
0227	1	Robin Lee Hatcher
0228	1	Larry/ Richards Richards
0229	1	Liane/ Swann Onish
0230	1	Jonathan Hickman
0231	1	David G. Myers
0232	1	David Colbert
0233	1	Yoshiki Nakamura
0234	1	Adc (COR)
