book	buy	isbn_13
2000	2000	2000	2000
0000	1	9780441017775
0001	1	9780316031844
0002	1	9781893858497
0003	1	9781587201837
0004	1	9780765327253
0005	1	9780060889579
0006	1	9780980178258
0007	1	9780470404867
0008	1	9781933890517
0009	1	9780881929607
0010	1	9780323057479
0011	1	9781591261308
0012	1	9780321573797
0013	1	9780955693229
0014	1	9780310209300
0015	1	9780743269889
0016	1	9780940780910
0017	1	9780316051644
0018	1	9781435454897
0019	1	9781574326383
0020	1	9780785138013
0021	1	9780345512277
0022	1	9781556438806
0023	1	9781556529535
0024	1	9780980576863
0025	1	9780470399118
0026	1	9781592405329
0027	1	9781401226930
0028	1	9780240812038
0029	1	9781599951607
0030	1	9781576857328
0031	1	9781595823540
0032	1	9781608316144
0033	1	9780321704504
0034	1	9780743297325
0035	1	9781416524724
0036	1	9780061441837
0037	1	9780965242240
0038	1	9780312452070
0039	1	9780446177900
0040	1	9780425204320
0041	1	9781579549138
0042	1	9781594480003
0043	1	9781589267107
0044	1	9780767323697
0045	1	9780816638628
0046	1	9780446677486
0047	1	9780788789823
0048	1	9780060004408
0049	1	9780449213940
0050	1	9780387947563
0051	1	9780071627139
0052	1	9780323056304
0053	1	9780756641900
0054	1	9781571107220
0055	1	9781427804686
0056	1	9781433502088
0057	1	9781418531089
0058	1	9780831128005
0059	1	9780735623255
0060	1	9780310607045
0061	1	9780781764612
0062	1	9780375721748
0063	1	9780060731335
0064	1	9780837615110
0065	1	9781558322561
0066	1	9780740751431
0067	1	9781932664225
0068	1	9781568381220
0069	1	9780440226727
0070	1	9780664255114
0071	1	9781561842360
0072	1	9781435438675
0073	1	9781432718800
0074	1	9780470430965
0075	1	9781931448086
0076	1	9780307457721
0077	1	9780205645923
0078	1	9781599951614
0079	1	9780764140563
0080	1	9780847832149
0081	1	9780525950325
0082	1	9781571204646
0083	1	9780323052511
0084	1	9781401227777
0085	1	9780495387657
0086	1	9780553593372
0087	1	9780375429774
0088	1	9780375427947
0089	1	9780375427954
0090	1	9781607146391
0091	1	9780321646873
0092	1	9780470565520
0093	1	9780735627086
0094	1	9780323066464
0095	1	9781423128878
0096	1	9780307458773
0097	1	9781596916890
0098	1	9781604331455
0099	1	9780786953905
0100	1	9780520261402
0101	1	9780312368159
0102	1	9781605476339
0103	1	9780672330469
0104	1	9780930872809
0105	1	9780743294300
0106	1	9781569757208
0107	1	9781583333730
0108	1	9780470481387
0109	1	9781439148426
0110	1	9780559123023
0111	1	9783897902961
0112	1	9781600105326
0113	1	9781579128241
0114	1	9781580088527
0115	1	9781581827040
0116	1	9781591797302
0117	1	9780785131823
0118	1	9780805080681
0119	1	9781401225650
0120	1	9781416588252
0121	1	9780465013609
0122	1	9781741791518
0123	1	9781933045955
0124	1	9780071633680
0125	1	9780312373122
0126	1	9780521757041
0127	1	9780375701931
0128	1	9780525951629
0129	1	9780739368978
0130	1	9780892728053
