book	buy	publication_date
2000	2000	2000	745
0000	1	&nbsp;11/12/2008
0001	1	&nbsp;10/15/2008
0002	1	&nbsp;3/1/2007
0003	1	&nbsp;9/7/2007
0004	1	&nbsp;11/24/2009
0005	1	&nbsp;10/20/2009
0006	1	&nbsp;3/2/2009
0007	1	&nbsp;1/27/2009
0008	1	&nbsp;12/31/2008
0009	1	&nbsp;1/1/2010
0010	1	&nbsp;10/15/2009
0011	1	&nbsp;5/12/2008
0012	1	&nbsp;11/7/2008
0013	1	&nbsp;6/9/2008
0014	1	&nbsp;9/1/1998
0015	1	&nbsp;4/10/2007
0016	1	&nbsp;2/28/2010
0017	1	&nbsp;7/12/2010
0018	1	&nbsp;11/18/2009
0019	1	&nbsp;5/1/2010
0020	1	&nbsp;10/7/2009
0021	1	&nbsp;7/20/2010
0022	1	&nbsp;1/5/2010
0023	1	&nbsp;10/1/2009
0024	1	&nbsp;3/30/2010
0025	1	&nbsp;11/1/2009
0026	1	&nbsp;4/6/2010
0027	1	&nbsp;7/13/2010
0028	1	&nbsp;4/30/2010
0029	1	&nbsp;4/5/2010
0030	1	&nbsp;6/1/2010
0031	1	&nbsp;7/20/2010
0032	1	&nbsp;5/1/2010
0033	1	&nbsp;7/1/2010
0034	1	&nbsp;4/10/2007
0035	1	&nbsp;4/10/2007
0036	1	&nbsp;1/1/2008
0037	1	&nbsp;7/1/2007
0038	1	&nbsp;12/22/2008
0039	1	&nbsp;5/19/2008
0040	1	&nbsp;4/10/2007
0041	1	&nbsp;4/10/2007
0042	1	&nbsp;4/1/2004
0043	1	&nbsp;4/10/2007
0044	1	&nbsp;4/10/2007
0045	1	&nbsp;4/1/2001
0046	1	&nbsp;4/10/2007
0047	1	&nbsp;4/10/2007
0048	1	&nbsp;4/10/2007
0049	1	&nbsp;6/1/1995
0050	1	&nbsp;4/10/2007
0051	1	&nbsp;7/31/2009
0052	1	&nbsp;4/23/2009
0053	1	&nbsp;3/16/2009
0054	1	&nbsp;6/30/2008
0055	1	&nbsp;6/29/2010
0056	1	&nbsp;9/1/2008
0057	1	&nbsp;5/1/2008
0058	1	&nbsp;2/1/2008
0059	1	&nbsp;2/14/2007
0060	1	&nbsp;4/10/2007
0061	1	&nbsp;12/30/2006
0062	1	&nbsp;7/10/2007
0063	1	&nbsp;8/25/2009
0064	1	&nbsp;5/1/2007
0065	1	&nbsp;11/28/2003
0066	1	&nbsp;4/10/2007
0067	1	&nbsp;5/17/2006
0068	1	&nbsp;4/10/2007
0069	1	&nbsp;4/10/2007
0070	1	&nbsp;4/10/2007
0071	1	&nbsp;4/10/2007
0072	1	&nbsp;6/22/2009
0073	1	&nbsp;11/17/2008
0074	1	&nbsp;2/24/2009
0075	1	&nbsp;6/1/2009
0076	1	&nbsp;10/6/2009
0077	1	&nbsp;3/3/2009
0078	1	&nbsp;10/13/2008
0079	1	&nbsp;9/1/2008
0080	1	&nbsp;4/28/2009
0081	1	&nbsp;10/21/2008
0082	1	&nbsp;6/10/2008
0083	1	&nbsp;5/19/2008
0084	1	&nbsp;7/20/2010
0085	1	&nbsp;11/19/2009
0086	1	&nbsp;4/27/2010
0087	1	&nbsp;6/8/2010
0088	1	&nbsp;7/6/2010
0089	1	&nbsp;7/6/2010
0090	1	&nbsp;6/15/2010
0091	1	&nbsp;2/2/2010
0092	1	&nbsp;3/1/2010
0093	1	&nbsp;10/21/2009
0094	1	&nbsp;8/14/2009
0095	1	&nbsp;3/30/2010
0096	1	&nbsp;2/16/2010
0097	1	&nbsp;3/2/2010
0098	1	&nbsp;3/16/2010
0099	1	&nbsp;3/16/2010
0100	1	&nbsp;11/1/2009
0101	1	&nbsp;4/20/2010
0102	1	&nbsp;10/1/2009
0103	1	&nbsp;10/7/2009
0104	1	&nbsp;9/8/2009
0105	1	&nbsp;5/4/2010
0106	1	&nbsp;8/5/2009
0107	1	&nbsp;12/29/2009
0108	1	&nbsp;8/31/2009
0109	1	&nbsp;7/20/2010
0110	1	&nbsp;6/2/2009
0111	1	&nbsp;6/5/2009
0112	1	&nbsp;1/12/2010
0113	1	&nbsp;1/1/2010
0114	1	&nbsp;8/25/2009
0115	1	&nbsp;1/1/2010
0116	1	&nbsp;9/1/2009
0117	1	&nbsp;8/5/2009
0118	1	&nbsp;10/13/2009
0119	1	&nbsp;1/12/2010
0120	1	&nbsp;6/15/2010
0121	1	&nbsp;9/1/2009
0122	1	&nbsp;9/1/2009
0123	1	&nbsp;10/1/2009
0124	1	&nbsp;6/15/2010
0125	1	&nbsp;11/3/2009
0126	1	&nbsp;8/1/2009
0127	1	&nbsp;1/12/2010
0128	1	&nbsp;9/24/2009
0129	1	&nbsp;10/6/2009
0130	1	&nbsp;10/1/2009
0131	1	&nbsp;10/1/2009
0132	1	&nbsp;10/1/2009
0133	1	&nbsp;9/29/2009
0134	1	&nbsp;1/26/2010
0135	1	&nbsp;4/27/2010
0136	1	&nbsp;1/1/2010
0137	1	&nbsp;8/5/2009
0138	1	&nbsp;8/5/2009
0139	1	&nbsp;8/5/2009
0140	1	&nbsp;8/5/2009
0141	1	&nbsp;12/29/2009
0142	1	&nbsp;3/2/2010
0143	1	&nbsp;8/5/2009
0144	1	&nbsp;4/1/2010
0145	1	&nbsp;9/1/2009
0146	1	&nbsp;7/13/2010
0147	1	&nbsp;4/9/2010
0148	1	&nbsp;12/30/2009
0149	1	&nbsp;9/1/2009
0150	1	&nbsp;5/1/2010
0151	1	&nbsp;3/19/2010
0152	1	&nbsp;7/6/2010
0153	1	&nbsp;4/1/2010
0154	1	&nbsp;12/1/2009
0155	1	&nbsp;5/1/2010
0156	1	&nbsp;3/28/2010
0157	1	&nbsp;4/30/2010
0158	1	&nbsp;6/1/2010
0159	1	&nbsp;2/1/2010
0160	1	&nbsp;7/6/2010
0161	1	&nbsp;4/1/2010
0162	1	&nbsp;1/11/2010
0163	1	&nbsp;5/4/2010
0164	1	&nbsp;1/11/2010
0165	1	&nbsp;1/4/2010
0166	1	&nbsp;4/26/2010
0167	1	&nbsp;2/2/2010
0168	1	&nbsp;2/9/2010
0169	1	&nbsp;2/9/2010
0170	1	&nbsp;7/1/2010
0171	1	&nbsp;5/4/2010
0172	1	&nbsp;1/26/2010
0173	1	&nbsp;6/29/2010
0174	1	&nbsp;1/18/2010
0175	1	&nbsp;1/18/2010
0176	1	&nbsp;4/1/2010
0177	1	&nbsp;7/27/2010
0178	1	&nbsp;5/1/2010
0179	1	&nbsp;3/15/2010
0180	1	&nbsp;7/20/2010
0181	1	&nbsp;3/1/2010
0182	1	&nbsp;7/16/2010
0183	1	&nbsp;6/1/2010
0184	1	&nbsp;6/15/2010
0185	1	&nbsp;6/29/2010
0186	1	&nbsp;6/8/2010
0187	1	&nbsp;6/16/2010
0188	1	&nbsp;7/15/2010
0189	1	&nbsp;6/8/2010
0190	1	&nbsp;4/27/2010
0191	1	&nbsp;7/13/2010
0192	1	&nbsp;7/13/2010
0193	1	&nbsp;6/1/2010
