book	buy	publisher
2000	2000	2000	1159
0000	1	ACEBT
0001	1	Little, Brown Young Readers
0002	1	Osote Publishing
0003	1	Cisco Press
0004	1	TORBH
0005	1	MROOT
0006	1	Powerscore Pub.
0007	1	Sybex
0008	1	PROMI
0009	1	TIMBP
0010	1	Mosby
0011	1	Professional Pub.
0012	1	Adobe Press
0013	1	Glastonbury Books
0014	1	Zondervan Publishing Company
0015	1	Free Press
0016	1	MEDMS
0017	1	LITTL
0018	1	COTEC
0019	1	COLBK
0020	1	MARVB
0021	1	DELRY
0022	1	NORAT
0023	1	CHICR
0024	1	SITET
0025	1	WILTR
0026	1	GOTHB
0027	1	DCCOM
0028	1	FOCAL
0029	1	FTHWD
0030	1	LRNGE
0031	1	DARHO
0032	1	Lippincott Williams &amp; Wilkins
0033	1	Adobe Press
0034	1	Scribner Book Company
0035	1	Pocket Books
0036	1	HarperAudio
0037	1	New Monic Books
0038	1	Bedford Books
0039	1	Wellness Central
0040	1	Berkley Publishing Group
0041	1	Rodale Press
0042	1	Berkley Publishing Group
0043	1	Oasis Audio
0044	1	Lifeway Christian Resources
0045	1	University of Minnesota Press
0046	1	Warner Books, Inc.
0047	1	Recorded Books Inc
0048	1	Harper Perennial
0049	1	Fawcett Crest
0050	1	Springer-Verlag TELOS
0051	1	MCGRAW-HILL
0052	1	Mosby
0053	1	BradyGames
0054	1	Stenhouse Publishers
0055	1	Tokyopop
0056	1	Crossway Books
0057	1	Thomas Nelson Publishers
0058	1	Industrial Press
0059	1	Microsoft Press
0060	1	Zondervan Publishing Company
0061	1	Lippincott Williams &amp; Wilkins
0062	1	Random House Puzzles &amp; Games
0063	1	Harper Perennial
0064	1	Bentley Publishers
0065	1	Harvard Common Press
0066	1	Andrews McMeel Publishing
0067	1	Oni Press
0068	1	Hazelden
0069	1	Laurel Leaf
0070	1	Westminster Press
0071	1	New Falcon Publications
0072	1	DELMR
0073	1	Outskirts Press
0074	1	Sybex
0075	1	LKVWR
0076	1	WaterBrook Press
0077	1	Prentice Hall
0078	1	Faithwords
0079	1	Barron's Educational Series
0080	1	Rizzoli Publications
0081	1	Dutton Books
