book	christianbook	publication_date
2000	2000	2000	58
0000	1	2008
0001	1	2008
0002	1	2010
0003	1	2010
0004	1	2010
0005	1	2004
0006	1	2008
0007	1	2004
0008	1	2010
0009	1	2010
0010	1	2010
0011	1	2007
0012	1	2002
0013	1	2005
0014	1	2010
0015	1	2010
0016	1	2010
0017	1	2010
0018	1	2005
0019	1	2009
0020	1	2007
0021	1	2004
0022	1	2009
0023	1	2010
0024	1	2004
0025	1	1989
0026	1	2010
0027	1	2010
0028	1	2010
0029	1	2009
0030	1	2007
0031	1	2010
0032	1	2001
0033	1	2003
0034	1	2010
0035	1	2010
0036	1	2006
0037	1	2008
0038	1	2008
0039	1	2000
0040	1	2007
0041	1	2001
0042	1	1993
0043	1	2003
0044	1	1981
0045	1	2008
0046	1	2009
0047	1	2006
0048	1	2004
0049	1	2000
0050	1	2010
0051	1	2000
0052	1	2006
0053	1	1997
0054	1	2006
0055	1	2006
0056	1	2008
0057	1	2010
0058	1	2001
0059	1	2010
0060	1	2006
0061	1	2006
0062	1	2004
0063	1	2009
0064	1	2008
0065	1	1993
0066	1	2008
0067	1	2004
0068	1	2009
0069	1	2000
0070	1	2009
0071	1	2010
0072	1	2009
0073	1	1999
0074	1	2009
0075	1	2006
0076	1	1994
0077	1	1971
0078	1	2004
0079	1	2002
0080	1	2011
0081	1	2007
0082	1	2001
0083	1	1992
0084	1	2010
0085	1	2001
0086	1	1997
0087	1	1990
0088	1	2000
0089	1	1998
0090	1	2009
0091	1	2003
0092	1	2009
0093	1	2009
0094	1	1998
0095	1	2008
0096	1	2006
0097	1	2004
0098	1	2005
0099	1	2006
0100	1	2007
0101	1	2010
0102	1	2005
0103	1	1998
0104	1	1987
0105	1	2003
0106	1	1999
0107	1	2006
0108	1	2009
0109	1	2008
0110	1	2004
0111	1	2002
0112	1	2006
0113	1	2010
0114	1	2006
0115	1	1988
0116	1	2004
0117	1	2009
0118	1	2010
0119	1	2001
0120	1	1993
0121	1	2009
0122	1	2001
0123	1	2009
0124	1	2005
0125	1	2009
0126	1	2005
0127	1	2000
0128	1	2010
0129	1	2010
0130	1	2008
0131	1	2009
0132	1	1998
0133	1	2004
0134	1	2001
0135	1	2007
0136	1	2010
0137	1	2009
0138	1	2000
0139	1	2008
0140	1	1995
0141	1	1995
0142	1	1998
0143	1	2010
0144	1	2007
0145	1	2006
0146	1	2007
0147	1	2006
0148	1	1976
0149	1	2002
0150	1	2003
0151	1	1999
0152	1	2010
0153	1	2009
0154	1	2004
0155	1	2009
0156	1	2008
0157	1	2006
0158	1	1970
0159	1	2007
0160	1	2002
0161	1	1993
0162	1	2010
0163	1	2008
0164	1	2002
0165	1	2010
0166	1	1982
0167	1	1995
0168	1	2004
0169	1	2005
0170	1	2009
0171	1	2007
0172	1	1992
0173	1	1999
0174	1	2009
0175	1	2007
0176	1	2006
0177	1	2009
0178	1	2010
0179	1	2010
0180	1	2007
0181	1	1997
0182	1	2010
0183	1	1989
0184	1	1994
0185	1	2009
0186	1	2000
0187	1	2009
0188	1	2009
0189	1	1996
0190	1	2002
