book	christianbook	publisher
2000	2000	2000	395
0000	1	Value Books
0001	1	Value Books
0002	1	Barbour Publishing
0003	1	WaterBrook Press
0004	1	Bethany House
0005	1	Barbour Publishing
0006	1	Multnomah Publishers, Inc.
0007	1	Thomas Nelson
0008	1	Harvest House Publishers
0009	1	Revell
0010	1	Zondervan
0011	1	Value Books
0012	1	Gospel Light
0013	1	Barbour Publishing
0014	1	Tyndale House
0015	1	Northfield Press
0016	1	Zondervan
0017	1	Harvest House Publishers
0018	1	Standard Publishing
0019	1	Revell
0020	1	Value Books
0021	1	Tyndale House
0022	1	Thomas Nelson
0023	1	Thomas Nelson
0024	1	Barbour Publishing
0025	1	Baker
0026	1	Thomas Nelson
0027	1	Harvest House Publishers
0028	1	Crossway Books & Bibles
0029	1	Tyndale House
0030	1	Harvest House Publishers
0031	1	Multnomah Publishers, Inc.
0032	1	Gospel Light
0033	1	Zondervan
0034	1	Bethany House
0035	1	WaterBrook Press
0036	1	Zondervan
0037	1	Barbour Publishing
0038	1	Thomas Nelson
0039	1	New Leaf Publishing Group
0040	1	Monarch Books
0041	1	Bridge-logos Publishing
0042	1	Inter-varsity Press
0043	1	Thomas Nelson
0044	1	Jove
0045	1	Thomas Nelson
0046	1	Thomas Nelson
0047	1	Tyndale House
0048	1	Thomas Nelson
0049	1	Crossway Books & Bibles
0050	1	Tyndale House
0051	1	Concordia Publishing House
0052	1	Bethany House
0053	1	Zondervan
0054	1	Baker
0055	1	Standard Publishing
0056	1	Thomas Nelson
0057	1	IVP Connect
0058	1	Zondervan
0059	1	David C. Cook
0060	1	Wm. B. Eerdmans Publishing Co.
0061	1	Multnomah Publishers, Inc.
0062	1	Amg Publishers
0063	1	Baker Books
0064	1	Thomas Nelson
0065	1	David C. Cook
0066	1	David C. Cook
0067	1	Tyndale House
0068	1	New Leaf Publishing Group
0069	1	Thomas Nelson
0070	1	Random House, Inc
0071	1	Fidelis Books
0072	1	Destiny Image
0073	1	Baker
0074	1	Baker Academic
0075	1	Crossway Books & Bibles
0076	1	Zondervan
0077	1	Houghton-mifflin
0078	1	The Word For Today
0079	1	Zondervan
0080	1	Bethany House
0081	1	Focus on the Family
0082	1	Zondervan
0083	1	HarperCollins
0084	1	IVP Academic
0085	1	Zondervan
0086	1	NAV Press
0087	1	Inter-varsity Press
0088	1	Cumberland House Publishing
0089	1	Thomas Nelson
0090	1	Zondervan
0091	1	Journeyforth
0092	1	Moody Publishers
0093	1	David C. Cook
0094	1	Thomas Nelson
0095	1	Jossey-Bass
0096	1	Tyndale House
0097	1	Thomas Nelson
0098	1	Thomas Nelson
0099	1	Bethany House
0100	1	Kregel Academic & Professional
0101	1	Harvest House Publishers
0102	1	Multnomah Publishers, Inc.
0103	1	FaithWords
0104	1	Moody Publishers
0105	1	Random House, Inc
0106	1	Zondervan
0107	1	Bethany House
0108	1	Bethany House
0109	1	Thomas Nelson
0110	1	Crossway Books & Bibles
0111	1	Baker
0112	1	Whitaker House Publishers
0113	1	Thomas Nelson
0114	1	Bethany House
0115	1	Inter-varsity Press
0116	1	Zonderkidz
0117	1	Grace Acres Press
0118	1	Zondervan
0119	1	HarperOne
0120	1	Dover Publications
0121	1	Harvest House Publishers
0122	1	Tyndale House
0123	1	Zondervan
0124	1	Tyndale House
0125	1	Zondervan
0126	1	Thomas Nelson
0127	1	Concordia Publishing House
0128	1	Bethany House
0129	1	Focus On The Family
0130	1	Wm. B. Eerdmans Publishing Co.
0131	1	Revell
0132	1	Zondervan
0133	1	Kregel Publications
0134	1	Dover Publications
0135	1	Baker
0136	1	Revell
0137	1	Crossway Books & Bibles
0138	1	Inter-varsity Press
0139	1	Regal Books
0140	1	Destiny Image
0141	1	Countryman
0142	1	Whitaker House Publishers
0143	1	Baker Books
0144	1	Thomas Nelson
0145	1	Multnomah Publishers, Inc.
0146	1	Lifeway
0147	1	Countryman
0148	1	Mott Media, Llc
0149	1	FaithWords
0150	1	Harvest House Publishers
