book	deepdiscount	isbn_13
2000	2000	2000	2000
0000	1	9780312361983
0001	1	9780756635206
0002	1	9780375764332
0003	1	9781423106449
0004	1	9781560277415
0005	1	9780316159722
0006	1	9781421534749
0007	1	9781931599863
0008	1	9780829738711
0009	1	9781931257145
0010	1	9780446577366
0011	1	9780801013003
0012	1	9781933164885
0013	1	9780470497432
0014	1	9780618342488
0015	1	9780060987343
0016	1	9780312370848
0017	1	9781416543077
0018	1	9780878466795
0019	1	9780345397812
0020	1	9780307473714
0021	1	9781439148105
0022	1	9781423121718
0023	1	9780805070866
0024	1	9780345518163
0025	1	9786071100337
0026	1	9781423105169
0027	1	9780756633608
0028	1	9780451213471
0029	1	9781932100662
0030	1	9780882848976
0031	1	9780316084604
0032	1	9780143038801
0033	1	9781606992876
0034	1	9780449213940
0035	1	9782080301239
0036	1	9781563893421
0037	1	9780446407410
0038	1	9781423113386
0039	1	9781427816924
0040	1	9780345458926
0041	1	9780800719029
0042	1	9780140177398
0043	1	9781402765506
0044	1	9781933784571
0045	1	9781414304502
0046	1	9780899423203
0047	1	9780810965676
0048	1	9780007318971
0049	1	9780380792757
0050	1	9780060598754
0051	1	9780758229014
0052	1	9781890926021
0053	1	9780380018178
0054	1	9780307463494
0055	1	9780375832550
0056	1	9780061161704
0057	1	9780399156243
0058	1	9781401907723
0059	1	9780310291466
0060	1	9780446538466
0061	1	9781401900595
0062	1	9780451451088
0063	1	9780761561378
0064	1	9781596913691
0065	1	9780312141370
0066	1	9780399155345
0067	1	9780470402962
0068	1	9781439176672
0069	1	9781593541965
0070	1	9781426300448
0071	1	9781421534688
0072	1	9780312376536
0073	1	9781889392332
0074	1	9781603090445
0075	1	9780948390593
0076	1	9780849921339
0077	1	9780440993711
0078	1	9780982207703
0079	1	9780974237916
0080	1	9781401918330
0081	1	9781595546302
0082	1	9780452264014
0083	1	9780399142550
0084	1	9780553593334
0085	1	9781427802453
0086	1	9780849946967
0087	1	9780671023201
0088	1	9780880884259
0089	1	9781590201152
0090	1	9780764597961
0091	1	9780786891269
0092	1	9781416900597
0093	1	9780312312619
0094	1	9780425200452
0095	1	9780740779305
0096	1	9780345496089
0097	1	9781591162926
0098	1	9781416509264
0099	1	9781593074494
0100	1	9781931128032
0101	1	9780446559805
0102	1	9781594133558
0103	1	9780064406239
0104	1	9780849906336
0105	1	9781401307455
0106	1	9781565076372
0107	1	9780451214522
0108	1	9780553583175
0109	1	9780071441193
0110	1	9780698113749
0111	1	9780873896375
0112	1	9780345458841
0113	1	9780061137648
0114	1	9780618494880
0115	1	9780071469036
0116	1	9781557091840
0117	1	9780515144314
0118	1	9780801064852
0119	1	9780307718211
0120	1	9781593080303
0121	1	9781441808103
0122	1	9780375758263
0123	1	9780843950502
0124	1	9780385315142
0125	1	9780452295957
0126	1	9780810995574
0127	1	9780425208847
0128	1	9780345497499
0129	1	9780345485311
0130	1	9781421511344
0131	1	9780307275653
0132	1	9780618354054
0133	1	9780805448856
0134	1	9781421528236
0135	1	9780061056925
0136	1	9781414316857
0137	1	9780794514976
0138	1	9781421506135
0139	1	9780440416791
0140	1	9780841603851
0141	1	9781600104459
0142	1	9780786888337
0143	1	9780756645755
0144	1	9780756657970
0145	1	9781401309664
0146	1	9780061900662
0147	1	9780375424489
0148	1	9780811836555
0149	1	9780553263220
0150	1	9780307353085
0151	1	9781421515144
0152	1	9781439133620
0153	1	9780316048958
0154	1	9781582407722
0155	1	9781593079338
0156	1	9780380754373
0157	1	9780938317357
0158	1	9780823017249
0159	1	9780061863134
0160	1	9780471752844
0161	1	9780061478789
0162	1	9780140439243
0163	1	9780786020843
0164	1	9781598634488
0165	1	9780786838851
0166	1	9781878424426
0167	1	9780307277244
0168	1	9781584762645
0169	1	9780765343437
0170	1	9781595822543
0171	1	9780735204317
0172	1	9781582380919
0173	1	9780375834097
0174	1	9780061189241
0175	1	9780684187129
0176	1	9780515139259
0177	1	9781551669151
0178	1	9780345492593
0179	1	9780714847580
0180	1	9781561707225
0181	1	9780765316844
0182	1	9780440412106
0183	1	9780970002341
0184	1	9780425140987
0185	1	9780804113083
0186	1	9781932319835
0187	1	9780689848919
0188	1	9780515109740
0189	1	9780970312594
0190	1	9781595548122
0191	1	9781891369377
0192	1	9780765315946
0193	1	9780670035304
0194	1	9780553283310
0195	1	9781400053285
0196	1	9780316024976
0197	1	9780811868341
0198	1	9781402214714
0199	1	9780974082158
0200	1	9780307388193
0201	1	9781585364565
0202	1	9781600104541
0203	1	9780761117193
0204	1	9780345512260
0205	1	9781555661861
0206	1	9780843957778
0207	1	9780441015818
0208	1	9781401903961
0209	1	9781929242092
0210	1	9780739005088
0211	1	9780375846212
0212	1	9780393732146
0213	1	9780312588892
0214	1	9780310259640
0215	1	9780553593495
0216	1	9780316779142
0217	1	9780440117438
0218	1	9780553289428
0219	1	9780312375362
0220	1	9780316002578
0221	1	9780345348104
0222	1	9780312369811
0223	1	9781598169829
0224	1	9780778801634
0225	1	9781591843016
0226	1	9780140449044
0227	1	9780449910283
0228	1	9781929631902
0229	1	9780679882831
0230	1	9780151015443
0231	1	9780310233251
0232	1	9781844165346
0233	1	9780345522399
0234	1	9780385340854
0235	1	9780446570961
