book	deepdiscount	publication_date
2000	2000	2000	886
0000	1	09/05/2006
0001	1	10/05/2009
0002	1	10/01/2004
0003	1	04/01/2007
0004	1	09/01/2009
0005	1	09/13/2004
0006	1	06/01/2010
0007	1	02/20/2007
0008	1	09/01/2003
0009	1	09/26/2006
0010	1	08/26/2004
0011	1	10/01/2007
0012	1	12/30/2009
0013	1	09/08/2009
0014	1	10/01/2002
0015	1	05/30/2010
0016	1	09/30/2008
0017	1	03/02/2010
0018	1	12/15/2004
0019	1	09/01/1995
0020	1	01/26/2010
0021	1	12/29/2009
0022	1	01/18/2010
0023	1	05/01/2002
0024	1	08/25/2009
0025	1	10/30/2008
0026	1	08/26/2008
0027	1	03/15/2008
0028	1	11/01/2004
0029	1	06/01/2006
0030	1	06/01/1999
0031	1	10/22/2002
0032	1	02/27/2007
0033	1	09/08/2009
0034	1	06/01/1995
0035	1	09/29/2009
0036	1	04/01/1997
0037	1	09/24/2008
0038	1	05/04/2010
0039	1	04/27/2010
0040	1	08/01/2004
0041	1	03/01/2008
0042	1	09/01/1993
0043	1	01/05/2010
0044	1	05/13/2008
0045	1	03/30/2005
0046	1	06/01/1988
0047	1	10/01/2005
0048	1	02/01/2010
0049	1	10/01/2002
0050	1	03/01/2009
0051	1	10/01/2008
0052	1	03/01/2007
0053	1	03/01/1996
0054	1	06/01/2010
0055	1	07/12/2005
0056	1	10/01/2009
0057	1	02/23/2010
0058	1	09/01/2006
0059	1	04/01/2009
0060	1	04/13/2009
0061	1	10/01/2003
0062	1	05/30/2010
0063	1	06/02/2009
0064	1	06/24/2008
0065	1	10/01/1995
0066	1	02/10/2009
0067	1	02/17/2009
0068	1	09/29/2009
0069	1	08/16/2007
0070	1	01/09/2007
0071	1	06/01/2010
0072	1	03/03/2009
0073	1	06/01/2009
0074	1	07/15/2009
0075	1	09/01/2000
0076	1	06/09/2009
0077	1	05/01/1993
0078	1	06/01/2009
0079	1	04/30/2005
0080	1	10/15/2008
0081	1	09/09/2008
0082	1	03/01/1995
0083	1	01/01/1997
0084	1	07/28/2009
0085	1	06/13/2008
0086	1	10/13/2009
0087	1	06/01/2000
0088	1	12/01/2003
0089	1	10/07/2008
0090	1	09/30/2005
0091	1	07/29/2008
0092	1	09/20/2005
0093	1	08/21/2006
0094	1	08/07/2004
0095	1	10/21/2008
0096	1	06/22/2010
0097	1	04/15/2005
0098	1	12/06/2005
0099	1	01/25/2006
0100	1	05/31/2002
0101	1	09/09/2009
0102	1	07/15/2009
0103	1	01/01/1996
0104	1	09/20/2005
0105	1	10/19/2005
0106	1	02/01/1997
0107	1	03/01/2005
0108	1	08/01/2003
0109	1	09/01/2004
0110	1	04/01/1996
0111	1	10/31/2004
0112	1	10/01/2002
0113	1	10/01/2006
0114	1	11/01/2004
0115	1	05/14/2006
0116	1	08/01/2006
0117	1	02/01/2008
0118	1	01/01/2004
0119	1	04/27/2010
0120	1	12/01/2003
0121	1	09/30/2009
0122	1	10/01/2001
0123	1	07/01/2004
0124	1	11/01/1995
0125	1	01/26/2010
0126	1	05/01/2008
0127	1	03/07/2006
0128	1	06/29/2010
0129	1	01/30/2007
0130	1	11/06/2007
0131	1	01/01/2006
0132	1	08/25/2003
0133	1	09/28/2008
0134	1	02/02/2010
0135	1	10/01/1996
0136	1	06/01/2007
0137	1	01/01/2007
0138	1	10/03/2006
0139	1	05/01/2001
0140	1	10/15/2008
0141	1	11/11/2009
0142	1	05/01/2005
0143	1	07/20/2009
0144	1	03/15/2010
0145	1	07/09/2008
0146	1	07/27/2010
0147	1	04/15/2008
