book	deepdiscount	publisher
2000	1999	1999	825
0000	1	St Martin's Pr
0001	1	Dk Pub
0002	1	The Princeton Review
0003	1	Jump at the Sun
0004	1	Aviation Supplies & Academics
0005	1	Little, Brown & Co
0006	1	Viz
0007	1	Trails Books
0008	1	Vida Pub
0009	1	Streetwise Maps
0010	1	FaithWords
0011	1	Baker Pub Group
0012	1	Seven Seas Entertainment Llc
0013	1	For Dummies
0014	1	Sandpiper
0015	1	Harpercollins
0016	1	Griffin
0017	1	Scribner
0018	1	Museum of Fine Arts, Boston
0019	1	Ballantine Books
0020	1	Vintage Books
0021	1	Pocket Star
0022	1	Hyperion
0023	1	Owl Books
0024	1	Villard Books
0025	1	Alfaguara
0026	1	Disney Pr
0027	1	Dk Pub
0028	1	Signet
0029	1	BenBella Books
0030	1	Alfred Pub Co
0031	1	Little, Brown & Co
0032	1	Penguin Group USA
0033	1	Fantagraphics Books
0034	1	Fawcett Books
0035	1	Flammarion
0036	1	Dc Comics
0037	1	Grand Central Pub
0038	1	Hyperion
0039	1	TOKYOPOP
0040	1	Ballantine Books
0041	1	Fleming H. Revell Co
0042	1	Penguin Group USA
0043	1	Sterling Pub Co, Inc.
0044	1	Insight Editions
0045	1	Tyndale House Pub
0046	1	Catholic Book Pub Co
0047	1	Palace Pr
0048	1	Harpercollins Pub Ltd
0049	1	Amistad Pr
0050	1	Harpercollins
0051	1	Dafina
0052	1	Z H I Pub
0053	1	Avon Books
0054	1	Crown Pub
0055	1	Golden Books
0056	1	Harpercollins
0057	1	Putnam Pub. Group
0058	1	Hay House, Inc.
0059	1	Zondervan
0060	1	Wellness Central
0061	1	Hay House, Inc.
0062	1	New Amer Library
0063	1	Prima Games
0064	1	Bloomsbury Pub Plc USA
0065	1	St Martin's Pr
0066	1	Putnam Pub. Group
0067	1	For Dummies
0068	1	Permuted Pr
0069	1	Handprint Books Inc
0070	1	Natl Geographic Soc Childrens books
0071	1	Viz
0072	1	St Martin's Pr
0073	1	Windsor Peak Pr
0074	1	Top Shelf Productions
0075	1	Research Associates School Times
0076	1	Thomas Nelson Inc
0077	1	Laurel Leaf
0078	1	Primal Nutrition Inc
0079	1	Bat Conservation Intl
0080	1	Hay House, Inc.
0081	1	Thomas Nelson Inc
0082	1	Plume
0083	1	Putnam Pub. Group
0084	1	Bantam Books
0085	1	TOKYOPOP
0086	1	Thomas Nelson Inc
0087	1	Pocket Star
0088	1	Peter Pauper Pr
0089	1	Overlook Pr
0090	1	For Dummies
0091	1	Hyperion
0092	1	Simon Spotlight/Nickelodeon
0093	1	St Martin's Pr
0094	1	Berkley Pub. Group
0095	1	Andrews McMeel Pub
0096	1	Del Rey
0097	1	Viz
0098	1	Baen Books
0099	1	Dark Horse Comics
0100	1	California Bill's Automotive
0101	1	Business Plus
0102	1	Large Print Pr
0103	1	Trophy Pr
0104	1	Thomas Nelson Inc
0105	1	Hyperion Books
0106	1	Harvest House Pub
0107	1	Signet
0108	1	Bantam Books
0109	1	McGraw-Hill
0110	1	Puffin
0111	1	Asq Pr
0112	1	Ballantine Books
0113	1	Avon Books
0114	1	Sandpiper
0115	1	McGraw-Hill
0116	1	Apple-wood Books
0117	1	Jove Pubns
0118	1	Baker Pub Group
0119	1	Three Rivers Pr
0120	1	Barnes & Noble
0121	1	Brilliance Audio
0122	1	Random House, Inc.
0123	1	Dorchester Pub Co Inc
0124	1	Del§ta
0125	1	Plume
0126	1	Abrams Image
0127	1	Berkley Pub. Group
0128	1	Del Rey
0129	1	Del Rey
0130	1	Viz
0131	1	Vintage Books
0132	1	Sandpiper
0133	1	B & H Books
0134	1	Viz
0135	1	Harpercollins
0136	1	Tyndale House Pub
0137	1	Usborne Pub Ltd
0138	1	Viz
0139	1	Yearling Books
0140	1	H.F. Ullmann
0141	1	Idea & Design Works Llc
0142	1	Harpercollins
0143	1	Dk Pub
0144	1	Dk Pub
0145	1	Hyperion Books
0146	1	Rayo
0147	1	Pantheon Books
0148	1	Chronicle Books LLC
0149	1	Bantam Books
0150	1	Three Rivers Pr
0151	1	Viz
0152	1	Baen Books
0153	1	Little, Brown & Co
0154	1	Image Comics
0155	1	Dh Pr
