book	waterstones	isbn_13
2000	2000	2000	2000
0000	1	9781426206450
0001	1	9781849531047
0002	1	9780714849690
0003	1	9781841074818
0004	1	9781856694629
0005	1	9780007118441
0006	1	9780273721505
0007	1	9780071760812
0008	1	9780691145921
0009	1	9780007327966
0010	1	9780007343089
0011	1	9781847326164
0012	1	9780224083317
0013	1	9780857201294
0014	1	9780752449685
0015	1	9780099526155
0016	1	9781845963590
0017	1	9781861978776
0018	1	9781847080394
0019	1	9781845965716
0020	1	9780762429868
0021	1	9780857330338
0022	1	9780099499558
0023	1	9780099509356
0024	1	9780684857213
0025	1	9780007360598
0026	1	9780091932770
0027	1	9781849160933
0028	1	9781840246087
0029	1	9781905411641
0030	1	9781847326850
0031	1	9781905080786
0032	1	9781845966546
0033	1	9781847326805
0034	1	9780470547816
0035	1	9781851687824
0036	1	9781905411184
0037	1	9780856408564
0038	1	9781847326867
0039	1	9781848187436
0040	1	9780007378012
0041	1	9781905411603
0042	1	9780752884035
0043	1	9780719563461
0044	1	9781847326812
0045	1	9780224064736
0046	1	9781905264940
0047	1	9781569757871
0048	1	9781444704259
0049	1	9781905411429
0050	1	9780007292486
0051	1	9780224083065
0052	1	9781405328128
0053	1	9781592403448
0054	1	9781905411177
0055	1	9781905411634
0056	1	9781905411061
0057	1	9780852650776
0058	1	9780007235025
0059	1	9781846143052
0060	1	9781847034960
0061	1	9780852651483
0062	1	9781405366397
0063	1	9781861057389
0064	1	9781905411320
0065	1	9781905769209
0066	1	9780224083164
0067	1	9780091923334
0068	1	9781845966003
0069	1	9781906802585
0070	1	9781905411610
0071	1	9780751539110
0072	1	9781845136062
0073	1	9780007321414
0074	1	9781845965921
0075	1	9780091932862
0076	1	9781845135591
0077	1	9781905326761
0078	1	9781852846275
0079	1	9781848512115
0080	1	9781903854839
0081	1	9780753515709
0082	1	9780099528098
0083	1	9780852651223
0084	1	9780224080125
0085	1	9780224080231
0086	1	9780856408410
0087	1	9781906889012
0088	1	9781845022273
0089	1	9780224071901
0090	1	9781906853389
0091	1	9780273717225
0092	1	9781846078835
0093	1	9781843539094
0094	1	9781906802288
0095	1	9781848764835
0096	1	9780007270064
0097	1	9780752848778
0098	1	9781847397492
0099	1	9780862789107
0100	1	9780755316229
0101	1	9780141031859
0102	1	9780297863120
0103	1	9781845966331
0104	1	9780743295284
0105	1	9780713677416
0106	1	9780713679366
0107	1	9781408108703
0108	1	9781903854754
0109	1	9780786448104
0110	1	9781849531276
0111	1	9781906820626
0112	1	9780851319377
0113	1	9781905211517
0114	1	9780553819618
0115	1	9780755317233
0116	1	9781906021948
0117	1	9780330511858
0118	1	9781845965570
0119	1	9781845135607
0120	1	9780007116980
0121	1	9780747536192
0122	1	9780297859154
0123	1	9781847679260
0124	1	9780141046662
0125	1	9780954580322
0126	1	9781905042517
0127	1	9781844901951
0128	1	9782915807288
0129	1	9781844035984
0130	1	9780091910235
0131	1	9780761161028
0132	1	9781741791600
0133	1	9780007276387
0134	1	9781873721902
0135	1	9780701183608
0136	1	9781741791518
0137	1	9781846701689
0138	1	9781906136383
0139	1	9781841652160
0140	1	9780751543452
0141	1	9781903070789
0142	1	9781405350358
0143	1	9789812680433
0144	1	9780954218898
0145	1	9781741797091
0146	1	9781405347020
0147	1	9780749954031
0148	1	9780470744512
0149	1	9781851495412
0150	1	9780091933135
0151	1	9781405343343
0152	1	9789812688729
0153	1	9780552998062
0154	1	9781405339742
0155	1	9780552776356
0156	1	9781741795936
0157	1	9781405329446
0158	1	9781741794137
0159	1	9780749566142
0160	1	9788883706172
0161	1	9781846701795
0162	1	9780500515419
0163	1	9781405344395
0164	1	9780749550929
0165	1	9781405344401
0166	1	9781405312257
0167	1	9781741798852
0168	1	9781574891799
0169	1	9781741046090
0170	1	9781901587883
0171	1	9780273731603
0172	1	9781904794486
0173	1	9780099769514
0174	1	9781857883770
0175	1	9780571221684
0176	1	9781906802639
0177	1	9781740595759
0178	1	9781848365100
0179	1	9781843482055
0180	1	9780141015729
0181	1	9781846700576
0182	1	9780007306206
0183	1	9789812687258
0184	1	9789812688309
0185	1	9780572035730
0186	1	9781405346962
0187	1	9780091910242
0188	1	9781405356053
0189	1	9781843486398
0190	1	9789812820785
0191	1	9781408702086
0192	1	9780349119601
0193	1	9780415599139
0194	1	9781843583516
0195	1	9781843486039
0196	1	9781741047738
0197	1	9781741049206
0198	1	9780319240670
0199	1	9781848364585
0200	1	9780751538953
0201	1	9781405353984
0202	1	9781405338912
0203	1	9780141006444
0204	1	9781741790146
0205	1	9783980880275
0206	1	9780099535973
0207	1	9780553816693
0208	1	9781848360310
0209	1	9781849071420
0210	1	9781846701924
0211	1	9780789322401
0212	1	9780099769910
0213	1	9789812687449
0214	1	9780132297691
0215	1	9781568988726
0216	1	9781846612640
0217	1	9781908003010
0218	1	9781906821340
0219	1	9781441923349
0220	1	9780199602728
0221	1	9780470554425
0222	1	9781402771132
0223	1	9781907312472
0224	1	9780582423497
0225	1	9780273753568
0226	1	9781423459767
0227	1	9781845923167
0228	1	9780273735373
0229	1	9780273740766
0230	1	9780273730934
0231	1	9780753513385
0232	1	9780141011455
0233	1	9780887307287
0234	1	9780241953846
0235	1	9781845295110
0236	1	9780470714126
0237	1	9780273723769
0238	1	9780954368630
0239	1	9780552162227
0240	1	9780414041776
0241	1	9780330488679
0242	1	9780199579112
0243	1	9780199535927
0244	1	9780273731818
0245	1	9780199544271
0246	1	9781844078943
0247	1	9781844901043
0248	1	9781905654840
0249	1	9781905654437
0250	1	5034566124530
0251	1	9780141324920
0252	1	9780330528115
0253	1	9781405020466
0254	1	9780007339594
0255	1	9781407120317
0256	1	9780330511186
0257	1	9780141331881
0258	1	9780192732200
0259	1	9780230017948
0260	1	9781406322491
0261	1	9781840116892
0262	1	9780749008048
0263	1	9780333903384
0264	1	9781408309513
0265	1	9781907410499
0266	1	9781406316254
0267	1	9781407109374
0268	1	9780552563727
0269	1	9781906918859
0270	1	9781847734303
0271	1	9781405090766
0272	1	9781408312629
0273	1	9780500514696
0274	1	9780141319131
0275	1	9780141331010
0276	1	9781409390350
0277	1	9781407115009
0278	1	9781409390190
0279	1	9781847450029
0280	1	9780545026031
0281	1	9780857070524
0282	1	9781849920438
0283	1	9781405235006
0284	1	9781847385956
0285	1	9781840114478
0286	1	9781444900644
0287	1	9781409525219
0288	1	9780007312504
0289	1	9780007382187
0290	1	9780670882786
0291	1	9780340881538
0292	1	9780007312542
0293	1	9780857070432
0294	1	9780007156825
0295	1	9781444900637
0296	1	9780007241620
0297	1	9780140315417
0298	1	9780141332475
0299	1	9780141322643
0300	1	9781904233886
0301	1	9781907410239
0302	1	9781847151384
0303	1	9780321524768
0304	1	9781406323924
0305	1	9781408309421
0306	1	9781848774650
0307	1	9781406305869
0308	1	9781847151520
0309	1	9780670886272
0310	1	9781408312384
0311	1	9780333720011
0312	1	9781905654581
0313	1	9781406305883
0314	1	9780192782410
0315	1	9780330535359
0316	1	9780749009205
