book	waterstones	publication_date
2000	1998	1998	858
0000	1	03/01/2011
0001	1	04/10/2010
0002	1	01/03/2009
0003	1	15/05/2010
0004	1	16/04/2007
0005	1	02/09/2010
0006	1	12/03/2009
0007	1	01/11/2010
0008	1	02/02/2010
0009	1	16/09/2010
0010	1	14/10/2010
0011	1	02/09/2010
0012	1	11/11/2010
0013	1	14/10/2010
0014	1	01/01/2012
0015	1	02/04/2009
0016	1	03/07/2008
0017	1	15/04/2010
0018	1	01/07/2008
0019	1	03/02/2011
0020	1	05/04/2007
0021	1	10/12/2010
0022	1	24/05/2007
0023	1	05/06/2008
0024	1	29/11/1999
0025	1	27/05/2010
0026	1	03/06/2010
0027	1	01/07/2010
0028	1	06/08/2007
0029	1	25/09/2009
0030	1	02/09/2010
0031	1	05/10/2010
0032	1	07/10/2010
0033	1	02/09/2010
0034	1	17/02/2010
0035	1	01/09/2010
0036	1	10/04/2008
0037	1	30/11/2010
0038	1	02/09/2010
0039	1	01/01/2011
0040	1	20/01/2011
0041	1	28/08/2009
0042	1	24/09/2009
0043	1	05/04/2007
0044	1	02/09/2010
0045	1	01/07/2004
0046	1	04/03/2010
0047	1	24/02/2011
0048	1	06/01/2011
0049	1	30/04/2009
0050	1	28/05/2009
0051	1	14/10/2010
0052	1	01/04/2008
0053	1	08/11/2007
0054	1	10/04/2008
0055	1	28/08/2009
0056	1	21/11/2007
0057	1	07/05/2009
0058	1	02/06/2008
0059	1	02/09/2010
0060	1	09/03/2009
0061	1	03/06/2010
0062	1	01/03/2011
0063	1	21/10/2004
0064	1	27/10/2008
0065	1	11/10/2010
0066	1	08/07/2010
0067	1	06/03/2008
0068	1	05/08/2010
0069	1	01/09/2010
0070	1	28/08/2009
0071	1	03/09/2009
0072	1	25/10/2010
0073	1	27/05/2010
0074	1	01/07/2010
0075	1	27/05/2010
0076	1	25/06/2010
0077	1	04/02/2010
0078	1	16/07/2010
0079	1	15/10/2010
0080	1	18/09/2008
0081	1	02/04/2009
0082	1	06/05/2010
0083	1	16/04/2009
0084	1	06/09/2007
0085	1	04/06/2009
0086	1	01/03/2009
0087	1	27/04/2009
0088	1	22/10/2008
0089	1	06/10/2005
0090	1	16/07/2010
0091	1	06/02/2009
0092	1	04/03/2010
0093	1	25/10/2007
0094	1	01/10/2010
0095	1	01/11/2010
0096	1	17/03/2008
0097	1	06/11/2003
0098	1	05/08/2010
0099	1	03/08/2010
0100	1	28/05/2009
0101	1	29/01/2009
0102	1	26/08/2010
0103	1	07/10/2010
0104	1	06/11/2006
0105	1	11/05/2007
0106	1	25/10/2006
0107	1	29/11/2010
0108	1	03/01/2008
0109	1	15/01/2011
0110	1	07/02/2011
0111	1	04/02/2011
0112	1	30/11/2011
0113	1	07/10/2010
0114	1	10/06/2010
0115	1	01/10/2009
0116	1	15/04/2010
0117	1	19/02/2010
0118	1	05/08/2010
0119	1	25/04/2010
0120	1	04/12/2000
0121	1	27/08/1998
0122	1	08/02/2010
0123	1	23/09/2010
0124	1	01/04/2010
0125	1	15/01/2011
0126	1	01/09/2010
0127	1	08/09/2010
0128	1	28/02/2009
0129	1	15/04/2008
0130	1	07/02/2008
0131	1	28/05/2010
0132	1	01/11/2009
0133	1	05/02/2009
0134	1	31/08/2010
0135	1	02/09/2010
0136	1	01/09/2009
0137	1	04/02/2010
0138	1	01/09/2010
0139	1	31/03/2011
0140	1	02/09/2010
0141	1	01/03/2010
0142	1	01/04/2010
0143	1	19/07/2007
0144	1	01/12/2010
0145	1	01/11/2010
0146	1	01/02/2010
0147	1	02/12/2010
0148	1	27/03/2009
0149	1	08/06/2007
0150	1	29/04/2010
0151	1	01/12/2009
0152	1	06/01/2011
0153	1	02/04/1998
0154	1	01/05/2009
0155	1	01/04/2010
0156	1	01/11/2010
0157	1	01/08/2008
0158	1	01/07/2010
0159	1	01/07/2010
0160	1	01/10/2006
0161	1	02/09/2010
0162	1	16/08/2010
0163	1	01/12/2009
0164	1	15/01/2007
0165	1	01/11/2009
0166	1	03/08/2009
0167	1	01/11/2010
0168	1	21/01/2008
0169	1	01/07/2008
0170	1	01/11/2010
0171	1	28/12/2009
0172	1	10/05/2010
0173	1	08/01/1999
0174	1	08/11/2007
0175	1	15/03/2007
0176	1	02/08/2010
0177	1	01/10/2008
0178	1	01/02/2010
0179	1	15/01/2007
0180	1	28/05/2009
0181	1	08/01/2009
0182	1	28/05/2009
0183	1	29/09/2009
0184	1	30/03/2010
0185	1	25/03/2010
0186	1	01/02/2010
0187	1	01/03/2007
0188	1	01/09/2010
0189	1	01/12/2008
0190	1	08/09/2010
0191	1	02/09/2010
0192	1	03/04/2008
0193	1	26/01/2011
0194	1	04/04/2011
0195	1	13/07/2008
0196	1	01/05/2009
0197	1	01/12/2009
0198	1	02/02/2009
0199	1	01/02/2010
0200	1	02/06/2008
0201	1	02/08/2010
0202	1	15/01/2009
0203	1	01/05/2008
0204	1	01/04/2010
0205	1	01/08/2009
0206	1	04/03/2010
0207	1	03/05/2006
0208	1	01/05/2009
0209	1	04/04/2011
0210	1	06/01/2011
0211	1	08/02/2011
0212	1	28/11/1998
0213	1	29/09/2009
0214	1	29/02/2008
0215	1	02/02/2011
0216	1	28/02/2011
0217	1	01/01/2011
0218	1	23/03/2011
0219	1	03/04/2011
0220	1	03/02/2011
0221	1	19/01/2011
0222	1	08/04/2010
0223	1	18/02/2011
0224	1	16/03/2011
0225	1	31/03/2011
0226	1	01/02/2011
0227	1	01/04/2011
0228	1	25/11/2010
0229	1	18/11/2010
0230	1	10/06/2010
0231	1	03/04/2008
0232	1	30/09/2004
0233	1	08/11/1994
0234	1	08/09/2010
0235	1	29/03/2007
0236	1	17/07/2009
0237	1	26/03/2009
0238	1	11/12/2010
0239	1	02/04/2010
0240	1	16/02/2010
0241	1	06/08/2004
0242	1	04/03/2010
0243	1	17/04/2008
0244	1	02/12/2009
0245	1	29/10/2009
0246	1	16/10/2009
0247	1	30/04/2010
0248	1	04/01/2011
0249	1	12/04/2011
0250	1	01/12/2010
0251	1	06/08/2009
0252	1	04/03/2011
0253	1	02/09/2005
0254	1	30/09/2010
0255	1	03/01/2011
0256	1	23/09/2010
0257	1	07/12/2010
0258	1	04/03/2011
0259	1	02/07/2010
0260	1	05/10/2009
0261	1	01/10/2009
0262	1	01/11/2010
0263	1	20/09/2002
0264	1	06/05/2010
0265	1	14/10/2010
0266	1	14/06/2008
0267	1	25/08/2010
0268	1	06/01/2011
0269	1	01/09/2010
0270	1	24/04/2009
0271	1	07/09/2007
0272	1	06/01/2011
0273	1	05/05/2009
0274	1	04/05/2006
0275	1	17/03/2010
0276	1	07/10/2010
0277	1	05/10/2009
0278	1	07/10/2010
0279	1	31/10/2006
0280	1	01/07/2007
0281	1	06/01/2011
0282	1	29/04/2010
0283	1	02/06/2008
0284	1	07/01/2010
0285	1	01/07/2006
0286	1	06/05/2010
0287	1	24/09/2010
0288	1	30/04/2009
0289	1	28/10/2010
0290	1	27/05/1999
0291	1	15/04/2004
0292	1	04/03/2010
0293	1	06/01/2011
0294	1	03/02/2011
0295	1	04/03/2010
0296	1	03/09/2007
0297	1	31/03/1983
0298	1	26/08/2010
0299	1	06/09/2007
0300	1	06/09/2007
0301	1	29/03/2011
0302	1	01/09/2010
0303	1	27/12/2007
0304	1	01/06/2009
0305	1	07/01/2010
0306	1	01/09/2010
0307	1	04/06/2007
0308	1	04/01/2011
0309	1	30/09/1999
0310	1	06/01/2011
0311	1	11/08/2000
0312	1	11/07/2009
0313	1	04/06/2007
0314	1	02/09/2010
