book	waterstones	publisher
2000	1998	1998	493
0000	1	National Geographic Society
0001	1	Summersdale Publishers
0002	1	Phaidon Press Ltd
0003	1	Colin Baxter Photography Ltd
0004	1	Laurence King Publishing
0005	1	HarperPress
0006	1	Prentice-Hall
0007	1	McGraw-Hill Professional
0008	1	Princeton University Press
0009	1	HarperCollins Publishers Ltd
0010	1	Blue Door
0011	1	Carlton Books Ltd
0012	1	Yellow Jersey Press
0013	1	Simon & Schuster Ltd
0014	1	The History Press Ltd
0015	1	Vintage
0016	1	Mainstream Publishing
0017	1	Profile Books Ltd
0018	1	Granta Books
0019	1	Mainstream Publishing
0020	1	Running Press,U.S.
0021	1	J H Haynes & Co Ltd
0022	1	Arrow Books Ltd
0023	1	Arrow Books Ltd
0024	1	Simon & Schuster
0025	1	HarperSport
0026	1	Ebury Press
0027	1	Quercus Publishing Plc
0028	1	Summersdale Publishers
0029	1	Pitch Publishing Ltd
0030	1	Carlton Books Ltd
0031	1	Great Northern Books Ltd
0032	1	Mainstream Publishing
0033	1	Carlton Books Ltd
0034	1	John Wiley & Sons Ltd
0035	1	Oneworld Publications
0036	1	Pitch Publishing Ltd
0037	1	Blackstaff Press Ltd
0038	1	Carlton Books Ltd
0039	1	Know the Score Books
0040	1	Fourth Estate Ltd
0041	1	Pitch Publishing Ltd
0042	1	Orion (an Imprint of The Orion Publishing Group Ltd )
0043	1	John Murray Publishers Ltd
0044	1	Carlton Books Ltd
0045	1	Yellow Jersey Press
0046	1	Virgin Books
0047	1	Ulysses Press
0048	1	Hodder & Stoughton Ltd
0049	1	Pitch Publishing Ltd
0050	1	HarperSport
0051	1	Yellow Jersey Press
0052	1	Dorling Kindersley Publishers Ltd
0053	1	Gotham Books
0054	1	Pitch Publishing Ltd
0055	1	Pitch Publishing Ltd
0056	1	Pitch Publishing Ltd
0057	1	Guardian Books
0058	1	HarperSport
0059	1	Particular Books
0060	1	Sweet & Maxwell
0061	1	Guardian Books
0062	1	Dorling Kindersley Publishers Ltd
0063	1	Robson Books Ltd
0064	1	Pitch Publishing Ltd
0065	1	Fort Publishing Ltd
0066	1	Yellow Jersey Press
0067	1	Ebury Press
0068	1	Mainstream Publishing
0069	1	Trinity Mirror Sport Media
0070	1	Pitch Publishing Ltd
0071	1	Sphere
0072	1	Aurum Press Ltd
0073	1	Collins
0074	1	Mainstream Publishing
0075	1	Ebury Press
0076	1	Aurum Press Ltd
0077	1	Vision Sports Publishing Ltd
0078	1	Cicerone Press
0079	1	Gomer Press
0080	1	Milo Books
0081	1	Virgin Books
0082	1	Arrow Books Ltd
0083	1	Guardian Books
0084	1	Yellow Jersey Press
0085	1	Yellow Jersey Press
0086	1	Blackstaff Press Ltd
0087	1	Punk Publishing Ltd
0088	1	Black and White Publishing
0089	1	Yellow Jersey Press
0090	1	Old Pond Publishing Ltd
0091	1	Financial Times Prentice Hall
0092	1	BBC Books
0093	1	Rough Guides Ltd
0094	1	Trinity Mirror Sport Media
0095	1	Troubador Publishing
0096	1	HarperSport
0097	1	Orion (an Imprint of The Orion Publishing Group Ltd )
0098	1	Pocket Books
0099	1	O&#39;Brien Press Ltd
