camera	amazon	manufacturer
1767	1767	3534	124
0000	2	Canon	: Canon
0001	2	Canon	: Canon
0002	2	Fuji	: Fuji
0003	2	Canon	: Canon
0004	2	Canon	: Canon
0005	2	Canon	: Canon
0006	2	Canon	: Canon
0007	2	Canon	: Canon
0008	2	Panasonic	: Panasonic
0009	2	Nikon	: Nikon
0010	2	Canon	: Canon
0011	2	Panasonic	: Panasonic
0012	2	Canon	: Canon
0013	2	Nikon	: Nikon
0014	2	Canon	: Canon
0015	2	Kodak	: Kodak
0016	2	Panasonic	: Panasonic
0017	2	Sony	: Sony
0018	2	Canon	: Canon
0019	2	Panasonic	: Panasonic
0020	2	Sony	: Sony
0021	2	Canon	: Canon
0022	2	Canon	: Canon
0023	2	Canon	: Canon
0024	2	Canon	: Canon
0025	2	Sony	: Sony
0026	2	Nikon	: Nikon
0027	2	Kodak	: Kodak
0028	2	Canon	: Canon
0029	2	Samsung	: Samsung
0030	2	Panasonic	: Panasonic
0031	2	Casio	: Casio
0032	2	Olympus	: Olympus
0033	2	Pentax	: Pentax
0034	2	Samsung	: Samsung
0035	2	Kodak	: Kodak
0036	2	Kodak	: Kodak
0037	2	Panasonic	: Panasonic
0038	2	Polaroid	: Polaroid
0039	2	Kodak	: Kodak
0040	2	Fuji	: Fuji
0041	2	Casio	: Casio
0042	2	Olympus	: Olympus
0043	2	Canon	: Canon
0044	2	Pentax	: Pentax
0045	2	Kodak	: Kodak
0046	2	Samsung	: Samsung
0047	2	Vivitar	: Vivitar
0048	2	Panasonic	: Panasonic
0049	2	Panasonic	: Panasonic
0050	2	Nikon	: Nikon
0051	2	SVP	: SVP
0052	2	Polaroid	: Polaroid
0053	2	Vivitar	: Vivitar
0054	2	Casio	: Casio
0055	2	Sony	: Sony
0056	2	Canon	: Canon
0057	2	SVP	: SVP
0058	2	Sony	: Sony
0059	2	Panasonic	: Panasonic
0060	2	Panasonic	: Panasonic
0061	2	Olympus	: Olympus
0062	2	Olympus	: Olympus
0063	2	HP	: HP
0064	2	Rollei	: Rollei
0065	2	Rollei	: Rollei
0066	2	Fuji	: Fuji
0067	2	Samsung	: Samsung
0068	2	Panasonic	: Panasonic
0069	2	Panasonic	: Panasonic
0070	2	Casio	: Casio
0071	2	Sony	: Sony
0072	2	Olympus	: Olympus
0073	2	Sakar	: Sakar
0074	2	Panasonic	: Panasonic
0075	2	Olympus	: Olympus
0076	2	Vivitar	: Vivitar
0077	2	DXG	: DXG
0078	2	Olympus	: Olympus
0079	2	Cobra	: Cobra
0080	2	Ricoh	: Ricoh
0081	2	Olympus	: Olympus
0082	2	Sakar	: Sakar
0083	2	Pansonic	: Pansonic
0084	2	Kodak	: Kodak
0085	2	HP	: HP
0086	2	Kodak	: Kodak
0087	2	Sony	: Sony
0088	2	Kodak	: Kodak
0089	2	Nikon	: Nikon
0090	2	Panasonic	: Panasonic
0091	2	Vivitar	: Vivitar
0092	2	Vivitar	: Vivitar
0093	2	Nikon	: Nikon
0094	2	Canon	: Canon
0095	2	Mustek	: Mustek
0096	2	Pentax	: Pentax
0097	2	Sony	: Sony
0098	2	Fuji	: Fuji
0099	2	Olympus	: Olympus
0100	2	Nikon	: Nikon
0101	2	Vivitar	: Vivitar
0102	2	Canon	: Canon
0103	2	Nikon	: Nikon
0104	2	SVP	: SVP
0105	2	Nikon	: Nikon
0106	2	Canon	: Canon
0107	2	Fuji	: Fuji
0108	2	Sony	: Sony
0109	2	Olympus	: Olympus
0110	2	Panasonic	: Panasonic
0111	2	Sakar	: Sakar
0112	2	Sony	: Sony
0113	2	Gateway	: Gateway
0114	2	Olympus	: Olympus
0115	2	Canon	: Canon
0116	2	Sony	: Sony
0117	2	Kodak	: Kodak
0118	2	Olympus	: Olympus
0119	2	Olympus	: Olympus
0120	2	Nikon	: Nikon
0121	2	Olympus	: Olympus
0122	2	Sony	: Sony
0123	2	Samsung	: Samsung
0124	2	Sony	: Sony
0125	2	Fuji	: Fuji
0126	2	Nikon	: Nikon
0127	2	Olympus	: Olympus
0128	2	Pentax	: Pentax
0129	2	Sony	: Sony
0130	2	Olympus	: Olympus
0131	2	Olympus	: Olympus
0132	2	Olympus	: Olympus
0133	2	Bell + Howell	: Bell + Howell
0134	2	Olympus	: Olympus
0135	2	Olympus	: Olympus
0136	2	Canon	: Canon
0137	2	Canon	: Canon
0138	2	Pentax	: Pentax
0139	2	Panasonic	: Panasonic
0140	2	Sony	: Sony
0141	2	Kodak	: Kodak
0142	2	Nikon	: Nikon
0143	2	Vivitar	: Vivitar
0144	2	Canon	: Canon
0145	2	Vivitar	: Vivitar
0146	2	Nikon	: Nikon
0147	2	SVP	: SVP
0148	2	Samsung	: Samsung
0149	2	Casio	: Casio
0150	2	Panasonic	: Panasonic
0151	2	Vivitar	: Vivitar
0152	2	Sakar	: Sakar
0153	2	Fuji	: Fuji
0154	2	Plustek	: Plustek
0155	2	Sony	: Sony
0156	2	Fuji	: Fuji
0157	2	Panasonic	: Panasonic
0158	2	General Electric	: General Electric
0159	2	Pentax	: Pentax
0160	2	General Electric	: General Electric
0161	2	Fuji	: Fuji
0162	2	Vivitar	: Vivitar
0163	2	Casio	: Casio
0164	2	Nikon	: Nikon
0165	2	Nikon	: Nikon
